name,Gold.PLP.Fitness,Gold.PLP.PLP,Gold.PLP.part.hbond,Gold.PLP.part.metal,Gold.PLP.part.buried,Gold.PLP.part.nonpolar,Gold.PLP.part.repulsive,Gold.PLP.ligand.clash,Gold.PLP.ligand.torsion,Gold.PLP.Chemscore.Hbond,Gold.PLP.Chemscore.CHOScore,Gold.PLP.Chemscore.Metal,affinity
4u4s,39.3734,-36.8094,-1.4591,0,-5.3586,-32.4125,0.2109,0,0.218,1,0,0,2.92
3e93,103.3886,-102.2241,-4,0,-8.74,-96.0994,0.8176,0,2.4178,2,0,0,8.85
1owh,68.8059,-56.4151,-5.92,0,-10.4738,-41.9354,0.283,0,1.2014,4.9312,0,0,7.4
3rr4,67.7046,-50.5214,-6,0,-7.4401,-44.949,0.3526,0,0.0004,5.728,0,0,4.55
3jya,47.326,-47.326,0,0,-2.6503,-45.4095,0.0797,0,0,0,0,0,6.89
4k18,66.5829,-69.7138,-1.1306,0,0.652,-69.5311,0.3647,5.3783,0.3763,1,0,0,8.96
2qbp,83.8334,-75.5712,-6.771,0,-6.5203,-64.2476,0.1911,0,2.7763,4.6049,0,0,8.4
4gfm,49.0034,-45.5602,-2,0,-5.9957,-42.0736,0.1938,0,1.2784,2,0,0,7.22
4owm,37.5421,-37.8297,-0.935,0,-0.6074,-36.6353,0.1058,0,0.1479,0.0027,0,0,2.96
3gv9,28.5527,-18.5763,-4.4196,0,-0.1447,-18.2081,1.7773,0,0.063,3.3674,0,0,2.12
2wnc,63.3505,-61.1593,-0.9588,0,-3.8651,-59.9036,0.0184,0,0.3425,0.9588,0,0,6.32
2xii,71.2911,-53.5512,-9.3172,0,-2.2982,-49.1492,0.3382,0,0.6454,6.3436,0,0,7.2
3gc5,91.0077,-65.391,-8,0,-9.0593,-52.4459,2.0706,0,0.4157,8.816,0,0,7.26
3fcq,46.095,-20.4818,-3.063,-1.4589,1.6398,-26.7555,6.1495,0,0.7858,1.975,0,3.5433,2.77
3pyy,65.9439,-65.8472,-1.0635,0,-2.2017,-64.535,0.4824,0,1.4517,1,0,0,6.86
3prs,95.2848,-83.6616,-7.6995,0,0.286,-82.0709,0.4985,0,3.8898,4.4676,2,0,7.82
2xbv,92.8193,-102.2619,-1.6352,0,-0.087,-109.7559,0.5675,5.4569,3.4929,1,0,0,8.43
3nx7,48.1982,-35.1814,-4.4144,-1.8649,1.2915,-35.0988,6.1089,0,3.0645,2.3819,0,2,8.1
