name,TOTAL_SCORE,SCORE_RB_PEN,SCORE_NORM_HEVATOMS,SCORE_NORM_CRT_HEVATOMS,SCORE_NORM_WEIGHT,SCORE_NORM_CRT_WEIGHT,SCORE_RB_PEN_NORM_CRT_HEVATOMS,SCORE_NORM_CONTACT,PLPtotal,PLPparthbond,PLPpartsteric,PLPpartmetal,PLPpartrepulsive,PLPpartburpolar,LIG_NUM_CLASH,LIG_NUM_CONTACT,LIG_NUM_NO_CONTACT,CHEMPLP_CLASH2,TRIPOS_TORS,affinity
1h23,-116.145,-86.1454,-3.22626,-35.175,-0.233823,-14.6655,-26.0894,-3.22626,-108.46700000000001,-6.94503,-99.9395,0,0.142101,0.0,2,34,0,0.034843,9.63808,8.35
3b1m,-96.7562,-84.7562,-2.54622,-28.7796,-0.18878599999999998,-12.0904,-25.2102,-2.54622,-85.5955,0.0,-88.0498,0,0.08357300000000001,0.0,4,34,0,0.0,7.68447,8.48
4jxs,-64.0878,-52.0878,-2.91308,-22.8718,-0.188865,-9.18827,-18.5892,-2.91308,-52.1662,-16.8922,-37.0003,0,1.0565799999999999,-0.05,3,19,0,0.0,6.74883,4.74
2pog,-80.5841,-78.5841,-3.83734,-29.2085,-0.285431,-12.2838,-28.4836,-3.83734,-61.4264,-6.34051,-57.9398,0,0.0,0.0,3,18,0,0.0,0.36089299999999996,9.54
1bcu,-61.9324,-61.9324,-3.87077,-24.5779,-0.294557,-10.4152,-24.5779,-3.87077,-42.9294,-3.3738699999999997,-35.2831,0,0.11929200000000001,0.0,0,16,0,0.0,0.0,3.28
3d6q,-40.9425,-34.9425,-1.8610200000000001,-14.6117,-0.131081,-6.034330000000001,-12.4704,-2.55891,-24.9781,-6.02011,-17.5114,0,0.19575599999999999,0.0,1,15,6,0.0,3.80436,3.76
3twp,-45.1832,-43.1832,-4.51832,-20.9722,-0.32954,-8.762360000000001,-20.0439,-4.51832,-33.4849,-3.4800800000000005,-27.5755,0,0.039410400000000005,0.0,0,10,0,7.46886,0.0130732,3.92
3myg,-70.7503,-54.7503,-2.35834,-22.7696,-0.165476,-9.3914,-17.6203,-2.35834,-58.3664,-4.50858,-56.2199,0,1.58837,-0.0446855,3,27,0,0.0,5.56447,10.7
3coy,-97.4463,-81.4463,-3.14343,-31.0202,-0.212075,-12.6282,-25.9269,-3.14343,-82.3779,-18.6293,-57.9913,0,0.9173370000000001,-0.027462900000000002,1,30,0,0.0,2.2347,6.02
4qac,-111.42,-105.42,-4.64248,-38.626999999999995,-0.33124899999999996,-16.0211,-36.5469,-4.64248,-98.5464,-3.77892,-97.7128,0,1.69639,0.0,7,17,0,0.0,4.888780000000001,9.4
4crc,-91.8107,-73.8107,-2.35412,-27.0731,-0.17002899999999999,-11.2747,-21.7653,-2.35412,-86.3671,-8.92108,-76.7768,0,0.257689,0.0,4,35,0,0.0,12.1809,8.72
3u8k,-72.7365,-66.7365,-4.54603,-28.8655,-0.327185,-12.0069,-26.4844,-4.54603,-59.1515,-4.0,-54.1888,0,0.074607,0.0,0,16,0,0.0,3.90509,8.66
4k18,-83.9647,-73.9647,-2.89533,-27.3294,-0.21675500000000003,-11.5183,-24.0746,-2.99874,-65.7813,-2.26112,-69.5311,0,0.153325,-0.05,2,26,0,0.0,0.905285,8.96
3g2z,-34.6722,-30.6722,-2.66709,-14.7458,-0.19458699999999998,-6.161580000000001,-13.0446,-2.66709,-18.5086,-6.50747,-11.4165,0,0.166659,0.0,0,13,0,0.0,2.96627,2.36
2yge,-40.5247,-30.5247,-1.01312,-11.8495,-0.07228430000000001,-4.91467,-8.92548,-1.01312,-50.4995,-5.97684,-45.8041,0,1.08026,-0.032583999999999995,2,38,0,14.1662,14.6712,5.06
4w9l,-99.015,-79.015,-2.415,-28.7149,-0.16903900000000002,-11.8339,-22.9148,-2.415,-90.0728,-9.610669999999999,-84.0198,0,0.15167,-0.0330365,3,38,0,0.487023,7.43715,5.02
2cet,-82.1121,-74.1121,-3.7323699999999995,-29.3044,-0.268913,-12.1939,-26.4493,-3.7323699999999995,-72.0006,-25.0577,-50.1942,0,0.010032,0.0,4,18,0,4.02124,1.04959,8.02
2ymd,-78.9992,-74.9992,-6.07686,-33.5976,-0.445759,-14.0642,-31.8964,-6.07686,-61.6316,-10.0,-48.6907,0,0.0329644,-0.00708234,1,12,0,0.0,0.389937,3.16
3f3a,-63.9969,-57.9969,-4.2664599999999995,-25.9495,-0.313363,-10.8673,-23.5166,-4.2664599999999995,-48.6065,-12.3756,-45.4383,0,0.343531,0.0,2,13,0,0.0,1.46665,4.19
4lzs,-58.2759,-52.2759,-3.8850599999999997,-23.6297,-0.279825,-9.831539999999999,-21.1968,-3.8850599999999997,-41.8757,-4.4313,-34.919000000000004,0,0.0573581,0.0,0,15,0,0.0,3.42686,4.8
3ozs,-116.25,-102.25,-3.5227199999999996,-36.2427,-0.245069,-14.9059,-31.878,-3.5227199999999996,-102.977,-15.9974,-88.6484,-8,0.125727,-0.05,7,26,0,0.0,4.20721,5.33
2xys,-90.2631,-90.2631,-3.6105199999999997,-30.8695,-0.267502,-12.9653,-30.8695,-3.6105199999999997,-72.1754,-2.0,-68.7824,0,0.00292435,-0.014486099999999998,1,24,0,0.0,0.0,7.42
1c5z,-58.1519,-56.1519,-6.46132,-27.9565,-0.479951,-11.7519,-26.995,-6.46132,-38.4906,-9.45792,-27.0304,0,0.11998900000000001,0.0,1,8,0,0.0,0.153751,4.01
3nw9,-118.27,-106.27,-3.11236,-35.1786,-0.22678600000000002,-14.6934,-31.6093,-3.11236,-107.916,-21.1265,-95.5788,0,0.287096,-0.00944738,6,32,0,0.0,4.3034300000000005,9
1z9g,-47.9245,-35.9245,-2.81909,-18.6384,-0.190711,-7.594469999999999,-13.9715,-2.81909,-33.3702,-7.3436699999999995,-36.5227,0,0.182095,-0.05,3,14,0,0.0,3.3979699999999995,5.64
5c1w,-58.2725,-56.2725,-4.85604,-25.4529,-0.286966,-9.91409,-24.5793,-4.85604,-39.3164,0.0,-37.6126,0,0.044643300000000004,-0.05,0,12,0,0.0,0.360016,5.06
2iwx,-66.0815,-66.0815,-2.75339,-22.9092,-0.187844,-9.36092,-22.9092,-2.75339,-47.2844,-3.67248,-42.1355,0,0.0892827,0.0,2,22,0,0.0,0.0,6.68
