name,total,qq_pl,desolv_pl,vdw_pl,hbond_pl,qq_l,desolv_l,vdw_l,DrugScore,HMscore,PLP_tor,affinity
1o2s,-11.049,-1.774,9.625,-8.414,-3.116,-0.039,0.914,-0.389,2.029,-0.000,3.500,5.47
1gi9,2.816,-1.580,9.750,-7.991,12.006,-0.254,1.008,-0.320,9.557,-0.000,5.300,5.22
1axz,-6.846,-1.520,5.658,-5.233,-2.394,-1.033,0.440,-0.180,33.257,-0.000,16.700,3.2
1kll,-7.651,-3.206,4.742,-4.987,-0.999,-0.175,1.468,-0.627,8.729,0.440,14.100,5.2
1yid,-6.121,-3.775,14.267,-8.666,-2.546,2.045,2.966,-2.192,35.729,-0.000,17.500,5
2adu,-8.408,0.411,2.258,-6.422,-0.587,0.000,0.104,-0.201,-2.143,2.417,0.000,7.74
2dua,-0.966,-0.274,3.800,-2.976,-1.914,1.519,0.039,-0.050,19.814,-0.000,0.000,4.77
2fkf,-12.585,-7.199,9.825,-4.816,-5.045,-1.427,1.980,-1.006,40.857,-0.000,22.200,2.92
1vj9,-22.156,-2.890,12.867,-14.903,-5.056,-0.816,2.632,-3.167,-4.114,0.674,23.400,7.55
1cim,-7.938,0.471,6.100,-7.087,-1.222,-0.324,0.546,-0.326,3.529,1.367,3.000,8.82
1gzc,-8.658,-1.430,6.442,-6.468,-2.438,-1.810,1.608,-1.166,39.829,0.253,30.800,3.49
1n1t,-11.751,-4.013,9.075,-7.850,-4.019,-0.147,1.446,-1.269,32.214,0.267,18.300,3.85
2ff1,-11.753,-0.101,8.825,-10.372,-2.762,-0.150,0.758,-0.684,18.371,1.745,13.000,8.21
1qq9,-8.048,0.363,3.967,-5.451,-1.880,-1.077,0.226,-0.269,-0.400,0.357,10.600,2.06
1obx,-15.292,-1.930,4.800,-7.422,-1.728,-1.804,2.482,-3.066,-10.600,2.299,21.700,5.72
1ta2,-21.544,-0.891,6.692,-14.620,-1.682,-0.752,1.361,-2.711,-4.900,4.082,10.000,8.52
1me8,-17.849,-4.887,12.675,-8.746,-4.673,-0.813,1.371,-0.843,-10.343,1.014,13.800,7.19
1xbb,-12.230,0.008,8.950,-9.990,-0.769,-0.510,2.065,-1.703,-0.757,3.235,1.100,5.3
1qca,-14.720,-0.208,2.525,-9.916,-0.300,-0.056,0.891,-0.921,22.857,8.080,12.500,5.27
1rgl,-5.422,0.411,10.033,-6.664,-1.113,-1.410,2.421,-1.550,19.757,-0.000,12.600,4.43
2c3j,-11.456,-0.795,6.658,-8.268,-2.076,0.119,0.143,-0.047,-8.186,1.491,1.800,6.18
1z3v,-9.927,-1.532,10.792,-9.283,-2.308,-2.092,1.709,-1.225,59.100,-0.000,28.900,4.11
1af6,-16.045,-3.529,9.375,-8.114,-4.891,-0.704,2.027,-1.585,-18.600,-0.000,29.600,1.82
1vja,-18.795,-2.805,14.150,-14.046,-4.841,-0.255,2.634,-2.725,1.943,-0.000,15.300,7.7
2avv,-24.928,-1.185,10.650,-17.866,-1.659,-1.196,2.281,-3.322,-5.286,4.482,27.600,9.26
1meu,-22.869,-1.038,8.792,-16.543,-3.084,-0.165,1.464,-3.712,13.857,3.921,18.200,6.1
1cil,-8.000,0.594,5.842,-7.373,-0.926,-0.354,0.555,-0.515,4.186,1.367,5.400,9.43
1xzx,-18.153,-0.740,5.675,-13.697,-0.707,-0.957,0.511,-0.914,43.586,6.712,8.200,10.22
6tim,-11.132,-5.297,8.550,-5.855,-3.882,-0.297,0.457,-0.217,27.929,-0.000,10.000,3.21
1rdi,-4.465,0.416,3.292,-2.958,-1.906,-1.116,0.306,-0.199,18.343,0.527,10.100,2.06
1w8l,-6.218,-0.144,1.217,-4.137,-0.522,-0.038,-0.004,0.011,-6.329,1.449,0.000,0.49
1qiw,-21.401,-3.732,1.792,-10.922,-0.688,0.470,0.549,-2.706,11.729,8.400,24.300,7.74
1joc,-15.518,-5.884,8.858,-5.744,-3.492,-4.169,2.093,-0.958,32.686,-0.000,15.000,4.62
1q66,-15.139,-2.473,8.675,-10.665,-3.085,-0.079,0.633,-0.562,-2.714,0.632,6.100,5.77
1owd,-14.630,-3.218,8.717,-9.846,-3.156,-0.023,0.748,-0.741,-3.314,-0.000,4.000,8.2
2bmz,-7.637,-1.237,5.700,-5.666,-2.169,-1.261,1.223,-0.988,25.114,-0.000,25.400,3.7
1imx,-12.072,-0.089,1.608,-5.857,-0.402,-0.293,3.465,-2.769,-7.514,7.819,79.000,3.52
1vkj,-26.888,-12.804,17.792,-12.687,-3.689,-1.889,2.404,-1.370,22.929,1.854,16.900,4.85
1hqg,-8.467,-3.831,4.508,-3.502,-1.334,-0.804,0.328,-0.231,1.114,-0.000,16.200,3
1rzx,-24.130,-3.411,7.458,-11.226,-4.226,-1.284,3.693,-4.287,-23.200,5.142,46.000,4.1
1f9g,-2.384,-0.696,3.992,-3.537,-0.266,-0.042,0.400,-0.297,22.643,-0.000,10.200,1.28
1hp0,-12.604,-1.551,9.183,-10.882,-2.666,0.043,0.839,-0.819,27.900,1.729,10.600,6.7
2gh7,-18.951,-2.120,7.267,-9.985,-3.606,-0.019,0.220,-0.312,-48.657,1.819,11.500,13
1x9d,-10.112,-2.882,9.742,-9.739,-4.206,-0.461,1.340,-1.041,69.571,0.084,28.300,3.96
1w6y,-10.252,-0.874,1.675,-6.644,-1.111,-0.004,0.078,-0.017,20.671,4.447,0.000,5.36
1rdn,-3.782,0.606,3.542,-3.489,-1.524,-0.717,0.629,-0.524,11.014,-0.000,12.300,1.84
8abp,-10.666,-3.091,8.167,-7.171,-4.962,-0.804,0.460,-0.199,48.771,-0.000,11.800,8
1y2g,-11.703,-0.018,1.692,-5.943,-0.000,-0.004,0.327,-1.232,-6.114,6.067,0.000,4.08
2f8i,-5.064,-0.496,2.392,-3.677,-0.145,0.066,0.414,-0.719,23.571,3.334,0.000,7.26
1cin,-7.726,0.459,5.950,-7.167,-1.005,-0.338,0.519,-0.356,6.486,1.367,2.700,8.73
220l,-4.761,0.000,-0.442,-3.500,0.000,0.000,0.000,0.000,5.843,2.022,0.000,3.4
2br6,-4.378,-1.297,2.650,-3.404,-0.344,-0.124,0.104,-0.040,8.457,0.357,2.700,2.96
1pu8,-8.690,-0.541,4.125,-6.466,-0.400,0.000,0.000,0.000,-2.200,2.152,0.000,3.1
1eix,-17.161,-7.183,14.075,-10.214,-6.276,-0.242,1.489,-1.161,43.100,-0.000,13.900,11.06
1ent,-20.845,0.461,11.625,-15.329,-2.619,-1.175,3.347,-3.452,-13.871,4.150,29.900,6.96
1pbk,-23.566,-1.877,5.092,-12.491,-3.481,-0.464,0.716,-2.059,11.700,7.897,17.700,9.05
