name,total,SMoG2016_KBP2016,SMoG2016_LJP,SMoG2016_Rotor,SMoG2016_lnMass,affinity
1n2v,-6.647,-113.101,31.658,3,5.338,4.08
2qmj,-10.271,-276.291,149.964,9,6.471,4.21
1qi0,-6.840,-133.036,74.438,4,5.835,2.35
1lor,-7.618,-170.132,98.061,4,5.829,11.06
2jdy,-5.719,-102.920,67.507,2,5.268,4.37
1h23,-14.195,-365.873,55.974,15,6.207,8.35
1bcu,-7.680,-136.651,26.469,0,5.348,3.28
3myg,-9.464,-214.917,69.146,8,6.060,10.7
3coy,-10.139,-242.943,85.050,8,6.132,6.02
3g2z,-4.640,-50.131,28.557,2,5.188,2.36
2yge,-8.932,-209.495,111.806,5,6.328,5.06
2cet,-9.958,-247.262,101.484,4,5.731,8.02
2ymd,-7.872,-158.226,41.392,2,5.177,3.16
3f3a,-8.426,-180.211,52.535,3,5.323,4.19
2xys,-10.392,-243.428,86.974,0,5.821,7.42
3nw9,-11.221,-316.649,168.212,7,6.256,9
2iwx,-7.951,-158.707,72.994,0,5.864,6.68
1vso,-6.675,-127.885,61.377,7,5.778,4.72
4de2,-6.471,-122.988,67.710,6,5.778,4.12
4tmn,-9.257,-252.809,130.168,16,6.225,10.17
1mq6,-9.800,-236.603,94.465,10,6.342,11.15
3gy4,-6.222,-106.014,32.923,1,4.913,5.1
3b68,-10.902,-298.979,136.373,10,6.092,8.4
3fcq,-5.270,-86.621,59.691,3,5.268,2.77
4gid,-12.480,-383.081,186.001,19,6.502,10.77
3ebp,-8.823,-193.498,85.412,2,5.997,5.91
3u9q,-6.527,-117.745,21.672,8,5.148,4.38
3e93,-13.350,-346.260,100.887,6,6.209,8.85
3k5v,-9.885,-226.183,67.182,6,5.925,6.3
2wbg,-10.020,-244.652,83.467,7,5.760,4.45
1z95,-11.318,-283.256,92.303,7,6.064,7.12
2fvd,-9.939,-236.445,89.982,6,6.089,8.52
3pxf,-7.523,-148.368,61.235,3,5.701,4.43
3cyx,-12.547,-366.328,161.835,16,6.509,8
3gnw,-10.474,-272.417,139.455,6,6.419,9.1
