name,total,SMoG2016_KBP2016,SMoG2016_LJP,SMoG2016_Rotor,SMoG2016_lnMass,affinity
3q5u,-5.589,-236.922,255.861,40,6.884,4.31
1o2s,-6.364,-146.352,122.157,2,5.542,5.47
3bze,-13.221,-457.682,225.670,40,6.956,6
1axz,-6.029,-99.579,43.630,1,5.193,3.2
2dua,-3.773,-35.655,27.460,1,4.500,4.77
1gzc,-6.670,-122.655,64.973,4,5.835,3.49
1obx,-6.927,-160.774,91.033,16,6.147,5.72
1z3v,-8.349,-189.469,91.750,4,5.835,4.11
2avv,-13.099,-371.554,142.888,14,6.421,9.26
4e81,-7.750,-252.023,180.372,34,6.908,5.24
3lqj,-9.488,-291.488,151.486,31,6.619,5.37
2rfy,-8.369,-196.622,103.924,4,5.835,5.22
2wk2,-12.103,-312.993,105.120,11,6.488,6.82
2v86,-8.984,-310.768,186.126,43,6.913,4.46
3eks,-10.994,-282.689,127.654,4,6.229,5.7
3nkx,-6.249,-229.039,206.085,40,6.969,5.12
4fbx,-7.347,-127.950,56.930,2,6.188,7.66
220l,-6.004,-101.099,17.209,0,4.357,3.4
3lqi,-7.715,-293.504,209.965,49,6.997,5.16
3dnj,-6.976,-156.001,87.186,11,5.903,6.82
1eix,-7.713,-181.701,114.128,4,5.829,11.06
3f9y,-12.510,-407.295,157.833,43,6.846,4.49
1ugw,-5.888,-98.153,49.222,1,5.193,3.09
3m6p,-7.828,-196.104,103.705,14,5.954,8.35
1z3t,-8.488,-185.983,77.129,4,5.835,3.94
4e0w,-6.904,-136.183,57.746,4,5.376,7.48
1b6m,-12.143,-333.885,134.317,12,6.393,8.4
3bzi,-6.888,-205.520,153.903,29,6.718,5.74
3dcs,-5.704,-73.392,21.442,2,5.468,7.94
2v7d,-4.482,-156.027,196.272,30,6.669,6.59
2yim,-10.619,-301.839,139.311,23,6.763,3.92
2wp1,-6.393,-180.872,118.871,34,6.717,3.6
1ws5,-6.083,-100.739,42.192,2,5.268,3.03
4auy,-7.326,-157.575,91.413,3,5.737,7.74
3iqj,-6.358,-201.465,168.647,32,6.770,4.93
4e3h,-5.911,-90.164,16.302,0,4.701,7.05
3lzv,-11.649,-305.287,102.602,13,6.305,10.59
4e49,-6.061,-94.981,16.553,0,4.701,5.11
1z1r,-11.667,-304.936,114.553,10,6.377,9.22
1db1,-13.752,-339.058,56.677,6,6.031,9.26
2wcg,-7.546,-158.802,74.621,0,5.324,6.38
1c2t,-9.353,-236.861,110.726,11,6.178,6.59
2y7k,-6.428,-118.375,44.540,1,4.927,4.93
3kyg,-5.213,-77.320,66.647,4,5.867,7.46
2er6,-13.059,-411.026,160.212,35,6.818,7.22
3d1e,-7.454,-211.138,134.766,25,6.453,5.77
1dqx,-7.808,-173.003,92.308,4,5.829,11.05
4b9w,-9.074,-241.289,100.840,23,6.384,4.17
1urg,-8.417,-185.278,79.970,4,5.835,5.82
2ieo,-11.568,-307.919,112.211,13,6.305,8.49
3tg5,-11.457,-380.651,172.740,42,6.837,4.7
3ebb,-5.667,-110.191,70.153,16,6.147,5.3
4av0,-7.435,-166.166,99.343,4,5.781,6.98
3iqg,-6.727,-189.309,155.305,18,6.303,4.6
2e7l,-17.128,-610.628,294.553,37,6.969,7.54
2rk7,-4.648,-58.395,19.814,1,4.522,4.05
3lil,-11.794,-308.085,87.741,17,6.370,8.08
3omg,-3.030,-133.600,229.313,31,6.517,4.72
2jdn,-5.682,-103.749,71.194,2,5.268,5.56
3lik,-11.656,-309.339,96.906,17,6.341,8.72
1apw,-8.142,-208.615,105.645,18,6.227,8
1ze8,-7.869,-145.680,33.455,4,5.724,7.68
3uvx,-7.172,-194.170,97.893,32,6.534,4.34
2h6q,-8.631,-264.483,144.140,34,6.711,5.11
2qt5,-6.558,-146.396,83.471,15,6.004,5.03
3eys,-10.779,-304.096,121.226,24,6.534,5.52
3lk1,-4.938,-54.286,16.305,1,5.037,4.26
1icj,-7.538,-173.869,42.780,25,6.026,2.22
3ds9,-9.177,-354.551,270.094,40,6.981,7.39
1i8i,-7.598,-293.587,246.886,40,6.945,7.66
1g3b,-6.662,-126.709,57.963,4,5.469,5.74
2nn8,-5.919,-105.859,77.438,4,5.835,3.59
2qo8,-7.389,-138.304,37.462,8,5.824,8.47
223l,-6.113,-103.235,14.837,0,4.357,3.4
3d3x,-6.866,-145.707,67.054,12,5.812,4.16
2cia,-7.740,-261.863,186.699,38,6.948,6.43
1sts,-7.855,-235.221,153.791,29,6.740,5
3ifo,-9.838,-307.381,166.097,30,6.662,7.26
3oys,-7.058,-131.028,47.638,5,5.670,8.05
2j9n,-5.944,-102.111,37.048,1,4.796,4.7
3d20,-11.835,-314.698,109.317,13,6.305,8.3
3o6m,-10.420,-337.774,168.354,40,7.033,7.48
1utc,-9.225,-292.060,183.243,29,6.818,4.55
1wei,-5.537,-73.232,14.918,0,4.906,9
3tei,-6.869,-191.743,184.161,8,6.227,6.3
2z8e,-6.360,-105.736,37.129,3,5.399,8
3pb3,-9.326,-212.818,72.451,7,5.954,6.22
1udt,-10.823,-253.198,69.603,7,6.174,9.3
1gz3,-8.688,-185.683,66.723,8,6.229,3.7
3dcw,-6.400,-102.251,34.618,3,5.553,9
3iqh,-7.262,-155.643,67.329,13,6.017,4.59
1bcj,-5.702,-94.166,53.923,3,5.399,3.7
2v83,-10.519,-402.083,249.584,49,7.010,4.47
1byk,-8.508,-227.927,155.769,6,6.045,5
2yiv,-5.114,-70.911,6.110,3,4.455,2.78
1oko,-5.268,-82.353,55.906,1,5.193,4.54
