name,vina_affinity,vina_gauss1,vina_gauss2,vina_repulsion,vina_hydrophobic,HB,rbond,affinity
1o2s,-6.75093,78.97517,981.72588,4.95275,8.06594,7.05038,5,5.47
1gi9,-5.26662,80.56877,1012.20788,5.38268,7.90560,4.78429,6,5.22
1axz,-4.62590,44.57003,640.10823,2.68918,0.00000,5.00923,6,3.2
1kll,-3.52205,55.67984,616.43871,2.03129,3.96125,1.80511,8,5.2
1yid,-4.58006,68.01330,1449.47579,8.39658,0.00000,7.27724,11,5
2adu,-4.84297,60.24844,756.67327,2.78536,31.97997,0.51480,1,7.74
2dua,-3.30645,32.18749,383.84168,2.80097,0.00000,4.64590,1,4.77
2fkf,-5.41451,44.39913,777.00558,3.67083,0.00000,8.46623,8,2.92
1vj9,-7.06766,112.79541,1796.72644,5.86125,14.08292,8.58897,18,7.55
1cim,-7.04351,56.77238,917.78520,3.28548,11.91002,5.89589,3,8.82
1gzc,-4.62861,58.98933,793.08404,2.46440,0.00000,4.55845,12,3.49
1n1t,-6.44018,72.62293,1063.72730,4.69324,6.79585,8.02108,9,3.85
2ff1,-8.74125,105.78690,1186.05728,4.17819,7.46416,6.64698,5,8.21
1qq9,-4.36662,53.11167,623.79685,2.85687,1.38693,4.70368,5,2.06
1obx,-4.80574,61.04475,1024.58370,2.43020,33.10997,3.69721,15,5.72
1ta2,-9.82116,120.18982,1617.92972,2.94070,70.16638,2.58593,8,8.52
1me8,-7.23692,83.10027,1252.33562,5.84716,0.00000,8.98611,7,7.19
1xbb,-6.63342,68.42843,1491.53258,3.08048,33.61010,1.07582,7,5.3
1qca,-6.89156,68.01295,1654.92723,6.79787,96.02449,1.86891,8,5.27
1rgl,-4.05209,68.62518,881.39928,5.47918,0.00000,5.05775,7,4.43
2c3j,-8.57949,74.17585,1117.44964,2.83283,24.00141,3.34557,1,6.18
1z3v,-7.06972,71.22526,1268.19011,2.47437,0.00000,5.74551,12,4.11
1af6,-5.85621,75.62296,1049.44059,5.99214,0.00000,9.99132,13,1.82
1vja,-6.93654,118.16449,1607.05603,6.91465,9.54502,9.17436,15,7.7
2avv,-9.75436,146.68332,2370.32497,6.83958,86.79045,4.14024,14,9.26
1meu,-10.94688,126.64932,2239.70348,3.91591,78.79518,5.27943,14,6.1
1cil,-7.15395,57.31289,990.72711,1.81260,14.25797,4.23959,4,9.43
1xzx,-8.56998,98.85704,1489.53060,3.49798,58.61724,2.14781,7,10.22
6tim,-3.30956,62.04320,639.07059,6.12095,0.00000,6.66033,6,3.21
2hh5,-8.80751,139.55477,1904.62406,4.69272,47.71011,4.20006,12,7.49
1rdi,-3.34447,25.84366,374.66934,3.75825,0.00000,7.05603,4,2.06
3pcb,-3.45907,48.67696,713.12602,4.71836,29.71967,2.16968,2,2.4
1w8l,-3.83623,36.26496,499.20146,1.61083,21.06631,1.00000,0,0.49
1qiw,-4.83167,76.76997,1501.16570,3.51160,67.12578,0.53983,19,7.74
1joc,-5.10153,56.13720,671.96092,4.58004,0.00000,8.99491,8,4.62
1q66,-7.40607,120.55366,1292.02587,6.82580,42.00875,4.91942,6,5.77
1owd,-7.74193,76.30284,1236.80858,3.73173,11.33234,6.20695,6,8.2
2bmz,-4.40188,53.67501,651.61972,2.61885,0.00000,5.33623,10,3.7
1imx,-2.80065,34.76798,885.53048,0.22189,42.42546,0.47914,34,3.52
1vkj,-9.10379,118.11084,1631.11523,7.36329,0.00000,10.90284,8,4.85
1hqg,-3.53519,29.27978,551.02276,1.53844,1.36095,3.29351,6,3
1rzx,-5.12126,94.39488,1393.94106,4.52803,46.35312,7.22640,26,4.1
1f9g,-2.66377,26.25376,428.73902,0.14850,0.00000,0.31259,5,1.28
1hp0,-7.87153,97.54224,1339.55414,5.36307,8.28074,6.07243,6,6.7
2gh7,-8.52775,90.75617,1172.00228,3.64435,31.96490,6.28354,5,13
1x9d,-6.82728,82.62084,1342.30271,6.49362,0.00000,9.88291,12,3.96
1w6y,-7.29686,46.82511,1046.26336,2.82139,47.18007,2.00000,1,5.36
1rdn,-3.51950,28.71646,497.55737,3.49709,1.13763,6.22299,6,1.84
8abp,-6.87769,62.23501,882.72222,4.42206,0.00000,8.91354,6,8
1y2g,-6.11413,49.15438,813.07474,0.45838,46.52483,0.00000,3,4.08
