name,proximity_2_A_HD,proximity_2_C_HD,proximity_2_C_OA,proximity_2_C_SA,proximity_2_FE_HD,proximity_2_HD_HD,proximity_2_HD_MG,proximity_2_HD_N,proximity_2_HD_NA,proximity_2_HD_OA,proximity_2_HD_ZN,proximity_2_MG_OA,proximity_2_NA_ZN,proximity_2_OA_ZN,proximity_4_A_A,proximity_4_A_BR,proximity_4_A_C,proximity_4_A_CL,proximity_4_A_F,proximity_4_A_FE,proximity_4_A_HD,proximity_4_A_I,proximity_4_A_N,proximity_4_A_NA,proximity_4_A_OA,proximity_4_A_P,proximity_4_A_S,proximity_4_A_SA,proximity_4_A_ZN,proximity_4_BR_C,proximity_4_BR_HD,proximity_4_BR_N,proximity_4_BR_OA,proximity_4_C_C,proximity_4_C_CL,proximity_4_C_F,proximity_4_C_FE,proximity_4_C_HD,proximity_4_C_I,proximity_4_CL_HD,proximity_4_CL_N,proximity_4_CL_OA,proximity_4_CL_SA,proximity_4_C_MG,proximity_4_C_MN,proximity_4_C_N,proximity_4_C_NA,proximity_4_C_OA,proximity_4_C_P,proximity_4_C_S,proximity_4_C_SA,proximity_4_C_ZN,proximity_4_FE_HD,proximity_4_FE_N,proximity_4_FE_OA,proximity_4_F_HD,proximity_4_F_N,proximity_4_F_OA,proximity_4_F_SA,proximity_4_HD_HD,proximity_4_HD_I,proximity_4_HD_MG,proximity_4_HD_MN,proximity_4_HD_N,proximity_4_HD_NA,proximity_4_HD_OA,proximity_4_HD_P,proximity_4_HD_S,proximity_4_HD_SA,proximity_4_HD_ZN,proximity_4_I_N,proximity_4_I_OA,proximity_4_MG_NA,proximity_4_MG_OA,proximity_4_MG_P,proximity_4_MN_N,proximity_4_MN_OA,proximity_4_MN_P,proximity_4_NA_OA,proximity_4_NA_SA,proximity_4_NA_ZN,proximity_4_N_N,proximity_4_N_NA,proximity_4_N_OA,proximity_4_N_P,proximity_4_N_S,proximity_4_N_SA,proximity_4_N_ZN,proximity_4_OA_OA,proximity_4_OA_P,proximity_4_OA_S,proximity_4_OA_SA,proximity_4_OA_ZN,proximity_4_P_ZN,proximity_4_SA_SA,proximity_4_SA_ZN,proximity_4_S_ZN,charge_A_A,charge_A_BR,charge_A_C,charge_A_CL,charge_A_F,charge_A_FE,charge_A_HD,charge_A_I,charge_A_N,charge_A_NA,charge_A_OA,charge_A_P,charge_A_S,charge_A_SA,charge_A_ZN,charge_BR_C,charge_BR_HD,charge_BR_N,charge_BR_OA,charge_C_C,charge_C_CL,charge_C_F,charge_C_FE,charge_C_HD,charge_C_I,charge_CL_HD,charge_CL_N,charge_CL_OA,charge_CL_SA,charge_C_MG,charge_C_MN,charge_C_N,charge_C_NA,charge_C_OA,charge_C_P,charge_C_S,charge_C_SA,charge_C_ZN,charge_FE_HD,charge_FE_N,charge_FE_OA,charge_F_HD,charge_F_N,charge_F_OA,charge_F_SA,charge_HD_HD,charge_HD_I,charge_HD_MG,charge_HD_MN,charge_HD_N,charge_HD_NA,charge_HD_OA,charge_HD_P,charge_HD_S,charge_HD_SA,charge_HD_ZN,charge_I_N,charge_I_OA,charge_MG_NA,charge_MG_OA,charge_MG_P,charge_MN_N,charge_MN_OA,charge_MN_P,charge_NA_OA,charge_NA_SA,charge_NA_ZN,charge_N_N,charge_N_NA,charge_N_OA,charge_N_P,charge_N_S,charge_N_SA,charge_N_ZN,charge_OA_OA,charge_OA_P,charge_OA_S,charge_OA_SA,charge_OA_ZN,charge_P_ZN,charge_SA_SA,charge_SA_ZN,charge_S_ZN,lig_A,lig_BR,lig_C,lig_CL,lig_F,lig_HD,lig_I,lig_N,lig_NA,lig_OA,lig_P,lig_S,lig_SA,entropy_count,affinity
1h23,0,0,0,0,0,0,0,0,0,2,0,0,0,0,7,0,38,0,0,0,10,0,8,0,8,0,0,0,0,0,0,0,0,3,0,0,0,14,0,0,0,0,0,0,0,4,0,17,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,7,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,0,0,0,0,1,0,0,0,0,0,0,0,0,4.59983236324605e-05,0,0.06284219897161057,0,0,0,0.07095254462180528,0,-0.08699605435486114,0,-0.04809527587341775,0,0,0,0,0,0,0,0,0.0030657753490053933,0,0,0,0.07344815619603877,0,0,0,0,0,0,0,-0.05456085154928514,0,-0.13488560115991052,0,0,0,0,0,0,0,0,0,0,0,0.05747955934217133,0,0,0,-0.12044409038949716,0,-0.20518538862250044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03153664412890237,0,0.1520723304486276,0,0,0,0,0.036308665173639204,0,0,0,0,0,0,0,0,10,0,20,0,0,6,0,4,0,2,0,0,0,15,8.35
3b1m,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,6,0,0,0,4,0,0,5,0,0,0,0,0,15,0,0,0,7,0,0,0,0,0,0,0,3,0,14,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0.006534913045000463,0,0,0,-0.0029996765771003685,0,0,0,-0.005007401070159644,0,0,-0.002640303390712373,0,0,0,0,0,0.026059201786814694,0,0,0,0.02125086943419822,0,0,0,0,0,0,0,-0.020386305242723335,0,-0.062059297658612025,0,0,-0.019995108513612726,0,0,0,0,0,0,0,0,0.004608786446987891,0,0,0,0,0,-0.01309961661626994,0,0,-0.011239481227320228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01793144311062228,0,0.02348880790246428,0,0,0.01825231519947546,0,0,0,0,0,16,0,14,0,0,2,0,1,0,7,0,0,0,7,8.48
4jxs,0,0,0,0,0,0,0,0,0,5,0,0,0,0,3,0,9,0,0,0,13,0,4,0,3,0,0,0,0,0,0,0,0,3,0,0,0,9,0,0,0,0,0,0,0,2,1,23,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,3,16,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,11,0,1,0,0,9,0,1,0,0,0,0,0,0,0.0002510457755545291,0,0.0013457938527387133,0,0,0,0.04184028194651228,0,-0.009916907644955713,0,-0.020114274894932307,0,0,0,0,0,0,0,0,0.022476646582414904,0,0,0,0.10159766243456414,0,0,0,0,0,0,0,-0.042287423264034785,-0.013199239489147856,-0.5970796395899156,0,0,0,0,0,0,0,0,0,0,0,0.024320856201762945,0,0,0,-0.025273026263058433,-0.029993709446119808,-0.639063554496664,0,0.04294086317633037,0,0,0,0,0,0,0,0,0,0,0.02087533682246775,0,0,0,0,0.5030169970465171,0,-0.02360493138954879,0,0,0.408570596678764,0,-0.027079437058794117,0,0,0,0,0,0,10,0,3,0,0,1,0,0,1,6,0,1,1,6,4.74
2pog,0,0,0,0,0,0,0,0,1,2,0,0,0,0,4,0,10,0,0,0,7,0,1,2,7,0,0,0,0,0,0,0,0,3,0,0,0,5,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,3,0,0,1,0,0,0,0,0,0.0018901670717230451,0,0.0033592248562415565,0,0,0,0.039958538510253896,0,-0.004206936492285372,-0.007678727546644171,-0.0530477359902438,0,0,0,0,0,0,0,0,4.593541857364286e-05,0,0,0,0.0691773802717679,0,0,0,0,0,0,0,0,0,-0.0897278901197604,0,0,0,0,0,0,0,0,0,0,0,0.04089118052362971,0,0,0,-0.03971370304931961,-0.030289753223087277,-0.20920920044326013,0,0,-0.009914196455577126,0,0,0,0,0,0,0,0,0,0.03296557758986458,0,0,0,0,0.029968858639041973,0,0,0,0,0.1912566092356633,0,0,0.01679330386409671,0,0,0,0,0,12,0,6,0,0,2,0,0,0,3,0,0,0,3,9.54
1bcu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,6,0,5,0,10,0,0,1,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0217434628488656,0,0,0,0.008023210870083331,0,-0.015905187461609682,0,-0.032565856758664836,0,0,-0.001414945838020691,0,0,0,0,0,0,0,0,0,0.06657735579125329,0,0,0,0,0,0,0,-0.04913640275608823,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03088824050827988,0,0,0,-0.06536919262962149,0,-0.19364548202587512,0,0,-0.005626494438472366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3134487400711274,0,0,0.009714854237679059,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,5,0,3,0,0,0,0,0,1,3.28
3d6q,0,0,0,0,0,0,0,0,0,2,0,0,0,0,3,0,2,0,0,0,5,0,3,0,7,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,2,0,9,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,5,1,11,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,6,0,0,0,0,7,0,0,0,0,0,0,0,0,0.0011338882720813514,0,0.01573738571788166,0,0,0,0.0376035052700177,0,-0.030545606150394713,0,-0.10927598205101724,0,0,0,0,0,0,0,0,0,0,0,0,0.07665697447850614,0,0,0,0,0,0,0,-0.011973388810079066,0,-0.13904172860058361,0,0,0,0,0,0,0,0,0,0,0,0.122153409676666,0,0,0,-0.07319648612814363,-0.01837682607970696,-0.3094343518800607,0,0,0,0,0,0,0,0,0,0,0,0,0.029011622764748706,0,0,0.023880291058820183,0,0.14132979995308462,0,0,0,0,0.1726229545313865,0,0,0,0,0,0,0,0,4,0,10,0,0,4,0,3,0,5,0,0,0,5,3.76
3twp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,4,0,1,0,4,0,0,0,0,0,0,0,0,2,0,0,0,3,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003979075053995774,0,0,0,0.007937724367463468,0,-9.57852674340536e-05,0,-0.003527868697808659,0,0,0,0,0,0,0,0,0.0034277637272940964,0,0,0,0.023100067639778576,0,0,0,0,0,0,0,-0.02148395424516698,0,-0.018115340423868427,0,0,0,0,0,0,0,0,0,0,0,0.03575331299431278,0,0,0,-0.03469328692473062,0,-0.24538199144414238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.22385448328329077,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,1,0,0,1,0,0,0,3,0,0,0,2,3.92
3myg,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,19,0,0,0,9,0,7,1,8,0,0,0,0,0,0,0,0,5,0,0,0,19,0,0,0,0,0,0,0,11,10,5,0,0,1,0,0,0,0,0,0,0,0,6,0,0,0,7,5,3,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0015805087225325529,0,0.0227298166411345,0,0,0,0.03904824771238106,0,-0.044422842934942995,-0.0006064705094881452,-0.08142478971177228,0,0,0,0,0,0,0,0,0.01960788322043839,0,0,0,0.13617608147729027,0,0,0,0,0,0,0,-0.07356831369118902,-0.06441377814328997,-0.039511417171454385,0,0,0.001723525597520493,0,0,0,0,0,0,0,0,0.06766045540800028,0,0,0,-0.08977347439945998,-0.06739866651203683,-0.12081963744127239,0,0,0.0015724392690523706,0,0,0,0,0,0,0,0,0,0.06140239258876683,0,0,0,0.04229718987086302,0.08566439055568739,0,0,-0.0017088902222887868,0,0,0,0,0,0,0,0,0,0,12,0,8,0,0,4,0,4,4,1,0,0,1,9,10.7
3coy,0,0,0,0,0,2,0,0,1,5,0,0,0,0,0,0,12,0,0,0,6,0,2,1,9,0,0,0,0,0,0,0,0,10,0,0,0,42,0,0,0,0,0,0,0,15,13,24,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,16,3,23,0,2,0,0,0,0,0,0,0,0,0,0,3,0,0,3,3,11,0,2,0,0,5,0,0,0,0,0,0,0,0,0,0,0.06236675875876525,0,0,0,0.03948981819413323,0,-0.0369068020790548,-0.01423111264187858,-0.09508838852255641,0,0,0,0,0,0,0,0,0.03211251302630145,0,0,0,0.3492156897869642,0,0,0,0,0,0,0,-0.18478747352704755,-0.07593361877314693,-0.29497345571796924,0,0,0,0,0,0,0,0,0,0,0,0.23167359658828804,0,0,0,-0.3271905749450371,-0.04496218044316177,-0.5773764358650404,0,0.04192521321124038,0,0,0,0,0,0,0,0,0,0,0.04992936033544845,0,0,0.07927577231861589,0.05797189605621074,0.3376276594254908,0,-0.07027194580757981,0,0,0.1766647032008054,0,0,0,0,0,0,0,0,5,0,11,0,0,7,0,3,4,7,0,1,0,11,6.02
4qac,0,0,0,0,0,0,0,0,0,2,0,0,0,0,23,0,13,0,0,0,9,0,10,7,11,0,0,0,0,0,0,0,0,2,0,9,0,7,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,2,1,1,1,1,0,0,0,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005161219666532337,0,-0.0010010888665829033,0,0,0,0.009776402221903402,0,-0.021825255827596816,-0.0027326953090167196,-0.18943038976383023,0,0,0,0,0,0,0,0,0.0024478577176429302,0,-0.024116351344479602,0,0.06384738143587732,0,0,0,0,0,0,0,-0.030734439673079445,-0.006988797011021131,0,0,0,0,0,0,0,0,-0.01546634303953762,0.016333010713307214,0.012449724321019352,0.0074802454790653915,0.015460261213574234,0,0,0,-0.03257866188277899,-0.0024896016488330287,-0.11147072361925549,0,0,0,0,0,0,0,0,0,0,0,0,0.014966310846964072,0,0,0,0,0.06969288045817934,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,7,0,3,2,0,2,2,0,0,0,0,4,9.4
