name,Gold.ASP.Fitness,Gold.ASP.ASP,Gold.ASP.Map,Gold.ASP.DEClash,Gold.ASP.DEInternal,affinity
4u4s,18.0254,18.8840,-94.4200,0.6406,0.2180,2.92
3e93,43.1696,47.4680,-237.3400,0.6644,3.6340,8.85
1owh,40.0186,42.3720,-211.8600,0.0111,2.3423,7.4
3rr4,43.3909,43.6900,-218.4500,0.2987,0.0004,4.55
3jya,28.4829,28.5640,-142.8200,0.0811,0.0000,6.89
4k18,31.4830,38.3580,-191.7900,3.8774,2.9976,8.96
2qbp,36.6199,43.5640,-217.8200,2.8887,4.0554,8.4
4gfm,21.3430,24.0460,-120.2300,0.0785,2.6245,7.22
4owm,17.2711,18.8380,-94.1900,1.4190,0.1479,2.96
3gv9,14.1419,18.9720,-94.8600,2.0623,2.7678,2.12
2wnc,37.7831,38.7100,-193.5500,0.5844,0.3425,6.32
2xii,47.6007,51.1360,-255.6800,2.8899,0.6454,7.2
3gc5,50.8759,52.6120,-263.0600,1.3204,0.4157,7.26
3fcq,12.4532,23.6380,-118.1900,6.9424,4.2424,2.77
3pyy,33.1706,36.0700,-180.3500,1.4477,1.4517,6.86
3prs,52.7618,61.1840,-305.9200,4.5324,3.8898,7.82
2xbv,57.2866,65.0360,-325.1800,0.4120,7.3374,8.43
3nx7,31.5089,40.7720,-203.8600,6.1985,3.0645,8.1
4j28,40.7972,41.7140,-208.5700,0.8987,0.0181,5.7
2x00,52.8825,53.4220,-267.1100,0.4936,0.0459,11.33
3dx1,32.9925,36.8680,-184.3400,3.8755,0.0000,3.58
4ivd,31.6115,33.5160,-167.5800,1.0801,0.8244,9.52
3mss,21.3529,22.2420,-111.2100,0.0000,0.8891,4.66
4abg,16.3110,17.2000,-86.0000,0.1600,0.7289,3.57
3f3d,17.8234,20.2640,-101.3200,1.8278,0.6128,7.16
2j7h,40.5167,40.6520,-203.2600,0.1219,0.0134,7.19
1o3f,38.8694,44.7780,-223.8900,2.0585,3.8501,7.96
3kgp,12.5607,13.6100,-68.0500,0.7197,0.3296,2.57
2yki,61.6702,67.5220,-337.6100,3.2900,2.5619,9.46
3ui7,40.9486,43.0580,-215.2900,1.7410,0.3684,9
2xdl,18.9549,21.0860,-105.4300,0.0354,2.0957,3.1
2zda,55.5237,59.5360,-297.6800,1.3217,2.6905,8.4
1ydt,29.4167,36.3200,-181.6000,1.7317,5.1715,7.32
2weg,26.0140,30.1280,-150.6400,1.0761,3.0379,6.5
3uuo,36.2462,38.0000,-190.0000,0.0000,1.7538,7.96
4kz6,17.4223,18.2700,-91.3500,0.2465,0.6012,3.1
4bkt,33.5868,35.7260,-178.6300,0.0000,2.1392,3.62
1syi,41.7959,45.7720,-228.8600,3.5872,0.3889,5.44
3fv2,41.2190,45.4900,-227.4500,1.7356,2.5354,8.11
4msc,40.4558,41.4800,-207.4000,0.1293,0.8949,5.96
2cet,55.6580,59.5220,-297.6100,2.1306,1.7334,8.02
3f3e,20.6668,22.4420,-112.2100,1.7434,0.0318,7.7
3dd0,28.9299,31.6680,-158.3400,1.3031,1.4351,9
3pww,54.2622,60.4620,-302.3100,0.5539,5.6459,7.32
2iwx,23.5498,23.8240,-119.1200,0.2742,0.0000,6.68
3p5o,35.6267,38.3040,-191.5200,0.0811,2.5962,7.26
3g2n,30.1253,31.0400,-155.2000,-0.0000,0.9147,4.09
2wer,24.1170,25.4240,-127.1200,1.3070,0.0000,7.05
1bzc,47.0935,57.2360,-286.1800,7.6096,2.5330,4.92
4m0z,49.7136,56.2080,-281.0400,2.4272,4.0672,5.19
1sqa,46.3623,48.7480,-243.7400,0.9288,1.4570,9.21
3g2z,13.3284,14.7420,-73.7100,0.0060,1.4076,2.36
4gr0,59.8891,68.6180,-343.0900,3.3420,5.3869,9.55
3o9i,44.4926,50.2680,-251.3400,1.8355,3.9399,11.82
1q8u,24.8176,28.9860,-144.9300,0.6425,3.5259,5.96
4dli,42.4882,42.8940,-214.4700,0.0497,0.3561,5.62
3myg,29.3599,36.9060,-184.5300,3.0739,4.4722,10.7
1eby,62.4781,67.2080,-336.0400,1.7598,2.9702,9.7
1p1n,27.4930,29.4640,-147.3200,0.9740,0.9969,6.8
4ea2,18.9289,29.1180,-145.5900,0.0000,10.1891,6.44
3nw9,64.7043,69.3460,-346.7300,1.9491,2.6926,9
1oyt,54.7402,56.9420,-284.7100,0.9381,1.2637,7.24
4pcs,36.5861,36.9360,-184.6800,0.3499,0.0000,7.85
3d6q,19.9345,21.9320,-109.6600,0.0004,1.9970,3.76
3ejr,47.7126,53.2460,-266.2300,4.8228,0.7106,8.57
1uto,9.8040,11.3300,-56.6500,1.5084,0.0177,2.27
5tmn,43.6252,49.4560,-247.2800,2.7341,3.0967,8.04
3gr2,13.5565,15.4380,-77.1900,0.0270,1.8545,2.52
3e92,39.1669,43.1040,-215.5200,1.2126,2.7245,8
3jvs,30.0229,37.6520,-188.2600,2.6872,4.9419,6.54
1r5y,37.1254,39.6240,-198.1200,2.4986,0.0000,6.46
2vkm,63.3540,75.6380,-378.1900,7.6168,4.6672,8.74
1z9g,23.7972,32.1580,-160.7900,6.9306,1.4303,5.64
2j78,34.9300,43.4740,-217.3700,8.5334,0.0106,6.42
3zsx,25.1898,33.8980,-169.4900,0.6373,8.0709,3.28
3dx2,40.1536,43.6120,-218.0600,3.0156,0.4429,6.82
2v7a,31.4783,36.4980,-182.4900,1.3704,3.6493,8.3
3n76,46.8590,47.9620,-239.8100,0.4488,0.6543,6.85
3kr8,47.7891,48.6620,-243.3100,0.5494,0.3235,8.1
4ddh,25.8240,26.4440,-132.2200,0.2352,0.3847,3.3
4eo8,20.7905,25.1100,-125.5500,0.0015,4.3180,8.15
2zy1,32.6576,35.0720,-175.3600,0.1334,2.2810,7.4
4j21,44.5400,45.6140,-228.0700,0.0859,0.9881,7.41
3bgz,30.5220,31.8120,-159.0600,0.0021,1.2878,6.26
3cyx,51.8949,57.8340,-289.1700,1.7728,4.1662,8
1ydr,25.5936,30.7840,-153.9200,1.9110,3.2794,5.52
4ih7,23.4668,26.3320,-131.6600,0.0015,2.8637,5.24
4mgd,29.7351,33.5060,-167.5300,1.1019,2.6691,4.69
3aru,33.1725,33.7560,-168.7800,0.0727,0.5108,3.22
4kzu,44.3179,45.4840,-227.4200,1.1274,0.0387,6.5
2pog,34.9306,35.9140,-179.5700,0.8674,0.1160,9.54
2ymd,33.5063,33.7840,-168.9200,0.2676,0.0101,3.16
3e5a,37.7454,41.4820,-207.4100,0.0482,3.6884,8.23
3fv1,45.3292,49.0980,-245.4900,0.6771,3.0917,9.3
3zso,31.6847,40.5860,-202.9300,0.1015,8.7999,5.12
3wtj,39.0935,40.6140,-203.0700,1.3816,0.1388,6.53
3cj4,25.5634,28.7060,-143.5300,0.0512,3.0914,6.51
