name,Gold.ASP.Fitness,Gold.ASP.ASP,Gold.ASP.Map,Gold.ASP.DEClash,Gold.ASP.DEInternal,affinity
3fk1,23.0272,28.8940,-144.4700,5.3384,0.5284,2.62
4a7i,37.3088,42.7780,-213.8900,3.6178,1.8514,8.7
2x8z,33.0368,36.4820,-182.4100,0.8709,2.5743,7.96
5bwc,42.4799,46.5840,-232.9200,1.1678,2.9363,7.21
4ymq,43.5508,56.8260,-284.1300,0.2504,13.0248,5.8
4qy3,15.8237,16.1820,-80.9100,0.2047,0.1535,6.82
3p3r,23.7779,27.1600,-135.8000,1.1104,2.2716,7.25
3f8c,57.8547,58.5920,-292.9600,0.5145,0.2228,7.68
1uv6,23.9385,26.6420,-133.2100,2.2280,0.4755,5.12
1yvm,31.9424,34.8600,-174.3000,2.8521,0.0655,6.4
2yay,80.2854,89.2720,-446.3600,3.2997,5.6869,6.1
4ual,31.8043,36.9380,-184.6900,2.1364,2.9973,8.4
3gcu,49.9516,53.9580,-269.7900,0.3574,3.6490,6.78
4b6s,47.3003,50.7240,-253.6200,1.6182,1.8055,6.01
1fzm,76.5214,85.3500,-426.7500,1.5933,7.2353,7.7
2p3i,23.8239,25.9220,-129.6100,0.0000,2.0981,3.48
3ibn,31.4766,33.8360,-169.1800,1.6723,0.6872,7.61
1tni,8.6613,13.0620,-65.3100,3.4910,0.9098,4
4hym,25.3226,30.6980,-153.4900,3.5015,1.8739,8.22
2wos,21.8493,24.8620,-124.3100,0.7927,2.2200,3.9
3s72,27.4974,30.1040,-150.5200,1.5135,1.0931,6.4
3mzc,24.8682,31.7220,-158.6100,4.4167,2.4371,6.65
4c1u,61.6573,63.8020,-319.0100,1.1005,1.0442,7.09
3e85,16.4367,25.0180,-125.0900,8.4621,0.1192,5.38
4few,32.8363,34.7360,-173.6800,0.4435,1.4561,5.21
4bb9,35.1269,36.9100,-184.5500,1.5810,0.2020,6
4mr3,26.3233,27.7640,-138.8200,1.0534,0.3873,5.94
3pe2,40.0365,40.3300,-201.6500,0.0544,0.2391,9.76
1hvl,58.2662,64.5720,-322.8600,3.0207,3.2851,9.95
3eb1,12.2917,18.1760,-90.8800,2.1252,3.7590,4.79
4o61,16.6452,22.8140,-114.0700,3.9047,2.2641,4.3
4qnb,33.3606,38.1820,-190.9100,1.5054,3.3160,6.59
2vo4,10.7110,12.4120,-62.0600,1.5958,0.1052,4.94
3l3n,50.1154,63.9820,-319.9100,6.7609,7.1057,8.18
3mxe,38.9827,51.5300,-257.6500,1.9815,10.5658,10.01
2x2r,28.5976,31.9240,-159.6200,0.3559,2.9705,7.12
1jev,70.6369,77.5300,-387.6500,3.6979,3.1951,6.89
3fas,25.7392,27.0440,-135.2200,0.6820,0.6228,6.77
4zzz,38.7313,40.3460,-201.7300,-0.0000,1.6147,7.06
4k3n,26.5408,32.9740,-164.8700,5.5262,0.9070,7.96
4zwx,28.8100,34.3320,-171.6600,2.3124,3.2096,8.7
4z2b,53.7267,56.6300,-283.1500,0.6139,2.2894,7.76
1bcd,22.1676,22.3740,-111.8700,0.1334,0.0730,8.7
2baj,33.6919,41.5020,-207.5100,2.7638,5.0463,8.4
2pcp,34.9496,40.1680,-200.8400,3.9511,1.2673,8.7
1iy7,37.3709,40.5340,-202.6700,1.0819,2.0812,6.19
1l83,13.3480,13.3480,-66.7400,0.0000,0.0000,3.4
4jyc,51.4822,53.6640,-268.3200,0.0391,2.1427,6.7
4na9,44.2410,49.3420,-246.7100,0.5608,4.5403,7.39
4zj6,38.5371,43.6020,-218.0100,2.4283,2.6366,8.52
3h8b,38.6754,48.4580,-242.2900,2.9732,6.8094,6.29
3mxd,44.6646,53.1540,-265.7700,3.2681,5.2213,8.83
2sim,35.6518,39.3580,-196.7900,1.7339,1.9723,3.42
2qft,27.1466,31.7960,-158.9800,4.0865,0.5629,5.26
4nze,21.6155,33.2640,-166.3200,1.4421,10.2064,6.8
4z84,31.8992,38.1640,-190.8200,5.4715,0.7933,5.82
4non,44.5333,46.9300,-234.6500,0.9734,1.4233,5.24
1n51,48.7542,61.7560,-308.7800,7.1630,5.8388,4.85
3gx0,34.8812,42.9200,-214.6000,0.5547,7.4842,3.48
2j95,31.5556,36.8280,-184.1400,2.1358,3.1366,8.4
3ujd,30.3993,32.1260,-160.6300,0.4413,1.2854,4.69
