name,GBVIWSA_dG,coul,sol,vdw,sa,affinity
3q5u,-8.7418,-14.1365,12.5059,-3.57772,-1.44095,4.31
1o2s,-3.95004,-6.98525,5.70566,0.271412,-0.849355,5.47
3bze,-14.3443,-15.0383,13.5545,-7.20903,-3.5589,6
1axz,-4.9766,0.886187,-1.48033,-1.56044,-0.72951,3.2
2dua,-7.50603,-22.1429,17.6982,-0.443535,-0.525305,4.77
1gzc,-5.88305,2.03267,-2.69696,-2.18384,-0.942408,3.49
1obx,-6.3895,-17.9732,17.2189,-2.57544,-0.967169,5.72
1z3v,-6.8404,-2.67911,1.89676,-3.25792,-0.70758,4.11
2avv,-9.11968,-7.71767,7.93963,-4.12005,-3.12908,9.26
4e81,-8.9655,-7.63337,7.44036,-5.15407,-1.52592,5.24
3lqj,-9.75505,-24.3412,23.4424,-5.12298,-1.64079,5.37
2rfy,-5.96892,-6.34505,6.34553,-2.99612,-0.880778,5.22
2wk2,-10.5219,-12.8038,12.1595,-5.63102,-2.15399,6.82
2v86,-11.2515,-9.77519,8.68811,-5.97648,-2.09539,4.46
3eks,-8.27182,-4.2718,4.21506,-4.09043,-2.03214,5.7
3nkx,-13.1182,-12.3444,10.7591,-6.69578,-2.7446,5.12
4fbx,-5.60523,0.363387,-0.0663404,-2.49923,-1.31053,7.66
220l,-3.27749,0.753057,-0.618647,-0.660548,-0.658837,3.4
3lqi,-22.8477,-89.2433,68.5953,0.333765,-0.441003,5.16
3dnj,-7.39984,-7.17167,6.32006,-3.0365,-1.41922,6.82
1eix,-6.92405,-29.1202,26.693,-0.282292,-2.12212,11.06
3f9y,-7.89089,-9.25437,8.74821,-4.32438,-0.967845,4.49
1ugw,-5.75379,-5.11357,4.17,-1.86517,-0.852539,3.09
3m6p,-9.87601,-7.42567,3.92985,-2.03385,-2.25384,8.35
1z3t,-7.02898,-3.80186,2.73682,-3.0299,-0.841534,3.94
4e0w,-7.07137,-14.8386,13.0734,-1.93255,-1.28106,7.48
1b6m,-11.7775,-8.70517,7.42768,-6.00201,-2.40546,8.4
3bzi,-9.80304,-28.3655,26.1902,-3.83209,-1.70321,5.74
3dcs,-7.54694,-3.88857,1.8122,-2.41285,-0.965212,7.94
2v7d,-11.8806,-9.27329,7.5581,-4.93328,-3.13961,6.59
2yim,-14.1486,-35.8251,34.385,-8.02343,-2.59253,3.92
2wp1,-6.84852,0.400395,-0.523002,-3.58179,-1.05161,3.6
1ws5,-4.43247,-2.60948,2.93037,-1.90633,-0.754514,3.03
4auy,-6.70139,-5.04662,3.2402,-1.86095,-0.941519,7.74
3iqj,-10.3366,-26.0598,23.0442,-3.37942,-1.84913,4.93
4e3h,-4.08533,0.582383,-0.522015,-1.30712,-0.746069,7.05
3lzv,-10.7177,-4.75541,4.44287,-6.02394,-2.28875,10.59
4e49,-4.41706,-0.810132,0.77475,-1.4763,-0.812872,5.11
1z1r,-10.4289,-3.53344,3.29149,-5.78726,-2.30713,9.22
1db1,-10.6105,-3.00885,2.19368,-5.02121,-2.68156,9.26
2wcg,-5.28216,-7.87802,6.94077,-1.24634,-1.00606,6.38
1c2t,-6.43124,-15.5134,14.0316,-0.914587,-1.94239,6.59
2y7k,-5.6647,-11.5578,10.9546,-1.85669,-1.11232,4.93
3kyg,-5.20834,-9.91865,9.10426,-1.76447,-0.536959,7.46
2er6,-11.681,-26.3814,25.1195,-5.78637,-2.54015,7.22
3d1e,-7.48292,-5.36653,4.98653,-2.55088,-2.45953,5.77
1dqx,-7.06871,-27.0059,25.1393,-0.946381,-2.16322,11.05
4b9w,-9.45503,-2.59817,1.99929,-4.61347,-2.15017,4.17
1urg,-7.18389,-1.00405,0.124456,-3.05682,-1.15497,5.82
2ieo,-8.57617,-1.76019,1.57667,-3.97129,-2.32885,8.49
3tg5,-14.6457,-31.14,29.0469,-7.28582,-3.17432,4.7
3ebb,-5.49824,-11.1342,10.854,-2.18529,-0.940217,5.3
4av0,-6.42085,-6.54781,4.68706,-1.20047,-1.26712,6.98
3iqg,-4.82149,-12.5147,10.9077,0.325313,-1.44728,4.6
2e7l,-9.04116,-12.1138,11.2718,-4.66088,-1.44581,7.54
2rk7,-5.46217,-28.0472,24.8007,0.294548,-0.417669,4.05
3lil,-8.74607,1.62906,-2.14397,-4.19728,-1.94137,8.08
2jdn,-4.17162,-7.28751,3.29796,2.89991,-0.989464,5.56
3lik,-9.13146,-3.61353,3.12416,-4.39877,-2.15082,8.72
1apw,-9.28979,0.652495,-1.12969,-4.47006,-2.25003,8
1ze8,-4.67429,-3.55552,4.58285,-2.23247,-1.37664,7.68
3uvx,-8.5124,-1.76537,1.18167,-4.50257,-1.33363,4.34
2h6q,-10.6005,-16.1972,15.3605,-5.66689,-2.00435,5.11
2qt5,-7.93152,-27.3623,25.5014,-2.47821,-1.4999,5.03
3eys,-4.87819,-1.79102,1.28748,-1.9817,-0.300438,5.52
3lk1,-3.0591,-0.668667,0.79643,-0.833486,-0.260862,4.26
1icj,-6.62819,1.35402,-0.796962,-3.65061,-1.44213,2.22
3ds9,-13.2739,-28.746,25.2996,-5.21131,-2.52365,7.39
1i8i,-10.7429,-36.3778,34.5963,-4.35451,-2.51432,7.66
1g3b,-13.7124,-33.0321,24.251,-2.04481,-0.79392,5.74
2nn8,-5.46533,-5.00219,3.49503,-1.18656,-0.679084,3.59
2qo8,-4.25745,0.627062,0.699885,-2.43754,-1.05434,8.47
223l,-3.90039,0.287797,-0.1616,-1.34217,-0.591906,3.4
3d3x,-7.50023,-6.81203,5.27594,-2.38409,-1.48755,4.16
1sts,-8.17713,-5.27031,4.78119,-4.43589,-1.15961,5
3ifo,-10.7072,-12.1368,9.09303,-3.37812,-2.19271,7.26
3oys,-5.35235,-5.95362,5.75248,-2.17239,-0.886305,8.05
