name,TOTAL_SCORE,SCORE_RB_PEN,SCORE_NORM_HEVATOMS,SCORE_NORM_CRT_HEVATOMS,SCORE_NORM_WEIGHT,SCORE_NORM_CRT_WEIGHT,SCORE_RB_PEN_NORM_CRT_HEVATOMS,SCORE_NORM_CONTACT,PLPtotal,PLPparthbond,PLPpartsteric,PLPpartmetal,PLPpartrepulsive,PLPpartburpolar,LIG_NUM_CLASH,LIG_NUM_CONTACT,LIG_NUM_NO_CONTACT,CHEMpartmetal,CHEMparthbond,CHEMparthbondCHO,DON,ACC,UNUSED_DON,UNUSED_ACC,CHEMPLP_CLASH2,TRIPOS_TORS,affinity
1o2s,-79.32600000000001,-69.32600000000001,-4.17505,-29.7279,-0.310717,-12.5045,-25.9803,-3.30525,-49.2646,-5.98166,-34.7811,0.0,0.196479,0.0,2,17,0,0.0,-11.9239,0.0,7,3,1,3,0.0,0.503328,5.47
1gi9,-62.0581,-50.0581,-2.95515,-22.4936,-0.21749899999999997,-9.42652,-18.1441,-2.82082,-44.9005,-2.0614,-35.9135,0.0,0.283871,0.0,3,18,0,0.0,-1.05398,0.0,7,4,3,3,0.945449,0.681871,5.22
1axz,-59.7683,-47.7683,-4.98069,-26.1062,-0.331759,-10.5825,-20.8647,-4.26916,-29.8762,-6.0,-20.8928,0.0,0.0,0.0,0,12,0,0.0,-10.9744,0.0,5,6,3,4,0.0,0.07784719999999999,3.2
1kll,-57.5667,-43.5667,-2.5029,-20.2424,-0.178599,-8.39602,-15.3195,-2.30267,-31.5493,-2.0,-23.9504,0.0,0.0374434,0.0,1,22,0,0.0,-8.96655,0.0,10,4,8,4,0.0,0.651506,5.2
1yid,-68.8222,-48.8222,-2.22007,-21.9083,-0.13678099999999999,-8.65289,-15.5416,-2.0855200000000003,-24.2794,-8.58911,-24.7621,-2.0,1.20743,-0.00409217,8,23,0,-24.0,-15.3587,0.0,6,13,4,9,0.0,6.730980000000001,5
2adu,-55.4174,-53.4174,-4.618119999999999,-24.2058,-0.348117,-10.2252,-23.3322,-4.26288,-33.9021,-1.0,-35.3017,-3.01268,9.45917,0.0,4,8,0,0.0,-3.0,0.0,2,2,1,2,0.0,0.0112686,7.74
2dua,-64.2517,-62.2517,-10.7086,-35.3591,-0.729967,-14.4441,-34.2584,-10.7086,-8.33884,-6.08804,-6.39964,-2.0,2.65047,0.0,3,3,0,-24.0,-13.9137,0.0,0,4,0,1,0.0,0.347562,4.77
2fkf,-80.2892,-64.2892,-4.01446,-29.5788,-0.23889899999999997,-11.5481,-23.6843,-4.01446,-21.838,-10.7253,-7.246810000000001,0.0,0.367699,0.0,1,19,0,0.0,-41.6625,0.0,3,10,2,4,0.0,0.900028,2.92
1vj9,-97.8659,-61.8659,-2.44665,-28.6162,-0.171491,-11.7987,-18.0897,-2.08225,-77.0162,-10.9403,-60.7359,0.0,0.696876,-0.1,6,34,0,0.0,-21.6735,0.0,9,7,2,4,0.0,9.20305,7.55
1cim,-57.4237,-51.4237,-3.3778699999999997,-22.3327,-0.193753,-8.612789999999999,-19.9993,-3.19021,-29.1836,-3.80524,-27.1169,-2.0,2.6888099999999997,-0.1,5,12,0,-12.0,-4.33292,0.0,4,5,3,2,0.0,3.07904,8.82
1gzc,-58.9207,-34.9207,-2.56177,-20.7185,-0.17213399999999998,-8.423010000000001,-12.2793,-2.80575,-36.5225,-6.10731,-24.6182,0.0,0.00838947,0.0,1,18,4,0.0,-11.1655,0.0,8,11,6,9,0.0,3.66086,3.49
1n1t,-87.7913,-69.7913,-4.38957,-32.3426,-0.30246999999999996,-13.2595,-25.7113,-3.9905199999999996,-33.7674,-9.82019,-20.7293,0.0,0.316363,-0.00861545,3,17,0,0.0,-37.5463,0.0,5,8,3,5,0.0,1.1304,3.85
2ff1,-101.62299999999999,-91.6229,-5.34858,-38.0838,-0.38166500000000003,-15.7963,-34.3363,-4.619219999999999,-63.1879,-8.45867,-47.0476,-2.0,1.17949,0.0,4,15,0,-11.8887,-6.709239999999999,-2.64195,7,6,3,5,0.0,0.518556,8.21
1qq9,-52.2339,-42.2339,-5.80377,-25.1115,-0.350075,-9.84817,-20.304000000000002,-4.35283,-20.859,-4.0,-19.5426,-3.0,5.33331,0.0,3,6,0,-3.0403700000000002,-13.9206,0.0,3,2,0,1,0.0,2.18918,2.06
1obx,-62.4375,-32.4375,-1.8920400000000002,-19.4659,-0.134135,-8.056460000000001,-10.1129,-2.15302,-45.7517,-4.18023,-35.427,0.0,0.318943,0.0,0,29,4,0.0,-12.0,0.0,7,8,6,6,0.0,7.1186,5.72
1ta2,-114.914,-98.9137,-3.3798199999999996,-35.4715,-0.23101799999999997,-14.5032,-30.5326,-3.19205,-97.639,-2.93657,-88.2574,0.0,3.02536,0.0,2,32,0,0.0,-7.973889999999999,0.0,4,2,2,1,0.0,4.16637,8.52
1me8,-84.2889,-70.2889,-4.0137599999999996,-30.5514,-0.26162199999999997,-12.2953,-25.4769,-3.66474,-43.0024,-10.0798,-26.4398,0.0,0.33465,0.0,1,20,0,0.0,-26.1747,0.0,5,9,3,4,0.0,1.32125,7.19
1xbb,-73.1062,-59.1062,-1.97584,-21.9392,-0.147804,-9.2441,-17.7378,-1.92385,-56.1257,-1.2441200000000001,-52.2202,0.0,0.203282,0.0,4,32,1,0.0,-3.26558,-2.8147,6,4,4,3,0.0,3.9409300000000003,5.3
1qca,-62.7008,-46.7008,-1.69462,-18.8165,-0.12158699999999999,-7.81888,-14.0149,-1.65002,-56.2155,-1.39478,-51.5924,0.0,0.0,0.41245699999999996,7,30,0,0.0,-3.24852,0.0,2,5,1,5,3.3708199999999997,5.96868,5.27
1rgl,-37.9582,-25.9582,-1.58159,-13.1594,-0.10508499999999998,-5.32988,-8.99922,-1.58159,-12.9292,-3.06839,-17.7321,0.0,10.5419,-0.0651674,5,19,0,0.0,-13.923,0.0,6,9,6,7,0.0,3.4642,4.43
2c3j,-72.9575,-70.9575,-4.0532,-27.8385,-0.295059,-11.6238,-27.0754,-3.83987,-46.7604,-3.81175,-37.736,0.0,0.826001,-0.029524599999999998,2,16,0,0.0,-7.73653,0.0,6,3,5,1,0.0,0.0,6.18
1z3v,-67.656,-43.656000000000006,-2.94156,-23.7901,-0.197653,-9.67176,-15.3509,-2.819,-49.7266,-8.11753,-30.8792,0.0,0.225487,0.0,0,23,0,0.0,-7.89245,0.0,8,11,7,8,0.0,4.69418,4.11
1af6,-84.2529,-58.2529,-3.6631699999999996,-29.6262,-0.246141,-12.0444,-20.4837,-3.2405,-42.5977,-11.6047,-25.4088,0.0,0.08828960000000001,-0.028792599999999998,2,20,1,0.0,-27.6327,0.0,8,11,4,5,0.0,2.08138,1.82
1vja,-94.0458,-66.0458,-2.84987,-29.3203,-0.196525,-12.0235,-20.5908,-2.35115,-69.7009,-11.3228,-56.9619,0.0,0.689277,0.0,7,26,0,0.0,-24.4624,0.0,9,6,2,3,0.0,8.92563,7.7
2avv,-111.272,-83.272,-2.4727099999999997,-31.2835,-0.180991,-13.0861,-23.4114,-2.36749,-102.42299999999999,-3.7494699999999996,-95.7513,0.0,0.24440900000000002,0.0,6,39,0,0.0,-6.66621,0.0,7,5,4,3,0.0,7.318739999999999,9.26
1meu,-119.228,-91.2278,-2.8387599999999997,-34.3,-0.21039899999999997,-14.4079,-26.2448,-2.70972,-97.8604,-9.045910000000001,-81.5552,0.0,0.0869049,-0.0323496,2,40,0,0.0,-14.624,0.0,4,5,2,2,0.0,5.5675099999999995,6.1
1cil,-64.2671,-56.2671,-3.38248,-24.0845,-0.198094,-9.352960000000001,-21.0864,-3.38248,-36.6942,-3.32924,-28.9299,-1.32481,0.59159,-0.0564816,2,17,0,-12.0,-3.8710000000000004,0.0,3,5,3,2,0.0,3.38141,9.43
1xzx,-89.0952,-75.0952,-3.8737,-31.3289,-0.13686800000000002,-10.2802,-26.406,-3.8737,-73.8202,-2.56013,-67.2146,0.0,1.8532799999999998,-0.064725,1,22,0,0.0,-6.1209,0.0,4,4,4,2,0.0,4.74076,10.22
6tim,-51.6196,-39.6196,-5.16196,-23.9597,-0.303545,-9.317169999999999,-18.3898,-4.30163,-21.2018,-7.27735,-20.3022,0.0,0.111105,0.0,7,3,0,0.0,-20.4125,0.0,2,5,0,1,0.0,4.38811,3.21
2hh5,-79.3806,-55.3806,-2.0354,-23.4077,-0.138632,-9.55941,-16.3306,-1.89002,-72.057,-4.511769999999999,-81.7884,0.0,7.602639999999999,0.0,9,30,0,0.0,-9.727889999999999,0.0,3,6,0,4,0.0,9.84699,7.49
1rdi,-53.3467,-45.3467,-4.4455599999999995,-23.3013,-0.29939499999999997,-9.48025,-19.807000000000002,-4.1035900000000005,-15.895999999999999,-9.198319999999999,-6.37544,-2.0,0.116217,0.0,3,8,1,-12.0,-7.2347600000000005,0.0,3,5,1,4,0.0,0.39164499999999997,2.06
