name,average_score,HPSCORE,HMSCORE,HSSCORE,xscore_VDW,xscore_HB,xscore_HP,score_HM,xscore_HS,xscore_RT,affinity
1o2s,5.65,5.54,5.76,5.66,426.7,4.5,23.4,0.34,98.2,1.0,5.47
1gi9,5.38,5.37,5.35,5.42,429.0,2.6,21.8,0.00,93.1,2.0,5.22
1axz,4.73,4.66,4.93,4.59,268.3,3.8,0.0,0.00,0.0,1.0,3.2
1kll,4.52,4.47,4.72,4.38,258.0,2.0,7.9,0.56,37.9,3.0,5.2
1yid,5.18,5.22,5.32,5.00,487.8,4.8,0.0,0.00,0.0,7.0,5
2adu,5.68,5.52,6.01,5.52,321.5,3.0,70.3,2.21,171.9,0.0,7.74
2dua,4.47,4.33,4.75,4.34,137.0,6.3,0.0,0.00,0.0,0.0,4.77
2fkf,4.77,4.66,5.04,4.61,248.3,7.6,0.0,0.00,0.0,3.0,2.92
1vj9,6.75,6.66,6.85,6.74,778.5,6.9,51.4,1.64,220.0,12.0,7.55
1cim,5.37,5.22,5.66,5.24,350.2,3.4,28.8,1.15,90.2,1.0,8.82
1gzc,4.76,4.75,4.92,4.60,334.8,4.0,0.0,0.00,0.0,4.0,3.49
1n1t,5.42,5.30,5.52,5.43,400.4,6.3,17.9,0.27,100.6,4.0,3.85
2ff1,5.94,5.89,6.21,5.72,534.4,5.8,12.6,0.30,1.6,2.0,8.21
1qq9,4.81,4.78,4.90,4.75,275.4,6.1,16.8,0.00,57.8,4.0,2.06
1obx,5.43,5.28,5.87,5.14,419.3,3.7,63.3,3.16,190.2,10.0,5.72
1ta2,7.77,7.41,8.51,7.40,735.3,2.6,139.5,6.00,370.0,6.0,8.52
1me8,5.62,5.52,5.89,5.46,465.4,7.4,0.0,0.00,0.0,3.0,7.19
1xbb,6.72,6.44,7.34,6.37,588.3,1.3,77.5,3.85,194.7,2.0,5.3
1qca,7.50,7.54,7.84,7.11,612.6,0.8,212.2,5.75,430.5,5.0,5.27
1rgl,4.90,4.86,5.09,4.74,337.9,4.6,0.0,0.00,0.0,3.0,4.43
2c3j,5.64,5.67,5.82,5.44,443.1,2.2,37.7,0.65,43.9,0.0,6.18
