name,London_dG,hbond,hbondA,metal,metal_r,ionP,ionN,aroalk,repulse,flex,p,l,affinity
1o2s,-12.1616,0.76904,0.693147,0,0,0,-3.29083,0.0733855,0.118222,0.4606,-2.68474,-3.27555,5.47
1gi9,-12.0919,0.994836,0,0,0,0,-2.51302,0.218624,0.284618,1.4902,-2.77574,-3.29088,5.22
1axz,-10.5916,1.70352,0.693147,0,0,0,0,0.152442,0,0.1614,-1.87851,-2.02777,3.2
1kll,-8.82025,0.21067,0,0,0,1.12241,-2.9157,0.0532132,0,1.014,-1.72634,-2.21576,5.2
1yid,-27.9643,2.65663,0.693147,0.780332,0.00137998,0.541156,-23.718,0.171395,0.417061,0.685056,-2.23289,-3.84354,5
2adu,-23.3967,0.192254,0,1.45988,0.363523,9.87973,-25.2919,0.137609,0.000935808,0.5226,-1.75615,-3.04651,7.74
2dua,-24.2124,2.38885,0.693147,1.78173,0.0085856,4.71952,-20.4882,0,0,0.0566665,-0.14162,-1.47666,4.77
2fkf,-16.4835,3.38032,1.38629,0,0,0.134562,-4.79883,0,0,-0.346221,-1.88024,-2.21009,2.92
1vj9,-18.5569,1.98313,0.693147,0,0,0,-3.45906,0.0886646,0,4.09633,-5.13978,-5.33826,7.55
1cim,-11.4826,0.446138,0,1.07024,0.153672,0.507444,-0.490333,0.0952534,0.000474538,0.321066,-1.81857,-3.2019,8.82
1gzc,-11.8533,1.92778,0.693147,0,0,0,0,0.168211,0,0.6456,-2.28319,-2.52279,3.49
1n1t,-18.3912,2.97513,0,0,0,1.92875,-5.642,0.0373196,0,1.31163,-3.10212,-3.59759,3.85
2ff1,-17.5798,3.63031,2.07944,0.369936,0.661823,2.9269,-4.03194,0.109901,0.000305404,0.622,-2.50523,-4.05135,8.21
1qq9,-25.0826,1.05071,0.693147,1.65308,0.369786,18.1508,-26.2929,0.0242195,0,0.665433,-1.57897,-2.37371,2.06
1obx,-10.1706,0.622643,0,0,0,0.0195298,-2.32478,0.126011,0.000116477,3.99053,-2.39752,-2.92276,5.72
1ta2,-12.971,0.0780549,0,0,0,0,0,0.304214,0,2.3575,-4.74242,-5.10635,8.52
1me8,-17.2246,3.49178,1.09861,0,0,0.227159,-0.431778,0.135207,0,0.87919,-3.0793,-3.83638,7.19
1xbb,-10.5828,0.121617,0,0,0,1.50166,0,0.45017,0.00505892,2.78427,-2.9764,-4.34635,5.3
1qca,-12.5628,0.493167,0,0,0,0,-0.643448,0.316649,0.175377,1.66947,-4.25776,-4.04842,5.27
1rgl,-14.9562,2.30093,1.38629,0,0,0,-3.3695,0.00715916,0.00326704,0.37979,-2.64792,-2.93804,4.43
2c3j,-10.6424,0.492001,0,0,0,0,0,0.169328,0,0,-2.49324,-3.83583,6.18
1z3v,-12.8861,1.71019,0,0,0,0,0,0.28161,0,0.6456,-2.84189,-3.31861,4.11
1af6,-17.5745,3.82271,1.79176,0,0,0,0,0.221821,0,0.8814,-3.44769,-3.28585,1.82
1vja,-17.4181,1.64633,0.693147,0,0,0,-2.38834,0.187476,0,3.37493,-5.09382,-5.2031,7.7
2avv,-18.9379,0.681728,0.693147,0,0,0,-2.27525,0.221024,0.0439095,3.31602,-6.25057,-7.54977,9.26
1meu,-15.8617,0.697402,0,0,0,0,0,0.164367,0.000229937,3.21397,-5.42764,-6.39425,6.1
1cil,-11.4542,0.364056,0,1.02434,0.10746,0.736352,-0.53836,0.0829426,0,0.620666,-1.90222,-3.2582,9.43
1xzx,-16.3974,0.904416,0,0,0,0,-3.48431,0.241774,0,1.67707,-4.81556,-4.98347,10.22
6tim,-14.181,2.39149,1.38629,0,0,0.246739,-1.62931,0.0151153,2.19859e-005,0.0573896,-2.80956,-2.61084,3.21
2hh5,-13.8658,0.537254,0,0,0,0,0,0.17366,0,2.42552,-3.6087,-6.36145,7.49
1rdi,-14.1271,3.63902,2.19722,1.07628,0.413408,0,0,0,1.88246e-006,0.1614,-0.960245,-1.51912,2.06
3pcb,-8.14326,0.118275,0,0,0,0.268328,-1.29115,0.186089,0.350217,0.289633,-1.6,-2.72646,2.4
1w8l,-6.70957,0.0222664,0,0,0,0,0,0.144323,0,0,-1.62164,-1.73908,0.49
1qiw,-12.9579,0.112694,0,0,0,0,-3.33108,0.181653,0.0220492,3.6781,-3.79458,-4.72997,7.74
1joc,-18.9127,3.26499,0,0,0,0.129843,-8.8702,0.00332324,0,-0.717387,-2.34965,-2.28308,4.62
1q66,-17.3003,1.79723,1.38629,0,0,0,-4.18992,0.139472,0.208961,1.42623,-4.25423,-4.56756,5.77
1owd,-13.6075,0.825914,0,0,0,0.0562101,-5.00064,0.126083,3.93903e-008,1.6672,-3.02984,-3.49174,8.2
2bmz,-8.41277,0.664019,0,0,0,0,0,0.00503881,0,0.6456,-2.01418,-2.04193,3.7
1imx,-6.03411,0.117061,0,0,0,0,0,0.0236614,0,5.79843,-1.83339,-2.00814,3.52
1vkj,-25.5358,4.12622,2.07944,0,0,0.0581204,-8.74839,0.24061,0.00281245,0.114379,-4.34387,-5.19168,4.85
1hqg,-12.5353,0.421072,0,0,0,10.5857,-11.284,0.0887984,0,0.665433,-1.35247,-1.59049,3
1rzx,-14.9869,1.52859,0,0,0,0,-2.53183,0.211112,2.36147e-006,6.62917,-4.43393,-4.25954,4.1
