name,vina_affinity,vina_gauss1,vina_gauss2,vina_repulsion,vina_hydrophobic,HB,rbond,affinity
1n2v,-5.80040,63.85331,909.97212,2.61809,15.01064,2.61054,3,4.08
2qmj,-6.77880,99.32601,1698.58223,6.30797,12.26367,9.36240,22,4.21
1qi0,-4.50532,65.07444,771.38425,5.83319,0.00000,8.87687,12,2.35
1lor,-8.87076,92.19752,1493.34795,8.43042,5.52876,12.55377,6,11.06
2jdy,-4.47347,49.90987,629.39334,5.44206,0.00000,8.63276,6,4.37
1h23,-9.66911,132.40836,2005.02275,3.05264,112.52649,2.91680,15,8.35
1bcu,-7.00595,61.69003,865.90887,0.63544,11.15260,1.18484,1,3.28
3myg,-6.07623,96.33326,1453.82619,4.24984,12.06081,2.24775,9,10.7
3coy,-10.09030,137.68109,1891.80346,4.96794,12.23910,7.63962,11,6.02
3g2z,-4.07588,38.30907,582.16735,2.84756,12.34573,3.86562,3,2.36
2yge,-9.00340,82.31460,1677.92132,2.36882,23.41901,2.52878,6,5.06
2cet,-8.64793,113.14827,1389.93301,7.98262,21.89482,10.95506,8,8.02
2ymd,-6.85729,78.05838,907.59666,3.83889,28.28525,4.82670,4,3.16
3f3a,-6.78275,88.48775,1064.96281,5.98619,43.76067,5.14631,4,4.19
2xys,-10.23883,83.37546,1379.97238,2.46478,55.43646,0.98971,1,7.42
3nw9,-10.76291,170.11780,2158.96376,10.02095,41.88225,9.47957,10,9
2iwx,-8.89279,62.17940,1259.69417,1.72747,28.33670,1.54919,1,6.68
1vso,-5.47442,78.37985,913.33046,5.49685,20.93400,7.81321,10,4.72
4de2,-7.99034,86.86783,1207.23550,3.73271,20.55391,5.83347,5,4.12
4tmn,-8.34657,130.07631,1857.67345,6.70631,54.34773,8.42498,15,10.17
1mq6,-9.68218,157.44423,1709.90641,2.94862,24.76376,1.43169,7,11.15
3gy4,-5.78856,59.47761,684.11943,2.20603,2.63494,4.40471,3,5.1
3b68,-10.52754,131.75802,2090.42794,5.11030,66.52405,3.82351,9,8.4
3fcq,-4.23960,62.20676,816.52181,3.67083,16.44804,1.81923,3,2.77
4gid,-10.80476,213.73502,2612.42023,8.56091,85.80098,7.37534,17,10.77
