name,affinitydG,hb,ion,mlig,hh_hp_aa,affinity
3q5u,-2.94195,1.15928,-0.183734,0,-1.9931,4.31
1o2s,-4.15539,3.36807,-0.4826,0,-1.44987,5.47
3bze,-11.4718,2.90059,-0.996056,0,-8.56134,6
1axz,-3.99338,5.01456,0,0,-0.683766,3.2
2dua,-1.47906,2.56677,0.235952,0,-0.0209433,4.77
1gzc,-4.14855,4.76425,0,0,-1.00415,3.49
1obx,-3.57708,0.0839781,-0.342678,0,-3.17898,5.72
1z3v,-4.15562,4.69971,0,0,-1.05381,4.11
2avv,-10.041,3.36847,-0.555632,0,-7.26219,9.26
4e81,-5.68901,0,-0.344676,0,-5.34434,5.24
3lqj,-7.28742,2.72758,-0.48386,0,-5.00336,5.37
2rfy,-1.64532,0.521494,0,0,-1.30113,5.22
2wk2,-8.67995,5.33251,-0.943563,0,-4.21693,6.82
2v86,-7.45877,1.36195,-0.337524,0,-6.22237,4.46
3eks,-10.7607,2.99081,0,0,-8.78675,5.7
3nkx,-9.49734,4.17466,-0.878102,0,-5.86396,5.12
4fbx,-6.03204,1.85193,0,0,-4.80977,7.66
220l,-3.8693,0,0,0,-3.8693,3.4
3lqi,-5.22151,0,-4.41196,0,-0.809554,5.16
3dnj,-4.42418,1.83336,-0.163788,0,-3.05037,6.82
1eix,-4.98675,4.31048,-0.513568,0,-1.62827,11.06
3f9y,-3.47351,1.41651,-0.587404,0,-1.95121,4.49
1ugw,-4.84956,6.49643,0,0,-0.561916,3.09
3m6p,-7.46333,4.02423,0,0.87996,-3.92738,8.35
1z3t,-4.12105,4.77676,0,0,-0.968388,3.94
4e0w,-4.28552,2.65867,-0.508502,0,-2.0223,7.48
1b6m,-8.67914,0.592509,-0.878497,0,-7.40959,8.4
3bzi,-5.6427,1.28321,-1.22698,0,-3.56879,5.74
3dcs,-2.81651,1.3978,0.144658,0.868393,-1.17022,7.94
2v7d,-10.0783,4.36284,-1.80021,0,-5.39862,6.59
2yim,-8.43712,3.37779,-1.32112,0,-4.88666,3.92
2wp1,-4.8519,0.802633,-0.337719,0,-3.98444,3.6
1ws5,-4.50142,5.37601,0,0,-0.953259,3.03
4auy,-6.9066,6.95901,0,0,-2.31365,7.74
3iqj,-5.68636,3.88603,-1.05852,0,-2.06306,4.93
4e3h,-2.18831,0.580112,0,0,-1.80544,7.05
3lzv,-8.56487,2.96105,-0.218565,0,-6.39201,10.59
4e49,-2.62375,0.790523,0,0,-2.102,5.11
1z1r,-8.45725,3.04259,-0.251466,0,-6.19768,9.22
1db1,-15.3237,5.63441,0,0,-11.605,9.26
2wcg,-7.09055,7.22645,-0.752465,0,-1.56863,6.38
1c2t,-5.31534,0.775204,-0.13444,0,-4.66926,6.59
2y7k,-3.97765,1.41634,-0.0702146,0,-2.97265,4.93
3kyg,-1.6811,0.459521,0.0540448,0,-1.43187,7.46
2er6,-9.56484,2.37881,-1.18296,0,-6.81186,7.22
3d1e,-4.93152,0.901865,-0.167404,0,-4.16889,5.77
1dqx,-5.66649,7.03541,0.209987,0,-1.23311,11.05
4b9w,-5.17099,0.317657,-0.709085,0,-4.25225,4.17
1urg,-5.36961,5.45293,0,0,-1.77068,5.82
2ieo,-8.11748,3.31487,-0.245954,0,-5.68371,8.49
3tg5,-8.82888,4.58621,-1.12229,0,-4.67969,4.7
3ebb,-3.00824,0.493096,0.17012,0,-2.85292,5.3
4av0,-6.64586,6.18434,0,0,-2.5642,6.98
3iqg,-4.52039,1.79069,0.09925,0,-3.43779,4.6
2e7l,-4.63484,1.61273,-0.358751,0,-3.21168,7.54
2rk7,-3.51531,2.64412,-0.811,0.990405,0.0312216,4.05
3lil,-6.35754,0,0.28405,0,-6.64159,8.08
2jdn,-6.68929,9.4149,0,0,-0.475457,5.56
3lik,-7.42795,0.819466,0.0214777,0,-6.90858,8.72
1apw,-6.47593,3.21396,0,0,-4.35471,8
1ze8,-6.25114,1.60577,-0.0611365,0.894266,-4.23593,7.68
3uvx,-4.0679,0.192954,0.104919,0,-4.04547,4.34
2h6q,-6.07263,3.70601,-0.815802,0,-2.81086,5.11
2qt5,-3.12706,0.737941,-0.38847,0,-2.25155,5.03
3eys,-1.7493,0.90044,0,0,-1.15501,5.52
3lk1,-1.92737,0,0,0,-1.92737,4.26
1icj,-2.45031,1.13142,0,0,-1.70358,2.22
3ds9,-13.663,5.78707,-0.806237,1.83448,-7.20282,7.39
1i8i,-10.0398,7.54406,-0.958421,0,-4.10228,7.66
1g3b,-6.07492,3.89889,-1.72175,0,-1.7799,5.74
2nn8,-4.86417,6.31571,0,0,-0.6958,3.59
2qo8,-5.53436,1.4405,-0.0672089,1.10734,-3.40908,8.47
223l,-3.29405,0,0,0,-3.29405,3.4
3d3x,-4.90844,1.97675,0.305264,0.955218,-2.95383,4.16
2cia,-1.85079,6.64775,-0.371338,0,2.90806,6.43
1sts,-5.52034,3.30316,0,0,-3.34025,5
3ifo,-7.72582,3.58818,-0.789059,0,-4.56857,7.26
3oys,-4.69156,1.33125,-0.0631973,0.706167,-3.04357,8.05
2j9n,-2.66875,0.916733,-0.645825,0,-1.41788,4.7
3d20,-9.07945,3.89851,-0.206005,0,-6.30043,8.3
3o6m,-7.53412,1.10599,-0.792312,0,-6.01185,7.48
1utc,-7.13312,0.881316,-0.244084,0,-6.30737,4.55
1wei,-1.3338,0.986093,0,0,-0.682975,9
3tei,-3.85017,5.37629,1.38978,0,-1.6916,6.3
2z8e,-1.81622,1.37026,0,0,-0.911853,8
3pb3,-5.836,3.7877,-0.105353,0,-3.23076,6.22
1udt,-6.70126,0.740457,0,0,-6.21255,9.3
1gz3,-3.67885,2.38326,0.593573,0,-2.69947,3.7
3dcw,-4.39687,2.09231,0.161366,0.752708,-2.4246,9
3iqh,-3.63618,0.970781,0.101696,0,-3.09716,4.59
