name,total,SMoG2016_KBP2016,SMoG2016_LJP,SMoG2016_Rotor,SMoG2016_lnMass,affinity
1h23,-14.195,-365.873,55.974,15,6.207,8.35
3b1m,-11.901,-305.451,106.953,7,6.241,8.48
4jxs,-7.074,-139.654,65.829,6,5.832,4.74
2pog,-10.515,-238.113,58.972,1,5.642,9.54
1bcu,-7.680,-136.651,26.469,0,5.348,3.28
3d6q,-6.114,-98.883,52.818,3,5.744,3.76
3twp,-4.922,-75.981,53.297,1,4.927,3.92
3myg,-9.464,-214.917,69.146,8,6.060,10.7
3coy,-10.139,-242.943,85.050,8,6.132,6.02
4qac,-10.237,-242.569,83.558,3,5.818,9.4
4crc,-10.686,-269.445,98.459,11,6.292,8.72
3u8k,-8.208,-170.460,50.346,3,5.403,8.66
4k18,-10.095,-240.366,86.521,5,5.961,8.96
3g2z,-4.640,-50.131,28.557,2,5.188,2.36
2yge,-8.932,-209.495,111.806,5,6.328,5.06
4w9l,-9.362,-245.843,124.229,14,6.372,5.02
2cet,-9.958,-247.262,101.484,4,5.731,8.02
2ymd,-7.872,-158.226,41.392,2,5.177,3.16
3f3a,-8.426,-180.211,52.535,3,5.323,4.19
4lzs,-6.939,-119.115,22.251,4,5.338,4.8
3ozs,-10.226,-256.880,107.283,8,6.164,5.33
2xys,-10.392,-243.428,86.974,0,5.821,7.42
1c5z,-5.764,-101.883,47.153,1,4.796,4.01
3nw9,-11.221,-316.649,168.212,7,6.256,9
1z9g,-6.941,-132.903,45.217,7,5.534,5.64
5c1w,-6.235,-97.867,33.130,1,5.308,5.06
2iwx,-7.951,-158.707,72.994,0,5.864,6.68
1vso,-6.675,-127.885,61.377,7,5.778,4.72
4de2,-6.471,-122.988,67.710,6,5.778,4.12
3oe4,-10.209,-270.262,135.463,7,6.129,7.47
4llx,-5.654,-82.368,21.362,0,4.813,2.89
4pcs,-7.033,-129.990,53.270,0,5.385,7.85
4tmn,-9.257,-252.809,130.168,16,6.225,10.17
5a7b,-8.717,-198.560,84.674,7,6.034,3.57
2vkm,-13.407,-380.707,134.154,17,6.491,8.74
4kzu,-10.722,-233.854,41.462,1,5.704,6.5
4f3c,-10.925,-258.694,59.238,7,5.818,11.82
1owh,-8.247,-177.154,68.433,5,5.769,7.4
4f9w,-10.749,-250.666,67.574,3,5.787,6.94
1qkt,-10.277,-224.578,49.714,0,5.606,9.04
1mq6,-9.800,-236.603,94.465,10,6.342,11.15
4owm,-5.362,-81.364,42.426,1,5.044,2.96
1o0h,-6.557,-120.986,70.393,6,6.057,5.92
3dx2,-7.235,-154.165,78.718,1,5.278,6.82
4m0z,-10.666,-252.291,68.172,5,5.784,5.19
3gy4,-6.222,-106.014,32.923,1,4.913,5.1
4cra,-9.280,-245.768,142.821,9,6.277,7.22
3n76,-9.128,-219.378,93.991,5,5.724,6.85
4j21,-10.346,-232.605,58.875,1,5.649,7.41
2zb1,-11.137,-258.891,52.169,6,5.850,6.32
3b68,-10.902,-298.979,136.373,10,6.092,8.4
4bkt,-7.117,-131.894,42.411,5,5.588,3.62
3b27,-6.900,-126.180,52.707,2,5.530,5.16
4mme,-10.431,-238.949,65.903,1,5.653,6.5
3arp,-10.674,-266.892,91.011,10,6.123,7.15
4e5w,-10.607,-242.985,64.377,4,5.943,7.66
3fcq,-5.270,-86.621,59.691,3,5.268,2.77
3b5r,-11.164,-277.875,89.872,7,6.031,8.77
4gid,-12.480,-383.081,186.001,19,6.502,10.77
3ebp,-8.823,-193.498,85.412,2,5.997,5.91
3u9q,-6.527,-117.745,21.672,8,5.148,4.38
3e93,-13.350,-346.260,100.887,6,6.209,8.85
4w9c,-8.448,-188.641,74.990,8,5.954,4.65
4jia,-10.553,-252.864,86.273,5,6.038,9.22
1nc1,-9.594,-216.717,67.646,3,5.691,6.12
3k5v,-9.885,-226.183,67.182,6,5.925,6.3
2wer,-8.415,-172.774,73.539,0,5.897,7.05
2wbg,-10.020,-244.652,83.467,7,5.760,4.45
4w9i,-8.896,-211.469,99.847,8,6.157,5.96
1gpn,-10.265,-221.260,41.890,0,5.550,6.48
3aru,-6.901,-126.689,47.536,5,5.643,3.22
3dx1,-6.329,-125.331,65.702,0,4.898,3.58
1z95,-11.318,-283.256,92.303,7,6.064,7.12
4mgd,-9.398,-210.425,69.995,3,5.756,4.69
2fvd,-9.939,-236.445,89.982,6,6.089,8.52
3pxf,-7.523,-148.368,61.235,3,5.701,4.43
4cr9,-6.714,-119.634,43.337,0,5.160,4.1
5c28,-6.213,-102.440,38.922,1,5.210,5.66
3cyx,-12.547,-366.328,161.835,16,6.509,8
3gnw,-10.474,-272.417,139.455,6,6.419,9.1
3f3c,-7.845,-168.947,61.003,3,5.215,6.02
1k1i,-8.527,-205.277,109.313,9,6.233,6.58
1oyt,-10.943,-256.411,72.633,4,6.012,7.24
2al5,-6.755,-133.602,65.513,3,5.385,8.4
3n86,-8.938,-221.857,108.121,6,5.772,5.64
3uev,-7.874,-158.426,16.289,12,5.430,5.89
2r9w,-7.613,-169.875,100.005,5,5.969,5.1
4ih7,-7.844,-149.073,36.105,2,5.426,5.24
3uex,-9.031,-198.920,19.102,16,5.650,6.92
2brb,-9.658,-219.207,66.009,5,5.803,4.86
3kgp,-6.154,-101.190,28.851,2,5.024,2.57
1y6r,-9.745,-222.458,69.545,3,5.691,10.11
3prs,-12.080,-342.827,126.620,22,6.580,7.82
5c2h,-10.541,-267.041,105.939,8,6.116,11.09
3ivg,-11.094,-258.499,57.556,7,6.026,4.3
3dxg,-6.300,-103.148,47.874,4,5.781,2.4
2y5h,-9.945,-212.544,47.088,6,6.140,5.79
2xj7,-8.012,-174.080,73.729,2,5.443,6.66
4rfm,-11.374,-267.486,70.571,6,6.245,10.05
3fv2,-8.329,-196.239,99.105,4,5.677,8.11
3g0w,-10.444,-234.318,62.373,2,5.884,9.52
1yc1,-9.919,-219.325,58.861,4,5.908,6.17
3ozt,-9.568,-243.515,121.626,7,6.099,4.13
1w4o,-6.248,-110.707,65.075,4,5.781,5.22
2w4x,-6.537,-144.051,98.654,5,5.580,4.85
4u4s,-6.750,-108.746,25.776,1,5.366,2.92
4de3,-6.221,-107.271,62.532,4,5.838,5.52
3uri,-11.711,-354.296,137.235,34,6.836,9
3fv1,-8.607,-213.894,114.420,5,5.731,9.3
2wca,-7.492,-175.933,103.034,9,5.943,5.6
1nvq,-12.391,-310.985,104.086,2,6.180,8.25
2w66,-7.660,-170.480,84.675,3,5.460,4.05
3ary,-6.971,-116.199,28.617,2,5.497,6
4msn,-6.109,-104.638,47.298,1,5.165,4.03
4msc,-9.119,-209.473,80.419,3,5.656,5.96
2xnb,-10.382,-249.606,90.048,4,5.948,6.83
4mrw,-6.026,-109.645,67.997,0,5.237,3.3
3jya,-8.106,-140.057,18.250,0,5.598,6.89
3up2,-9.476,-226.476,89.781,7,5.966,7.4
2zda,-10.332,-256.258,88.793,9,5.979,8.4
3ueu,-7.507,-142.558,9.856,10,5.299,5.24
4mrz,-5.342,-84.992,50.122,1,5.037,3.52
2fxs,-6.888,-158.403,112.219,8,6.019,6.06
1lpg,-10.669,-284.540,128.147,11,6.305,7.09
1q8t,-7.760,-153.753,46.234,4,5.514,4.76
3qqs,-7.804,-181.571,97.403,4,5.557,5.82
2weg,-5.664,-81.633,30.255,1,5.165,6.5
3jvs,-7.816,-168.265,76.104,8,6.009,6.54
3f3e,-6.212,-113.787,39.634,3,4.884,7.7
2qbq,-8.590,-181.971,69.305,7,6.233,7.44
1bzc,-6.690,-147.072,100.933,9,6.064,4.92
1pxn,-9.741,-223.850,71.102,4,5.747,7.15
2j78,-7.348,-162.494,86.806,1,5.258,6.42
1z6e,-11.197,-261.661,63.984,8,6.271,9.72
3zdg,-7.206,-144.255,42.556,6,5.243,7.1
4gfm,-7.535,-145.305,52.432,3,5.642,7.22
4eo8,-8.630,-169.767,40.378,5,5.967,8.15
2wvt,-7.293,-162.836,87.507,2,5.268,6.12
3nx7,-7.377,-154.245,63.575,8,5.717,8.1
1syi,-7.615,-162.092,72.529,3,5.481,5.44
4ddk,-6.920,-116.671,20.245,1,5.112,2.29
2zcr,-10.543,-249.239,62.933,10,6.055,6.87
2xbv,-10.187,-252.186,100.879,9,6.252,8.43
4de1,-6.505,-121.514,67.741,4,5.721,5.96
4abg,-6.750,-124.468,50.245,2,5.334,3.57
3uuo,-8.790,-174.738,41.900,2,5.744,7.96
4eor,-9.425,-225.965,96.594,6,5.997,6.3
1sqa,-8.755,-206.668,97.211,7,6.024,9.21
3mss,-8.297,-172.002,43.988,7,5.653,4.66
2p15,-14.031,-361.938,96.366,3,6.092,10.3
3ejr,-8.722,-212.114,113.027,4,5.853,8.57
3ge7,-9.823,-240.093,95.939,6,5.903,8.7
3zsx,-8.675,-210.450,98.987,11,6.129,3.28
1u1b,-9.210,-216.416,91.538,14,6.698,7.8
4ty7,-10.063,-236.699,80.555,8,6.199,9.52
5dwr,-10.791,-272.721,111.570,5,6.089,11.22
2j7h,-6.688,-134.387,62.165,1,4.998,7.19
2br1,-9.983,-238.329,82.421,7,5.969,5.14
3utu,-9.897,-288.084,170.913,16,6.522,10.92
3syr,-7.330,-151.399,80.763,2,5.677,5.1
3g31,-5.080,-60.120,33.090,2,5.468,2.89
4kzq,-10.630,-233.674,37.031,1,5.473,6.1
2xii,-8.591,-207.362,115.666,4,5.948,7.2
4m0y,-8.178,-164.857,49.681,4,5.687,6.46
1p1n,-7.175,-144.324,57.110,4,5.376,6.8
3coz,-9.778,-232.966,86.216,8,6.101,5.57
2wnc,-8.909,-188.771,53.840,3,5.653,6.32
1uto,-5.695,-88.142,22.266,2,4.805,2.27
3arq,-8.303,-213.184,157.733,3,6.211,6.4
1a30,-6.821,-145.672,67.280,14,5.930,4.3
3kwa,-3.709,-120.887,187.852,11,5.309,4.08
3qgy,-10.376,-235.918,69.784,4,6.069,7.8
4djv,-10.243,-246.279,90.860,4,5.922,6.72
2xb8,-8.857,-215.152,106.046,4,5.737,7.59
4eky,-8.847,-200.452,86.508,3,5.829,3.52
3dd0,-6.339,-100.880,35.627,3,5.553,9
3fur,-10.527,-253.963,98.071,5,6.238,8
2v7a,-10.594,-261.822,95.054,8,6.164,8.3
3e5a,-10.330,-251.943,91.121,8,6.143,8.23
4qd6,-8.648,-198.527,95.167,7,6.193,8.64
3bgz,-10.326,-234.075,59.612,3,5.747,6.26
2zy1,-9.975,-233.927,62.875,9,5.855,7.4
4ivd,-10.269,-231.574,57.764,4,5.821,9.52
3r88,-6.131,-112.686,58.765,3,5.284,4.82
3pyy,-10.096,-222.530,54.396,3,5.817,6.86
3n7a,-6.172,-116.673,65.828,1,5.159,3.7
4f09,-9.135,-190.374,46.391,1,5.546,6.7
1s38,-6.797,-124.153,47.140,0,5.165,5.15
4x6p,-11.642,-289.160,87.351,9,6.310,8.3
2v00,-6.827,-129.190,52.515,3,5.371,3.66
5aba,-6.654,-120.893,72.907,3,5.999,2.98
2vw5,-9.125,-200.287,85.976,3,6.219,8.52
4agq,-8.240,-179.966,86.704,7,6.250,5.01
3lka,-6.821,-118.538,30.810,2,5.231,2.82
1ydt,-10.221,-249.042,90.339,8,6.100,7.32
4j3l,-10.827,-260.210,75.321,6,5.914,7.8
3u8n,-8.698,-187.159,65.288,3,5.704,10.17
3rsx,-7.142,-128.852,42.708,1,5.421,4.41
3rr4,-7.433,-158.609,82.553,2,5.538,4.55
3zso,-9.548,-249.212,120.358,14,6.389,5.12
1nc3,-9.084,-205.415,75.637,2,5.588,5
4agn,-7.151,-144.588,84.922,5,6.094,3.97
3pww,-12.220,-349.127,148.770,16,6.509,7.32
4ea2,-7.384,-242.428,227.911,9,5.806,6.44
3l7b,-7.404,-142.368,57.162,2,5.617,2.4
2yki,-14.401,-370.109,86.457,4,6.092,9.46
2zcq,-8.074,-175.721,72.783,8,5.956,8.82
1qf1,-8.570,-203.735,77.669,13,5.941,7.32
3ehy,-7.317,-140.716,45.922,5,5.557,5.85
4ih5,-7.088,-127.923,36.956,3,5.421,4.11
1ps3,-7.655,-165.604,82.498,1,5.447,2.28
2qbp,-9.615,-230.696,97.034,10,6.410,8.4
2cbv,-7.317,-156.158,76.829,0,5.171,5.48
3gc5,-8.202,-183.901,85.922,3,5.650,7.26
4dld,-6.658,-157.928,117.844,7,5.762,5.82
4ogj,-8.378,-194.451,91.962,11,6.264,6.79
4twp,-10.539,-254.745,83.691,6,5.956,10
3udh,-7.449,-136.840,35.975,0,5.242,2.85
3jvr,-7.156,-132.356,51.991,5,5.855,5.72
5tmn,-8.546,-204.389,77.161,16,6.125,8.04
3g2n,-7.673,-159.669,67.766,4,5.646,4.09
3ui7,-9.184,-197.801,60.198,3,5.787,9
2p4y,-13.285,-334.872,78.601,9,6.353,9
4ivc,-10.401,-233.635,55.710,3,5.778,10
3uew,-7.906,-160.581,16.047,14,5.546,6.31
2x00,-11.959,-285.429,87.387,1,6.235,11.33
4e6q,-10.104,-226.016,59.919,3,5.806,8.36
4ddh,-7.706,-151.475,41.063,3,5.328,3.3
4kz6,-5.604,-93.724,57.019,4,5.443,3.1
4agp,-8.161,-178.739,89.089,7,6.252,4.69
3cj4,-6.975,-144.401,84.469,7,6.016,6.51
3rlr,-9.429,-198.779,53.706,2,5.847,7.52
2qnq,-13.003,-348.485,120.720,10,6.446,6.11
3gbb,-7.630,-169.531,85.250,4,5.561,6.9
1gpk,-9.815,-202.782,31.359,0,5.494,5.37
4wiv,-8.546,-173.634,53.157,4,5.895,6.26
3oe5,-9.646,-250.517,127.029,8,6.109,6.88
1r5y,-6.374,-118.910,62.247,0,5.171,6.46
2c3i,-9.572,-217.170,63.976,5,5.724,7.6
4f2w,-9.941,-224.247,57.594,4,5.684,11.3
1e66,-11.167,-248.796,43.313,1,5.701,9.89
4gkm,-7.690,-180.072,103.090,4,5.602,5.17
3u5j,-8.313,-166.683,57.707,1,5.730,5.61
3nq9,-5.324,-74.378,10.720,6,4.971,4.03
3e92,-11.308,-266.040,59.071,5,5.850,8
3arv,-7.324,-162.622,114.635,0,5.808,5.64
3b65,-11.197,-269.836,79.432,6,6.103,9.27
3d4z,-7.776,-171.544,81.214,1,5.319,4.89
2hb1,-6.785,-115.572,37.101,4,5.642,3.8
3uo4,-10.306,-259.698,106.067,6,5.946,6.52
4ciw,-6.986,-148.373,79.650,3,5.385,4.82
3gv9,-5.495,-78.891,30.162,3,5.220,2.12
4jsz,-5.025,-59.182,21.186,1,5.056,2.3
1h22,-13.593,-341.912,51.108,13,6.149,9.1
1ydr,-9.105,-200.893,69.636,2,5.677,5.52
3f3d,-5.857,-99.109,34.621,4,5.011,7.16
2wtv,-11.256,-284.166,112.479,4,6.166,8.74
2xdl,-7.275,-142.257,45.129,5,5.408,3.1
4ivb,-10.057,-219.859,51.835,2,5.734,8.72
3kr8,-10.122,-231.275,69.734,2,5.743,8.1
1p1q,-6.604,-131.034,63.287,3,5.231,4.89
3o9i,-12.066,-325.037,112.902,15,6.425,11.82
3bv9,-10.306,-263.577,96.125,17,6.484,5.36
4gr0,-12.840,-346.566,116.673,14,6.551,9.55
3ag9,-9.549,-291.817,129.791,39,6.858,8.05
4k77,-8.180,-167.102,53.157,2,5.498,6.63
1o5b,-7.035,-114.796,34.730,1,5.714,5.77
3p5o,-9.064,-200.896,72.932,6,6.048,7.26
3tsk,-11.410,-298.038,89.936,17,6.335,7.17
4jfs,-7.396,-150.456,66.815,2,5.473,5.27
2yfe,-9.398,-224.202,84.453,7,5.829,6.63
2qe4,-10.398,-240.094,68.316,3,5.787,7.96
2wn9,-8.409,-182.003,71.801,3,5.687,8.52
1eby,-14.065,-397.742,134.281,15,6.480,9.7
4hge,-9.849,-220.132,62.757,4,5.867,7.92
1q8u,-9.465,-205.787,61.514,2,5.769,5.96
4w9h,-9.160,-221.049,95.188,10,6.157,6.73
3ao4,-8.511,-161.439,21.985,1,5.380,2.07
2vvn,-8.291,-174.308,57.213,3,5.514,7.3
3wz8,-9.685,-232.246,80.396,11,6.121,5.82
4j28,-7.420,-145.393,58.832,1,5.456,5.7
4dli,-9.784,-212.294,45.580,3,5.625,5.62
3ryj,-6.725,-119.828,44.950,5,5.642,7.8
3gr2,-5.441,-65.989,14.728,2,5.268,2.52
3acw,-10.695,-262.926,90.992,2,5.635,4.76
3zt2,-9.141,-191.914,52.923,2,5.730,2.84
4cig,-7.917,-212.016,149.574,11,6.213,3.67
3wtj,-8.284,-162.112,39.068,2,5.530,6.53
2qbr,-8.551,-182.254,64.430,8,6.133,6.33
1o3f,-7.460,-186.952,140.787,3,5.793,7.96
