Name,"gauss(o=0,_w=0.3,_c=8)","gauss(o=0.5,_w=0.3,_c=8)","gauss(o=1,_w=0.3,_c=8)","gauss(o=1.5,_w=0.3,_c=8)","gauss(o=2,_w=0.3,_c=8)","gauss(o=2.5,_w=0.3,_c=8)","gauss(o=0,_w=0.5,_c=8)","gauss(o=1,_w=0.5,_c=8)","gauss(o=2,_w=0.5,_c=8)","gauss(o=0,_w=0.7,_c=8)","gauss(o=1,_w=0.7,_c=8)","gauss(o=2,_w=0.7,_c=8)","gauss(o=0,_w=0.9,_c=8)","gauss(o=1,_w=0.9,_c=8)","gauss(o=2,_w=0.9,_c=8)","gauss(o=3,_w=0.9,_c=8)","gauss(o=0,_w=1.5,_c=8)","gauss(o=1,_w=1.5,_c=8)","gauss(o=2,_w=1.5,_c=8)","gauss(o=3,_w=1.5,_c=8)","gauss(o=4,_w=1.5,_c=8)","gauss(o=0,_w=2,_c=8)","gauss(o=1,_w=2,_c=8)","gauss(o=2,_w=2,_c=8)","gauss(o=3,_w=2,_c=8)","gauss(o=4,_w=2,_c=8)","gauss(o=0,_w=3,_c=8)","gauss(o=1,_w=3,_c=8)","gauss(o=2,_w=3,_c=8)","gauss(o=3,_w=3,_c=8)","gauss(o=4,_w=3,_c=8)","repulsion(o=0.4,_c=8)","repulsion(o=0.2,_c=8)","repulsion(o=0,_c=8)","repulsion(o=-0.2,_c=8)","repulsion(o=-0.4,_c=8)","repulsion(o=-0.6,_c=8)","repulsion(o=-0.8,_c=8)","repulsion(o=-1,_c=8)","hydrophobic(g=0.5,_b=1.5,_c=8)","hydrophobic(g=0.5,_b=1,_c=8)","hydrophobic(g=0.5,_b=2,_c=8)","hydrophobic(g=0.5,_b=3,_c=8)","non_hydrophobic(g=0.5,_b=1.5,_c=8)","vdw(i=4,_j=8,_s=0,_^=100,_c=8)","vdw(i=6,_j=12,_s=1,_^=100,_c=8)","non_dir_h_bond(g=-0.7,_b=0,_c=8)","non_dir_h_bond(g=-0.7,_b=0.2,_c=8)","non_dir_h_bond(g=-0.7,_b=0.5,_c=8)","non_dir_h_bond(g=-1,_b=0,_c=8)","non_dir_h_bond(g=-1,_b=0.2,_c=8)","non_dir_h_bond(g=-1,_b=0.5,_c=8)","non_dir_h_bond(g=-1.3,_b=0,_c=8)","non_dir_h_bond(g=-1.3,_b=0.2,_c=8)","non_dir_h_bond(g=-1.3,_b=0.5,_c=8)","non_dir_anti_h_bond_quadratic(o=0,_c=8)","non_dir_anti_h_bond_quadratic(o=0.5,_c=8)","non_dir_anti_h_bond_quadratic(o=1,_c=8)","donor_donor_quadratic(o=0,_c=8)","donor_donor_quadratic(o=0.5,_c=8)","donor_donor_quadratic(o=1,_c=8)","acceptor_acceptor_quadratic(o=0,_c=8)","acceptor_acceptor_quadratic(o=0.5,_c=8)","acceptor_acceptor_quadratic(o=1,_c=8)","non_dir_h_bond_lj(o=-0.7,_^=100,_c=8)","non_dir_h_bond_lj(o=-1,_^=100,_c=8)","non_dir_h_bond_lj(o=-1.3,_^=100,_c=8)","ad4_solvation(d-sigma=3.6,_s/q=0.01097,_c=8)","ad4_solvation(d-sigma=3.6,_s/q=0,_c=8)","electrostatic(i=1,_^=100,_c=8)","electrostatic(i=2,_^=100,_c=8)",num_tors_div,num_tors_div_simple,num_heavy_atoms_div,num_heavy_atoms,num_tors_add,num_tors_sqr,num_tors_sqrt,num_hydrophobic_atoms,ligand_length,num_ligands,affinity
1a08,50.79448,90.97046,118.23884,153.35866,181.60427,225.39784,85.72556,200.09413,305.79898,121.78282,279.91577,432.06894,161.27118,358.87319,558.21425,750.12908,306.21705,601.65495,910.62112,1082.23328,882.42397,458.29391,804.52435,1129.04162,1251.32694,1042.81982,785.52230,1123.26985,1375.90542,1436.79120,1269.86942,16.93472,8.09582,3.48581,1.31672,0.36096,0.04260,0.00000,0.00000,32.67920,22.82513,42.42707,61.00463,71.72389,-469.74462,-556.04797,5.44945,6.10652,7.49440,3.89141,4.64389,6.04672,2.99339,3.71511,5.03893,0.00000,0.00000,0.22453,0.00000,0.00000,0.22426,0.00000,0.11430,1.07884,-38.22081,-20.07388,-7.50391,41.08788,-65.25420,1.08411,0.20427,0.00000,0.00000,0.00000,2.05000,19.00000,7.22000,0.19494,1.00000,12.00000,1.00000,5.62
1u2y,17.54353,30.06518,40.94970,61.88979,75.25582,116.22058,27.96343,72.12624,134.42416,39.68371,102.90264,194.90309,53.41865,135.02414,256.89758,422.15074,111.10989,248.78388,441.36014,597.86248,524.01954,182.10674,357.23797,560.55110,679.53539,600.81798,354.51549,538.47230,696.89168,762.84560,700.47953,4.45914,1.82811,0.60858,0.20188,0.05065,0.00063,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,43.36874,-205.33147,-226.73605,1.61576,2.14696,3.32680,1.13103,1.61022,2.66144,0.87002,1.28817,2.21787,0.00000,0.00035,0.52855,0.11943,0.82849,2.77588,0.41643,2.06259,6.72984,-16.58441,-7.24220,-2.42574,16.86710,-35.22679,0.40011,0.09975,0.00000,0.00000,0.00000,0.65000,2.00000,0.08000,0.06325,0.00000,2.00000,1.00000,1.74
1b39,62.29008,88.73880,135.44820,193.81326,242.63950,281.07940,100.05791,231.01896,398.39215,140.11645,327.34830,558.65587,185.88214,426.01349,724.10734,1077.84470,365.02966,746.10012,1214.75329,1561.73135,1355.51038,565.23383,1033.90360,1534.00896,1796.55347,1566.32479,1025.61385,1508.32780,1903.03389,2044.80892,1854.54788,30.58513,16.14977,7.89965,3.47634,1.43529,0.50478,0.13087,0.00701,0.00000,0.00000,0.00000,0.00000,138.83407,-582.48040,-695.90211,6.87705,8.02981,9.78541,5.50159,6.59541,8.28677,4.31616,5.34927,6.96642,1.04119,4.58696,13.36892,0.00000,0.00000,0.00000,1.83933,7.98369,21.88908,-19.86446,-30.55740,-14.39710,78.12889,-94.74702,3.19336,0.64379,0.00000,0.00000,0.00000,1.55000,8.00000,1.28000,0.12649,0.00000,14.00000,1.00000,6.92
2i0d,66.13482,127.52511,178.50333,239.29235,310.02858,371.33902,113.99362,301.25201,510.49587,166.87165,424.29175,718.07986,226.18266,549.03935,931.38113,1357.55207,455.06048,953.15046,1544.92121,1934.55304,1610.26569,710.03990,1310.20086,1928.27744,2213.77124,1879.56661,1283.58979,1883.13787,2359.37183,2509.17367,2247.57147,24.64891,11.91824,5.08843,1.90140,0.63393,0.17927,0.02056,0.00000,52.27174,36.59179,70.54578,115.88397,127.65875,-757.90759,-879.61479,4.27141,5.18844,6.56517,3.38671,4.22193,5.51662,2.60516,3.37754,4.59718,0.08852,1.34961,5.29756,0.00000,0.08128,1.07227,1.97033,6.80448,16.71869,-27.25820,-19.40968,-7.74358,32.14384,-112.55864,0.48455,0.13828,0.00000,0.00000,0.00000,2.25000,14.00000,3.92000,0.16733,1.00000,12.00000,1.00000,12.1
2c02,40.28255,58.61881,87.62779,115.18990,155.92923,214.37391,63.04491,144.82821,263.44953,88.53233,204.59364,374.07448,117.24020,268.15621,485.81736,720.46012,230.64175,483.19308,804.09284,1021.48999,856.78141,362.37497,673.58026,1004.94878,1166.74185,999.35051,663.90683,979.02414,1234.03921,1320.46693,1189.85350,15.52984,7.49655,3.19663,1.25905,0.42767,0.10945,0.01209,0.00000,0.00000,0.00000,0.00000,0.00000,109.01666,-387.07100,-445.18872,5.13828,6.24012,7.98099,3.82240,4.86809,6.53519,2.94031,3.89447,5.44600,0.00000,0.32461,2.68606,0.00000,0.25300,1.31333,0.00000,0.07161,1.37273,-38.31155,-21.82180,-8.47962,53.94886,-57.40363,1.43326,0.28587,0.00000,0.00000,0.00000,1.35000,6.00000,0.72000,0.10954,0.00000,10.00000,1.00000,4.04
1a1b,52.30878,81.77174,122.21043,147.52813,169.95090,195.47966,85.06438,198.93521,283.92580,120.63924,274.64027,400.96773,160.15722,349.25115,519.52970,693.96052,301.30388,575.91122,852.14566,1002.43193,810.17748,444.54485,764.82920,1057.29987,1159.93515,958.04262,748.66721,1059.89957,1287.33787,1334.57333,1171.78926,22.88383,11.78413,5.58783,2.34207,0.77110,0.13718,0.00143,0.00000,30.13717,22.57031,38.80575,53.46787,91.31188,-446.18803,-541.36837,7.62792,8.52507,9.95545,5.65223,6.65437,8.17282,4.34787,5.32350,6.81068,0.00000,0.12613,0.99448,0.00000,0.12613,0.73127,0.56726,2.38931,6.11346,-49.48908,-29.47435,-11.48745,37.99772,-63.73536,1.10394,0.23380,0.00000,0.00000,0.00000,1.95000,19.00000,7.22000,0.19494,0.85000,12.00000,1.00000,6.4
1n2v,42.06761,56.80742,92.10198,95.26642,129.19509,136.54113,63.85331,141.39138,208.54109,88.39688,194.44612,288.55357,116.01017,248.42028,372.82685,534.48340,215.26601,413.81767,629.10416,785.64996,677.22502,319.24277,558.54925,795.87088,909.97212,783.96866,552.42313,795.92067,986.34407,1044.78190,937.35233,12.72088,5.90782,2.61809,1.11159,0.41924,0.09307,0.00050,0.00000,15.01064,10.99777,18.06481,22.52943,70.46611,-332.81776,-390.59459,2.61054,2.91931,3.42358,1.91989,2.26658,2.80054,1.47684,1.81326,2.33379,0.81126,2.50114,5.32105,0.00000,0.00000,0.00528,0.81126,2.50114,5.51998,-18.31539,-10.55298,-4.09303,23.70954,-45.58128,0.46238,0.09720,0.00000,0.00000,0.00000,0.75000,3.00000,0.18000,0.07746,0.20000,3.00000,1.00000,4.08
1xd1,84.10232,151.22741,233.06384,340.37329,378.03777,458.02742,146.79480,395.61048,643.45493,214.82623,555.98227,908.20946,292.75714,715.37793,1173.39024,1654.07917,592.54400,1220.14130,1935.43520,2405.32997,2037.72484,915.39304,1663.25487,2420.86018,2773.44257,2373.96254,1633.40386,2382.60988,2975.97411,3163.97632,2840.69947,43.65843,22.92786,10.53816,4.22995,1.43923,0.31160,0.01560,0.00000,4.69447,2.60113,7.50042,15.01141,206.70006,-945.39254,-1126.13895,13.79900,16.07783,19.37854,10.28501,12.57980,15.91998,7.91155,10.06384,13.26665,0.59387,1.63272,3.80695,3.02828,9.65431,21.35582,3.39605,12.78746,32.09739,-91.56384,-53.49554,-20.43377,80.26272,-154.80191,1.92222,0.40728,0.00000,0.00000,0.00000,3.30000,15.00000,4.50000,0.17321,0.15000,12.00000,1.00000,7.92
1jq9,81.74700,147.84708,182.67940,250.36590,298.23651,353.83341,146.61442,313.93447,500.79870,213.16375,445.34054,702.89704,281.82450,576.06270,909.73772,1287.84543,522.75605,986.03489,1510.22966,1844.02462,1519.35686,775.18112,1337.12505,1888.72103,2121.38317,1781.45076,1327.85680,1891.01670,2318.40669,2428.47114,2152.90954,68.96468,40.48711,21.85489,10.46388,4.24483,1.47306,0.49714,0.20783,41.89848,29.12616,57.11453,88.95081,140.19896,-711.94598,-943.61932,7.03487,7.91601,9.30871,5.10765,6.08971,7.56913,3.92896,4.87177,6.30761,0.41177,2.05636,7.43655,0.41177,1.90777,6.08760,0.00000,0.14859,1.35004,-45.16003,-25.17874,-9.63913,37.93355,-117.12358,0.83409,0.13328,0.00000,0.00000,0.00000,2.35000,20.00000,8.00000,0.20000,1.00000,14.00000,1.00000,8.45
3pch,30.83801,39.91903,76.61247,93.33649,119.07246,116.63039,48.84443,120.79703,190.89172,69.05331,167.09233,263.43782,92.69111,214.42254,336.98482,433.11214,182.11100,358.88218,539.61865,627.32611,501.30455,273.86803,477.61307,664.06338,725.89169,596.16284,465.92387,661.52149,804.54435,833.93061,731.45753,18.31718,10.07274,5.13783,2.46676,1.21695,0.59017,0.28387,0.11075,29.33457,18.75415,39.30581,62.36397,34.85002,-238.42803,-334.70621,2.80851,3.29223,3.88337,2.26596,2.71917,3.30670,1.97381,2.37534,2.92225,0.00000,0.00000,0.00000,1.98180,4.98907,10.40454,2.16992,4.66889,8.57609,85.62288,9.83429,-7.20481,20.42762,-33.16487,0.75957,0.14546,0.00000,0.00000,0.00000,0.50000,1.00000,0.02000,0.04472,0.25000,1.00000,1.00000,5.4
2bzz,76.59631,103.17838,140.11415,185.28695,266.54471,351.66813,118.59577,237.24736,442.74289,161.64123,339.27848,626.45737,209.03619,448.29264,816.61868,1270.24359,397.48433,818.43578,1380.04278,1811.31685,1567.28483,621.18731,1154.37054,1745.86365,2069.46762,1808.71541,1149.48482,1705.09683,2167.30214,2341.55283,2130.69942,27.55650,12.87876,5.20713,1.77239,0.45323,0.06067,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,200.47596,-678.62825,-763.99162,7.99432,9.51941,12.27132,5.73484,7.25524,9.90960,4.41142,5.80419,8.25800,0.13006,1.19003,5.80902,0.00000,0.16885,1.36462,0.13143,1.31425,5.92148,-68.05059,-34.45947,-12.77598,87.93257,-103.04891,2.08475,0.42174,0.00000,0.00000,0.00000,2.85000,16.00000,5.12000,0.17889,0.00000,16.00000,1.00000,6.43
1ha2,36.65037,75.45873,123.65909,133.77335,158.88349,212.79670,63.31054,193.90627,273.85859,95.09641,262.05718,393.51173,131.78789,330.04318,515.76008,745.86684,266.10149,549.97386,865.17083,1077.26733,910.65637,409.19952,746.23521,1084.30759,1240.85169,1060.10529,729.28508,1065.82433,1331.51449,1414.64162,1268.52338,9.11900,3.71072,1.16739,0.29384,0.06165,0.00013,0.00000,0.00000,69.55461,49.70684,91.75578,139.01032,27.98895,-443.68823,-510.99910,0.87332,1.02780,1.35845,0.61133,0.77085,1.08676,0.47025,0.61668,0.90563,0.00000,0.00000,0.05278,0.00000,0.00000,0.00000,0.00000,0.00000,0.05278,-8.25577,-3.94688,-1.41749,5.77507,-53.82764,0.09408,0.01427,0.00000,0.00000,0.00000,1.15000,4.00000,0.32000,0.08944,0.75000,4.00000,1.00000,5.54
1tyr,23.00541,35.67880,51.69062,62.81575,89.02422,110.47896,37.34113,86.01788,146.20071,52.84244,120.10623,205.51443,70.25660,155.88097,267.22392,406.55948,136.50934,275.36179,450.75297,579.04315,489.98587,210.85310,383.23002,567.85253,661.08806,567.64295,381.32501,557.98310,700.64979,748.50113,673.78616,19.43136,12.43311,7.87641,4.92594,2.98967,1.69566,0.83626,0.30178,50.21308,38.25744,63.58492,88.34855,8.32670,-132.09791,-261.06358,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1.87960,3.93929,7.49363,0.00000,0.00000,0.00000,1.87960,3.93929,7.49363,-0.06901,-0.02268,-0.00636,-2.07031,-37.63232,0.16082,0.02644,0.00000,0.00000,0.00000,1.10000,8.00000,1.28000,0.12649,0.95000,12.00000,1.00000,7
1re8,90.31312,132.91353,188.69502,232.65580,293.04761,345.40239,143.01707,308.07441,487.42953,196.88057,431.51459,684.53984,256.89644,556.77338,886.46320,1253.43913,481.87903,948.76403,1469.53480,1803.21053,1498.89844,724.80454,1285.14721,1836.83479,2076.26085,1754.41438,1262.81402,1821.36698,2251.99417,2372.87841,2113.30373,26.00945,11.55343,4.53028,1.57397,0.48910,0.08485,0.00009,0.00000,58.92635,39.28879,81.62566,133.48838,111.45026,-767.58269,-889.80011,6.68571,7.66268,9.10488,4.87284,5.90770,7.41246,3.74834,4.72616,6.17705,0.00000,0.32706,2.58799,0.32084,1.79650,5.16424,1.17095,4.09750,10.40058,-45.59904,-25.41004,-9.59377,31.61500,-101.17652,-0.01821,-0.00085,0.00000,0.00000,0.00000,1.75000,7.00000,0.98000,0.11832,0.90000,10.00000,1.00000,9.52
1l2s,40.05150,68.21008,81.01146,100.96680,125.87485,159.36985,65.66396,137.95104,211.37244,93.22344,194.22446,301.47906,121.96421,250.28273,394.65322,584.27926,223.40003,428.79927,667.67105,837.68607,707.76230,333.00500,585.50726,841.60909,963.13012,823.08902,580.76308,837.86348,1039.22130,1100.20435,984.93541,17.24643,8.90060,4.29639,1.83817,0.57803,0.10409,0.00005,0.00000,13.38948,8.61712,16.90110,24.39883,81.83394,-344.96623,-406.66937,6.33232,6.79964,7.47146,4.65487,5.28493,6.12533,3.58067,4.22795,5.10445,0.21160,1.13085,3.79296,0.00000,0.00000,0.09828,1.61794,5.33940,12.67847,-38.17018,-23.07592,-9.00420,21.68082,-48.58377,0.89837,0.19373,0.00000,0.00000,0.00000,0.95000,4.00000,0.32000,0.08944,0.30000,4.00000,1.00000,4.59
