name,total,qq_pl,desolv_pl,vdw_pl,hbond_pl,qq_l,desolv_l,vdw_l,DrugScore,HMscore,PLP_tor,affinity
1o2s,-11.049,-1.774,9.625,-8.414,-3.116,-0.039,0.914,-0.389,2.029,-0.000,3.500,5.47
1axz,-6.846,-1.520,5.658,-5.233,-2.394,-1.033,0.440,-0.180,33.257,-0.000,16.700,3.2
2dua,-0.966,-0.274,3.800,-2.976,-1.914,1.519,0.039,-0.050,19.814,-0.000,0.000,4.77
1gzc,-8.658,-1.430,6.442,-6.468,-2.438,-1.810,1.608,-1.166,39.829,0.253,30.800,3.49
1obx,-15.292,-1.930,4.800,-7.422,-1.728,-1.804,2.482,-3.066,-10.600,2.299,21.700,5.72
1z3v,-9.927,-1.532,10.792,-9.283,-2.308,-2.092,1.709,-1.225,59.100,-0.000,28.900,4.11
2avv,-24.928,-1.185,10.650,-17.866,-1.659,-1.196,2.281,-3.322,-5.286,4.482,27.600,9.26
3lqj,-26.198,-3.473,11.867,-14.840,-3.193,-1.780,5.666,-5.519,-45.471,2.647,50.800,5.37
2rfy,-6.518,-0.528,11.092,-9.677,-0.884,-1.928,1.778,-0.676,56.586,-0.000,31.500,5.22
2wk2,-18.781,-1.200,11.050,-15.358,-2.931,-1.641,3.283,-3.364,28.971,1.562,36.300,6.82
3eks,-17.994,-0.763,4.508,-12.316,-2.095,-0.370,0.665,-1.525,41.200,6.933,10.300,5.7
4fbx,-13.366,0.040,4.825,-8.470,-0.066,-0.371,0.541,-0.465,-5.443,5.902,1.200,7.66
220l,-4.761,0.000,-0.442,-3.500,0.000,0.000,0.000,0.000,5.843,2.022,0.000,3.4
3dnj,-14.650,-1.944,6.758,-10.552,-2.866,-0.677,1.414,-1.114,6.686,0.948,15.000,6.82
1eix,-17.161,-7.183,14.075,-10.214,-6.276,-0.242,1.489,-1.161,43.100,-0.000,13.900,11.06
1ugw,-8.576,-1.909,5.517,-5.950,-2.935,-0.760,0.478,-0.217,27.086,0.084,15.100,3.09
3m6p,-15.901,0.926,6.125,-11.625,-3.108,-0.324,0.763,-1.847,-14.543,1.532,24.000,8.35
1z3t,-8.915,-1.730,10.767,-9.192,-2.799,-1.387,1.624,-1.209,63.671,-0.000,27.700,3.94
4e0w,-14.952,-3.999,6.633,-8.230,-3.891,-1.450,0.622,-0.722,21.814,-0.000,9.000,7.48
1b6m,-25.014,-3.414,8.908,-15.927,-3.780,-0.436,1.596,-1.736,11.457,5.295,23.900,8.4
3bzi,-25.302,-1.825,10.750,-13.688,-4.248,-2.769,4.545,-4.960,-4.957,4.801,44.900,5.74
3dcs,-5.915,0.582,5.108,-6.059,-0.578,-0.373,0.404,-0.329,6.486,0.654,1.500,7.94
2yim,-25.124,-3.719,18.933,-19.900,-5.445,-0.868,4.649,-3.579,26.314,2.065,35.500,3.92
2wp1,-17.817,-0.768,5.917,-8.558,-0.512,-2.412,4.854,-4.790,-38.314,4.906,45.700,3.6
1ws5,-7.688,-1.420,4.950,-5.906,-2.526,-0.584,0.475,-0.329,25.871,0.168,15.600,3.03
4auy,-11.809,-2.886,7.450,-7.713,-4.475,-0.457,0.778,-0.870,60.300,2.739,13.100,7.74
4e3h,-4.754,-0.027,2.492,-4.198,-0.508,-0.027,0.107,-0.031,10.514,1.512,3.000,7.05
3lzv,-21.074,-1.156,9.433,-15.630,-2.214,-0.439,1.737,-3.534,6.957,3.142,19.900,10.59
4e49,-4.662,-0.053,2.450,-4.207,-0.532,-0.047,0.112,-0.031,13.057,1.512,2.600,5.11
1z1r,-22.881,-1.471,9.875,-16.013,-3.405,-0.420,1.707,-2.329,-1.371,3.837,18.100,9.22
1db1,-20.885,-1.062,3.417,-12.908,-2.575,-0.023,0.016,-0.970,36.186,8.938,19.800,9.26
2wcg,-11.325,-2.728,9.175,-7.491,-3.748,-0.276,0.378,-0.099,13.757,-0.000,8.400,6.38
1c2t,-18.009,-1.872,10.967,-14.192,-2.608,0.276,1.603,-2.005,13.271,3.161,9.000,6.59
2y7k,-7.117,-0.427,3.683,-5.912,-0.104,-0.248,0.227,0.032,7.800,1.940,1.400,4.93
3kyg,-7.953,-2.552,8.542,-5.462,-1.828,-0.527,1.540,-1.066,6.900,-0.000,15.200,7.46
2er6,-32.902,-3.420,15.917,-20.283,-4.207,-3.137,5.903,-7.151,-4.643,3.708,42.200,7.22
3d1e,-20.678,-1.330,8.150,-12.879,-2.233,-2.052,3.520,-4.019,-11.471,2.824,32.800,5.77
1dqx,-15.289,-5.392,14.142,-10.970,-5.011,-0.387,1.415,-1.081,45.929,-0.000,14.100,11.05
1urg,-10.745,-1.498,8.725,-9.483,-2.705,-1.859,1.665,-1.325,54.386,0.253,27.600,5.82
2ieo,-18.932,-1.286,9.100,-14.703,-1.082,-0.381,1.691,-3.586,18.686,3.670,19.800,8.49
3ebb,-10.309,-0.688,4.517,-6.465,-0.496,-0.880,2.410,-3.051,-4.086,2.382,17.500,5.3
4av0,-12.074,-3.131,7.633,-8.513,-2.898,-0.483,0.587,-0.734,54.243,2.822,14.800,6.98
3iqg,0.681,-3.353,8.408,-9.082,19.192,-1.577,3.549,-3.380,-9.171,2.785,19.600,4.6
2rk7,-4.790,-4.955,3.367,-2.550,-1.185,1.879,0.046,-0.050,5.943,-0.000,1.400,4.05
3lil,-18.333,-0.468,8.558,-16.325,-2.896,-0.724,1.739,-1.958,24.400,1.327,13.300,8.08
3omg,-2.691,-1.097,8.458,-0.609,-0.111,-1.287,5.228,-5.138,11.886,2.454,37.400,4.72
2jdn,-5.098,0.031,5.458,-5.386,-3.275,-0.215,0.422,-0.330,34.914,-0.000,13.500,5.56
3lik,-19.632,-0.566,7.433,-16.464,-3.028,-0.830,1.671,-2.146,30.743,2.461,11.400,8.72
1apw,-20.082,-1.886,8.283,-12.928,-3.582,-0.687,1.662,-2.962,-1.786,2.132,24.800,8
1ze8,-13.101,-0.360,3.483,-7.503,-1.614,-0.184,0.106,-0.649,-2.100,4.353,3.400,7.68
3uvx,-20.227,-0.874,7.350,-11.086,-1.986,-1.907,3.486,-3.703,-38.043,3.567,44.700,4.34
2h6q,-24.069,-2.655,13.033,-13.852,-4.491,-1.606,5.462,-5.577,-22.243,3.374,57.800,5.11
2qt5,-18.547,-4.454,7.750,-9.206,-4.585,-0.811,1.943,-2.107,-6.871,1.182,23.800,5.03
3eys,-22.775,-2.332,14.458,-15.293,-2.966,-0.829,4.188,-4.719,-25.043,2.717,25.400,5.52
3lk1,-3.176,0.877,0.800,-2.221,-0.001,0.027,0.175,-0.205,1.671,2.359,1.100,4.26
1icj,-8.732,-0.589,6.017,-10.034,-0.898,0.226,0.887,-1.916,28.543,0.084,38.000,2.22
1g3b,-8.660,-0.824,8.133,-7.871,-2.301,0.061,0.822,-0.494,7.586,-0.000,2.000,5.74
2nn8,-8.773,-2.197,6.192,-5.493,-3.500,-1.499,1.698,-1.225,34.471,-0.000,31.000,3.59
2qo8,-12.779,-0.202,4.050,-6.838,-1.109,-0.322,0.383,-0.966,-8.957,4.894,10.800,8.47
223l,-5.758,0.000,0.025,-3.896,0.000,0.000,0.000,0.000,-3.543,2.022,0.000,3.4
3d3x,-13.717,-1.580,6.900,-9.105,-1.364,-0.835,1.299,-1.264,-17.914,0.971,17.600,4.16
1sts,-21.582,-0.724,10.908,-11.819,-1.707,-2.292,6.817,-6.777,-39.300,5.058,32.500,5
3ifo,-30.584,-5.448,16.625,-17.041,-6.162,-3.104,5.943,-6.107,-0.714,2.551,39.900,7.26
3oys,-11.566,-0.397,4.175,-7.066,-1.654,-0.210,0.419,-0.670,-6.043,2.951,1.900,8.05
2j9n,-8.053,-1.619,7.433,-6.645,-2.144,0.314,0.391,-0.095,4.129,-0.000,0.000,4.7
3d20,-21.639,-1.256,9.608,-16.098,-2.665,-0.427,1.726,-3.574,14.257,3.332,20.900,8.3
1utc,-29.428,-3.332,11.083,-15.125,-3.673,-2.624,6.536,-10.229,-8.714,3.929,39.000,4.55
1wei,-5.157,-0.110,4.708,-3.749,-0.829,-0.319,0.122,-0.027,-1.443,0.845,0.000,9
3tei,0.924,-1.423,15.942,-9.927,7.069,0.548,3.854,-1.926,39.700,1.854,16.400,6.3
2z8e,-6.127,-1.053,5.425,-5.088,-0.886,-0.971,0.722,-0.546,16.486,0.084,14.300,8
3pb3,-19.262,-3.591,11.708,-12.503,-4.641,-1.461,1.241,-1.103,11.043,0.007,23.600,6.22
1udt,-19.029,-0.244,5.500,-12.047,-0.952,-0.273,0.659,-1.505,-9.614,6.291,7.500,9.3
1gz3,-18.523,-1.772,17.317,-12.460,-2.842,0.761,2.566,-1.641,-70.800,1.680,20.800,3.7
3dcw,-6.789,0.825,5.450,-6.670,-0.589,0.102,0.298,-0.221,7.129,2.237,3.100,9
3iqh,-12.870,-2.335,6.108,-7.502,-1.662,-0.921,2.097,-2.551,-0.757,1.726,22.800,4.59
1bcj,-5.180,0.423,4.608,-4.971,-1.307,-0.816,0.664,-0.542,15.571,0.267,13.200,3.7
1byk,-16.449,-7.630,16.208,-11.427,-5.858,-1.676,2.297,-1.439,90.200,-0.000,29.400,5
2yiv,-7.216,-0.048,1.133,-3.158,-0.000,0.000,0.060,-0.099,-38.457,1.875,6.100,2.78
1oko,-4.152,0.190,5.208,-5.153,-1.524,-0.756,0.430,-0.196,32.757,-0.000,15.400,4.54
2qoa,-8.509,-0.187,3.617,-5.852,-1.147,-0.161,0.180,-0.226,-2.429,1.904,0.000,7.28
1jmi,-13.739,-5.019,11.533,-8.308,-3.605,-0.341,0.909,-0.706,18.671,0.462,9.900,6.06
1n7m,-13.043,0.109,6.083,-13.537,-0.291,-0.481,0.893,-1.357,39.129,2.550,10.300,5.71
4as6,-14.392,-0.294,5.525,-6.673,-0.609,-1.300,0.480,-0.584,-53.314,2.391,2.200,6.4
3n0h,-11.938,-1.714,8.733,-9.076,-1.616,-0.100,1.133,-0.565,9.314,2.661,4.700,6.21
3omc,-19.004,-2.423,10.658,-11.728,-1.000,-1.346,5.174,-4.260,-48.743,2.624,42.700,5
1ofz,-8.269,-1.655,4.017,-4.357,-2.804,-1.284,0.299,-0.075,22.786,0.527,11.700,4.62
4afh,-30.506,-2.097,4.708,-14.587,-1.159,-0.326,0.491,-0.966,-130.657,4.555,11.500,9.54
4f9v,-11.313,0.059,3.675,-8.637,-0.261,-0.314,0.451,-0.516,-11.329,2.308,9.300,6.03
2xxw,-11.999,-3.354,6.267,-6.458,-3.686,-1.095,0.435,-0.320,18.100,-0.000,13.200,6.41
4ea1,-12.721,-1.854,3.267,-8.555,-0.479,0.082,0.369,-0.379,3.814,3.724,10.900,6.44
4fbe,-10.941,0.194,3.725,-8.841,-0.224,-0.307,0.460,-0.197,-9.114,2.308,7.800,6.99
1q95,-27.240,-12.839,13.975,-9.375,-6.585,1.659,1.363,-1.029,-68.314,-0.000,9.900,7.57
2itk,-19.331,-1.435,7.217,-10.392,-2.025,-2.479,3.857,-4.844,-0.486,3.837,26.300,7.69
1gz9,-12.689,-1.837,8.467,-8.908,-3.499,-2.730,2.697,-2.585,56.671,0.864,40.000,3.51
3dvp,-28.733,-4.662,14.350,-16.653,-5.541,-1.953,5.056,-4.697,-23.786,2.239,41.100,5
2er9,-29.443,-2.019,13.008,-19.756,-3.689,-1.719,4.671,-5.959,-12.529,3.800,38.800,7.4
2nnp,-27.113,-1.282,11.292,-17.680,-2.000,-1.213,3.331,-4.721,-16.543,5.671,20.400,8.37
2hs2,-19.455,-1.415,9.158,-14.938,-1.771,-0.419,1.727,-3.559,12.486,2.614,20.300,8.31
3iqi,-18.129,-2.983,8.517,-8.868,-3.341,-2.711,3.892,-3.549,-19.543,0.357,22.300,4.41
2o1c,-5.571,-2.455,6.575,-3.638,-1.760,-0.912,0.335,-0.240,32.257,-0.000,3.600,4.72
