name,TOTAL_SCORE,SCORE_RB_PEN,SCORE_NORM_HEVATOMS,SCORE_NORM_CRT_HEVATOMS,SCORE_NORM_WEIGHT,SCORE_NORM_CRT_WEIGHT,SCORE_RB_PEN_NORM_CRT_HEVATOMS,SCORE_NORM_CONTACT,PLPtotal,PLPparthbond,PLPpartsteric,PLPpartmetal,PLPpartrepulsive,PLPpartburpolar,LIG_NUM_CLASH,LIG_NUM_CONTACT,LIG_NUM_NO_CONTACT,CHEMPLP_CLASH2,TRIPOS_TORS,affinity
1o2s,-69.34100000000001,-65.34100000000001,-3.6495300000000004,-25.986,-0.271606,-10.9305,-24.487,-3.6495300000000004,-50.4926,-12.6599,-34.7811,0.0,0.0982393,0.0,2,17,0,0.0,0.503328,5.47
1gi9,-59.7213,-53.7213,-2.84387,-21.6466,-0.20930900000000002,-9.07157,-19.4718,-2.84387,-43.0415,-5.70726,-35.9135,0.0,0.14193499999999998,0.0,3,18,0,0.945449,0.681871,5.22
1axz,-52.083999999999996,-50.083999999999996,-4.34034,-22.7498,-0.289105,-9.22193,-21.8762,-4.34034,-33.0456,-12.0,-20.8928,0.0,0.0,0.0,0,12,0,0.0,0.07784719999999999,3.2
1kll,-47.8522,-41.8522,-2.08053,-16.8264,-0.14845999999999998,-6.97918,-14.7166,-2.08053,-30.2459,-4.0,-23.9504,0.0,0.0187217,0.0,1,22,0,0.0,0.651506,5.2
1yid,-45.0257,-29.0257,-1.45244,-14.3331,-0.08948660000000001,-5.6610000000000005,-9.2398,-1.45244,-33.1744,-17.1782,-24.7621,-8.0,0.6037170000000001,-0.00204608,8,23,0,0.0,6.730980000000001,5
2adu,-64.148,-62.148,-5.34567,-28.0192,-0.40296,-11.8361,-27.1457,-5.34567,-45.6647,-2.0,-35.3017,-12.0507,4.72959,0.0,4,8,0,0.0,0.0112686,7.74
2dua,-37.3461,-35.3461,-6.22435,-20.5523,-0.424291,-8.395589999999999,-19.4517,-6.22435,-19.4532,-12.1761,-6.39964,-8.0,1.32523,0.0,3,3,0,0.0,0.347562,4.77
2fkf,-46.9092,-36.9092,-2.3454599999999997,-17.2815,-0.139577,-6.746989999999999,-13.5975,-2.4689,-29.7266,-21.4505,-7.246810000000001,0.0,0.18385,0.0,1,19,0,0.0,0.900028,2.92
1vj9,-87.1235,-57.1235,-2.17809,-25.4751,-0.152667,-10.5036,-16.703,-2.17809,-79.0731,-21.8806,-60.7359,0.0,0.348438,-0.05,6,34,0,0.0,9.20305,7.55
1cim,-50.6029,-48.6029,-2.97664,-19.68,-0.170739,-7.58975,-18.9022,-2.97664,-36.0997,-7.61048,-27.1169,-8.0,1.34441,-0.05,4,13,0,0.0,3.07904,8.82
1gzc,-53.5522,-45.5522,-2.32836,-18.8308,-0.15645,-7.65555,-16.0177,-2.81854,-38.8588,-12.2146,-24.6182,0.0,0.00419474,0.0,1,18,4,0.0,3.66086,3.49
