name,Orientation_Score,Affinity_Score(Heavy_Ligand_Atoms),Affinity_Score,Buried_Protein_Hydrophobic_Term,Hydrophobic_Complementarity_Term,Polar_Component_Term,Number_of_Protein-Ligand_Hydrophobic_Contacts,Number_of_Protein-Ligand_H-bonds,Number_of_Protein-Ligand_Salt-bridges,Number_of_Metal-Ligand_Bonds,Number_of_Interfacial_Unsatisfied_Polar_Atoms,Number_of_Interfacial_Unsatisfied_Charged_Atoms,Buried_Carbons,affinity
4u4s,-6.077,-0.027,-5.598,-2.039,-0.083,1.742,38,1,0,0,12,1,1.000,2.92
3e93,-9.397,-0.167,-11.404,-6.607,-0.249,0.670,123,3,0,0,4,1,1.000,8.85
1owh,-8.040,-0.145,-8.699,-4.074,-0.747,1.340,54,4,5,0,8,2,1.000,7.4
3rr4,-7.904,-0.104,-7.086,-2.576,-0.498,1.206,71,6,0,0,8,1,1.000,4.55
3jya,-6.163,-0.090,-6.660,-2.514,-0.000,1.072,51,0,0,0,8,0,1.000,6.89
4k18,-8.129,-0.098,-8.052,-4.812,-0.166,2.144,81,2,0,0,14,2,1.000,8.96
2qbp,-10.159,-0.116,-9.505,-5.250,-0.913,1.876,83,5,6,0,11,3,0.920,8.4
4gfm,-6.794,-0.079,-6.645,-2.735,-0.166,1.474,41,2,0,0,11,0,1.000,7.22
4owm,-6.674,-0.125,-6.596,-1.582,-0.332,0.536,49,0,4,0,4,0,1.000,2.96
3gv9,-6.434,-0.104,-6.466,-1.152,-0.498,0.402,22,6,0,0,2,1,1.000,2.12
2wnc,-7.683,-0.155,-8.477,-3.980,-0.083,0.804,92,1,0,0,6,0,1.000,6.32
2xii,-9.220,-0.169,-9.950,-4.757,-0.913,0.938,73,5,6,0,5,2,1.000,7.2
3gc5,-8.813,-0.121,-7.633,-2.791,-0.830,1.206,78,7,3,0,8,1,1.000,7.26
3fcq,-7.174,-0.140,-7.178,-2.234,-0.664,0.938,33,2,6,0,5,2,1.000,2.77
3pyy,-7.041,-0.110,-7.966,-3.737,-0.083,1.072,70,1,0,0,8,0,0.944,6.86
3prs,-10.080,-0.143,-12.361,-7.819,-0.664,1.340,103,8,0,0,6,4,1.000,7.82
2xbv,-9.709,-0.059,-7.327,-5.025,-0.166,3.082,126,2,0,0,21,2,1.000,8.43
3nx7,-7.277,-0.079,-6.796,-2.503,-0.415,1.340,42,5,0,0,6,4,1.000,8.1
4j28,-7.725,-0.124,-7.325,-2.113,-0.664,0.670,49,3,5,0,3,2,0.833,5.7
2x00,-8.395,-0.156,-11.003,-6.908,-0.083,1.206,110,1,0,0,8,1,0.938,11.33
3dx1,-9.038,-0.297,-7.890,-1.178,-1.494,0.000,34,4,14,0,0,0,1.000,3.58
4ivd,-8.043,-0.139,-8.693,-4.349,-0.332,1.206,72,4,0,0,8,1,1.000,9.52
3mss,-6.358,-0.130,-7.940,-2.990,-0.000,0.268,69,0,0,0,2,0,0.765,4.66
4abg,-6.541,-0.127,-7.129,-2.517,-0.332,0.938,43,2,2,0,7,0,0.917,3.57
3f3d,-7.461,-0.212,-7.122,-1.406,-0.498,0.000,40,6,0,0,0,0,1.000,7.16
2j7h,-7.342,-0.131,-6.529,-1.183,-0.664,0.536,33,8,0,0,3,1,1.000,7.19
1o3f,-8.461,-0.147,-8.901,-4.276,-0.747,1.340,67,5,4,0,10,0,1.000,7.96
3kgp,-6.291,-0.087,-6.173,-1.829,-0.332,1.206,34,2,2,0,7,2,1.000,2.57
2yki,-9.871,-0.144,-10.111,-6.201,-0.166,1.474,150,2,0,0,11,0,1.000,9.46
3ui7,-7.435,-0.146,-8.729,-4.149,-0.166,0.804,91,2,0,0,6,0,1.000,9
2xdl,-6.769,-0.149,-7.601,-2.670,-0.249,0.536,53,3,0,0,3,1,1.000,3.1
2zda,-9.408,-0.157,-9.766,-4.605,-0.747,0.804,87,5,4,0,6,0,1.000,8.4
1ydt,-8.279,-0.097,-7.838,-4.113,-0.249,1.742,85,1,2,0,13,0,1.000,7.32
2weg,-7.263,-0.202,-7.440,-1.609,-0.747,0.134,24,5,4,0,1,0,1.000,6.5
3uuo,-6.427,-0.145,-8.550,-3.702,-0.166,0.536,61,2,0,0,4,0,0.941,7.96
4kz6,-6.567,-0.136,-7.258,-2.244,-0.332,0.536,36,4,0,0,3,1,1.000,3.1
4bkt,-7.008,-0.103,-7.178,-2.566,-0.332,0.938,52,4,0,0,6,1,1.000,3.62
1syi,-9.319,-0.184,-8.346,-2.317,-1.079,0.268,53,7,6,0,2,0,1.000,5.44
3fv2,-9.879,-0.179,-8.798,-2.520,-1.328,0.268,55,10,6,0,2,0,1.000,8.11
4msc,-7.932,-0.174,-9.045,-4.414,-0.083,0.670,113,1,0,0,4,1,1.000,5.96
