name,AutoDock4.1Score,estat,hb,vdw,dsolv,tors,affinity
1n2v,-5.1698,-0.5479,-1.6405,-7.0118,3.1355,0.8949,4.08
2qmj,-7.5501,-4.1128,-4.9729,-11.6954,6.6684,6.5626,4.21
1qi0,-4.3854,-1.2526,-3.7400,-6.4972,3.5248,3.5796,2.35
1lor,-11.9074,-2.6128,-6.6885,-10.4946,6.0987,1.7898,11.06
2jdy,-1.9427,0.5178,-2.2417,-5.4883,3.4796,1.7898,4.37
1h23,-11.5108,-1.5740,-1.2947,-15.8414,2.7248,4.4745,8.35
1bcu,-5.3435,-0.1496,-0.8056,-7.4393,2.7527,0.2983,3.28
3myg,-4.8145,0.3881,-1.1214,-11.0303,4.2644,2.6847,10.7
3coy,-3.1380,-0.2526,-4.4496,-8.3393,6.9204,2.9830,6.02
3g2z,-4.0820,0.0655,-1.9795,-5.4466,2.3837,0.8949,2.36
2yge,-6.9577,-0.1551,-1.0095,-11.1613,3.5785,1.7898,5.06
2cet,-9.9189,-1.2338,-4.3972,-11.1500,4.4757,2.3864,8.02
2ymd,-10.1137,-2.2569,-2.9982,-8.7929,2.7411,1.1932,3.16
3f3a,-7.1197,-0.9944,-2.1541,-8.8612,3.6969,1.1932,4.19
2xys,-10.0450,-1.2640,-0.5046,-9.9461,1.3714,0.2983,7.42
3nw9,-10.4640,-0.2590,-2.8089,-17.6829,7.3038,2.9830,9
2iwx,-6.8151,-0.3341,-0.6195,-8.6166,2.1584,0.5966,6.68
1vso,-7.8836,-2.9598,-3.8948,-7.8449,3.8329,2.9830,4.72
4de2,-7.4835,-0.1713,-2.0313,-10.6509,3.8785,1.4915,4.12
4tmn,-8.6212,0.4816,-4.0934,-14.6767,5.1928,4.4745,10.17
1mq6,-11.0033,-0.1430,-0.9049,-17.1813,4.8396,2.3864,11.15
3gy4,-5.0228,-0.2807,-2.0855,-6.6651,3.1136,0.8949,5.1
3b68,-11.2798,-0.8044,-1.3513,-15.5195,3.7107,2.6847,8.4
3fcq,-1.9565,2.4830,-1.1466,-6.4577,2.2699,0.8949,2.77
4gid,-17.7599,-2.3585,-3.2860,-23.1504,5.9640,5.0711,10.77
3ebp,-6.7271,-0.2444,-0.0078,-10.2556,2.2891,1.4915,5.91
3u9q,-5.9008,-0.7748,-1.4828,-6.5958,0.5662,2.3864,4.38
3e93,-14.4062,-0.5714,-1.8627,-16.0343,2.5707,1.4915,8.85
3k5v,-5.3808,0.0097,-0.0256,-9.5318,2.3771,1.7898,6.3
2wbg,-7.5581,-1.3192,-2.7433,-10.8688,4.0918,3.2813,4.45
1z95,-10.0407,-0.2329,-1.0289,-13.2445,2.3776,2.0881,7.12
2fvd,-8.4543,-0.2811,-1.7302,-12.0061,3.7733,1.7898,8.52
3pxf,-6.3557,-1.5739,-0.7761,-5.3363,0.4356,0.8949,4.43
3cyx,-13.2402,-1.0599,-2.6146,-18.5033,4.7614,4.1762,8
3gnw,-10.5247,-0.3256,-1.6270,-14.0048,3.6428,1.7898,9.1
3f3c,-8.1416,-1.2657,-2.8610,-8.9215,3.7135,1.1932,6.02
1oyt,-9.9630,-0.4775,-2.1382,-12.6471,3.8083,1.4915,7.24
3n86,-11.3983,-0.3446,-4.4989,-14.2228,5.2815,2.3864,5.64
3uex,-3.6768,0.0790,-0.1441,-7.0818,-1.3027,4.7728,6.92
2brb,-6.0290,0.0126,-0.2068,-9.5993,2.5712,1.1932,4.86
3kgp,-3.7226,-1.1410,-0.3209,-5.9701,2.8144,0.8949,2.57
3ivg,-10.6381,-0.6677,-2.1299,-13.7865,3.8579,2.0881,4.3
3dxg,-1.6561,-0.3095,-0.9981,-5.7670,3.0322,2.3864,2.4
2y5h,-8.2930,-0.2598,-0.4028,-12.9107,3.4905,1.7898,5.79
3g0w,-9.6462,-0.2061,-0.7013,-11.7456,2.1119,0.8949,9.52
1yc1,-7.8370,-1.1438,-1.6841,-10.7913,4.2907,1.4915,6.17
3ozt,-11.2415,-0.4580,-3.9089,-15.6787,5.8210,2.9830,4.13
1w4o,-7.0674,-1.0857,-4.3925,-7.7242,4.0469,2.0881,5.22
3uri,-9.0745,-3.3688,-3.1769,-17.7307,6.5512,8.6507,9
3fv1,-12.0080,-3.5263,-5.6018,-12.4447,6.8802,2.6847,9.3
2wca,-6.2710,-0.9088,-2.3919,-9.1246,3.1713,2.9830,5.6
1nvq,-12.8253,-2.0606,-2.5346,-13.8068,3.7869,1.7898,8.25
2w66,-8.3016,-1.8399,-3.8529,-9.0618,4.6632,1.7898,4.05
2xnb,-8.3122,-0.1997,-1.2076,-11.3266,3.2284,1.1932,6.83
3ueu,-2.7204,0.0870,-0.0000,-5.0258,-0.7646,2.9830,5.24
1q8t,-4.7424,-0.5372,-0.6840,-6.9012,2.1868,1.1932,4.76
2weg,-4.4203,-0.1048,-0.9559,-5.4266,1.4703,0.5966,6.5
3jvs,-7.3583,0.4555,-0.8810,-10.5539,2.1296,1.4915,6.54
3f3e,-7.0051,-1.2102,-2.9107,-6.9630,2.8857,1.1932,7.7
2j78,-8.2755,-1.4137,-5.0396,-8.0423,4.4303,1.7898,6.42
2zcr,-5.5450,0.9920,-1.1995,-11.7979,2.5825,3.8779,6.87
2xbv,-10.9891,-0.1224,-0.5773,-17.4382,5.0606,2.0881,8.43
4de1,-8.3405,-0.2443,-3.0014,-9.9027,3.9130,0.8949,5.96
1sqa,-7.9270,-0.7300,-2.5859,-12.3633,5.3658,2.3864,9.21
3mss,-4.1251,-0.0918,-0.0001,-6.5796,0.4584,2.0881,4.66
3ejr,-10.2978,-2.6075,-2.8863,-11.1582,4.2661,2.0881,8.57
3ge7,-15.0149,-4.2300,-4.7770,-13.4318,5.3358,2.0881,8.7
3zsx,-7.7571,-0.7808,-2.4080,-10.7582,3.2068,2.9830,3.28
1u1b,-8.2095,-2.8768,-3.4618,-13.8201,7.4747,4.4745,7.8
3utu,-12.1128,-0.3837,-2.9303,-18.4898,5.5149,4.1762,10.92
1uto,-3.5870,-0.9656,-0.5543,-4.9807,2.0186,0.8949,2.27
1a30,-2.7282,1.3865,-2.8109,-9.7982,4.6165,3.8779,4.3
3kwa,-1.1021,-0.6296,-1.0488,-6.6050,3.3034,3.8779,4.08
4djv,-10.7220,-2.3118,-1.8488,-10.9754,2.9225,1.4915,6.72
2xb8,-9.8256,-0.2553,-4.3015,-12.2966,4.9397,2.0881,7.59
3dd0,-4.8792,-0.0901,-1.0126,-6.8192,1.8496,1.1932,9
2v7a,-7.0572,-0.8101,-1.2735,-10.1187,3.3552,1.7898,8.3
3n7a,-6.1208,-0.4535,-3.9696,-7.1088,3.6213,1.7898,3.7
2v00,-7.9105,-3.0788,-1.7554,-7.2401,2.9707,1.1932,3.66
2vw5,-9.2161,-0.5969,-1.8760,-11.4546,3.2200,1.4915,8.52
3lka,-5.5695,-0.0955,-1.1888,-6.6455,1.4654,0.8949,2.82
3zso,-7.9602,-0.7522,-1.8956,-12.8733,3.6831,3.8779,5.12
3pww,-10.8905,-2.3644,-2.8479,-17.0465,5.4024,5.9660,7.32
3l7b,-5.8621,-0.3698,-2.8799,-9.5263,5.1241,1.7898,2.4
2yki,-14.3424,-0.2059,-1.8255,-16.7710,3.8634,0.5966,9.46
2zcq,-1.4941,4.4870,-1.7919,-10.1208,3.2470,2.6847,8.82
3ehy,-3.4845,1.4790,-0.5741,-8.3273,2.4464,1.4915,5.85
1ps3,-6.5323,-0.4747,-3.6910,-8.4559,4.5979,1.4915,2.28
2qbp,-10.7350,-2.9546,-2.5225,-12.7075,4.7649,2.6847,8.4
3udh,-9.1778,-2.9479,-1.8031,-6.4060,1.9793,0.0000,2.85
3g2n,-7.3598,-0.4719,-3.3291,-10.2019,4.5550,2.0881,4.09
2p4y,-10.6318,-0.7234,-0.5006,-15.3123,3.2198,2.6847,9
2x00,-12.3593,-0.1316,-0.5830,-13.1046,0.8634,0.5966,11.33
3gbb,-10.8983,-3.0993,-4.2135,-10.0550,4.9780,1.4915,6.9
1gpk,-9.1648,-0.9899,-1.2083,-9.5743,2.3095,0.2983,5.37
3oe5,-8.8918,-0.2148,-2.8606,-14.8151,5.7174,3.2813,6.88
1r5y,-9.7021,-2.5091,-3.6616,-7.6652,3.5372,0.5966,6.46
1e66,-10.6159,-0.1042,-0.4680,-12.3978,1.7575,0.5966,9.89
3d4z,-5.6939,-0.3905,-3.0825,-7.9607,4.2482,1.4915,4.89
2hb1,-6.7219,-1.6498,-2.0424,-7.7105,3.1893,1.4915,3.8
3uo4,-8.9013,-1.4539,-1.3776,-11.3601,3.5006,1.7898,6.52
2wtv,-5.4984,-0.1729,-0.5288,-9.5889,3.5990,1.1932,8.74
2xdl,-4.6966,-0.0821,-0.6990,-7.5458,2.1387,1.4915,3.1
1p1q,-7.6413,-2.3220,-3.6116,-7.7171,4.5179,1.4915,4.89
3ag9,-2.3164,-2.2793,-3.2008,-15.4065,7.8313,10.7388,8.05
1o5b,-6.7881,-0.2382,-1.5885,-8.3439,2.7859,0.5966,5.77
2yfe,-6.7416,-0.2518,-0.5976,-9.6603,1.3817,2.3864,6.63
1q8u,-6.5633,-0.6064,-0.1772,-8.2754,1.8992,0.5966,5.96
3ao4,-5.9420,-0.0890,-0.4375,-8.8903,2.8782,0.5966,2.07
2vvn,-7.6901,-0.4719,-2.7375,-10.0134,4.0413,1.4915,7.3
3acw,-9.0397,-0.7843,-0.5557,-9.8188,1.2242,0.8949,4.76
2qbr,-9.7795,-2.9791,-2.4468,-10.8976,4.1576,2.3864,6.33
1o3f,-5.3475,-0.3719,-0.0088,-10.4735,4.0153,1.4915,7.96
1xd0,-13.0506,-4.3230,-7.3029,-19.2529,9.4758,8.3524,7.12
3cft,-2.3038,-0.7570,-0.2369,-3.0688,0.8640,0.8949,4.19
1sln,-10.1618,-1.2256,-2.9656,-13.7792,3.6324,4.1762,6.64
3cj2,-6.3104,-0.2505,-0.4887,-7.2052,1.0374,0.5966,4.85
3bkk,-10.1942,-0.9778,-3.4919,-14.8013,4.9005,4.1762,6.08
2r23,-4.3192,-3.0241,-4.2333,-8.3501,5.6206,5.6677,3.72
1f8d,-6.0945,-2.7843,-3.2179,-7.9760,5.1990,2.6847,3.4
4des,-3.5286,-0.1486,-0.4863,-5.7473,1.9587,0.8949,5.85
3su3,-12.6045,-0.2806,-2.4689,-15.9952,4.0522,2.0881,9.13
3imc,-5.0268,-0.0289,-0.4484,-6.7960,1.9483,0.2983,2.96
3nox,-7.2117,-4.3399,2.4754,-10.7893,4.2489,1.1932,8.66
1hfs,-14.3036,1.8249,-2.0707,-23.2579,3.8307,5.3694,8.7
4gqq,-3.2719,-0.6429,-0.8788,-5.5720,1.7337,2.0881,2.89
1zea,-1.3465,-0.5449,-1.6739,-14.8453,6.1721,9.5456,5.22
3vd4,-5.4232,-0.4793,-2.9351,-7.1637,3.0668,2.0881,4.82
1igj,-6.6929,-0.0769,-0.0663,-10.2935,1.6557,2.0881,10
2ole,-4.8242,-3.6140,0.5726,-8.6547,4.1873,2.6847,7.25
2jdu,-3.6723,0.1992,-3.0717,-5.3436,3.3506,1.1932,6.72
3gcs,-10.9575,-0.5885,-1.9832,-13.6172,3.4416,1.7898,7.25
3l4u,-1.6951,-1.3303,-1.3201,-8.9608,4.8451,5.0711,7.52
1f8b,-5.2466,-1.9024,-3.1169,-7.7738,4.8618,2.6847,5.4
2jdm,-3.1334,0.2068,-2.7109,-4.7392,2.9167,1.1932,5.4
1f8c,-7.8347,-4.1608,-3.8856,-7.7480,5.2750,2.6847,7.4
1loq,-7.7636,-1.6817,-4.6792,-8.5537,4.7646,2.3864,3.7
2zwz,-11.1059,-5.2043,-3.7969,-7.7954,4.1991,1.4915,7.79
2obf,-11.8750,-1.7969,-1.3316,-13.2386,3.0006,1.4915,8.85
1lbk,-8.2279,-3.0129,-4.5348,-8.2544,4.2928,3.2813,3.18
2zjw,-3.7233,-0.2483,-0.1845,-8.0078,2.9274,1.7898,7.7
2j62,-12.1157,-1.1407,-4.0524,-13.9768,4.3696,2.6847,11.34
2d1o,-9.1735,-1.6853,-3.5795,-13.3098,3.4351,5.9660,7.7
2pcp,-9.7851,-0.5911,-0.5622,-10.2719,1.0435,0.5966,8.7
3f17,-9.0655,-0.3213,-1.9506,-10.9030,2.3196,1.7898,8.63
4dew,-5.4283,-0.1814,-1.3610,-8.2639,2.8864,1.4915,7
3vh9,-4.4846,0.1950,-0.6536,-5.9464,1.6222,0.2983,6.24
3bpc,-5.0311,-2.9377,-4.2352,-7.0259,4.3948,4.7728,4.8
