name,AutoDock4.1Score,estat,hb,vdw,dsolv,tors,affinity
3q5u,-2.8017,-2.7887,-3.8506,-14.1684,7.5656,10.4405,4.31
1o2s,-7.7480,-2.6021,-2.5863,-8.4431,4.6903,1.1932,5.47
3bze,-13.8169,-3.1918,-4.9504,-23.0424,7.5238,9.8439,6
1axz,-3.7231,-0.7341,-2.3196,-5.2326,2.7734,1.7898,3.2
2dua,-1.2573,1.0017,-1.9140,-2.9768,2.3335,0.2983,4.77
1gzc,-2.8925,-0.7226,-2.3940,-6.4680,3.1126,3.5796,3.49
1obx,-3.4911,-1.0898,-1.7246,-7.4392,2.2880,4.4745,5.72
1z3v,-3.1092,-0.8161,-2.3768,-9.3045,5.8086,3.5796,4.11
2avv,-10.1185,-1.2870,0.0857,-17.8738,4.7804,4.1762,9.26
4e81,-4.0916,-1.5078,-1.6262,-13.5367,4.5250,8.0541,5.24
3lqj,-6.1383,-2.1183,-3.1431,-14.8406,5.6112,8.3524,5.37
2rfy,-1.5676,-0.2489,-1.0274,-9.7482,5.8772,3.5796,5.22
2wk2,-8.1161,-0.4718,-3.0938,-15.4330,5.5130,5.3694,6.82
2v86,-5.7533,-2.2737,-3.2796,-16.3899,5.4512,10.7388,4.46
3eks,-11.3614,-0.2136,-2.0949,-12.3177,1.4750,1.7898,5.7
3nkx,-4.4470,-3.3697,-6.3438,-12.7516,7.5775,10.4405,5.12
4fbx,-6.6263,0.0699,-0.4451,-8.5945,1.7469,0.5966,7.66
220l,-3.7267,0.0000,0.0000,-3.5002,-0.2265,0.0000,3.4
3lqi,-3.1522,-2.8318,-3.6292,-15.0890,5.5708,12.8269,5.16
3dnj,-5.3836,-0.6231,-2.1321,-9.4228,3.5132,3.2813,6.82
1eix,-10.2225,-3.0626,-6.2984,-9.9902,6.7423,2.3864,11.06
3f9y,-10.3593,-3.0771,-5.7405,-21.2489,8.6702,11.0371,4.49
1ugw,-5.2462,-0.9350,-2.9047,-5.9504,2.7542,1.7898,3.09
3m6p,-9.7553,-0.9255,-3.7467,-11.7747,2.8136,3.8779,8.35
1z3t,-3.4552,-0.8263,-2.8122,-9.2014,5.8051,3.5796,3.94
4e0w,-9.2629,-2.9680,-3.8543,-8.2302,3.9997,1.7898,7.48
1b6m,-14.5646,-2.8222,-3.7494,-15.9272,4.3546,3.5796,8.4
3bzi,-6.8539,-1.5413,-4.8307,-13.7147,4.8804,8.3524,5.74
3dcs,-3.7595,-0.0628,-0.6655,-6.4026,2.1782,1.1932,7.94
2v7d,-1.6461,-2.9168,-3.5815,-9.3528,5.5544,8.6507,6.59
2yim,-12.5838,-2.6609,-5.8475,-20.2042,8.6713,7.4575,3.92
2wp1,0.1374,-0.7103,-1.0811,-8.6643,2.5390,8.0541,3.6
1ws5,-4.7064,-0.7047,-2.4814,-5.9064,2.5963,1.7898,3.03
4auy,-6.4419,-1.4671,-4.0306,-7.7130,3.7858,2.9830,7.74
3iqj,-4.7409,-2.4007,-6.0913,-11.6356,5.5428,9.8439,4.93
4e3h,-2.9260,-0.0068,-0.5073,-4.2171,1.2085,0.5966,7.05
3lzv,-10.0757,-0.3992,-2.2904,-15.6825,4.1202,4.1762,10.59
4e49,-2.9848,-0.0159,-0.5307,-4.2252,1.1904,0.5966,5.11
