name,cyscore,cyscore_hydrophobic,cyscore_Vdw,cyscore_HBond,cyscore_Ent,affinity
1a08,-3.6460,192.110,33.826,10.929,6,5.62
1u2y,-0.2360,-69.183,12.858,0.036,2,1.74
1b39,-2.2029,17.146,33.987,3.964,6,6.92
2i0d,-5.6353,290.841,51.370,-0.000,6,12.1
2c02,-1.6425,44.293,22.616,4.571,6,4.04
1a1b,-3.4874,192.037,31.525,11.286,6,6.4
1n2v,-1.4598,-6.366,23.555,4.536,3,4.08
1xd1,-5.7929,258.305,57.246,6.750,6,7.92
1jq9,-3.5280,198.232,31.672,3.964,6,8.45
3pch,-2.2163,163.268,12.717,-0.000,0,5.4
2bzz,-3.1385,50.268,43.545,5.607,6,6.43
1ha2,-3.3012,173.037,29.675,0.964,4,5.54
1tyr,-1.9721,150.488,10.697,-0.000,0,7
1re8,-5.8028,289.415,53.797,4.143,6,9.52
1l2s,-2.4877,119.500,23.609,1.750,3,4.59
2aou,-4.1272,227.451,36.435,0.036,6,7.73
1jqd,-2.8522,137.354,29.236,0.929,6,5.16
1apw,-4.2762,189.256,43.743,-0.000,6,8
2b1v,-4.2222,307.720,25.839,-0.000,2,5.74
1bra,-2.3496,128.915,19.342,-0.000,1,1.82
2hdq,-1.1481,27.976,13.033,6.929,0,1.4
1gni,-3.5720,220.695,29.694,2.643,6,8.07
2aov,-2.5914,121.939,23.512,4.000,1,7.04
2flb,-3.4441,154.732,33.130,5.464,3,5.74
2f01,-4.4285,278.841,34.087,-0.000,4,13
7cpa,-5.1502,278.805,45.286,11.893,6,13.96
1xgj,-2.2137,128.402,18.581,1.679,3,6
2er9,-6.0655,232.488,64.367,4.179,6,7.4
2fai,-4.0254,269.732,27.501,-0.000,2,6.24
1slg,-4.0046,130.866,46.746,-0.000,6,3.9
1is0,-3.7426,205.756,33.620,10.536,6,7
1utp,-1.5219,74.524,15.538,2.393,4,1.44
1y1m,-1.8285,114.878,13.090,9.036,1,1.82
1e5a,-1.4232,79.707,11.012,3.500,0,7.64
1h23,-5.2435,257.366,49.657,0.321,6,8.35
1bcu,-2.1478,52.476,24.610,6.929,0,3.28
2cet,-3.6525,190.463,32.471,6.500,4,8.02
4tmn,-5.6381,318.305,47.904,5.929,6,10.17
1mq6,-6.1264,297.841,57.654,0.000,6,11.15
1o0h,-2.1920,88.268,25.394,3.571,6,5.92
1nc1,-3.8066,208.561,32.609,5.143,4,6.12
2brb,-3.6780,227.220,29.341,0.107,4,4.86
1nvq,-5.1850,272.171,44.530,2.393,3,8.25
1q8t,-2.4373,122.317,22.610,0.071,3,4.76
2j78,-2.8290,183.500,19.732,1.714,1,6.42
1sqa,-3.6418,125.793,40.412,11.393,4,9.21
1u1b,-3.5662,108.768,42.900,2.929,6,7.8
1a30,-3.0314,174.732,27.172,6.321,6,4.3
1ydt,-4.4256,247.866,38.864,1.929,6,7.32
1gpk,-3.7516,202.817,30.251,0.393,0,5.37
1e66,-4.6470,246.927,38.575,0.893,1,9.89
1p1q,-1.4147,64.415,14.277,9.821,3,4.89
1o3f,-2.9293,121.280,28.891,9.036,2,7.96
1d09,-2.5100,125.512,24.280,20.536,6,7.57
2qwb,-1.8163,82.293,19.183,9.964,4,2.74
1g7q,-4.9185,208.854,50.404,7.857,6,6.06
1f4f,-1.9993,33.061,29.306,-0.000,6,4.62
3pce,-1.6940,104.890,13.301,-0.000,2,2
1zoe,-2.8115,162.634,22.028,-0.000,1,7.4
4tim,-1.5946,95.939,15.283,1.964,6,2.16
1tok,-1.1018,58.232,8.612,10.750,0,2.47
2fdp,-6.3096,310.610,58.358,10.714,6,7.59
3pcj,-1.9900,134.146,12.828,1.750,0,7.22
1uwt,-2.7294,168.244,20.104,1.643,1,5.97
2baj,-6.2034,397.110,45.146,-0.000,4,8.4
1if7,-3.4232,209.049,28.420,-0.000,6,10.52
2d3z,-4.2310,271.220,30.842,1.750,3,6.64
1nja,-2.8539,142.963,27.581,10.893,6,6.31
2ayr,-6.9989,428.329,54.657,3.321,6,9.29
2cer,-3.4398,167.134,32.090,8.250,4,9.22
2qwd,-1.6407,75.256,16.403,21.357,4,4.85
1fh8,-2.9577,165.817,25.336,6.357,4,6.89
1ftm,-2.7982,163.402,22.554,10.071,3,7.61
2qwe,-2.5735,150.268,22.290,19.750,6,7.48
1toj,-1.7345,100.878,14.749,5.536,3,3.39
1pr5,-2.7854,143.817,24.270,5.536,2,3.92
1f4e,-1.8521,84.671,18.606,-0.000,3,2.96
1y6q,-4.6114,266.537,37.714,11.964,4,11.7
1hfs,-8.4335,395.451,79.488,-0.000,6,8.7
2d0k,-2.8799,161.659,26.077,17.500,6,5.02
1ela,-4.2008,211.707,39.980,0.071,6,6.36
1rnt,-2.1265,89.000,23.432,11.429,6,5.19
1ndy,-3.9054,228.671,33.077,-0.000,6,6.17
1j17,-5.4836,269.317,49.900,0.000,4,5.22
1ols,-4.0599,199.000,39.122,8.107,6,5.82
3std,-6.0087,421.476,41.254,-0.000,6,11.11
1avn,-0.0388,-24.878,4.736,-0.000,2,3.9
5er1,-4.1019,231.280,36.101,3.000,6,6.02
2drc,-3.3924,205.561,28.362,15.643,6,9.89
1pb9,-1.8828,98.439,15.297,7.179,0,3.62
1d7j,-0.8531,26.622,10.416,-0.000,2,3.3
1pxo,-2.6458,132.171,24.951,2.964,4,8.7
2g8r,-1.7153,95.866,15.901,-0.000,4,3.99
1ndw,-3.0809,179.707,26.939,0.143,6,5.23
1fh7,-3.0302,176.976,25.261,1.429,4,5.24
1jys,-1.4208,52.122,14.307,2.250,0,3.52
1om1,-3.7338,196.963,31.862,1.464,2,6.77
1nfy,-5.0342,209.610,50.474,0.250,4,8.89
1fkb,-4.8012,248.476,44.314,-0.000,6,9.7
1loq,-1.8427,35.305,26.051,2.750,6,3.7
4tln,-0.7575,16.829,10.787,0.429,3,3.72
1trd,-1.7455,85.024,18.238,-0.000,4,5.4
2d1o,-4.4032,242.159,39.274,0.571,6,7.7
1k9s,-3.2087,118.683,33.351,6.536,2,6.52
1ndz,-5.5543,326.988,45.899,-0.000,6,8.11
2cgr,-4.4899,241.512,40.351,6.857,6,7.28
1toi,-1.7061,102.756,14.113,5.607,3,4.05
2brm,-3.3849,210.768,27.048,0.107,4,5.89
2fzc,-1.4315,38.390,20.109,8.286,6,2.7
6rnt,-1.8742,93.988,19.501,3.571,6,2.37
1fd0,-6.9048,451.963,47.513,1.536,2,8.4
1dhi,-3.2100,197.768,26.981,7.357,6,7.26
1hi4,-1.5019,58.659,19.032,0.643,6,4.49
1nje,-3.1282,165.024,28.677,17.250,6,3.8
1b8o,-3.4412,158.354,32.007,6.464,2,10.64
1jaq,-2.2696,62.354,29.742,-0.000,6,4.48
2h3e,-2.9825,147.927,27.274,49.821,6,5.7
1pz5,-4.9685,184.622,54.228,2.464,6,5.4
1ajq,-2.5710,163.610,19.035,-0.000,2,4.31
1fcx,-6.7995,446.195,46.728,0.179,2,7.19
1u33,-3.7743,192.134,36.128,0.000,6,4.6
1tmn,-4.5841,302.354,34.446,7.857,6,7.3
1pbq,-2.6377,136.439,21.786,5.643,0,6.27
1nhu,-2.7796,168.707,24.496,-0.000,6,5.66
1df8,-4.2845,269.195,33.148,-0.000,4,9.7
1syh,-3.2649,194.805,25.429,13.893,3,6.31
1bxo,-5.6533,268.622,54.271,-0.000,6,10
2f80,-6.1145,354.720,50.722,0.000,6,8.18
2bak,-6.9001,439.585,52.022,0.000,6,7.43
1olu,-3.5369,155.768,36.729,6.929,6,4.41
1fzj,-6.3323,263.500,64.265,11.214,6,8.1
1x1z,-2.3919,85.098,27.929,6.750,6,11.06
1flr,-4.1062,157.646,41.255,3.179,1,10
2g94,-6.8623,336.280,63.693,1.429,6,9.52
1bma,-5.5568,303.915,48.677,-0.000,6,4.59
1lol,-2.1115,68.732,25.990,2.393,6,6.39
1g7f,-3.5771,177.305,34.678,8.714,6,5.47
1ajp,-2.6114,169.939,18.868,-0.000,2,2.23
1q7a,-2.2349,104.720,22.988,-0.000,4,7.19
1m0n,-3.7209,156.329,39.399,5.179,6,2.22
2ctc,-2.7063,209.378,15.912,6.250,3,3.89
1v16,-3.3785,116.817,38.993,8.571,6,3.87
2j77,-2.5150,148.268,19.381,1.393,1,4.89
1ttm,-2.3222,105.585,23.542,-0.000,4,7.35
