name,cyscore,cyscore_hydrophobic,cyscore_Vdw,cyscore_HBond,cyscore_Ent,affinity
1o2s,-2.6863,128.610,24.661,5.071,2,5.47
1gi9,-2.0825,99.415,20.771,0.786,4,5.22
1axz,-1.7735,88.854,15.751,-0.000,1,3.2
1kll,-1.2330,58.354,13.767,5.214,4,5.2
1yid,-1.1235,11.012,19.112,3.036,6,5
2adu,-2.9716,188.476,21.241,0.929,1,7.74
2dua,-0.6948,42.415,4.893,3.393,0,4.77
2fkf,-0.7069,-8.085,15.096,9.107,6,2.92
1vj9,-5.6730,292.659,51.446,6.179,6,7.55
1cim,-3.2015,151.195,29.038,0.036,1,8.82
1gzc,-1.9794,103.622,20.026,-0.000,6,3.49
1n1t,-1.7771,39.622,23.000,11.821,4,3.85
2ff1,-3.3174,136.061,33.125,0.000,2,8.21
1qq9,-1.7143,89.024,16.939,9.107,4,2.06
1obx,-2.0884,108.793,21.599,-0.000,6,5.72
1ta2,-5.3150,290.098,46.814,0.000,6,8.52
1me8,-2.4825,118.402,26.168,-0.000,6,7.19
1xbb,-2.7210,120.012,29.428,0.143,6,5.3
1qca,-2.7654,136.695,28.093,-0.000,6,5.27
1rgl,-1.5184,39.341,20.839,3.536,6,4.43
2c3j,-2.7615,120.037,25.684,1.786,0,6.18
1z3v,-1.8583,4.378,30.062,-0.000,6,4.11
1af6,-1.7829,73.695,21.341,-0.000,6,1.82
1vja,-5.3938,303.268,46.058,8.214,6,7.7
2avv,-6.9297,400.268,57.113,0.286,6,9.26
1meu,-6.2738,335.939,55.251,0.286,6,6.1
1cil,-3.1438,136.768,31.130,0.107,3,9.43
1xzx,-5.1009,343.317,37.196,4.714,6,10.22
6tim,-1.7783,111.402,16.184,-0.000,6,3.21
2hh5,-6.1612,307.829,56.970,-0.000,6,7.49
1rdi,-0.8188,43.110,7.961,-0.000,2,2.06
3pcb,-2.0334,151.707,11.442,-0.000,0,2.4
1w8l,-1.9192,108.695,14.897,-0.000,0,0.49
1qiw,-4.6344,273.732,38.684,5.179,6,7.74
1joc,-1.0975,24.012,16.890,10.429,6,4.62
1q66,-3.3750,169.854,31.684,17.143,6,5.77
1owd,-2.7012,66.195,33.322,9.750,4,8.2
2bmz,-1.5412,74.049,17.797,-0.000,6,3.7
1imx,-1.5067,55.683,19.480,-0.000,6,3.52
1vkj,-3.4637,180.610,32.781,5.286,6,4.85
1hqg,0.0374,-54.988,8.022,10.000,4,3
1rzx,-4.0634,249.817,33.290,4.250,6,4.1
1f9g,-0.6553,-4.793,11.280,0.143,2,1.28
1hp0,-3.2226,139.317,31.297,1.679,2,6.7
2gh7,-4.4661,283.427,34.086,-0.000,4,13
1x9d,-2.6831,114.171,29.578,-0.000,6,3.96
1w6y,-2.7164,159.024,20.470,-0.000,0,5.36
1rdn,-0.7271,16.683,9.774,-0.000,2,1.84
8abp,-2.7347,153.122,22.043,-0.000,1,8
1y2g,-2.5115,147.878,20.651,-0.000,3,4.08
2f8i,-1.1092,64.195,8.974,2.000,1,7.26
1cin,-3.1110,137.707,29.938,-0.000,2,8.73
220l,-2.0955,156.634,11.755,-0.000,0,3.4
2br6,-0.8009,38.000,7.000,2.286,0,2.96
1pu8,-1.6126,69.207,15.143,0.071,0,3.1
1eix,-3.1483,198.024,25.223,12.857,6,11.06
1ent,-4.9820,244.598,47.396,0.000,6,6.96
1m9n,-4.3285,237.720,38.003,3.214,6,6.92
1pbk,-4.5620,250.537,40.530,1.786,6,9.05
1c4v,-4.4937,217.622,43.312,5.214,6,10.8
5tln,-2.7702,117.744,30.297,2.893,6,6.37
2bsu,-8.3580,575.415,56.667,8.429,6,5.66
1z3t,-2.1579,51.707,28.781,-0.000,6,3.94
1o0o,-0.4850,-16.159,13.138,1.786,6,5.1
9abp,-2.7470,161.280,21.254,-0.000,1,8
1gah,-5.0541,256.927,46.796,4.429,6,12
1o2x,-2.2865,95.646,25.423,0.000,6,5.85
2adm,-2.7028,118.280,29.068,7.571,6,5.7
1lf9,-4.3106,195.317,43.413,2.679,6,12
1rgk,-1.7538,92.244,17.964,3.571,6,4.31
1b6m,-6.6344,394.207,53.101,11.393,6,8.4
1y3g,-4.7306,288.268,38.417,3.571,6,7.4
1qy5,-2.3325,100.939,23.423,5.214,3,6.7
1awi,-5.1008,223.951,51.571,-0.000,6,4.05
