name,AlphaHB,repulsion_term,attraction_term,HB_term,affinity
1h23,-180.573,0.0271969,-17.6845,-1,8.35
3b1m,-163.478,0.0071013,-18.3549,5,8.48
4jxs,-111.824,0.0134747,-9.19585,-5,4.74
2pog,-122.962,0.0128634,-10.7091,-4,9.54
1bcu,-83.5005,0.000593751,-8.35065,-0,3.28
3d6q,-63.345,0.00120868,-5.5357,-2,3.76
3twp,-65.0667,0.0276809,-4.93435,-4,3.92
3myg,-118.075,0.0609752,-11.8685,-0,10.7
3coy,-231.142,0.0109054,-15.9251,-18,6.02
4qac,-142.159,0.0219781,-12.6378,-4,9.4
4crc,-178.983,0.0204351,-16.7187,-3,8.72
3u8k,-79.2879,0.0159346,-7.94473,-0,8.66
4k18,-133.647,0.0379949,-13.8027,1,8.96
3g2z,-62.1185,0.00250379,-4.61436,-4,2.36
2yge,-162.417,0.0110774,-15.4528,-2,5.06
4w9l,-113.234,0.0502298,-9.77358,-4,5.02
2cet,-153.125,0.0525967,-10.9651,-11,8.02
2ymd,-98.4316,0.0145363,-7.4577,-6,3.16
3f3a,-96.1585,0.0304703,-7.64632,-5,4.19
4lzs,-85.4885,5.04418e-005,-7.3489,-3,4.8
3ozs,-170.772,0.0461747,-15.9234,-3,5.33
2xys,-121.703,0.0340193,-12.6043,1,7.42
1c5z,-67.764,0.0132302,-5.58963,-3,4.01
3nw9,-190.708,0.0813183,-14.7521,-11,9
1z9g,-143.456,0.0450208,-8.39064,-15,5.64
5c1w,-66.9403,0.00267404,-6.29671,-1,5.06
2iwx,-118.192,0.0114706,-10.6307,-3,6.68
1vso,-109.637,0.0174842,-7.38122,-9,4.72
4de2,-135.535,0.002622,-11.5562,-5,4.12
3oe4,-179.023,0.0716211,-14.7739,-8,7.47
4llx,-66.0706,2.99911e-006,-5.00707,-4,2.89
4pcs,-64.6475,0.0243635,-4.48911,-5,7.85
4tmn,-271.537,0.0657749,-18.4195,-22,10.17
5a7b,-77.3993,0.0341408,-8.97407,3,3.57
2vkm,-258.992,0.16648,-25.2657,-2,8.74
4kzu,-110.493,0.0310386,-10.2804,-2,6.5
4f3c,-159.955,0.0498872,-12.8454,-8,11.82
1owh,-93.5941,0.0261235,-9.38553,-0,7.4
4f9w,-121.292,0.0155537,-11.3447,-2,6.94
1qkt,-121.562,0.0168351,-10.573,-4,9.04
1mq6,-154.114,0.0304604,-15.4418,-0,11.15
4owm,-44.9745,0.00287322,-5.30032,2,2.96
1o0h,-127.255,0.0105157,-6.73603,-15,5.92
3dx2,-124.199,0.0747592,-6.49464,-15,6.82
4m0z,-151.361,0.0354814,-12.3716,-7,5.19
3gy4,-68.8607,2.03644e-009,-6.08607,-2,5.1
4cra,-167.095,0.0231043,-15.1326,-4,7.22
3n76,-162.51,0.080874,-11.5319,-12,6.85
4j21,-122.523,0.0177786,-10.67,-4,7.41
2zb1,-144.347,0.0314286,-14.0662,-1,6.32
3b68,-167.86,0.0433626,-16.4293,-1,8.4
4bkt,-77.7825,0.00917391,-6.18743,-4,3.62
3b27,-86.4375,0.00558566,-8.24934,-1,5.16
4mme,-96.5613,0.0833681,-9.7395,-0,6.5
3arp,-152.245,0.0405365,-15.265,-0,7.15
4e5w,-148.852,0.00487777,-14.8901,-0,7.66
3fcq,-117.108,0.0173128,-6.92808,-12,2.77
3b5r,-145.019,0.0751304,-14.977,1,8.77
4gid,-262.331,0.110372,-25.1434,-3,10.77
3ebp,-96.4239,0.025411,-9.6678,-0,5.91
3u9q,-90.2329,0.00767638,-6.63097,-6,4.38
3e93,-188.013,0.0329547,-18.0342,-2,8.85
4w9c,-71.49,0.0140595,-5.56306,-4,4.65
4jia,-120.164,0.00733158,-11.6238,-1,9.22
1nc1,-148.051,0.154847,-10.56,-11,6.12
3k5v,-124.987,0.00777115,-11.7065,-2,6.3
2wer,-107.471,0.0345186,-9.98158,-2,7.05
2wbg,-158.533,0.070644,-10.324,-14,4.45
4w9i,-85.0293,0.0293013,-7.33223,-3,5.96
1gpn,-98.4772,0.0333991,-10.2811,1,6.48
3aru,-51.9848,0.0195579,-5.61803,1,3.22
3dx1,-121.362,0.0381822,-4.97442,-18,3.58
1z95,-150.4,0.0361178,-15.0762,-0,7.12
4mgd,-123.934,0.0142675,-10.4077,-5,4.69
2fvd,-144.246,0.0330224,-13.2576,-3,8.52
3pxf,-58.0492,0.010153,-5.41507,-1,4.43
4cr9,-62.7046,0.000608445,-6.67107,1,4.1
5c28,-65.5198,0.00227278,-6.15425,-1,5.66
3cyx,-237.396,0.0196982,-21.7593,-5,8
3gnw,-162.244,0.0429398,-17.0674,2,9.1
3f3c,-94.0786,0.0829784,-7.49084,-5,6.02
1k1i,-113.9,0.0036216,-8.99363,-6,6.58
1oyt,-133.345,0.0280285,-12.9625,-1,7.24
2al5,-142.028,0.00627616,-9.00905,-13,8.4
3n86,-185.928,0.0235027,-12.6163,-15,5.64
3uev,-78.0996,0.00222327,-7.41218,-1,5.89
2r9w,-117,0.0485993,-8.94859,-7,5.1
4ih7,-79.193,0.00234771,-7.92164,-0,5.24
3uex,-94.0005,0.00794566,-9.408,-0,6.92
2brb,-109.645,0.0126966,-10.5772,-1,4.86
3kgp,-45.844,0.0202855,-5.00468,1,2.57
1y6r,-167.706,0.0192652,-10.7898,-15,10.11
3prs,-218.048,0.0312764,-20.6361,-3,7.82
5c2h,-161.857,0.0219669,-15.0077,-3,11.09
3ivg,-160.679,0.107643,-14.9755,-3,4.3
3dxg,-65.3571,0.00050887,-6.13622,-1,2.4
2y5h,-128.583,0.0256084,-12.8839,-0,5.79
2xj7,-109.409,0.0382618,-7.7792,-8,6.66
4rfm,-104.308,0.00979394,-10.4406,-0,10.05
3fv2,-163.874,0.0090214,-9.99643,-16,8.11
