name,AlphaHB,repulsion_term,attraction_term,HB_term,affinity
2z1w,-99.1186,0.00919533,-7.52105,-6,4.08
1xh5,-202.119,0.0434054,-18.6553,-4,5.47
3s6t,-147.797,0.00295635,-10.7826,-10,7.35
3b67,-167.311,0.0372832,-17.5683,2,8.85
3fas,-106.33,0.00445814,-5.83742,-12,6.77
3m3z,-123.958,0.0750615,-11.6708,-2,5.73
2uyq,-94.2359,0.00872252,-7.03231,-6,5.68
1xd0,-301.537,0.0527628,-23.8065,-16,7.12
3djo,-77.3636,0.0116079,-4.54796,-8,4.39
1b05,-150.747,0.0147726,-13.8895,-3,7.12
4lps,-179.547,0.0138982,-10.3686,-19,5.74
3iph,-138.661,0.0255499,-13.4916,-1,7.6
4mjp,-89.5419,0.0111596,-7.76535,-3,3.88
4jfk,-156.758,0.0958991,-13.3717,-6,6.44
3wz7,-140.037,0.0181856,-14.0219,-0,5.74
2iuz,-128.429,0.0951062,-11.738,-3,5.55
4g0q,-96.8884,0.0371779,-6.12602,-9,2.52
3p9m,-257.204,0.0428897,-20.9633,-12,5
2wzs,-101.737,0.0418801,-6.21558,-10,3.85
4jyb,-191.167,0.0119461,-11.1286,-20,6.96
2zxg,-198.427,0.0117017,-13.0544,-17,8.82
4owv,-57.6364,0.00392504,-4.96757,-2,4.35
4m13,-163.446,0.0331259,-13.9777,-6,6.7
1usn,-122.512,0.00444222,-9.85561,-6,7.74
2psu,-188.298,0.0170106,-16.8468,-5,7.62
1odj,-146.784,0.0205882,-10.299,-11,4.1
4lm2,-76.2502,0.00848668,-6.03351,-4,3.03
3daz,-107.969,0.00202059,-6.39892,-11,7.93
3rz1,-107.697,0.00656851,-7.17628,-9,8.74
2qx0,-106.499,0.00877815,-7.85868,-7,6.11
4zb6,-256.527,0.0163433,-17.2691,-21,6.28
3fvn,-165.299,0.0200168,-9.74996,-17,6.77
3f70,-43.3167,0.0197832,-2.75145,-4,4.85
2gj5,-54.2735,0.0313596,-6.25871,2,8.32
1szd,-222.903,0.00526558,-16.6956,-14,4.54
1d4y,-224.16,0.0267122,-18.8427,-9,11.1
4xu3,-191.464,0.0565517,-18.803,-1,9.5
3rm4,-132.434,0.011009,-11.6544,-4,5.77
1wm1,-76.7939,0.111554,-8.19094,1,6.3
2y7x,-125.003,0.0397174,-12.54,-0,8.89
2ans,-93.29,0.00908757,-9.73808,1,5.92
1td7,-59.2644,0.00931516,-6.73576,2,4.37
2wc4,-161.242,0.0580907,-10.1823,-15,5.29
2xde,-112.965,0.0268583,-9.32336,-5,5.47
4pzv,-245.612,0.0997806,-16.661,-20,5.7
1d09,-193.145,0.032826,-8.54735,-27,7.57
4j74,-54.4409,0.00113358,-6.24522,2,4.59
3q6z,-180.109,0.020376,-13.2313,-12,3.72
3ozj,-95.2631,0.278963,-10.2053,1,5.11
3ml5,-111.901,0.00375498,-5.9939,-13,8.52
3a2o,-192.329,0.0354186,-20.0683,2,9.08
4a6l,-105.622,0.0218205,-11.384,2,8
3jyr,-261.848,0.0256602,-18.6105,-19,5.54
4u5o,-64.0164,0.0402237,-6.44186,-0,2.42
2pqz,-226.535,0.0543897,-19.1079,-9,5.67
1yda,-120.251,0.0233782,-6.04844,-15,6.55
1mfi,-78.4261,0.0481319,-7.49074,-1,5.59
2qtt,-137.661,0.00471762,-10.1708,-9,4.32
2ha2,-105.931,0.178159,-9.97129,-2,4.66
4b34,-48.3081,0.0784556,-4.10927,-2,3.14
1nw5,-187.496,0.0112651,-12.7609,-15,5.21
2exm,-99.1437,0.0217056,-7.93608,-5,4.11
4k4j,-130.86,0.0246853,-11.5107,-4,6.12
3p58,-67.1427,0.0045231,-6.31879,-1,7.6
1ec3,-233.805,0.0665961,-21.8471,-4,9.04
4ayu,-37.7752,0.00246252,-2.97998,-2,4.73
3r16,-102.717,0.00167374,-6.67342,-9,7.3
4k5p,-139.209,0.0694883,-7.59034,-16,3.46
3nb5,-94.632,0.00193768,-5.86514,-9,7.74
1o7o,-178.574,0.0398243,-12.2972,-14,4.49
1fl3,-119.332,0.101556,-12.0348,-0,6.8
1xk5,-113.591,0.0796822,-10.2388,-3,6
3sym,-180.579,0.00586519,-11.6637,-16,4.57
5cp9,-56.5302,0.0509632,-4.50398,-3,3.51
4x6m,-157.45,0.0311715,-15.3761,-1,8.24
3ta1,-219.961,0.00230827,-14.7984,-18,3.25
3ipu,-176.44,0.00811927,-18.4521,2,7.32
5boj,-101.256,0.0366661,-9.3623,-2,7
4ye3,-201.231,0.180494,-17.9036,-6,8.37
2qwb,-129.938,0.021547,-9.01537,-10,2.74
4ge1,-64.9865,0.00137612,-6.10002,-1,6.43
3lzs,-201.734,0.0499923,-17.8234,-6,10.96
3rdq,-117.728,0.00233432,-7.3751,-11,9.31
2pwr,-275.303,0.0589931,-21.9893,-14,6.59
4xe1,-116.926,0.00642592,-8.09903,-9,7.11
3bbf,-136.1,0.00120425,-11.2112,-6,5.28
1ax0,-95.6891,0.00410581,-5.57302,-10,3.13
4z1k,-111.004,0.00393682,-6.70436,-11,8.33
1yei,-161.139,0.0085655,-12.9225,-8,7.46
1g7q,-208.259,0.0610304,-17.287,-9,6.06
3upv,-180.422,0.00966272,-12.0519,-15,5.3
1hmr,-129.085,0.0038483,-11.3123,-4,6.55
4og4,-121.269,0.0273418,-11.3542,-2,6.02
4kwg,-72.8698,0.0650635,-6.55204,-2,6
4djw,-127.176,0.00962087,-11.1272,-4,6.28
4q08,-143.052,0.103334,-10.4086,-10,6.3
1uou,-112.283,0.0163469,-8.84469,-6,7.7
4nbn,-151.521,0.0300792,-12.7822,-6,4.36
2p16,-152.452,0.0331177,-14.0783,-3,10.1
4l4v,-164.233,0.0230903,-12.0464,-11,5.78
1bcd,-80.6792,0.00085886,-4.06878,-10,8.7
3iss,-222.054,0.0459203,-19.4513,-7,6.05
3ckb,-126.856,0.0126996,-8.69832,-10,2.98
1apv,-196.369,0.00941894,-17.2463,-6,9
1i9p,-88.4394,0.0517645,-5.6957,-8,8.41
4qew,-98.5893,0.0376017,-10.2965,1,7.07
2pyy,-93.8809,0.0273361,-5.41542,-10,4.6
1fhd,-148.699,0.0260483,-10.096,-12,6.82
1d3p,-162.366,0.0253635,-16.6619,1,7.39
4en4,-74.7916,0.0270622,-6.70623,-2,5.52
3rlq,-121.588,0.0123187,-10.9711,-3,7.4
1qk3,-169.064,0.0293991,-10.9358,-15,5.15
1sln,-191.186,0.0610598,-13.5797,-14,6.64
4ual,-142.25,0.009583,-13.0346,-3,8.4
4q3t,-125.798,0.209557,-5.98941,-17,6.48
3sio,-174.933,0.0656495,-19.1589,4,8
4jv6,-120.041,0.00593843,-11.21,-2,6.66
4d3h,-242.259,0.0262787,-18.6521,-14,6.43
1y3n,-171.486,0.0435825,-12.7922,-11,5.55
4bc5,-97.5609,0.0022988,-5.35838,-11,4.6
1oth,-202.08,0.00244585,-8.61041,-29,7
4zvi,-92.2621,0.00967712,-9.23589,-0,6.33
1f4f,-132.267,0.0428631,-11.6696,-4,4.62
4xiq,-141.558,0.0050066,-13.7608,-1,7.07
2flr,-116.445,0.0384001,-11.2829,-1,6.1
3pce,-46.4888,0.165043,-5.21392,1,2
1ta6,-167.754,0.0203264,-15.5957,-3,9.13
4ipj,-104.336,0.0175669,-5.25114,-13,4.87
1fch,-197.106,0.00938262,-13.72,-15,7.15
1dl7,-90.0407,0.183724,-8.3878,-2,6.49
1zoe,-70.0478,0.0131509,-7.41793,1,7.4
4mnp,-143.55,0.008456,-10.3635,-10,7.34
1h4w,-67.6254,0.00116791,-5.56371,-3,4.66
4ozj,-170.764,0.00952939,-12.6859,-11,5.4
4der,-78.6319,0.32862,-8.19181,-0,6.31
2uy3,-83.0473,0.0140654,-5.91879,-6,3.22
1a1e,-111.608,0.0154662,-4.77627,-16,6
1b5j,-180.489,0.0104715,-15.6594,-6,7.43
2c1p,-142.128,0.0013587,-13.4142,-2,5.4
1jmg,-155.846,0.084087,-10.0687,-14,6.07
4ww6,-118.966,0.00769811,-8.3043,-9,10.21
4tim,-97.7517,0.0648621,-5.84003,-10,2.16
2nta,-150.477,0.00870158,-9.45636,-14,4.8
3t09,-96.0287,0.0658137,-6.06868,-9,3.8
4cwn,-126.663,0.00505555,-12.6714,-0,5.59
4q4p,-129.748,0.00924287,-11.3841,-4,6.39
4kfq,-116.168,0.0501898,-7.26699,-11,8.23
3ozg,-175.702,0.085533,-11.2557,-16,9.19
3d50,-143.785,0.0609409,-7.63943,-17,4.77
4a4v,-120.712,0.00030924,-11.6715,-1,6.54
2sim,-153.852,0.00440756,-9.78958,-14,3.42
1bn1,-102.392,0.0244716,-6.26366,-10,9.34
2ygf,-177.842,0.0273498,-16.2116,-4,5.09
3hit,-246.244,0.0757178,-16.7001,-20,8.19
2xyf,-214.866,0.0816607,-20.7683,-2,8.44
4ufk,-81.6536,0.00558446,-4.57094,-9,3.89
1o3j,-86.9419,0.0863587,-7.58055,-3,6.77
4lkk,-70.0217,0.0202809,-5.82245,-3,5.92
2wos,-68.3046,0.00775007,-8.03821,3,3.9
4fnn,-73.5712,0.0319526,-8.58908,3,7.57
1tys,-202.74,0.00100016,-11.075,-23,5.49
1d4i,-289.315,0.0119224,-23.7435,-13,8.85
1hpo,-191.001,0.0611908,-15.5613,-9,9.22
4xty,-245.878,0.0244375,-20.6123,-10,9.21
2aoe,-252.58,0.0267717,-20.4848,-12,7.62
1tok,-83.3342,0.038214,-4.37163,-10,2.47
