name,affinitydG,hb,ion,mlig,hh_hp_aa,affinity
1h23,-10.9951,2.52737,-0.101372,0,-9.22569,8.35
3b1m,-9.01769,0,0,0,-9.01769,8.48
4jxs,-4.05929,2.10131,-0.335691,0,-2.33673,4.74
2pog,-9.5079,2.5834,0,0,-7.80285,9.54
1bcu,-1.97105,0,-0.249134,0,-1.72192,3.28
3d6q,-2.90199,2.06004,0.00812539,0,-1.55049,3.76
3twp,-1.60917,0.495403,-0.028929,0,-1.25328,3.92
3myg,-4.16004,0.867826,0.256047,0,-3.84332,10.7
3coy,-6.80785,4.24643,0.33044,0,-4.33564,6.02
4qac,-9.84284,0.962497,-0.0304049,0,-9.17719,9.4
4crc,-5.72499,1.56667,-0.0933717,0,-4.59761,8.72
3u8k,-5.87668,0.947067,0.00122082,0,-5.25284,8.66
4k18,-6.47408,0,0,0,-6.47408,8.96
3g2z,-1.99693,2.33666,-0.114691,0,-0.340046,2.36
2yge,-4.92567,1.36027,0,0,-4.0279,5.06
4w9l,-9.31561,2.25147,0,0,-7.82964,5.02
2cet,-11.2673,8.52145,-0.641389,0,-5.00176,8.02
2ymd,-6.49528,3.40884,-0.0369909,0,-4.20846,3.16
3f3a,-4.00654,1.45405,0.271807,0,-3.31868,4.19
4lzs,-3.26375,0,0,0,-3.26375,4.8
3ozs,-10.6152,5.43086,-0.592889,0,-6.43798,5.33
2xys,-8.34018,0,-0.00592399,0,-8.33425,7.42
1c5z,-2.1146,0.441495,-0.640567,0,-1.18265,4.01
3nw9,-11.8684,7.47135,0,0,-6.93728,9
1z9g,-3.34836,0.21299,0.156542,0.855324,-2.50901,5.64
5c1w,-3.56069,0,0,0,-3.56069,5.06
2iwx,-4.18175,0.995266,0.18622,0,-3.7111,6.68
1vso,-4.55408,2.33322,-0.373444,0,-2.64071,4.72
4de2,-3.74646,2.3767,-0.47858,0,-1.69925,4.12
3oe4,-10.0582,6.06396,-0.602304,0,-5.45369,7.47
4llx,-1.57793,0,0,0,-1.57793,2.89
4pcs,-6.18435,3.64082,-0.811601,0,-2.96981,7.85
4tmn,-9.63044,4.22173,-0.189214,1.47658,-5.1783,10.17
5a7b,-6.06383,0.370062,-0.0874256,0,-5.73217,3.57
2vkm,-10.0204,2.76325,-0.65221,0,-7.54444,8.74
4kzu,-7.41396,0.858798,0,0,-6.84716,6.5
4f3c,-7.67042,0.945333,-0.623957,0,-6.42254,11.82
1owh,-3.68016,0.9486,-0.984224,0,-2.06986,7.4
4f9w,-6.01888,0,0,0,-6.01888,6.94
1qkt,-8.65468,1.34355,0,0,-7.76793,9.04
1mq6,-6.97402,0.882501,0,0,-6.39157,11.15
4owm,-2.12117,0,-0.252095,0,-1.86908,2.96
1o0h,-4.45186,0.347917,-2.10031,0,-2.12193,5.92
3dx2,-8.46065,9.03264,-1.2804,0,-1.21871,6.82
4m0z,-6.05631,0.872356,0,0,-5.48055,5.19
3gy4,-2.78334,1.29315,-0.643141,0,-1.28672,5.1
4cra,-6.35059,0.899066,-0.431131,0,-5.32607,7.22
3n76,-6.62604,5.25526,-0.0362044,0,-3.12136,6.85
4j21,-6.63489,0.910977,0,0,-6.03364,7.41
2zb1,-7.00378,0.257232,0,0,-6.83401,6.32
3b68,-10.7615,1.68001,-0.032364,0,-9.62036,8.4
4bkt,-4.86525,2.30413,0,0,-3.34452,3.62
3b27,-3.35216,0.00644961,0,0,-3.34791,5.16
4mme,-7.21216,1.97222,-0.103348,0,-5.80715,6.5
3arp,-8.82086,0.217103,-0.0954882,0,-8.58208,7.15
4e5w,-6.27626,2.0999,-0.20563,0,-4.6847,7.66
3fcq,-5.63144,3.26461,0.29064,1.33307,-2.43437,2.77
3b5r,-10.8293,2.57935,0,0,-9.12694,8.77
4gid,-9.06082,0.87766,-0.646069,0,-7.83549,10.77
3ebp,-5.86672,0,-0.127017,0,-5.7397,5.91
3u9q,-5.66686,2.16564,-0.207327,0,-4.03021,4.38
3e93,-10.3113,0.563891,-0.0401344,0,-9.89895,8.85
4w9c,-7.85402,2.09526,0,0,-6.47115,4.65
4jia,-4.99321,0,0.0817472,0,-5.07496,9.22
1nc1,-6.26603,3.02501,0,0,-4.26952,6.12
3k5v,-6.15571,0,0,0,-6.15571,6.3
2wer,-3.86423,0.783006,0.190862,0,-3.53831,7.05
2wbg,-10.4791,7.56226,-1.12516,0,-4.36287,4.45
4w9i,-8.43896,2.0639,0.110538,0,-7.18732,5.96
1gpn,-6.14123,1.17856,-0.0654849,0,-5.2979,6.48
3aru,-3.20138,0,0,0,-3.20138,3.22
3dx1,-7.53861,8.99343,-0.791259,0,-0.81169,3.58
1z95,-9.27701,1.59386,0.150471,0,-8.37553,7.12
4mgd,-9.38219,2.09563,0,0,-7.99908,4.69
2fvd,-4.6496,0,-0.0863288,0,-4.56327,8.52
3pxf,-5.71383,0,-0.479303,0,-5.23453,4.43
4cr9,-2.25289,0,-0.37384,0,-1.87905,4.1
5c28,-2.72977,0,0,0,-2.72977,5.66
3cyx,-10.389,3.21663,-0.560545,0,-7.70547,8
3gnw,-6.89664,1.6397,0,0,-5.81444,9.1
3f3c,-4.15575,1.84246,0.117005,0,-3.05673,6.02
1k1i,-5.49487,2.30342,-0.708277,0,-3.26633,6.58
1oyt,-6.77732,0.527859,-0.707801,0,-5.72113,7.24
2al5,-4.22242,2.43021,-0.496462,0,-2.12202,8.4
3n86,-7.18494,5.73667,-0.222133,0,-3.1766,5.64
3uev,-7.21793,0,-0.209687,0,-7.00824,5.89
2r9w,-5.37243,2.98876,0.135858,0,-3.53571,5.1
4ih7,-5.54607,1.96959,0,0,-4.24614,5.24
3uex,-9.22264,0.32986,-0.106414,0,-8.89852,6.92
2brb,-4.39848,0.402937,0,0,-4.13254,4.86
3kgp,-2.28022,0.813047,-0.460706,0,-1.2829,2.57
1y6r,-7.35723,3.96092,-0.605467,0,-4.13755,10.11
3prs,-10.8105,3.08743,-0.653483,0,-8.11927,7.82
5c2h,-8.17367,0.724718,-0.212772,0,-7.48259,11.09
3ivg,-7.26443,3.09309,0.0678318,0,-5.29083,4.3
3dxg,-2.42218,1.36883,-0.0543196,0,-1.46443,2.4
2y5h,-5.42626,0,0,0,-5.42626,5.79
2xj7,-5.20798,3.53962,-0.534408,0,-2.33743,6.66
4rfm,-8.8103,1.8765,0.0736633,0,-7.64548,10.05
3fv2,-5.42999,5.68131,-0.265705,0,-1.41462,8.11
3g0w,-9.1857,0.853556,0,0,-8.62235,9.52
1yc1,-4.97967,2.16714,-0.357122,0,-3.19224,6.17
3ozt,-10.4118,5.78586,-0.587043,0,-6.00612,4.13
1w4o,-4.14402,1.91291,-1.40821,0,-1.47328,5.22
2w4x,-2.78988,2.91533,0,0,-0.865765,4.85
4u4s,-1.93017,0.365743,0.0035428,0,-1.69232,2.92
4de3,-3.4803,2.5757,-0.26317,0,-1.51717,5.52
3uri,-8.08965,1.29464,-1.1712,0,-6.06399,9
3fv1,-8.42519,8.87081,-0.785693,0,-1.78476,9.3
2wca,-4.75319,2.51141,0,0,-3.09565,5.6
1nvq,-7.68294,0.979513,-0.422459,0,-6.614,8.25
2w66,-4.85694,4.38836,-0.538527,0,-1.42209,4.05
3ary,-2.38407,0,0.0481792,0,-2.43225,6
4msn,-4.75067,0,0,0,-4.75067,4.03
4msc,-6.40561,0.593282,0,0,-6.01404,5.96
2xnb,-5.73038,0,-0.204226,0,-5.52616,6.83
4mrw,-3.57967,0,0,0,-3.57967,3.3
3jya,-4.75933,0,0,0,-4.75933,6.89
3up2,-4.99726,0,-0.460698,0,-4.53657,7.4
2zda,-7.38794,1.54883,-0.659257,0,-5.70645,8.4
3ueu,-6.14948,0,-0.120761,0,-6.02872,5.24
4mrz,-3.06963,0,0.043939,0,-3.11356,3.52
2fxs,-4.39728,2.33942,0.177239,0,-3.0305,6.06
1lpg,-6.31497,0,-0.665306,0,-5.64966,7.09
1q8t,-3.28484,0,-0.202741,0,-3.0821,4.76
3qqs,-4.64265,1.53054,-0.364295,0,-3.26819,5.82
2weg,-3.55334,1.86565,0.157314,0.628533,-1.85079,6.5
3jvs,-4.93872,0,0.0805198,0,-5.01924,6.54
3f3e,-3.62382,2.40536,0.141347,0,-2.17763,7.7
2qbq,-4.84957,0.339832,-0.283483,0,-4.3418,7.44
1bzc,-4.43807,0,-0.149461,0,-4.28861,4.92
1pxn,-5.30112,1.37355,-0.37607,0,-4.01851,7.15
2j78,-7.25833,9.64151,-0.172352,0,-0.722581,6.42
1z6e,-7.27384,0.602093,-0.124801,0,-6.75166,9.72
3zdg,-4.65314,0,0,0,-4.65314,7.1
4gfm,-3.79588,1.651,0,0,-2.70622,7.22
4eo8,-6.33801,0,0,0,-6.33801,8.15
2wvt,-6.40287,6.98931,-0.794584,0,-0.995341,6.12
3nx7,-7.20305,3.23812,-0.497705,1.86489,-2.7033,8.1
1syi,-5.1704,2.49652,-0.48065,0,-3.04205,5.44
4ddk,-2.33141,0.99058,0.186814,0,-1.86445,2.29
2zcr,-9.13964,2.50737,0.603829,0,-8.0886,6.87
2xbv,-6.96616,0.165256,0,0,-6.85709,8.43
4de1,-4.06081,3.53861,-0.234122,0,-1.4912,5.96
4abg,-2.23565,0,-0.44906,0,-1.78659,3.57
3uuo,-5.34388,0.57984,-0.0186494,0,-4.94254,7.96
4eor,-4.51747,1.18474,-0.0781763,0,-3.65737,6.3
1sqa,-4.17797,0.907553,-0.959443,0,-2.61954,9.21
3mss,-4.82652,0,0,0,-4.82652,4.66
2p15,-15.6697,2.30492,0,0,-14.1484,10.3
3ejr,-8.4987,7.69413,-0.687877,0,-2.73269,8.57
3ge7,-5.00511,0,-1.81549,0,-3.18962,8.7
3zsx,-5.822,2.42124,0.0497521,0,-4.27373,3.28
1u1b,-6.50946,2.60122,-1.21443,0,-3.57822,7.8
4ty7,-6.00163,1.89413,-0.437291,0,-4.31422,9.52
5dwr,-8.30724,0,-0.565602,0,-7.74164,11.22
2j7h,-5.40428,5.32735,-1.03285,0,-0.855375,7.19
2br1,-4.25154,0.131753,0,0,-4.16458,5.14
3utu,-7.37202,0.681733,-0.693225,0,-6.22885,10.92
3syr,-6.87912,7.1688,0,0,-2.14772,5.1
3g31,-2.26833,0,-0.326122,0,-1.94221,2.89
4kzq,-6.74907,0.942261,0,0,-6.12718,6.1
2xii,-7.56115,6.59682,-0.840303,0,-2.36694,7.2
4m0y,-2.14297,0,0,0,-2.14297,6.46
1p1n,-4.02214,2.58992,-0.4126,0,-1.9002,6.8
3coz,-6.00702,3.74491,0.343684,0,-3.87906,5.57
2wnc,-5.91274,0,0,0,-5.91274,6.32
1uto,-1.90153,0.480517,-0.444735,0,-1.13965,2.27
3arq,-4.43051,0.934771,0.0122854,0,-3.82585,6.4
1a30,-5.71916,5.17162,0.251312,0,-2.5572,4.3
3kwa,-2.78501,1.11861,-0.0915238,0,-1.95521,4.08
3qgy,-5.5228,0.554946,0.170261,0,-5.3268,7.8
4djv,-7.77227,0.217509,-1.05513,0,-6.57358,6.72
2xb8,-7.6688,6.6461,-0.249648,0,-3.03273,7.59
4eky,-6.76233,7.42676,0,0,-1.86067,3.52
3dd0,-4.19771,1.84744,0.162352,0.762448,-2.3783,9
3fur,-9.51332,1.47726,-0.29269,0,-8.24564,8
2v7a,-6.06844,1.89945,-0.143115,0,-4.67169,8.3
3e5a,-6.1261,1.54929,0.205001,0,-5.30857,8.23
4qd6,-4.94443,1.69129,0,0,-3.82818,8.64
3bgz,-6.40803,0,0.224447,0,-6.63248,6.26
2zy1,-6.07561,0,0.642665,0,-6.71828,7.4
4ivd,-5.9542,2.36385,-0.083467,0,-4.31059,9.52
3r88,-1.91628,0.0286251,-0.198556,0,-1.69883,4.82
3pyy,-5.92665,0.00153389,0,0,-5.92564,6.86
3n7a,-5.0075,5.80084,-0.24371,0,-0.935232,3.7
4f09,-4.90017,1.6758,-0.138887,0,-3.65526,6.7
1s38,-3.03638,0,-1.13348,0,-1.9029,5.15
4x6p,-6.10768,1.44955,0,0,-5.15098,8.3
