name,affinitydG,hb,ion,mlig,hh_hp_aa,affinity
2z1w,-1.52153,0,0,0,-1.52153,4.08
1xh5,-7.9339,0.586633,-0.357572,0,-7.18915,5.47
3s6t,-6.45889,5.61493,0,0,-2.75304,7.35
3b67,-12.5615,1.88903,-0.0326162,0,-11.2822,8.85
3fas,-3.26279,3.05137,-0.476348,0,-0.772532,6.77
3m3z,-2.96453,1.85728,0,0,-1.73873,5.73
2uyq,-3.41048,2.39211,0,0,-1.83168,5.68
1xd0,-13.0716,13.4369,-0.927085,0,-3.27617,7.12
3djo,-3.13992,1.2082,-0.952918,0,-1.38959,4.39
1b05,-5.46106,1.63363,-1.07273,0,-3.31013,7.12
4lps,-3.70721,1.82128,-0.684945,0,-1.82022,5.74
3iph,-6.18605,0.429861,0,0,-5.90234,7.6
4mjp,-4.23012,0,-0.329857,0,-3.90026,3.88
4jfk,-7.95068,1.39293,-0.0989265,0,-6.93242,6.44
3wz7,-8.96111,2.07909,-0.838125,0,-6.75079,5.74
2iuz,-5.04525,0.524024,0,0,-4.69939,5.55
4g0q,-3.07414,0.54865,-2.06373,0,-0.648298,2.52
3p9m,-11.2353,5.75179,-0.311804,0,-7.12732,5
2wzs,-6.06541,5.54954,-0.545929,0,-1.85679,3.85
4jyb,-4.89884,3.02808,-0.959859,0,-1.94045,6.96
2zxg,-7.79975,3.81115,0.0830551,0.83256,-4.53489,8.82
4owv,-2.28144,0.534455,-0.231094,0,-1.69761,4.35
4m13,-6.94462,0.953206,0,0,-6.3155,6.7
1usn,-4.10387,0.296692,0,0.768136,-3.13992,7.74
2psu,-7.69985,2.22618,-0.222041,0,-6.00853,7.62
1odj,-4.61766,3.84887,0,0,-2.07741,4.1
4lm2,-4.34058,1.59006,0,0,-3.29114,3.03
3daz,-2.44634,0.740923,0.131714,0.874023,-1.21502,7.93
3rz1,-6.36976,1.37494,-0.0707734,0.751354,-4.64017,8.74
2qx0,-2.04369,1.76524,0,0,-0.878629,6.11
4zb6,-5.48006,2.32344,-1.0654,0,-2.88119,6.28
3fvn,-7.02605,7.84214,-0.20235,0,-1.64789,6.77
3f70,-2.43652,0,-0.873363,0,-1.56316,4.85
2gj5,-7.99364,0.81394,0,0,-7.45644,8.32
1szd,-6.08649,4.85729,0.0504337,0,-2.93112,4.54
1d4y,-9.31127,2.89291,0.0419495,0,-7.4439,11.1
4xu3,-5.86676,2.12896,0.158398,0,-4.62005,9.5
3rm4,-6.23639,2.1642,-1.10692,0,-3.7011,5.77
1wm1,-5.24503,2.46583,-0.814836,0,-2.80275,6.3
2y7x,-6.22377,0.191438,0.134334,0,-6.23176,8.89
2ans,-5.0828,0,-0.106995,0,-4.9758,5.92
1td7,-4.07392,0,-0.140134,0,-3.93378,4.37
2wc4,-11.0056,8.08316,-1.1194,0,-4.55134,5.29
2xde,-4.37106,0,0,0,-4.37106,5.47
4pzv,-3.98747,2.07421,-0.000597597,0,-2.61789,5.7
1d09,-6.10605,3.4822,-2.39101,0,-1.41679,7.57
4j74,-4.9971,0,0,0,-4.9971,4.59
3q6z,-3.75021,1.85376,0,0,-2.52673,3.72
3ozj,-4.89247,0,0,0,-4.89247,5.11
