Name,"gauss(o=0,_w=0.3,_c=8)","gauss(o=0.5,_w=0.3,_c=8)","gauss(o=1,_w=0.3,_c=8)","gauss(o=1.5,_w=0.3,_c=8)","gauss(o=2,_w=0.3,_c=8)","gauss(o=2.5,_w=0.3,_c=8)","gauss(o=0,_w=0.5,_c=8)","gauss(o=1,_w=0.5,_c=8)","gauss(o=2,_w=0.5,_c=8)","gauss(o=0,_w=0.7,_c=8)","gauss(o=1,_w=0.7,_c=8)","gauss(o=2,_w=0.7,_c=8)","gauss(o=0,_w=0.9,_c=8)","gauss(o=1,_w=0.9,_c=8)","gauss(o=2,_w=0.9,_c=8)","gauss(o=3,_w=0.9,_c=8)","gauss(o=0,_w=1.5,_c=8)","gauss(o=1,_w=1.5,_c=8)","gauss(o=2,_w=1.5,_c=8)","gauss(o=3,_w=1.5,_c=8)","gauss(o=4,_w=1.5,_c=8)","gauss(o=0,_w=2,_c=8)","gauss(o=1,_w=2,_c=8)","gauss(o=2,_w=2,_c=8)","gauss(o=3,_w=2,_c=8)","gauss(o=4,_w=2,_c=8)","gauss(o=0,_w=3,_c=8)","gauss(o=1,_w=3,_c=8)","gauss(o=2,_w=3,_c=8)","gauss(o=3,_w=3,_c=8)","gauss(o=4,_w=3,_c=8)","repulsion(o=0.4,_c=8)","repulsion(o=0.2,_c=8)","repulsion(o=0,_c=8)","repulsion(o=-0.2,_c=8)","repulsion(o=-0.4,_c=8)","repulsion(o=-0.6,_c=8)","repulsion(o=-0.8,_c=8)","repulsion(o=-1,_c=8)","hydrophobic(g=0.5,_b=1.5,_c=8)","hydrophobic(g=0.5,_b=1,_c=8)","hydrophobic(g=0.5,_b=2,_c=8)","hydrophobic(g=0.5,_b=3,_c=8)","non_hydrophobic(g=0.5,_b=1.5,_c=8)","vdw(i=4,_j=8,_s=0,_^=100,_c=8)","vdw(i=6,_j=12,_s=1,_^=100,_c=8)","non_dir_h_bond(g=-0.7,_b=0,_c=8)","non_dir_h_bond(g=-0.7,_b=0.2,_c=8)","non_dir_h_bond(g=-0.7,_b=0.5,_c=8)","non_dir_h_bond(g=-1,_b=0,_c=8)","non_dir_h_bond(g=-1,_b=0.2,_c=8)","non_dir_h_bond(g=-1,_b=0.5,_c=8)","non_dir_h_bond(g=-1.3,_b=0,_c=8)","non_dir_h_bond(g=-1.3,_b=0.2,_c=8)","non_dir_h_bond(g=-1.3,_b=0.5,_c=8)","non_dir_anti_h_bond_quadratic(o=0,_c=8)","non_dir_anti_h_bond_quadratic(o=0.5,_c=8)","non_dir_anti_h_bond_quadratic(o=1,_c=8)","donor_donor_quadratic(o=0,_c=8)","donor_donor_quadratic(o=0.5,_c=8)","donor_donor_quadratic(o=1,_c=8)","acceptor_acceptor_quadratic(o=0,_c=8)","acceptor_acceptor_quadratic(o=0.5,_c=8)","acceptor_acceptor_quadratic(o=1,_c=8)","non_dir_h_bond_lj(o=-0.7,_^=100,_c=8)","non_dir_h_bond_lj(o=-1,_^=100,_c=8)","non_dir_h_bond_lj(o=-1.3,_^=100,_c=8)","ad4_solvation(d-sigma=3.6,_s/q=0.01097,_c=8)","ad4_solvation(d-sigma=3.6,_s/q=0,_c=8)","electrostatic(i=1,_^=100,_c=8)","electrostatic(i=2,_^=100,_c=8)",num_tors_div,num_tors_div_simple,num_heavy_atoms_div,num_heavy_atoms,num_tors_add,num_tors_sqr,num_tors_sqrt,num_hydrophobic_atoms,ligand_length,num_ligands,affinity
3q5u,74.65335,124.58785,152.00003,192.15816,251.29394,323.26197,122.60608,257.67685,420.02821,171.34622,364.27867,595.11972,223.27182,472.52231,775.01690,1154.34015,415.06675,820.79496,1307.33812,1664.99689,1428.04155,628.66172,1129.33703,1651.02876,1914.17584,1654.14106,1118.91678,1632.30365,2044.05479,2181.81452,1967.16234,24.11433,11.37673,4.87639,1.91778,0.66817,0.18844,0.04286,0.00005,18.50429,13.64883,24.39719,37.10625,169.43643,-667.11907,-769.32817,8.58469,9.53790,11.14157,6.33682,7.42637,9.13162,4.87988,5.94579,7.61359,0.00930,1.67093,9.20894,0.36306,3.16025,11.46478,0.00345,0.76152,4.78572,-50.45529,-32.37776,-12.99751,50.36576,-101.76370,0.84780,0.17066,0.00000,0.00000,0.00000,3.45000,32.00000,20.48000,0.25298,1.05000,16.00000,1.00000,4.31
1o2s,47.48397,83.25429,97.36500,130.63673,159.58867,166.84272,78.97517,169.58853,257.38299,110.85852,241.00984,357.91530,145.10548,309.98106,459.45097,589.54301,268.60315,510.51341,742.21879,848.37918,663.94923,393.74385,671.68611,913.67274,981.72588,793.34929,653.50290,917.57596,1103.33979,1131.21745,981.95438,17.86045,9.43138,4.95275,2.48967,1.13289,0.43926,0.14845,0.03244,8.06594,5.64339,10.81087,17.34573,99.63794,-376.33045,-477.32697,7.05038,7.70585,8.74963,5.45201,6.21001,7.34420,4.33239,5.08808,6.22022,0.00000,0.00119,0.55438,2.79818,7.03824,14.23842,2.33061,6.53373,13.68157,9.97517,-25.25471,-13.62218,23.75590,-48.23827,-0.32400,-0.06010,0.00000,0.00000,0.00000,0.95000,2.00000,0.08000,0.06325,0.45000,2.00000,1.00000,5.47
3bze,129.99990,183.62848,242.63639,322.39851,406.84387,510.55783,202.84823,409.85070,686.74400,278.85490,581.90013,966.71598,361.38383,758.08790,1256.75771,1911.60664,671.97203,1326.87418,2135.11196,2758.88521,2387.84202,1020.39563,1837.45144,2707.74152,3167.18996,2753.71998,1828.77846,2675.76778,3363.37321,3603.67776,3259.68761,46.54831,22.06208,9.14756,3.44575,1.09652,0.23355,0.01286,0.00000,103.25754,78.25221,130.03001,187.83232,163.82806,-1099.44842,-1258.36233,8.71976,10.02646,11.26985,6.62549,7.95456,9.36365,5.09653,6.36365,7.80304,0.01123,0.69115,3.46546,0.80883,3.57543,9.80331,1.28296,3.99130,9.47130,-51.99055,-34.69312,-13.90489,47.54038,-162.66968,0.88409,0.18320,0.00000,0.00000,0.00000,3.65000,31.00000,19.22000,0.24900,1.25000,20.00000,1.00000,6
1axz,27.96336,40.18859,51.67037,81.63961,97.51016,106.96659,44.57003,92.71092,160.52143,61.37893,133.73457,223.35226,80.00993,174.78794,286.43366,387.09880,152.47256,300.73948,464.08690,555.58055,451.33482,230.20862,405.84795,574.69331,640.10823,533.20212,397.99963,570.18087,700.09791,732.45343,647.90974,12.47346,6.22263,2.68918,0.99009,0.23116,0.01233,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,50.00447,-234.34956,-278.38846,5.00923,5.73857,6.55393,3.50646,4.30393,5.24314,2.69728,3.44314,4.36928,0.00000,0.00000,0.00000,1.10484,4.50868,10.43005,0.91547,3.13657,7.56477,-33.89532,-17.24257,-6.25388,21.17226,-37.24228,0.70316,0.15609,0.00000,0.00000,0.00000,0.60000,1.00000,0.02000,0.04472,0.00000,1.00000,1.00000,3.2
2dua,19.54312,25.79350,30.76892,42.71438,54.05496,62.24030,32.18749,52.19280,89.52145,43.50507,75.77221,124.40553,54.90656,99.90915,159.65662,223.47970,95.92421,174.26437,264.94077,330.40312,286.92611,139.82596,237.30332,335.46332,383.84168,332.82952,238.35313,339.50327,418.52119,442.95402,398.31992,11.41606,6.05112,2.80097,1.07868,0.33259,0.05694,0.00081,0.00000,0.00000,0.00000,0.00000,0.00000,53.16284,-138.02054,-166.78350,4.64590,5.16903,5.64742,3.38061,3.98384,4.60359,2.60047,3.18708,3.83632,0.32756,1.71897,4.64387,0.00000,0.00000,0.00000,1.08994,4.08550,9.61456,-28.01361,-15.92958,-6.03808,29.95580,-23.17037,2.18477,0.45398,0.00000,0.00000,0.00000,0.30000,1.00000,0.02000,0.04472,0.00000,1.00000,1.00000,4.77
1gzc,38.21991,51.01811,65.03721,103.62469,117.75790,129.98329,58.98933,115.20651,195.64827,79.11924,166.85317,272.18380,101.74208,218.06901,348.80136,473.83232,190.50133,372.14987,569.22546,686.63240,566.91490,285.50403,501.14084,708.61039,793.08404,666.26344,492.14255,705.26833,867.05081,909.24240,806.84879,12.74781,5.95598,2.46440,0.91239,0.23135,0.02251,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,63.55475,-293.82891,-345.59009,4.55845,5.31980,6.84396,3.21584,4.01062,5.49178,2.47372,3.20850,4.57649,0.00000,0.00000,0.00000,0.74121,3.04173,7.66456,1.07724,4.19512,11.16827,-34.62550,-17.15908,-6.11920,24.61082,-46.13417,0.82012,0.17119,0.00000,0.00000,0.00000,1.15000,4.00000,0.32000,0.08944,0.00000,4.00000,1.00000,3.49
1obx,38.43388,61.04658,81.44134,117.62950,154.48982,169.37852,61.04475,141.38289,250.68754,85.64728,202.76677,345.90837,113.45747,264.84644,442.09857,611.47767,222.83463,456.75590,721.75793,889.29219,745.12372,342.79359,621.33197,900.08150,1024.58370,870.56268,608.59525,885.73070,1102.92125,1168.43923,1045.05783,12.19153,5.65779,2.43020,0.94919,0.29556,0.04912,0.00000,0.00000,33.10997,24.63824,44.69019,66.79774,57.28931,-364.10471,-422.37587,3.69721,4.00699,4.52140,2.69101,3.09104,3.68576,2.07001,2.47283,3.07146,0.00000,0.20665,1.00441,0.00000,0.00000,0.02127,0.00000,0.20665,0.98315,-22.91704,-13.40338,-5.22073,21.70803,-51.43563,0.74101,0.14037,0.00000,0.00000,0.00000,1.65000,13.00000,3.38000,0.16125,0.55000,10.00000,1.00000,5.72
1z3v,41.30835,79.57478,105.52518,152.64839,177.34021,211.29436,71.22526,183.15880,297.23191,102.89369,259.23490,420.70859,138.57071,334.14576,545.19634,763.73258,275.61824,568.83898,896.85788,1101.22892,917.68822,424.49178,771.93773,1117.06132,1268.19011,1074.63380,753.74932,1097.71145,1366.38487,1446.25663,1292.20701,12.10603,5.65431,2.47437,0.94673,0.28527,0.05395,0.00093,0.00000,0.00000,0.00000,0.00000,0.00000,125.73152,-443.17034,-517.62515,5.74551,7.56464,10.38248,4.15234,5.78222,8.39297,3.19410,4.62577,6.99414,0.00000,0.04321,0.95683,1.09147,4.74805,13.41270,0.52654,2.76744,8.84654,-52.04708,-25.10853,-8.97749,47.61020,-70.86904,1.45540,0.27797,0.00000,0.00000,0.00000,1.15000,4.00000,0.32000,0.08944,0.00000,4.00000,1.00000,4.11
2avv,88.54592,147.81494,213.84534,281.03457,346.99564,426.82363,146.68332,356.65412,582.08424,209.09605,500.12339,818.30606,279.12006,645.33292,1053.87296,1436.61840,545.15210,1101.63003,1713.87507,2061.98178,1672.25425,831.15701,1487.50256,2121.92574,2370.32497,1971.85822,1451.72391,2092.68336,2579.18329,2703.05185,2391.03812,33.65111,16.23583,6.83958,2.56006,0.89301,0.29650,0.08102,0.00716,86.79045,64.51549,110.33613,165.23677,121.25852,-864.51977,-1023.02652,4.14024,4.99494,6.12597,3.23852,4.02983,5.12768,2.55625,3.28027,4.32007,0.00000,0.05644,0.62554,1.49849,3.65100,7.30248,2.13884,6.35480,14.58615,-9.82259,-18.28396,-8.41504,38.43221,-123.18711,-0.42380,-0.01499,0.00000,0.00000,0.00000,2.25000,12.00000,2.88000,0.15492,1.10000,8.00000,1.00000,9.26
4e81,46.56041,101.58209,168.08060,227.84251,271.41202,325.16581,84.07410,276.53758,451.73640,127.48514,385.26636,643.08138,179.46061,493.84835,840.57154,1253.19766,386.70798,850.15646,1405.71328,1784.07154,1500.26437,618.61350,1173.99871,1757.13994,2039.20095,1744.41306,1145.32697,1701.07249,2151.19086,2303.83819,2074.59230,13.00575,5.74813,2.19021,0.63432,0.12573,0.01715,0.00000,0.00000,31.78884,20.98611,43.99005,71.48885,97.22527,-677.47825,-775.10001,1.94561,2.58495,3.64881,1.39288,1.96451,2.93969,1.07145,1.57161,2.44974,0.00000,0.16476,1.16707,0.00000,0.24429,1.74540,0.00000,0.00000,0.03448,-19.56389,-9.44092,-3.40480,33.61920,-105.57961,0.21814,0.03063,0.00000,0.00000,0.00000,3.55000,25.00000,12.50000,0.22361,1.15000,18.00000,1.00000,5.24
