name,affinitydG,hb,ion,mlig,hh_hp_aa,affinity
1a08,-3.98566,0,-0.67431,0,-3.31135,5.62
1u2y,-1.55768,1.88782,0,0,-0.311723,1.74
1b39,-7.44288,5.45735,-1.91717,0,-1.92386,6.92
2i0d,-9.37735,3.01767,-0.217591,0,-7.16809,12.1
2c02,-3.99867,1.04729,-1.46334,0,-1.84412,4.04
1a1b,-4.46608,2.07564,-0.394297,0,-2.70186,6.4
1n2v,-1.3693,0,0,0,-1.3693,4.08
1xd1,-13.1645,13.1142,-0.896476,0,-3.61263,7.92
1jq9,-1.9488,1.86545,-0.331393,0,-0.386208,8.45
3pch,-3.58613,1.86343,-0.0186876,0.737313,-1.60027,5.4
2bzz,-5.78926,0.708683,-2.17523,0,-3.1463,6.43
1ha2,-6.8443,0.940503,-0.145802,0,-6.07777,5.54
1tyr,-2.65405,0,-0.239032,0,-2.41501,7
1re8,-10.3291,3.90277,-0.64736,0,-7.10588,9.52
1l2s,-4.40009,2.60932,-0.516364,0,-2.16157,4.59
2aou,-8.21411,0.430308,-0.385425,0,-7.54468,7.73
1jqd,-4.04365,2.2279,0.195656,0,-2.7689,5.16
1apw,-6.47593,3.21396,0,0,-4.35471,8
2b1v,-8.1197,1.19903,0,0,-7.32834,5.74
1bra,-2.54514,1.74721,-0.12029,0,-1.2717,1.82
2hdq,-1.27392,0,-0.101622,0,-1.1723,1.4
1gni,-8.62929,0,-0.3841,0,-8.24519,8.07
2aov,-6.36488,1.03542,0,0,-5.6815,7.04
2flb,-4.44536,2.88185,-0.485166,0,-2.05817,5.74
2f01,-6.45031,3.32415,0,0,-4.25637,13
7cpa,-9.82778,5.1882,-0.0115412,1.0225,-5.36953,13.96
1xgj,-3.27932,1.99066,-0.621886,0,-1.3436,6
2er9,-10.3042,4.58161,-0.368097,0,-6.91223,7.4
2fai,-8.38886,1.77335,0,0,-7.21845,6.24
1slg,-7.52287,4.37254,0,0,-4.637,3.9
1is0,-4.67213,1.76279,-0.772559,0,-2.73613,7
1utp,-1.90106,0.519046,-0.460868,0,-1.09763,1.44
1y1m,-3.69344,1.99747,-0.476746,0,-1.89837,1.82
1e5a,-3.4353,0,-0.626073,0,-2.80923,7.64
1h23,-10.9951,2.52737,-0.101372,0,-9.22569,8.35
1bcu,-1.97105,0,-0.249134,0,-1.72192,3.28
2cet,-11.2673,8.52145,-0.641389,0,-5.00176,8.02
4tmn,-9.63044,4.22173,-0.189214,1.47658,-5.1783,10.17
1mq6,-6.97402,0.882501,0,0,-6.39157,11.15
1o0h,-4.45186,0.347917,-2.10031,0,-2.12193,5.92
1nc1,-6.26603,3.02501,0,0,-4.26952,6.12
2brb,-4.39848,0.402937,0,0,-4.13254,4.86
1nvq,-7.68294,0.979513,-0.422459,0,-6.614,8.25
1q8t,-3.28484,0,-0.202741,0,-3.0821,4.76
2j78,-7.25833,9.64151,-0.172352,0,-0.722581,6.42
1sqa,-4.17797,0.907553,-0.959443,0,-2.61954,9.21
1u1b,-6.50946,2.60122,-1.21443,0,-3.57822,7.8
1a30,-5.71916,5.17162,0.251312,0,-2.5572,4.3
1ydt,-5.48623,0,-0.398763,0,-5.08747,7.32
1gpk,-5.7762,1.53657,-0.0453461,0,-4.71672,5.37
1e66,-8.37919,0,-0.254257,0,-8.12493,9.89
1p1q,-3.60094,2.10638,-0.449353,0,-1.76137,4.89
1o3f,-4.05634,1.40702,-0.787884,0,-2.33982,7.96
1d09,-6.10605,3.4822,-2.39101,0,-1.41679,7.57
2qwb,-4.00089,4.80068,0.169872,0,-1.00231,2.74
1g7q,-8.42803,6.18923,-0.685497,0,-3.65764,6.06
1f4f,-4.24381,0,-0.569734,0,-3.67408,4.62
3pce,-4.11487,1.62173,-0.236573,0.711255,-2.0967,2
1zoe,-4.71975,0,0,0,-4.71975,7.4
4tim,-1.30672,1.88188,0.0501828,0,-0.114857,2.16
1tok,-0.741707,0,-0.313721,0,-0.427986,2.47
2fdp,-10.02,1.2886,-0.916758,0,-8.2528,7.59
3pcj,-4.10257,1.09435,-0.31625,1.24043,-1.82362,7.22
1uwt,-5.81091,7.64223,-0.235529,0,-0.531505,5.97
2baj,-7.69131,0.966684,0,0,-7.0533,8.4
1if7,-6.59582,3.54529,0.19533,0.665822,-3.78544,10.52
2d3z,-6.63595,0,-0.160046,0,-6.4759,6.64
1nja,-4.66073,2.59763,-1.16809,0,-1.77821,6.31
2ayr,-14.0465,2.24266,-0.0654142,0,-12.5009,9.29
2cer,-10.1813,7.91306,-0.66599,0,-4.29269,9.22
2qwd,-3.09783,2.84577,-0.71906,0,-0.500555,4.85
1fh8,-5.81561,4.92366,-0.618137,0,-1.94785,6.89
1ftm,-3.98803,1.96697,-0.458909,0,-2.23092,7.61
