name,dockingscore,XP_GScore,evdw,ecoul,XP_LipophilicEvdW,XP_PhobEn,XP_PhobEnHB,XP_PhobEnPairHB,XP_HBond,XP_Electro,XP_Sitemap,XP_PiCat,XP_PiStack,XP_ClBr,XP_LowMW,XP_Zpotr,XP_Penalties,XP_HBPenal,XP_ExposPenal,XP_RotPenal,emodel,energy,eff_state_penalty,einternal,ligand_efficiency,ligand_efficiency_ln,ligand_efficiency_sa,affinity
1h23,-14.4567410161286,-14.4567410161286,-48.1300392150879,-23.2753105163574,-7.5447123230867,-1.94095663025123,-1,0,-1.36765527016901,-1.74564828872681,0,-1.28793190951218,0,0,0,-4.03034552760975,4,0,0,0.460508933227127,0,-71.4053497314453,0,0,-0.401576139336904,-3.15407031371361,-1.32597519539854,8.35
3b1m,-11.2161747792483,-11.2161747792483,-58.1683197021484,-1.63677060604095,-9.21823149277755,-1.06358594898148,0,0,-0.48,-0.122757795453072,-0.465383101249423,0,0,0,0,0,0,0,0,0.133783559213213,0,-59.8050903081894,0,0,-0.295162494190745,-2.41853722883934,-0.9923290452755,8.48
4jxs,-5.51315309506589,-5.51315309506589,-17.7278995513916,-19.6174736022949,-2.28913941220613,0,0,0,-1.76769010669713,-1.47131052017212,-0.394051082959443,0,0,0,-0.3688478,0,0,0,0.496176862139111,0.281708964829818,0,-37.3453731536865,0,0,-0.250597867957541,-1.34761571357935,-0.702185081471919,4.74
2pog,-10.9362885677351,-10.9362885677351,-29.8257312774658,-13.1352758407593,-5.51242676767607,-2.7,0,0,-1.30680590338238,-0.985145688056946,0,0,0,0,-0.5,0,0,0,0,0.0680897913802776,0,-42.9610071182251,0,0,-0.520775646082625,-2.70397524952066,-1.43678051898975,9.54
1bcu,-5.05776966610274,-5.05776966610274,-29.3921318054199,-6.38165092468262,-3.84227072021484,0,0,0,-0.236875126536702,-0.478623819351196,0,0,0,0,-0.5,0,0,0,0,0,0,-35.7737827301025,0,0,-0.316110604131421,-1.34066288124298,-0.796548807744158,3.28
3d6q,-4.39643100902792,-4.39643100902792,-17.4136943817139,-11.285439491272,-0.873081823655216,0,-0.0896451980349278,0,-2.06312937328891,-0.846407961845398,-0.472746737769168,0,0,0,-0.4588614,0,0,0,0.162859966814618,0.244581518751076,0,-28.6991338729858,0,0,-0.199837773137633,-1.07464810232387,-0.559953299505289,3.76
3twp,-3.05750631871619,-3.05750631871619,-14.3674640655518,-4.13843631744385,-1.95767319819963,0,0,0,-0.35,-0.310382723808289,-0.317341117327558,0,0,0,-0.5,0,0,0,0.377890720619285,0,0,-18.5059003829956,0,0,-0.305750631871619,-0.925791836583483,-0.658719767297798,3.92
3myg,-4.65366343059971,-4.65366343059971,-40.6549949645996,-6.51017284393311,-4.12404574774239,0,0,-1.85287820447346,-1.12694203490106,-0.488262963294983,-0.357740741665867,0,0,0,-0.0748420666666662,0,3,0,0.14294076951002,0.2281075586347,0,-47.1651678085327,0,0,-0.155122114353324,-1.05736303715654,-0.482000475564479,10.7
3coy,-6.07307992749059,-6.07307992749059,-46.3695373535156,-22.512056350708,-4.25666076488649,-0.164444213582915,-1.5,0,-4.1985608567227,-1.6884042263031,-1.55092617717251,0,0,0,0,0,7,0,0,0.285916311177129,0,-68.8815937042236,0,0,-0.1959058041126,-1.36966564119703,-0.615414702026057,6.02
4qac,-10.7617499321764,-10.7617499321764,-32.7122917175293,-7.64090204238892,-5.66734887712939,-1.2,-1.5,0,-1.33,-0.573067653179169,-1.25559697465273,0,0,0,-0.378817436666666,0,1,0,0,0.143081009451536,0,-40.3531937599182,0,0,-0.448406247174018,-2.57578058329617,-1.29342743324957,9.4
4crc,-9.86619216191031,-9.86619216191031,-57.0191116333008,-10.4438409805298,-6.47573621382354,0,0,0,-1.28031731993565,-0.783288073539734,-0.130716178322311,0,0,0,0,-1.5,0,0,0,0.303865623710927,0,-67.4629526138306,0,0,-0.252979286202829,-2.11559166803304,-0.857906249168924,8.72
3u8k,-11.8321656391003,-11.8321656391003,-32.5408706665039,-10.6024694442749,-4.62835241565265,-0.6,0,0,0,-0.795185208320618,0,-2.27873089050685,0,0,-0.5,-3.32298471240548,0,0,0,0.293087587785334,0,-43.1433401107788,0,0,-0.739510352443766,-3.13635185551727,-1.86344931759596,8.66
4k18,-4.45961827855676,-4.45961827855676,-40.2884140014648,-2.71710109710693,-4.36201804433035,-0.810486405275203,0,0,-0.35,-0.20378258228302,-0.599610152352905,0,0,0,-0.208778123333333,0,0,0,1.79696953376228,0.278087495255772,0,-43.0055150985718,0,0,-0.153779940639888,-1.0211394996273,-0.472460698550595,8.96
3g2z,-0.847413622920332,-0.847413622920332,0.229574173688889,-6.69746828079224,-0.411055847670697,0,0,0,0,-0.502310121059418,0,0,0,0,-0.5,0,0,0,0.142241907579744,0.42371043823004,0,-6.46789410710335,0,0,-0.065185663301564,-0.237707057786577,-0.153273311132007,2.36
2yge,-6.13408508474586,-6.13408508474586,-40.7972450256348,-8.78686714172363,-3.65963404234699,0,0,0,-1.4775,-0.659015035629272,-0.462105654189667,0,0,0,0,0,0,0,0.0958200926968471,0.0283495547232188,0,-49.5841121673584,0,0,-0.153352127118646,-1.30821983051066,-0.524456896844299,5.06
4w9l,-7.10374886321633,-7.10374886321633,-26.6783561706543,-27.6503067016602,-4.42827968730797,-1.6893812286969,0,1.3,-3.23381513651433,-2,-0.273816350688646,0,0,0,0,0,2.99684366383989,0,0.0548088092449581,0.169891066906668,0,-54.3286628723145,0,0,-0.17326216739552,-1.50708396152373,-0.597445591979759,5.02
2cet,-11.951027687664,-11.951027687664,-17.3131351470947,-37.1689491271973,-1.78011517544991,-0.6736093577237,0,0,-7.25266482531142,-2,0,0,0,0,-0.4821702,0,0,0,0,0.237531870821012,0,-54.482084274292,0,0,-0.543228531257456,-2.92126709119175,-1.52214770854921,8.02
2ymd,-13.2283771997861,-13.2283771997861,-20.857442855835,-22.8658027648926,-3.8543020433227,-1.2,0,0,-1.8437394056689,-1.71493520736694,0,-1.57173219379201,0,0,-0.5,-2.75738575503361,0,0,0,0.213717405398068,0,-43.7232456207275,0,0,-1.01756747690662,-3.71067745242965,-2.39264170350137,3.16
