name,AlphaHB,repulsion_term,attraction_term,HB_term,affinity
1n2v,-101.479,0.00161439,-7.74951,-6,4.08
2qmj,-141.729,0.0453815,-10.2183,-10,4.21
1qi0,-80.4783,0.0278384,-4.07567,-10,2.35
1lor,-170.718,0.0282335,-10.7001,-16,11.06
2jdy,-64.6946,0.0278655,-3.29733,-8,4.37
1h23,-180.573,0.0271969,-17.6845,-1,8.35
1bcu,-83.5005,0.000593751,-8.35065,-0,3.28
3myg,-118.075,0.0609752,-11.8685,-0,10.7
3coy,-231.142,0.0109054,-15.9251,-18,6.02
3g2z,-62.1185,0.00250379,-4.61436,-4,2.36
2yge,-162.417,0.0110774,-15.4528,-2,5.06
2cet,-153.125,0.0525967,-10.9651,-11,8.02
2ymd,-98.4316,0.0145363,-7.4577,-6,3.16
3f3a,-96.1585,0.0304703,-7.64632,-5,4.19
2xys,-121.703,0.0340193,-12.6043,1,7.42
3nw9,-190.708,0.0813183,-14.7521,-11,9
2iwx,-118.192,0.0114706,-10.6307,-3,6.68
1vso,-109.637,0.0174842,-7.38122,-9,4.72
4de2,-135.535,0.002622,-11.5562,-5,4.12
4tmn,-271.537,0.0657749,-18.4195,-22,10.17
1mq6,-154.114,0.0304604,-15.4418,-0,11.15
3gy4,-68.8607,2.03644e-009,-6.08607,-2,5.1
3b68,-167.86,0.0433626,-16.4293,-1,8.4
3fcq,-117.108,0.0173128,-6.92808,-12,2.77
4gid,-262.331,0.110372,-25.1434,-3,10.77
3ebp,-96.4239,0.025411,-9.6678,-0,5.91
3u9q,-90.2329,0.00767638,-6.63097,-6,4.38
3e93,-188.013,0.0329547,-18.0342,-2,8.85
3k5v,-124.987,0.00777115,-11.7065,-2,6.3
2wbg,-158.533,0.070644,-10.324,-14,4.45
1z95,-150.4,0.0361178,-15.0762,-0,7.12
2fvd,-144.246,0.0330224,-13.2576,-3,8.52
3pxf,-58.0492,0.010153,-5.41507,-1,4.43
3cyx,-237.396,0.0196982,-21.7593,-5,8
3gnw,-162.244,0.0429398,-17.0674,2,9.1
3f3c,-94.0786,0.0829784,-7.49084,-5,6.02
1oyt,-133.345,0.0280285,-12.9625,-1,7.24
