name,AlphaHB,repulsion_term,attraction_term,HB_term,affinity
3q5u,-110.576,0.0164423,-8.27407,-7,4.31
1o2s,-77.2709,0.0690001,-6.99609,-2,5.47
3bze,-296.328,0.11769,-24.5505,-13,6
1axz,-79.1558,0.00538282,-4.72096,-8,3.2
2dua,-57.2771,0.00930276,-2.93701,-7,4.77
1gzc,-94.5924,0.0102593,-5.4695,-10,3.49
1obx,-72.8467,0.0137757,-5.69844,-4,5.72
1z3v,-138.398,0.00903418,-11.0488,-7,4.11
2avv,-216.168,0.130459,-20.5473,-3,9.26
4e81,-136.57,0.00521034,-12.4622,-3,5.24
3lqj,-137.238,0.026606,-13.3504,-1,5.37
2rfy,-143.683,0.00888797,-11.5772,-7,5.22
2wk2,-235.86,0.0761091,-18.0621,-14,6.82
2v86,-141.891,0.0205054,-12.6096,-4,4.46
3eks,-133.185,0.0413989,-12.1599,-3,5.7
3nkx,-120.811,0.022847,-8.10398,-10,5.12
4fbx,-71.3565,0.0287716,-7.16442,-0,7.66
220l,-35.1092,0.0456527,-3.55657,-0,3.4
3dnj,-99.4067,0.0580843,-8.39875,-4,6.82
1eix,-181.529,0.0428662,-11.3957,-17,11.06
3f9y,-20.99,0.0292835,-1.72828,-1,4.49
1ugw,-74.3299,0.0110977,-4.24409,-8,3.09
3m6p,-171.575,0.0612756,-10.4188,-17,8.35
1z3t,-134.471,0.00542263,-11.4525,-5,3.94
4e0w,-127.658,0.0372438,-7.60301,-13,7.48
1b6m,-206.423,0.024411,-18.6667,-5,8.4
3bzi,-149.451,0.0214647,-10.5666,-11,5.74
3dcs,-101.338,0.00861424,-6.14236,-10,7.94
2v7d,-104.641,0.0730909,-6.93718,-9,6.59
2yim,-300.842,0.00863466,-24.0928,-15,3.92
2wp1,-65.7664,0.0292686,-5.40591,-3,3.6
1ws5,-70.5211,0.00436064,-5.45647,-4,3.03
4auy,-99.8498,0.0138079,-3.99879,-15,7.74
3iqj,-189.845,0.021188,-10.6057,-21,4.93
4e3h,-60.2931,0.00672269,-4.43603,-4,7.05
3lzv,-219.656,0.0181866,-19.1838,-7,10.59
4e49,-59.9697,0.00709933,-4.40406,-4,5.11
1z1r,-213.663,0.017195,-18.5835,-7,9.22
1db1,-177.992,0.0191932,-15.0184,-7,9.26
2wcg,-116.122,0.0491213,-7.6613,-10,6.38
1c2t,-184.945,0.053982,-14.1485,-11,6.59
2y7k,-69.2445,0.0102283,-5.73468,-3,4.93
3kyg,-79.2049,0.00800516,-5.5285,-6,7.46
2er6,-229.9,0.162898,-22.3529,-2,7.22
3d1e,-140.784,0.0969586,-12.5754,-4,5.77
1dqx,-153.209,0.109645,-11.0306,-11,11.05
4b9w,-161.446,0.0349002,-17.3795,3,4.17
1urg,-138.872,0.00987425,-11.497,-6,5.82
2ieo,-206.212,0.114853,-18.336,-6,8.49
3tg5,-306.865,0.0447849,-25.9313,-12,4.7
3ebb,-76.2269,0.00935504,-6.83205,-2,5.3
4av0,-141.443,0.0736256,-8.2179,-15,6.98
3iqg,-136.431,0.0953679,-11.7385,-5,4.6
2e7l,-45.5342,0.0508175,-3.40424,-3,7.54
2rk7,-90.4024,0.0150283,-3.45526,-14,4.05
3lil,-172.751,0.0755901,-16.5507,-2,8.08
3omg,-22.7042,1.1917,-3.46212,-0,4.72
2jdn,-87.8307,0.0199637,-4.40303,-11,5.56
3lik,-178.213,0.124668,-16.746,-3,8.72
1apw,-180.13,0.00884512,-16.8219,-3,8
1ze8,-112.119,0.0161639,-6.82802,-11,7.68
3uvx,-112.586,0.00599232,-9.26464,-5,4.34
2h6q,-142.328,0.0548999,-11.0877,-8,5.11
2qt5,-145.738,0.00435548,-10.5781,-10,5.03
3eys,-45.9545,0,-2.19545,-6,5.52
3lk1,-13.8475,5.35178e-007,-1.38475,-0,4.26
1icj,-117.851,0.0334471,-9.81859,-5,2.22
3ds9,-263.519,0.0480863,-18.8,-19,7.39
1i8i,-198.508,0.0370489,-14.2879,-14,7.66
1g3b,-73.4541,0.00633098,-6.55174,-2,5.74
2nn8,-79.5209,0.00527141,-3.95736,-10,3.59
2qo8,-110.516,0.00244326,-6.65403,-11,8.47
223l,-35.9358,0.0036976,-3.59728,-0,3.4
3d3x,-120.37,0.0166363,-9.65367,-6,4.16
2cia,-135.271,1.06798,-7.79507,-17,6.43
1sts,-189.018,0.00989097,-15.3116,-9,5
3ifo,-182.045,0.040368,-12.6449,-14,7.26
3oys,-109.238,0.00356011,-6.92737,-10,8.05
2j9n,-66.439,0.000941256,-5.44484,-3,4.7
3d20,-223.101,0.0565334,-18.7667,-9,8.3
3o6m,-163.134,0.0542224,-12.7676,-9,7.48
1utc,-275.783,0.0185177,-22.3968,-13,4.55
1wei,-59.3259,0.000828502,-5.13341,-2,9
3tei,-162.532,0.101114,-14.3543,-5,6.3
2z8e,-68.0065,0.0197588,-6.0204,-2,8
3pb3,-147.466,0.0085932,-11.5552,-8,6.22
1udt,-159.461,0.00864558,-15.1547,-2,9.3
1gz3,-183.333,0.00561347,-14.3389,-10,3.7
3dcw,-109.867,0.00894319,-6.99562,-10,9
3iqh,-131.301,0.0135646,-11.5437,-4,4.59
1bcj,-79.5206,0.0178381,-3.1699,-12,3.7
2v83,-232.108,0.0352157,-21.246,-5,4.47
1byk,-203.529,0.0585061,-12.8114,-19,5
2yiv,-36.2625,0.0258491,-3.6521,-0,2.78
1oko,-71.6615,0.00950779,-3.97565,-8,4.54
2qoa,-98.8515,0.00321189,-6.28836,-9,7.28
1jmi,-158.723,0.00049983,-9.87276,-15,6.06
1n7m,-111.945,0.0212385,-11.2157,-0,5.71
4as6,-85.5093,0.00412975,-8.15506,-1,6.4
4f20,-291.661,0.0596505,-21.2257,-20,3.29
3n0h,-120.044,0.13744,-10.1419,-5,6.21
1xr8,-181.459,0.0609871,-9.40687,-22,6.7
3omc,-52.8324,0.0425659,-6.52581,3,5
1ofz,-89.0577,0.00790418,-4.91367,-10,4.62
4afh,-129.825,0.0317228,-13.4142,1,9.54
4f9v,-66.7792,0.0321969,-5.51012,-3,6.03
2xxw,-107.31,0.00227025,-5.93326,-12,6.41
4ea1,-94.4083,0.107324,-10.7481,3,6.44
4fbe,-63.3608,0.0106637,-5.54675,-2,6.99
1q95,-181.622,0.0140382,-8.57628,-24,7.57
2itk,-89.8111,0.0232373,-5.80435,-8,7.69
1gz9,-130.788,0.0124125,-7.49118,-14,3.51
3dvp,-150.032,0.0957944,-11.499,-9,5
