name,AutoDock4.1Score,estat,hb,vdw,dsolv,tors,affinity
1o2s,-7.7480,-2.6021,-2.5863,-8.4431,4.6903,1.1932,5.47
1axz,-3.7231,-0.7341,-2.3196,-5.2326,2.7734,1.7898,3.2
1kll,-2.6748,-1.6540,-0.9687,-5.0751,2.6367,2.3864,5.2
1yid,-3.3523,-2.0832,-2.8508,-8.9333,7.2337,3.2813,5
2adu,-5.4754,0.1261,-1.2310,-6.3591,1.6903,0.2983,7.74
2dua,-1.2573,1.0017,-1.9140,-2.9768,2.3335,0.2983,4.77
2fkf,-6.3874,-3.1264,-5.0523,-4.8346,4.2395,2.3864,2.92
1vj9,-11.3714,-3.3851,-4.7389,-15.0131,6.3963,5.3694,7.55
1cim,-5.9318,-0.3570,-1.3537,-7.3419,2.2258,0.8949,8.82
1gzc,-2.8925,-0.7226,-2.3940,-6.4680,3.1126,3.5796,3.49
1n1t,-6.3559,-2.4389,-4.0691,-7.8847,5.0538,2.9830,3.85
2ff1,-9.4235,-2.3965,-3.3493,-10.4683,5.2991,1.4915,8.21
1qq9,-2.6715,0.3457,-1.9074,-5.4854,2.8842,1.4915,2.06
1obx,-3.4911,-1.0898,-1.7246,-7.4392,2.2880,4.4745,5.72
1ta2,-11.1918,-0.3106,-1.6769,-14.6578,3.0671,2.3864,8.52
1me8,-5.1854,-2.1516,-4.1281,-6.7576,5.7638,2.0881,7.19
1xbb,-4.7815,0.6904,-0.5003,-9.9403,3.1789,1.7898,5.3
1qca,-3.2550,0.1273,-0.1345,-6.0418,0.4076,2.3864,5.27
1rgl,-2.3441,0.2284,-2.4482,-6.8340,4.6216,2.0881,4.43
2c3j,-7.8165,-1.1000,-2.0143,-8.2964,3.2958,0.2983,6.18
1z3v,-3.1092,-0.8161,-2.3768,-9.3045,5.8086,3.5796,4.11
1af6,-5.6856,-1.6143,-4.8024,-8.1142,4.9674,3.8779,1.82
1vja,-9.3086,-0.5897,-4.7944,-14.1735,5.7745,4.4745,7.7
2avv,-10.1185,-1.2870,0.0857,-17.8738,4.7804,4.1762,9.26
1meu,-11.7724,-0.4146,-3.1639,-16.5987,4.2286,4.1762,6.1
1cil,-5.6888,-0.2627,-1.0627,-7.6064,2.0498,1.1932,9.43
1xzx,-10.2424,-0.8348,-1.1170,-13.7416,3.3629,2.0881,10.22
6tim,-6.7234,-2.4117,-3.8307,-5.8853,3.6144,1.7898,3.21
2hh5,-10.0937,-0.4193,-2.0929,-15.1554,3.9944,3.5796,7.49
1rdi,-1.4863,0.4896,-1.9289,-2.9815,1.7414,1.1932,2.06
1w8l,-4.1238,-0.0617,-0.5220,-4.1695,0.6294,0.0000,0.49
