Name,"gauss(o=0,_w=0.3,_c=8)","gauss(o=0.5,_w=0.3,_c=8)","gauss(o=1,_w=0.3,_c=8)","gauss(o=1.5,_w=0.3,_c=8)","gauss(o=2,_w=0.3,_c=8)","gauss(o=2.5,_w=0.3,_c=8)","gauss(o=0,_w=0.5,_c=8)","gauss(o=1,_w=0.5,_c=8)","gauss(o=2,_w=0.5,_c=8)","gauss(o=0,_w=0.7,_c=8)","gauss(o=1,_w=0.7,_c=8)","gauss(o=2,_w=0.7,_c=8)","gauss(o=0,_w=0.9,_c=8)","gauss(o=1,_w=0.9,_c=8)","gauss(o=2,_w=0.9,_c=8)","gauss(o=3,_w=0.9,_c=8)","gauss(o=0,_w=1.5,_c=8)","gauss(o=1,_w=1.5,_c=8)","gauss(o=2,_w=1.5,_c=8)","gauss(o=3,_w=1.5,_c=8)","gauss(o=4,_w=1.5,_c=8)","gauss(o=0,_w=2,_c=8)","gauss(o=1,_w=2,_c=8)","gauss(o=2,_w=2,_c=8)","gauss(o=3,_w=2,_c=8)","gauss(o=4,_w=2,_c=8)","gauss(o=0,_w=3,_c=8)","gauss(o=1,_w=3,_c=8)","gauss(o=2,_w=3,_c=8)","gauss(o=3,_w=3,_c=8)","gauss(o=4,_w=3,_c=8)","repulsion(o=0.4,_c=8)","repulsion(o=0.2,_c=8)","repulsion(o=0,_c=8)","repulsion(o=-0.2,_c=8)","repulsion(o=-0.4,_c=8)","repulsion(o=-0.6,_c=8)","repulsion(o=-0.8,_c=8)","repulsion(o=-1,_c=8)","hydrophobic(g=0.5,_b=1.5,_c=8)","hydrophobic(g=0.5,_b=1,_c=8)","hydrophobic(g=0.5,_b=2,_c=8)","hydrophobic(g=0.5,_b=3,_c=8)","non_hydrophobic(g=0.5,_b=1.5,_c=8)","vdw(i=4,_j=8,_s=0,_^=100,_c=8)","vdw(i=6,_j=12,_s=1,_^=100,_c=8)","non_dir_h_bond(g=-0.7,_b=0,_c=8)","non_dir_h_bond(g=-0.7,_b=0.2,_c=8)","non_dir_h_bond(g=-0.7,_b=0.5,_c=8)","non_dir_h_bond(g=-1,_b=0,_c=8)","non_dir_h_bond(g=-1,_b=0.2,_c=8)","non_dir_h_bond(g=-1,_b=0.5,_c=8)","non_dir_h_bond(g=-1.3,_b=0,_c=8)","non_dir_h_bond(g=-1.3,_b=0.2,_c=8)","non_dir_h_bond(g=-1.3,_b=0.5,_c=8)","non_dir_anti_h_bond_quadratic(o=0,_c=8)","non_dir_anti_h_bond_quadratic(o=0.5,_c=8)","non_dir_anti_h_bond_quadratic(o=1,_c=8)","donor_donor_quadratic(o=0,_c=8)","donor_donor_quadratic(o=0.5,_c=8)","donor_donor_quadratic(o=1,_c=8)","acceptor_acceptor_quadratic(o=0,_c=8)","acceptor_acceptor_quadratic(o=0.5,_c=8)","acceptor_acceptor_quadratic(o=1,_c=8)","non_dir_h_bond_lj(o=-0.7,_^=100,_c=8)","non_dir_h_bond_lj(o=-1,_^=100,_c=8)","non_dir_h_bond_lj(o=-1.3,_^=100,_c=8)","ad4_solvation(d-sigma=3.6,_s/q=0.01097,_c=8)","ad4_solvation(d-sigma=3.6,_s/q=0,_c=8)","electrostatic(i=1,_^=100,_c=8)","electrostatic(i=2,_^=100,_c=8)",num_tors_div,num_tors_div_simple,num_heavy_atoms_div,num_heavy_atoms,num_tors_add,num_tors_sqr,num_tors_sqrt,num_hydrophobic_atoms,ligand_length,num_ligands,affinity
1h23,83.49350,135.24790,189.70506,243.91522,269.85027,351.11216,132.40836,316.64803,470.86708,186.62635,440.28702,670.23523,247.71319,562.24890,869.49401,1203.03611,473.52169,939.78512,1436.26962,1738.66413,1433.27838,712.07859,1262.21219,1789.87380,2005.02275,1681.55224,1233.28707,1774.74024,2186.28872,2293.79626,2033.96468,20.18239,8.33320,3.05264,1.02281,0.28800,0.04509,0.00000,0.00000,112.52649,80.17542,146.76050,217.47583,65.92432,-756.77109,-877.70110,2.91680,3.46362,4.09772,2.14073,2.68019,3.34415,1.64671,2.14415,2.78679,0.00000,0.21373,1.48002,0.14422,0.98771,3.38376,0.54082,1.52622,3.01163,-20.45626,-11.53407,-4.37050,10.97081,-93.86946,-0.14656,-0.01164,0.00000,0.00000,0.00000,1.80000,15.00000,4.50000,0.17321,1.10000,16.00000,1.00000,8.35
3b1m,60.22604,118.52924,149.73679,211.25067,280.07629,311.97213,104.05212,259.57485,452.59212,149.69007,371.20533,627.44898,200.40448,482.99124,806.23486,1152.04630,398.55303,831.88769,1331.56751,1661.46137,1391.68517,618.36448,1136.78365,1663.99799,1906.76574,1621.63527,1111.45656,1628.57488,2037.89094,2165.67258,1939.65287,13.76004,5.45797,1.77059,0.35369,0.01431,0.00000,0.00000,0.00000,69.52337,49.82526,92.84599,144.48594,50.47341,-674.45318,-766.15811,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.08239,0.61944,0.00000,0.00000,0.00000,0.00000,0.08239,0.61944,-1.60983,-0.55464,-0.16313,11.53464,-92.14773,0.11064,0.01382,0.00000,0.00000,0.00000,1.90000,6.00000,0.72000,0.10954,1.00000,8.00000,1.00000,8.48
4jxs,48.44235,80.63240,99.40902,123.80250,167.63654,187.50278,80.06084,166.93199,268.95158,112.73914,236.39159,374.65600,147.24088,306.27718,482.41790,659.93093,271.54815,521.01929,791.21818,952.09260,780.34343,403.20223,700.94085,985.35052,1098.35843,918.20370,689.53866,983.75950,1204.92385,1259.41494,1114.07283,20.94168,10.89069,5.30952,2.28997,0.74479,0.13762,0.00300,0.00000,18.94820,13.60256,24.61367,35.89989,100.44187,-408.13189,-489.34064,7.79720,8.28671,9.44303,5.74497,6.45414,7.74571,4.41921,5.16331,6.45476,0.19123,1.02609,3.77306,0.00000,0.00000,0.00810,2.01437,5.93444,13.75234,-47.41967,-29.09717,-11.35496,31.51409,-58.12329,1.39149,0.28730,0.00000,0.00000,0.00000,1.10000,6.00000,0.72000,0.10954,0.35000,6.00000,1.00000,4.74
2pog,32.67312,65.98750,111.55503,152.40125,196.85857,234.57051,54.95419,185.30812,324.88439,84.18020,259.07972,454.45241,119.48449,334.52149,584.05095,809.95899,261.47901,578.77182,945.15346,1158.34675,944.24191,419.18773,791.34354,1166.73093,1325.07939,1109.84456,766.06690,1128.67365,1413.69045,1498.22962,1334.95394,11.34467,5.69373,2.77903,1.30258,0.50284,0.13624,0.01014,0.00000,67.37790,45.68229,92.15093,149.12286,29.01255,-447.92667,-525.78707,3.17278,3.35661,3.58851,2.52423,2.77019,3.07300,1.94171,2.21615,2.56083,0.00000,0.00000,0.00000,0.44787,1.36709,2.92572,1.47840,4.09067,8.53094,-14.87057,-13.02642,-5.52692,-0.14425,-59.36769,0.21880,0.06515,0.00000,0.00000,0.00000,1.05000,1.00000,0.02000,0.04472,0.70000,1.00000,1.00000,9.54
1bcu,37.08599,68.85192,88.53793,114.80467,133.53590,146.77023,61.69003,149.80998,218.96077,87.78287,210.06683,307.73011,116.72066,267.91150,398.27644,530.66443,222.59998,438.90065,650.55782,752.73625,585.31889,331.45757,579.65503,800.42093,865.90887,698.35484,560.05323,795.00421,962.90334,991.11948,861.19398,6.16942,2.09997,0.63544,0.13274,0.01520,0.00000,0.00000,0.00000,11.15260,9.05120,15.00135,24.34088,62.73403,-346.62197,-405.66283,1.18484,1.40234,2.35279,0.82939,1.05176,1.88223,0.63799,0.84140,1.56852,0.00000,0.00000,0.58602,0.00000,0.00000,0.58602,0.00000,0.00000,0.00000,-11.43292,-5.01788,-1.72763,21.16580,-38.96097,0.58539,0.12249,0.00000,0.00000,0.00000,0.80000,0.00000,0.00000,0.00000,0.45000,0.00000,1.00000,3.28
3d6q,23.44415,47.40686,66.24552,100.72942,127.81997,148.57672,40.55705,115.12036,213.36772,60.30619,165.67610,293.72347,82.97144,216.57234,372.88027,501.00209,174.19926,374.00608,598.33259,727.44204,599.28630,274.42262,508.04102,739.79554,836.89768,704.06060,493.28121,721.52870,899.63598,951.64344,848.39719,8.63976,4.17280,1.77623,0.66745,0.19856,0.02516,0.00000,0.00000,2.17034,1.27254,2.98252,5.98060,72.62719,-288.02867,-337.13385,2.81791,3.28369,4.28667,2.02960,2.51031,3.46737,1.56123,2.00825,2.88948,0.00000,0.01990,1.15290,0.96023,2.85866,6.17641,0.01061,0.76956,4.36960,-23.07772,-11.99271,-4.45500,25.18643,-42.68113,0.10782,0.03924,0.00000,0.00000,0.00000,1.10000,3.00000,0.18000,0.07746,0.20000,4.00000,1.00000,3.76
3twp,20.60960,43.97810,63.22234,67.12905,80.18963,92.10109,36.85390,101.46356,134.01041,54.66434,136.76481,187.75234,74.26779,171.14343,241.70950,307.05584,141.89953,273.51627,393.69598,455.60347,374.84584,208.33901,357.86294,488.65292,532.66048,443.05648,347.63868,491.66027,596.10322,617.64576,543.34034,5.80982,2.53918,0.90904,0.24320,0.02500,0.00000,0.00000,0.00000,21.28173,15.60222,25.96570,34.26562,19.58336,-214.22359,-254.24559,1.21060,1.38602,1.70863,0.84742,1.03951,1.36691,0.65186,0.83161,1.13909,0.00000,0.00000,0.02799,0.10369,0.67570,1.75343,0.00000,0.00000,0.02799,-8.70440,-4.00637,-1.41296,17.32284,-26.44457,0.31781,0.06388,0.00000,0.00000,0.00000,0.50000,1.00000,0.02000,0.04472,0.25000,1.00000,1.00000,3.92
3myg,61.03302,87.23751,145.36790,154.76113,208.00863,241.38476,96.33326,226.02967,337.47212,135.28501,309.28166,473.10472,179.28101,394.80324,613.21909,869.97886,339.31992,664.52719,1022.77590,1260.71465,1058.18242,508.79867,898.60234,1282.71951,1453.82619,1234.02258,884.57884,1274.98848,1576.83729,1663.13598,1483.29746,21.16093,10.03253,4.24984,1.61128,0.55862,0.10648,0.00028,0.00000,12.06081,7.82376,17.32091,29.86101,85.09170,-536.72684,-626.92328,2.24775,2.57739,2.93304,1.65255,1.99898,2.39918,1.27119,1.59918,1.99932,0.54157,1.64516,4.39684,0.00000,0.00000,0.35511,0.54157,1.64516,4.05027,-16.27244,-9.24346,-3.62121,27.96145,-69.44384,0.15933,0.03181,0.00000,0.00000,0.00000,1.50000,8.00000,1.28000,0.12649,0.30000,10.00000,1.00000,10.7
3coy,85.97669,132.88551,162.45812,234.77336,280.44158,336.21583,137.68109,284.25743,472.30640,188.91260,407.76951,659.09543,245.16769,530.51992,844.22654,1129.99877,459.58489,901.10941,1371.00125,1637.98748,1338.75009,688.27263,1208.75350,1701.60161,1891.80346,1578.13496,1182.46752,1692.22894,2075.06554,2168.90436,1917.71635,25.89889,11.84366,4.96794,1.83897,0.57353,0.08900,0.00000,0.00000,12.23910,8.87433,17.10295,31.56556,201.86404,-713.79894,-836.90802,7.63962,8.61909,10.26916,5.54410,6.62795,8.34623,4.26469,5.30236,6.95520,0.30646,1.89149,7.28282,0.64844,3.16630,9.47772,0.47203,2.24061,7.46419,-54.85444,-29.87248,-11.36043,45.90519,-102.00559,0.36814,0.09531,0.00000,0.00000,0.00000,1.55000,7.00000,0.98000,0.11832,0.20000,12.00000,1.00000,6.02
4qac,74.77262,124.04521,165.09977,209.51936,219.85003,256.58589,119.95257,276.57560,376.67940,168.93703,383.92788,529.86877,222.98183,486.14566,680.88853,847.59762,413.68762,778.93453,1102.61526,1253.92317,1013.94632,600.33790,1014.03957,1364.43583,1467.15229,1205.49534,985.97896,1381.12737,1659.72547,1705.84796,1489.78785,20.31948,9.02898,3.74365,1.49272,0.51607,0.15541,0.01782,0.00000,79.76133,56.77245,104.83696,158.98555,46.39635,-605.30530,-727.66444,1.89375,1.94300,2.33868,1.55878,1.65155,2.02639,1.19907,1.32124,1.68865,0.65476,1.72319,3.75637,0.39140,1.26703,2.77043,0.65476,1.82757,4.44364,-8.35883,-8.65498,-3.88415,20.72341,-64.32319,-0.34502,-0.05270,0.00000,0.00000,0.00000,1.20000,3.00000,0.18000,0.07746,0.70000,4.00000,1.00000,9.4
