Name,"gauss(o=0,_w=0.3,_c=8)","gauss(o=0.5,_w=0.3,_c=8)","gauss(o=1,_w=0.3,_c=8)","gauss(o=1.5,_w=0.3,_c=8)","gauss(o=2,_w=0.3,_c=8)","gauss(o=2.5,_w=0.3,_c=8)","gauss(o=0,_w=0.5,_c=8)","gauss(o=1,_w=0.5,_c=8)","gauss(o=2,_w=0.5,_c=8)","gauss(o=0,_w=0.7,_c=8)","gauss(o=1,_w=0.7,_c=8)","gauss(o=2,_w=0.7,_c=8)","gauss(o=0,_w=0.9,_c=8)","gauss(o=1,_w=0.9,_c=8)","gauss(o=2,_w=0.9,_c=8)","gauss(o=3,_w=0.9,_c=8)","gauss(o=0,_w=1.5,_c=8)","gauss(o=1,_w=1.5,_c=8)","gauss(o=2,_w=1.5,_c=8)","gauss(o=3,_w=1.5,_c=8)","gauss(o=4,_w=1.5,_c=8)","gauss(o=0,_w=2,_c=8)","gauss(o=1,_w=2,_c=8)","gauss(o=2,_w=2,_c=8)","gauss(o=3,_w=2,_c=8)","gauss(o=4,_w=2,_c=8)","gauss(o=0,_w=3,_c=8)","gauss(o=1,_w=3,_c=8)","gauss(o=2,_w=3,_c=8)","gauss(o=3,_w=3,_c=8)","gauss(o=4,_w=3,_c=8)","repulsion(o=0.4,_c=8)","repulsion(o=0.2,_c=8)","repulsion(o=0,_c=8)","repulsion(o=-0.2,_c=8)","repulsion(o=-0.4,_c=8)","repulsion(o=-0.6,_c=8)","repulsion(o=-0.8,_c=8)","repulsion(o=-1,_c=8)","hydrophobic(g=0.5,_b=1.5,_c=8)","hydrophobic(g=0.5,_b=1,_c=8)","hydrophobic(g=0.5,_b=2,_c=8)","hydrophobic(g=0.5,_b=3,_c=8)","non_hydrophobic(g=0.5,_b=1.5,_c=8)","vdw(i=4,_j=8,_s=0,_^=100,_c=8)","vdw(i=6,_j=12,_s=1,_^=100,_c=8)","non_dir_h_bond(g=-0.7,_b=0,_c=8)","non_dir_h_bond(g=-0.7,_b=0.2,_c=8)","non_dir_h_bond(g=-0.7,_b=0.5,_c=8)","non_dir_h_bond(g=-1,_b=0,_c=8)","non_dir_h_bond(g=-1,_b=0.2,_c=8)","non_dir_h_bond(g=-1,_b=0.5,_c=8)","non_dir_h_bond(g=-1.3,_b=0,_c=8)","non_dir_h_bond(g=-1.3,_b=0.2,_c=8)","non_dir_h_bond(g=-1.3,_b=0.5,_c=8)","non_dir_anti_h_bond_quadratic(o=0,_c=8)","non_dir_anti_h_bond_quadratic(o=0.5,_c=8)","non_dir_anti_h_bond_quadratic(o=1,_c=8)","donor_donor_quadratic(o=0,_c=8)","donor_donor_quadratic(o=0.5,_c=8)","donor_donor_quadratic(o=1,_c=8)","acceptor_acceptor_quadratic(o=0,_c=8)","acceptor_acceptor_quadratic(o=0.5,_c=8)","acceptor_acceptor_quadratic(o=1,_c=8)","non_dir_h_bond_lj(o=-0.7,_^=100,_c=8)","non_dir_h_bond_lj(o=-1,_^=100,_c=8)","non_dir_h_bond_lj(o=-1.3,_^=100,_c=8)","ad4_solvation(d-sigma=3.6,_s/q=0.01097,_c=8)","ad4_solvation(d-sigma=3.6,_s/q=0,_c=8)","electrostatic(i=1,_^=100,_c=8)","electrostatic(i=2,_^=100,_c=8)",num_tors_div,num_tors_div_simple,num_heavy_atoms_div,num_heavy_atoms,num_tors_add,num_tors_sqr,num_tors_sqrt,num_hydrophobic_atoms,ligand_length,num_ligands,affinity
2z1w,36.61656,52.98179,89.49827,108.49706,133.70524,139.28430,58.44426,142.26423,218.13748,82.66031,197.36364,303.51650,110.47794,252.70813,392.15624,557.63444,214.23198,423.85318,655.80033,818.95674,704.41397,323.43178,574.49083,826.52676,947.59532,816.30062,567.22248,821.56940,1022.14428,1085.42083,975.18272,16.02773,8.19540,3.80199,1.59587,0.57668,0.16585,0.02471,0.00000,16.59584,11.73506,21.01321,26.46818,75.23948,-333.53723,-398.09315,1.80989,2.07436,2.30577,1.27210,1.56008,1.84806,0.97854,1.24806,1.54005,1.78099,5.24584,11.11465,0.00000,0.00000,0.00000,1.78099,5.24584,11.11494,-13.99101,-7.21885,-2.69141,21.57139,-47.13290,0.00325,0.01899,0.00000,0.00000,0.00000,0.75000,3.00000,0.18000,0.07746,0.20000,3.00000,1.00000,4.08
1xh5,99.18634,152.18662,202.12603,254.97583,308.73347,351.52474,157.40419,337.81038,511.61554,219.08321,473.79884,718.93254,286.27188,608.64130,932.95540,1323.92081,530.31804,1023.11818,1559.15105,1911.90965,1595.35921,788.31705,1379.51515,1955.16383,2204.73689,1863.46729,1358.50132,1949.51679,2401.78747,2524.93129,2245.62082,31.35091,14.43007,5.96362,2.17552,0.56732,0.05006,0.00000,0.00000,61.92950,43.56912,85.78529,141.28387,124.94723,-829.86246,-965.82862,5.98745,7.15197,8.65717,4.27509,5.43387,6.98165,3.28853,4.34710,5.81804,0.07914,0.70926,3.14470,0.00000,0.00269,0.56626,0.07914,0.84970,3.80205,-43.21814,-23.26328,-8.82231,33.23711,-108.21296,-0.27362,-0.04479,0.00000,0.00000,0.00000,2.15000,7.00000,0.98000,0.11832,1.05000,8.00000,1.00000,5.47
3s6t,70.29954,91.65558,107.37382,137.56313,149.58724,182.50334,106.60113,184.88778,253.86357,142.15037,260.71650,361.02452,179.53033,334.22976,469.82348,656.94035,308.83435,550.85670,795.66405,970.54083,831.96280,440.26631,733.59772,1008.71617,1131.01182,967.07547,730.19527,1029.11241,1253.44656,1311.39777,1167.18173,21.19193,9.66846,4.01706,1.55542,0.48529,0.05440,0.00000,0.00000,22.89915,18.64065,28.51121,40.99755,90.17710,-451.89145,-531.19303,6.66920,7.28611,8.51250,4.75333,5.53533,6.86659,3.65641,4.42826,5.72216,0.00000,0.00000,0.00496,1.51684,4.95435,11.16700,1.34246,4.27158,10.01922,-45.00319,-24.62740,-9.20507,30.98271,-59.19581,0.98458,0.22304,0.00000,0.00000,0.00000,1.25000,5.00000,0.50000,0.10000,0.30000,6.00000,1.00000,7.35
3b67,84.77326,129.80493,175.08627,204.10777,284.38606,331.46026,136.12663,284.67267,463.35928,189.54562,400.63514,643.24808,246.76062,519.33883,827.91418,1184.31410,456.20781,889.29538,1385.34679,1760.59384,1565.98800,683.91798,1213.43319,1758.87588,2048.90232,1808.14784,1205.44318,1754.63344,2199.51724,2359.49314,2146.64162,25.78012,11.41297,4.29722,1.25045,0.26534,0.02108,0.00000,0.00000,54.89415,41.97010,70.39747,109.56450,115.09662,-723.73523,-828.69551,3.93136,4.39105,4.79329,2.75195,3.29329,3.83463,2.11688,2.63463,3.19553,0.18243,1.57470,4.46696,0.07721,0.60509,1.63296,0.79483,3.73701,9.18780,-24.83067,-12.72081,-4.63834,46.89929,-92.40603,0.74295,0.14963,0.00000,0.00000,0.00000,1.60000,7.00000,0.98000,0.11832,0.65000,8.00000,1.00000,8.85
3fas,49.17301,57.97422,74.93028,83.86017,108.27676,117.69245,73.94717,122.59474,175.01377,99.04826,171.57292,242.92708,124.90507,220.95358,312.82235,412.22467,211.92627,366.59821,516.13752,599.19169,485.26785,298.35964,483.49408,644.99562,697.39246,574.63564,480.65625,663.61853,791.67008,811.37593,707.96434,21.94254,11.04514,4.90462,1.95747,0.58791,0.05854,0.00000,0.00000,12.21311,9.96189,14.25416,18.59862,95.59001,-291.12040,-355.05760,9.22169,10.48299,11.90270,6.56163,7.95095,9.59313,5.04741,6.36076,7.99427,0.00000,0.12398,1.12049,1.23324,4.71707,11.72982,0.61915,2.46352,7.27677,-60.39073,-32.86251,-12.37085,26.28872,-43.97957,0.98668,0.19727,0.00000,0.00000,0.00000,0.50000,4.00000,0.32000,0.08944,0.10000,6.00000,1.00000,6.77
3m3z,63.28859,108.04779,127.31965,167.02050,193.07373,197.31142,105.76846,218.11529,316.00264,148.11799,307.96127,439.19064,192.61414,394.33283,565.82425,748.10875,348.42059,645.36908,931.63655,1091.69977,892.85990,504.70908,851.50963,1161.19090,1269.59668,1053.71629,836.17649,1175.22910,1420.41235,1469.20507,1290.23652,24.89831,12.50570,5.70062,2.53099,1.17275,0.49436,0.16027,0.02734,0.00000,0.00000,0.00000,0.00000,193.22927,-491.63610,-607.98504,4.14776,5.00381,6.49763,3.49972,4.24977,5.59563,2.81929,3.51005,4.75489,0.00000,0.25867,3.45569,1.39653,3.71554,10.44664,1.46538,3.83210,9.66473,9.43013,-20.13840,-11.28368,55.24526,-70.40827,0.29550,0.06655,0.00000,0.00000,0.00000,1.25000,6.00000,0.72000,0.10954,0.00000,8.00000,1.00000,5.73
2uyq,32.27040,58.13534,81.09397,91.40194,130.82104,169.31368,53.45966,132.60347,215.52263,77.28917,182.81315,302.63113,103.53663,235.18829,391.43446,560.27530,200.25445,406.70152,646.94310,802.05638,667.27456,306.88304,555.86654,807.49281,920.71003,780.85191,545.48081,794.11162,989.22321,1048.13092,937.17584,11.33792,5.66161,2.69159,1.20378,0.43721,0.09503,0.00316,0.00000,0.00000,0.00000,0.00000,0.00000,88.02414,-321.41258,-376.64921,3.78126,3.94954,4.58796,2.84438,3.12673,3.80203,2.18798,2.50139,3.16836,0.19826,1.64855,5.95103,0.00459,0.80847,3.55512,1.02870,3.72993,9.79933,-23.79214,-15.43300,-6.22389,31.32868,-46.51731,0.37395,0.11978,0.00000,0.00000,0.00000,0.85000,1.00000,0.02000,0.04472,0.00000,1.00000,1.00000,5.68
1xd0,86.67851,157.31401,214.92188,332.75250,354.49081,403.90495,149.34894,376.59772,598.08233,216.05883,534.49371,842.02580,291.06379,687.54163,1086.21827,1507.51620,575.60642,1156.57656,1793.56250,2212.62262,1885.46975,875.68277,1564.31228,2247.87497,2561.84529,2195.23717,1538.21720,2228.38675,2769.37040,2935.40826,2632.22595,43.14874,22.73742,10.80454,4.48200,1.43535,0.29585,0.02234,0.00000,5.45128,2.66117,8.99030,16.53300,205.27036,-895.33520,-1074.27483,16.41595,18.27667,20.49540,12.13493,14.24397,16.82550,9.33456,11.39518,14.02125,0.00000,0.00797,0.34722,1.52642,5.51657,12.64778,5.35925,17.40242,40.04262,-100.78305,-60.57545,-23.33692,74.56872,-144.13738,1.67027,0.36433,0.00000,0.00000,0.00000,2.75000,12.00000,2.88000,0.15492,0.15000,10.00000,1.00000,7.12
3djo,36.12696,58.06373,74.16948,113.54387,120.96997,137.36653,57.86528,131.16497,206.97037,81.22047,187.24930,288.82191,107.42915,241.42506,369.62335,482.39462,205.95335,401.29768,599.19642,709.28002,586.09445,307.12244,533.96426,744.34397,824.17221,690.21002,522.68460,744.43609,909.87495,949.65210,840.05262,16.29148,8.62019,4.30119,2.08060,0.86923,0.26202,0.03360,0.00000,2.57219,1.19805,3.82554,5.76537,88.36150,-301.35503,-373.05272,5.18114,6.01611,7.49968,4.17607,4.96981,6.36592,3.21236,3.97584,5.30494,0.05845,0.68459,2.89658,2.34523,6.26977,13.14118,0.05845,0.87976,3.79686,-28.89317,-24.49376,-10.56606,29.00651,-44.48851,0.29456,0.06726,0.00000,0.00000,0.00000,1.05000,4.00000,0.32000,0.08944,0.05000,4.00000,1.00000,4.39
1b05,79.71288,98.88371,162.50031,205.06237,238.42152,270.47754,124.14795,262.82173,393.78660,170.18703,365.57985,551.97168,222.09533,468.87445,710.52485,945.89303,412.34496,782.09009,1162.23203,1380.70992,1134.60918,607.56327,1042.80611,1447.16811,1600.37081,1335.56387,1025.52666,1453.53153,1770.50137,1843.02677,1626.15886,33.96883,17.09127,7.71543,3.00513,0.86562,0.14196,0.00087,0.00000,15.23825,10.66691,21.26105,36.94043,140.01697,-618.22368,-741.61807,10.45070,11.90610,13.62026,7.65466,9.21221,11.12232,5.88820,7.36977,9.26860,0.00000,0.27247,2.43909,0.56526,2.13384,5.55454,0.00000,0.26576,1.57625,-65.23964,-37.87919,-14.71583,33.68975,-89.97044,0.55554,0.08648,0.00000,0.00000,0.00000,1.25000,14.00000,3.92000,0.16733,0.30000,12.00000,1.00000,7.12
