name,cyscore,cyscore_hydrophobic,cyscore_Vdw,cyscore_HBond,cyscore_Ent,affinity
2z1w,-1.4539,5.134,22.287,-0.000,3,4.08
1xh5,-5.8505,279.402,55.600,6.071,6,5.47
3s6t,-3.2397,151.927,33.158,-0.000,6,7.35
3b67,-5.6797,293.134,51.668,1.750,6,8.85
3fas,-1.7558,93.341,16.319,11.536,4,6.77
3m3z,-2.8474,145.244,28.213,1.321,6,5.73
2uyq,-1.4571,47.561,15.803,6.714,1,5.68
1xd0,-5.8902,289.963,54.830,8.286,6,7.12
3djo,-1.2834,53.500,15.845,1.214,6,4.39
1b05,-4.6091,240.293,41.926,14.214,6,7.12
4lps,-3.0798,126.256,33.229,16.321,6,5.74
3iph,-4.6858,253.244,41.465,-0.000,6,7.6
4mjp,-3.1050,200.902,22.736,5.286,3,3.88
4jfk,-4.9526,245.220,46.896,-0.000,6,6.44
3wz7,-4.8041,261.390,42.541,6.893,6,5.74
2iuz,-3.4457,126.207,36.765,-0.000,3,5.55
4g0q,-1.9170,109.756,18.101,7.143,6,2.52
3p9m,-7.0079,355.951,63.200,7.964,6,5
2wzs,-1.7566,45.805,20.354,6.643,1,3.85
4jyb,-3.9383,176.793,39.699,15.500,6,6.96
2zxg,-4.3124,216.232,41.064,-0.000,6,8.82
4owv,-1.6165,76.427,14.264,2.000,0,4.35
4m13,-6.6982,411.756,52.404,-0.000,6,6.7
1usn,-3.5821,176.256,33.401,-0.000,4,7.74
2psu,-5.7097,317.098,49.326,-0.000,6,7.62
1odj,-3.3905,141.793,33.286,5.357,2,4.1
4lm2,-1.9642,100.159,17.174,-0.000,1,3.03
3daz,-2.9252,139.366,26.439,-0.000,1,7.93
3rz1,-3.0772,156.988,30.201,-0.000,6,8.74
2qx0,-2.0078,92.037,18.725,1.107,1,6.11
4zb6,-3.9210,127.622,45.107,20.000,6,6.28
3fvn,-2.9707,146.622,27.745,7.821,4,6.77
3f70,-1.2820,98.768,10.204,7.143,6,4.85
2gj5,-2.6792,180.841,21.599,-0.000,6,8.32
1szd,-4.6220,213.524,45.694,4.357,6,4.54
1d4y,-6.1987,360.329,51.238,0.929,6,11.1
4xu3,-7.9945,423.817,69.393,9.000,6,9.5
3rm4,-3.4176,194.439,30.342,8.429,6,5.77
1wm1,-2.1648,88.610,21.729,8.143,2,6.3
2y7x,-5.2535,215.634,52.943,0.036,4,8.89
2ans,-2.5741,121.024,25.309,1.214,4,5.92
1td7,-2.3511,126.341,20.872,0.357,3,4.37
2wc4,-3.6888,223.671,31.043,2.357,6,5.29
2xde,-3.8794,225.988,33.557,1.750,6,5.47
4pzv,-4.5888,203.488,46.346,5.821,6,5.7
