name,TOTAL_SCORE,SCORE_RB_PEN,SCORE_NORM_HEVATOMS,SCORE_NORM_CRT_HEVATOMS,SCORE_NORM_WEIGHT,SCORE_NORM_CRT_WEIGHT,SCORE_RB_PEN_NORM_CRT_HEVATOMS,SCORE_NORM_CONTACT,PLPtotal,PLPparthbond,PLPpartsteric,PLPpartmetal,PLPpartrepulsive,PLPpartburpolar,LIG_NUM_CLASH,LIG_NUM_CONTACT,LIG_NUM_NO_CONTACT,CHEMPLP_CLASH2,TRIPOS_TORS,affinity
3q5u,-15.2966,48.7034,-0.22169,-3.72945,-0.015686000000000002,-1.54253,11.8743,-0.254943,-71.2859,-20.4908,-45.9979,0.0,0.609539,0.0,0,60,9,51.0372,22.0449,4.31
1o2s,-69.34100000000001,-65.34100000000001,-3.6495300000000004,-25.986,-0.271606,-10.9305,-24.487,-3.6495300000000004,-50.4926,-12.6599,-34.7811,0.0,0.0982393,0.0,2,17,0,0.0,0.503328,5.47
3bze,-124.43799999999999,-62.4383,-1.7046299999999999,-29.7746,-0.118701,-12.2496,-14.9398,-1.7046299999999999,-126.196,-18.4768,-112.448,0.0,0.28302,0.0,5,68,0,0.0,17.2627,6
1axz,-52.083999999999996,-50.083999999999996,-4.34034,-22.7498,-0.289105,-9.22193,-21.8762,-4.34034,-33.0456,-12.0,-20.8928,0.0,0.0,0.0,0,12,0,0.0,0.07784719999999999,3.2
2dua,-37.3461,-35.3461,-6.22435,-20.5523,-0.424291,-8.395589999999999,-19.4517,-6.22435,-19.4532,-12.1761,-6.39964,-8.0,1.32523,0.0,3,3,0,0.0,0.347562,4.77
1gzc,-53.5522,-45.5522,-2.32836,-18.8308,-0.15645,-7.65555,-16.0177,-2.81854,-38.8588,-12.2146,-24.6182,0.0,0.00419474,0.0,1,18,4,0.0,3.66086,3.49
1obx,-58.2189,-32.2189,-1.7642099999999998,-18.1507,-0.12507200000000002,-7.51213,-10.0448,-2.07925,-46.4363,-8.36046,-35.427,0.0,0.159471,0.0,0,29,4,0.0,7.1186,5.72
1z3v,-66.6152,-58.6152,-2.8963200000000002,-23.4242,-0.194613,-9.52298,-20.6111,-2.8963200000000002,-52.1284,-16.2351,-30.8792,0.0,0.11274300000000001,0.0,0,23,0,0.0,4.69418,4.11
2avv,-108.335,-84.3346,-2.4074400000000002,-30.4577,-0.176213,-12.7406,-23.7102,-2.4074400000000002,-98.3894,-7.498939999999999,-95.7513,0.0,0.122204,0.0,6,39,0,0.0,7.318739999999999,9.26
4e81,-54.5762,-4.57618,-0.768679,-13.18,-0.054616599999999994,-5.45896,-1.10514,-0.992294,-61.3737,-4.0,-57.5933,0.0,0.157228,-0.0479665,3,53,15,4.75419,21.3717,5.24
3lqj,-78.3518,-28.3518,-1.50676,-20.9917,-0.10476099999999999,-8.63176,-7.59589,-1.74115,-75.1931,-11.360999999999999,-69.89399999999999,0.0,0.831319,-0.0057868,4,41,7,0.472371,14.2332,5.37
2rfy,-35.4654,-27.4654,-1.54197,-12.4708,-0.10361,-5.06996,-9.65777,-1.54197,-36.5399,-3.2277,-32.01,0.0,0.116803,0.0,3,20,0,16.0745,4.48308,5.22
2wk2,-94.3719,-72.3719,-2.24695,-27.1494,-0.143474,-10.8514,-20.8203,-2.24695,-88.0415,-12.1355,-75.0228,0.0,0.0919631,-0.0101042,4,38,0,0.0,11.6338,6.82
2v86,-100.17200000000001,-34.1716,-1.4310200000000002,-24.3059,-0.09974569999999999,-10.0029,-8.29149,-1.51775,-99.0208,-13.6166,-80.8145,0.0,0.356916,0.0,1,65,4,0.0,16.0991,4.46
3eks,-90.5683,-82.5683,-2.4477900000000004,-27.1795,-0.178422,-11.3536,-24.7787,-2.4477900000000004,-76.59899999999999,-9.70035,-65.3472,0.0,0.886634,0.0,2,35,0,0.0,3.90754,5.7
3nkx,-50.211999999999996,11.788,-0.687836,-12.0143,-0.0473226,-4.92298,2.8205400000000003,-0.717314,-60.5567,-27.2674,-42.7139,0.0,1.42544,-0.05,4,66,3,5.17035,21.5379,5.12
4fbx,-56.3436,-52.3436,-3.3143300000000004,-21.9126,-0.114809,-7.14312,-20.357,-3.3143300000000004,-39.3078,-2.0,-45.6419,0.0,1.5377399999999999,-0.05,4,13,0,0.0,1.9300099999999998,7.66
220l,-50.5891,-50.5891,-8.431510000000001,-27.8402,-0.6476810000000001,-11.8347,-27.8402,-8.431510000000001,-31.1615,0.0,-31.0403,0.0,0.0,0.0,1,5,0,0.0,0.0,3.4
3lqi,-71.0378,6.9622,-0.934708,-16.7707,-0.0650914,-6.899760000000001,1.64365,-1.31551,-82.0389,-13.4388,-77.313,0.0,0.20629099999999997,0.0,6,51,19,7.45178,19.9152,5.16
3dnj,-66.8502,-48.8502,-2.57116,-22.5655,-0.18293800000000002,-9.350530000000001,-16.4895,-2.57116,-59.0594,-12.0,-49.8164,0.0,0.153161,-0.05,4,22,0,4.4231300000000005,5.6102,6.82
1eix,-78.6398,-70.6398,-3.5745400000000003,-28.0652,-0.233242,-11.2988,-25.2102,-3.5745400000000003,-62.8863,-29.915,-33.4504,0.0,0.24258000000000002,-0.000815272,2,20,0,0.0,1.28694,11.06
3f9y,-123.012,-53.0125,-1.86382,-30.4393,-0.131108,-12.5654,-13.1179,-1.8925,-125.69,-19.6149,-97.0842,0.0,0.443147,0.0,1,64,1,0.0,18.5563,4.49
1ugw,-61.7822,-59.7822,-5.1485199999999995,-26.9859,-0.342937,-10.9391,-26.1123,-5.1485199999999995,-44.3074,-17.8311,-27.6477,0.0,0.00825698,0.0,3,9,0,0.0,0.33575900000000003,3.09
3m6p,-73.4166,-51.4166,-2.71913,-24.4722,-0.190944,-10.0964,-17.1389,-2.71913,-60.2953,-14.6247,-52.2123,-8.0,5.908869999999999,0.0,7,20,0,0.0,5.90785,8.35
1z3t,-64.7233,-56.7233,-2.81406,-22.7589,-0.18908599999999998,-9.25252,-19.9458,-2.81406,-49.5636,-14.6498,-29.5309,0.0,0.09680470000000001,0.0,0,23,0,0.0,4.8409,3.94
