name,Orientation_Score,Affinity_Score(Heavy_Ligand_Atoms),Affinity_Score,Buried_Protein_Hydrophobic_Term,Hydrophobic_Complementarity_Term,Polar_Component_Term,Number_of_Protein-Ligand_Hydrophobic_Contacts,Number_of_Protein-Ligand_H-bonds,Number_of_Protein-Ligand_Salt-bridges,Number_of_Metal-Ligand_Bonds,Number_of_Interfacial_Unsatisfied_Polar_Atoms,Number_of_Interfacial_Unsatisfied_Charged_Atoms,Buried_Carbons,affinity
1g3b,-8.118,-0.118,-7.219,-1.592,-1.079,0.670,34,12,1,0,5,0,1.000,5.74
1byk,-10.186,-0.085,-7.524,-2.171,-1.743,1.608,29,13,8,0,9,3,1.000,5
1oko,-7.199,-0.148,-6.992,-1.397,-0.913,0.536,16,11,0,0,4,0,1.000,4.54
3lk1,-4.770,-0.122,-6.441,-1.357,-0.000,0.134,15,0,0,0,0,1,0.714,4.26
2v83,-12.398,-0.057,-9.607,-6.813,-1.328,3.752,103,12,4,0,27,1,0.761,4.47
223l,-5.635,-0.211,-6.486,-1.402,-0.000,0.134,42,0,0,0,1,0,1.000,3.4
1n7m,-8.932,-0.153,-11.790,-7.261,-0.249,0.938,130,1,2,0,6,1,1.000,5.71
2e7l,-16.578,-0.110,-13.548,-11.022,-1.328,4.020,220,16,0,0,25,5,0.981,7.54
2er9,-10.850,-0.101,-11.751,-7.949,-0.996,2.412,100,12,0,0,13,5,0.911,7.4
3kyg,-5.878,-0.059,-6.571,-1.793,-0.498,0.938,13,2,4,0,5,2,0.900,7.46
2ieo,-9.068,-0.131,-10.187,-6.430,-0.415,1.876,83,5,0,0,12,2,1.000,8.49
4ea1,-6.928,-0.162,-9.099,-4.519,-0.166,0.804,64,1,1,0,6,0,1.000,6.44
3ds9,-12.049,-0.085,-11.577,-7.392,-1.245,2.278,120,6,9,0,14,3,0.783,7.39
3bze,-13.651,-0.109,-13.204,-8.968,-1.162,2.144,160,9,5,0,13,3,0.898,6
4as6,-6.480,-0.127,-7.369,-2.489,-0.332,0.670,39,1,3,0,3,2,1.000,6.4
1icj,-7.139,-0.037,-6.249,-3.679,-0.166,2.814,53,2,0,0,18,3,0.944,2.22
1obx,-7.131,-0.103,-8.615,-3.652,-0.415,0.670,47,4,1,0,4,1,0.762,5.72
2yim,-12.133,-0.088,-10.035,-5.735,-1.494,2.412,88,9,9,0,10,8,0.962,3.92
3ifo,-12.275,-0.112,-11.373,-5.752,-1.743,1.340,86,8,13,0,9,1,0.939,7.26
1z3t,-7.737,-0.116,-7.895,-2.300,-0.913,0.536,33,8,3,0,4,0,1.000,3.94
2wcg,-7.893,-0.158,-7.434,-1.622,-0.996,0.402,30,4,8,0,2,1,1.000,6.38
2itk,-7.761,-0.061,-8.203,-4.714,-0.415,2.144,61,5,0,0,13,3,0.806,7.69
4e0w,-8.520,-0.160,-7.613,-2.286,-0.913,0.804,47,5,6,0,4,2,1.000,7.48
1slg,-8.629,-0.070,-9.365,-5.659,-0.498,2.010,73,6,0,0,13,2,0.750,3.9
3bzi,-9.292,-0.075,-9.353,-5.047,-0.830,1.742,66,10,0,0,11,2,0.806,5.74
3iqi,-7.937,-0.066,-7.452,-3.446,-0.664,1.876,41,8,0,0,12,2,0.842,4.41
2wk2,-9.734,-0.082,-8.669,-5.767,-0.498,2.814,104,6,0,0,16,5,0.958,6.82
4b9w,-9.880,-0.121,-10.285,-5.143,-0.996,1.072,81,4,8,0,6,2,0.929,4.17
3m6p,-8.972,-0.126,-8.615,-3.939,-0.664,1.206,65,8,0,0,5,4,1.000,8.35
1dqx,-9.762,-0.111,-7.657,-2.017,-1.494,1.072,33,11,7,0,6,2,1.000,11.05
4f9v,-7.263,-0.127,-8.012,-3.700,-0.166,1.072,71,2,0,0,7,1,1.000,6.03
2hs2,-8.668,-0.098,-8.937,-5.716,-0.415,2.412,67,5,0,0,13,5,1.000,8.31
3tg5,-13.527,-0.083,-10.596,-5.696,-1.826,2.144,97,15,7,0,13,3,0.875,4.7
2f5t,-10.365,-0.158,-8.859,-2.766,-1.411,0.536,45,16,1,0,4,0,1.000,5.17
1ofz,-6.775,-0.119,-6.528,-0.914,-0.664,0.268,27,5,3,0,2,0,1.000,4.62
3tei,-8.550,-0.047,-6.660,-2.054,-0.996,1.608,33,6,6,0,9,3,1.000,6.3
2qoa,-6.039,-0.139,-7.027,-2.313,-0.166,0.670,32,2,0,0,4,1,1.000,7.28
2er6,-11.509,-0.105,-12.017,-7.564,-1.245,2.010,105,11,4,0,8,7,1.000,7.22
1q95,-11.995,-0.207,-8.526,-1.322,-2.656,0.670,22,8,24,0,5,0,1.000,7.57
3dcs,-7.329,-0.123,-6.943,-1.597,-0.664,0.536,28,2,6,0,4,0,1.000,7.94
4auy,-7.709,-0.144,-8.376,-2.998,-0.830,0.670,29,9,1,0,5,0,0.933,7.74
3dnj,-7.758,-0.114,-8.188,-3.627,-0.415,1.072,58,5,0,0,5,3,0.889,6.82
1g3c,-8.076,-0.139,-7.576,-2.249,-0.913,0.804,45,10,1,0,5,1,1.000,5.8
1axz,-6.358,-0.044,-5.747,-1.320,-0.415,1.206,29,3,2,0,8,1,1.000,3.2
3f9y,-11.585,-0.094,-11.407,-7.822,-0.913,2.546,117,8,3,0,16,3,0.905,4.49
