name,total,qq_pl,desolv_pl,vdw_pl,hbond_pl,qq_l,desolv_l,vdw_l,DrugScore,HMscore,PLP_tor,affinity
1h23,-25.735,-2.152,6.375,-15.841,-1.294,0.107,0.353,-1.625,-28.086,6.390,32.300,8.35
3b1m,-17.169,0.137,6.042,-13.590,-0.091,-0.081,0.993,-1.694,19.329,6.199,3.300,8.48
4jxs,-14.900,-2.875,8.050,-8.890,-3.156,-1.227,0.904,-1.115,17.971,1.354,1.600,4.74
2pog,-12.959,-0.890,2.625,-9.126,-1.514,0.030,0.137,-0.459,32.243,5.172,3.800,9.54
1bcu,-7.937,-0.791,6.333,-7.439,-0.962,0.461,0.238,-0.071,-7.243,-0.000,0.000,3.28
3d6q,-7.181,-0.470,6.267,-5.820,-1.607,-0.039,0.848,-0.902,7.886,1.232,9.500,3.76
3twp,-5.146,-0.857,3.308,-4.523,-1.018,-0.416,0.233,0.274,6.200,-0.000,1.500,3.92
3myg,-14.473,0.224,8.975,-11.017,-1.178,-0.924,1.198,-1.265,6.500,3.567,8.200,10.7
3coy,-20.206,-1.647,14.700,-15.127,-4.834,-2.012,2.367,-1.979,23.100,1.056,20.100,6.02
4qac,-22.477,-0.409,8.908,-12.748,-1.228,-0.714,0.924,-0.684,-49.843,6.550,0.700,9.4
4crc,-19.701,-1.456,8.767,-16.629,-1.582,-0.305,1.127,-2.124,14.771,1.872,4.700,8.72
3u8k,-18.367,-1.716,5.317,-8.604,-1.129,0.257,0.338,-0.241,-90.100,2.545,0.700,8.66
4k18,-16.606,-0.447,5.858,-11.173,-0.585,0.131,1.050,-1.709,-7.857,5.679,1.600,8.96
3g2z,-7.431,-1.588,3.800,-4.074,-1.846,-0.465,0.264,-0.175,-0.871,0.217,1.500,2.36
2yge,-10.756,-0.438,8.300,-11.161,-1.009,-0.916,0.747,0.262,30.100,1.419,10.500,5.06
4w9l,-23.610,-1.428,6.683,-13.731,-2.701,-0.773,1.463,-2.819,-6.343,6.018,12.000,5.02
2cet,-16.052,-3.949,8.342,-11.103,-4.414,0.084,0.831,-0.979,41.329,2.107,17.500,8.02
