name,GBVIWSA_dG,coul,sol,vdw,sa,affinity
2z1w,-5.49659,-0.297476,-0.195536,-1.91967,-0.991401,4.08
1xh5,-11.2769,-16.8239,15.8231,-5.76122,-2.42239,5.47
3s6t,-7.57593,-3.95551,2.60384,-3.03804,-1.09371,7.35
3b67,-9.67239,-6.54926,6.15941,-4.68987,-2.50017,8.85
3fas,-7.46539,-9.37115,7.16857,-1.79842,-1.37187,6.77
3m3z,-3.19594,-3.7937,2.63903,1.34436,-1.29313,5.73
2uyq,-5.07432,-1.31491,0.879354,-1.81587,-0.730381,5.68
1xd0,-13.023,-13.851,10.5456,-4.79662,-2.82853,7.12
3djo,-4.98997,-21.1488,19.4744,-0.460782,-0.762222,4.39
1b05,-11.5022,-27.4396,25.0154,-4.35462,-2.63088,7.12
4lps,-11.1699,-44.3144,39.2958,-2.70338,-1.35555,5.74
3iph,-8.62423,-1.39162,1.13105,-4.27373,-1.99742,7.6
4mjp,-6.56605,-10.5844,9.75492,-2.419,-1.22504,3.88
4jfk,-7.75017,-0.278435,0.305687,-3.41891,-2.266,6.44
3wz7,-7.85692,-21.2302,20.3311,-3.08257,-1.78274,5.74
2iuz,-8.01287,-5.55518,5.70481,-4.67716,-1.39283,5.55
4g0q,-6.52731,-37.3701,34.8871,-1.07721,-0.8746,2.52
3p9m,-14.1374,-16.3169,13.7271,-6.32174,-3.13344,5
2wzs,-5.33117,-10.99,9.03479,-0.0820609,-1.2014,3.85
4jyb,-10.3521,-39.2468,36.511,-3.83767,-1.68616,6.96
2zxg,-12.8316,-20.6919,15.5566,-3.53753,-2.06619,8.82
4owv,-4.02119,-8.21812,8.16044,-1.28906,-0.581939,4.35
4m13,-9.77312,2.27711,-2.58436,-4.94435,-2.42901,6.7
1usn,-5.80193,-2.44402,2.05231,-2.57162,-0.746098,7.74
2psu,-9.83276,-3.29728,3.14984,-5.28311,-2.3097,7.62
1odj,-7.31203,-6.73755,6.182,-3.21257,-1.4514,4.1
4lm2,-4.55416,0.68919,-0.829357,-1.6428,-0.678678,3.03
3daz,-6.91756,-2.08074,0.671583,-2.63515,-0.78074,7.93
3rz1,-5.90274,-3.61648,3.32811,-2.31916,-1.20271,8.74
2qx0,-6.31879,-9.01781,7.66119,-2.03437,-0.835285,6.11
4zb6,-11.1376,-22.1914,20.0446,-4.95356,-1.94472,6.28
3fvn,-8.73037,-15.2379,13.1581,-2.40671,-2.15131,6.77
3f70,-4.26321,-12.0179,11.4408,-1.15199,-0.441604,4.85
2gj5,-5.09447,-0.876506,1.15863,-1.36665,-1.91744,8.32
1szd,-9.89618,-3.9631,2.99627,-5.25733,-1.57952,4.54
1d4y,-9.56306,0.25371,-0.668564,-5.25434,-1.80136,11.1
4xu3,-9.40432,2.78278,-2.7901,-4.41646,-2.88802,9.5
3rm4,-7.76116,-18.2502,17.3757,-3.2107,-1.58337,5.77
1wm1,-5.22476,-10.1542,9.76553,-1.09598,-1.64756,6.3
2y7x,-9.2502,-5.54196,5.47102,-5.30111,-1.78564,8.89
2ans,-5.03272,-4.15123,4.27202,-2.24267,-0.818327,5.92
1td7,-5.21599,-4.54261,4.65686,-2.33793,-0.899794,4.37
2wc4,-8.07622,-13.5054,11.6385,-2.24134,-1.87541,5.29
