name,GBVIWSA_dG,coul,sol,vdw,sa,affinity
1h23,-10.1286,-10.6873,10.4546,-5.65099,-2.15246,8.35
3b1m,-8.70486,1.98265,-1.52624,-5.14907,-1.91969,8.48
4jxs,-6.32782,-11.7164,10.7889,-2.15664,-1.15115,4.74
2pog,-7.02803,-1.79293,1.10602,-2.72154,-1.52707,9.54
1bcu,-5.39362,-5.79783,5.74682,-2.73353,-0.516571,3.28
3d6q,-4.92647,4.292,-4.77167,-1.8184,-0.535886,3.76
3twp,-4.39432,-3.07217,2.87179,-1.61426,-0.487162,3.92
3myg,-7.8041,5.32968,-5.42323,-3.68227,-1.93577,10.7
3coy,-10.3522,-4.47779,3.64637,-5.04883,-2.37948,6.02
4qac,-7.37932,-5.31183,4.78997,-3.13123,-1.63371,9.4
4crc,-9.75881,-7.36534,6.942,-5.39832,-1.84465,8.72
3u8k,-6.79925,-4.3495,3.904,-3.10068,-1.16058,8.66
4k18,-7.51472,-1.42767,1.30131,-3.73739,-1.55846,8.96
3g2z,-3.90878,-5.65476,4.85431,-0.525273,-0.490551,2.36
2yge,-7.74295,-3.73056,3.71433,-4.18584,-1.44837,5.06
4w9l,-8.50198,-5.09225,4.09977,-3.47393,-1.9397,5.02
2cet,-7.91799,-14.9729,12.9156,-1.9385,-1.8297,8.02
2ymd,-6.33893,-7.14839,6.24463,-2.17832,-1.16435,3.16
3f3a,-6.6025,-6.50472,5.67413,-2.02659,-1.65281,4.19
4lzs,-5.68567,-4.29519,4.10115,-2.45015,-0.948964,4.8
3ozs,-16.193,-35.2575,27.5601,-4.4748,-1.92832,5.33
2xys,-6.91338,-3.61043,3.47111,-3.39051,-1.29104,7.42
1c5z,-4.76787,-6.08816,5.09738,-1.04631,-0.638263,4.01
3nw9,-9.2304,-11.2208,10.4159,-3.93042,-2.40252,9
1z9g,-8.94475,-17.2408,13.1936,-1.65589,-1.14923,5.64
5c1w,-5.2687,1.52681,-1.45206,-2.49749,-0.753456,5.06
2iwx,-6.67113,-0.154009,-0.00998869,-3.25941,-1.15522,6.68
1vso,-6.92876,-20.7218,18.547,-1.25711,-1.40439,4.72
4de2,-6.67231,-8.40606,7.50998,-2.61523,-1.0685,4.12
3oe4,-16.775,-34.3851,26.171,-4.39369,-2.07468,7.47
4llx,-4.05632,5.38036,-5.35551,-1.64786,-0.340798,2.89
4pcs,-5.86853,-6.38509,5.35123,-1.89873,-0.84343,7.85
4tmn,-12.3152,-29.0875,24.5331,-3.41529,-2.25306,10.17
5a7b,-7.67178,-5.95637,5.86373,-4.18745,-1.29918,3.57
2vkm,-12.6259,-10.8374,10.3558,-6.46206,-3.60634,8.74
4kzu,-7.34546,-1.74748,1.4678,-3.55801,-1.41526,6.5
4f3c,-9.51844,-8.52397,7.65043,-4.6274,-1.92499,11.82
1owh,-6.94094,-15.7194,14.6334,-2.82936,-0.933106,7.4
4f9w,-8.01714,-7.43892,7.20942,-3.92543,-1.76969,6.94
1qkt,-6.87356,-1.05428,0.716411,-3.07416,-1.36903,9.04
1mq6,-9.74168,-0.377776,0.387429,-5.94627,-1.71255,11.15
4owm,-4.24452,-8.29747,8.29638,-1.561,-0.589922,2.96
1o0h,-7.73134,-50.6347,47.852,-1.76656,-1.08955,5.92
3dx2,-8.28231,-16.3124,12.432,-0.769703,-1.53967,6.82
4m0z,-8.51623,2.43716,-2.75335,-4.03556,-2.07197,5.19
3gy4,-5.69634,-6.58799,5.71734,-2.04836,-0.684828,5.1
4cra,-8.84351,-9.372,8.6632,-4.58305,-1.45914,7.22
3n76,-8.60812,-7.98983,6.179,-2.61356,-2.09122,6.85
4j21,-7.33306,0.9641,-1.18734,-3.596,-1.4213,7.41
2zb1,-7.81935,-3.72905,3.70278,-3.76557,-1.93501,6.32
3b68,-9.97107,-4.21252,4.13938,-4.95567,-2.84975,8.4
4bkt,-5.84605,-1.77162,1.03061,-2.01491,-0.996935,3.62
3b27,-5.77809,-1.41007,1.38235,-2.88768,-0.770187,5.16
4mme,-6.97031,-9.87703,9.80684,-3.0349,-1.77272,6.5
