name,Gold.Goldscore.Fitness,Gold.Goldscore.Internal.Vdw,Gold.Goldscore.Internal.Torsion,Gold.Goldscore.External.Vdw,Gold.Goldscore.Internal.HBond,Gold.Goldscore.External.HBond,affinity
2br6,2.0454,-13.4503,-0.2753,11.2420,0.0000,0.3133,2.96
2adu,41.4083,-2.4805,-0.3751,25.9338,0.0000,8.6051,7.74
1g3b,9.7236,-28.1937,-5.9507,24.8986,0.0000,9.6325,5.74
1vyq,53.9865,2.2167,-4.6130,39.3804,0.0000,2.2346,5.3
1wkm,34.6079,-2.9569,-2.3735,21.9781,0.0000,9.7184,0.82
1w6y,32.5414,-1.8998,-0.8305,25.5272,0.0000,0.1719,5.36
1byk,56.3582,-23.3894,-10.1645,41.3166,0.0000,33.1018,5
1oko,31.2961,-7.0849,-1.2988,15.9684,0.0000,17.7233,4.54
2hdr,14.3887,-1.1687,-0.4959,11.4811,0.0000,0.2669,1.72
1f2o,44.1710,-6.4577,-2.8640,19.5800,0.0000,26.5703,1.91
2fwp,49.3179,-1.9225,-4.6579,23.5734,0.0000,23.4850,2.92
1ulg,13.9345,-13.9019,-7.7133,20.1064,0.0000,7.9035,4.21
1w8l,23.7626,-3.0617,-0.9338,19.1328,0.0000,1.4505,0.49
1v2q,24.9086,-35.2283,-7.9642,39.2202,0.0000,14.1733,4.13
1rle,88.0351,0.3014,-4.5503,41.4493,0.0000,35.2912,5.8
1tnl,38.5049,-1.8832,-0.9575,25.8259,0.0000,5.8350,1.88
1w1d,107.8713,3.2014,-7.9724,28.2874,0.0000,73.7471,6.52
1vwl,47.3178,-4.2074,-6.2158,41.4114,0.0000,0.8002,5.63
1yid,56.0924,-4.5234,-4.5094,32.2197,0.0000,20.8231,5
1tnj,23.7569,-13.0901,-1.8588,17.7754,0.0000,14.2646,1.96
1fj4,50.7778,0.5692,-3.3325,37.4168,0.0000,2.0929,4.59
6tim,40.7786,-7.7190,-4.1799,17.4288,0.0000,28.7130,3.21
2fzz,84.7414,4.4369,-13.0099,65.7228,0.0000,2.9456,10.52
1jn2,14.6162,-8.2725,-10.1024,18.4829,0.0000,7.5770,4.09
1fdq,54.4641,0.9080,-10.0383,38.9777,0.0000,10.0000,7.27
1fwv,33.1721,-8.1443,-9.6676,25.3435,0.0000,16.1367,3.72
1n1t,64.2829,-6.8562,-5.3609,27.6738,0.0000,38.4485,3.85
2i0g,59.3596,-1.8879,-1.6014,40.0283,0.0000,7.8100,9.72
1rgk,50.9537,-3.4561,-5.6817,29.5385,0.0000,19.4761,4.31
1d5r,37.6388,-3.4382,-6.0309,20.0775,0.0000,19.5014,1.82
9abp,58.4204,-5.4797,-2.7517,26.9296,0.0000,29.6236,8
1oai,44.5261,-17.2757,-17.9778,49.6528,0.0000,11.5070,5
1fwu,10.8359,-30.5115,-11.4791,26.0533,0.0000,17.0033,3.7
1hqg,26.5294,-6.7982,-2.2664,13.0774,0.0000,17.6125,3
8abp,60.2589,-7.0019,-4.3469,26.8843,0.0000,34.6417,8
1mmp,70.0102,-2.2645,-4.4083,41.6403,0.0000,19.4276,6.07
2ivu,65.4523,-8.0763,-4.0919,55.3853,0.0000,1.4656,6.43
1vja,79.9307,0.2811,-9.5090,55.0277,0.0000,13.4955,7.7
2f8i,12.3763,0.7801,-3.8914,11.2637,0.0000,0.0000,7.26
830c,73.0921,0.3951,-8.5078,46.5593,0.0000,17.1857,9.28
1af6,49.3892,-13.5569,-13.0753,29.4091,0.0000,35.5838,1.82
1q63,72.1561,0.7540,-2.2965,39.6339,0.0000,19.2020,5.85
1w7x,78.8294,-9.1026,-7.3628,63.6197,0.0000,7.8177,8.4
1mhw,50.4898,-31.1882,-12.4129,66.5908,0.0000,2.5285,7.35
1jd5,80.9081,-6.9206,-15.0635,63.9530,0.0000,14.9569,6.62
1uxb,16.1209,-11.7237,-7.3567,21.4773,0.0000,5.6699,2.15
1icj,19.5056,-16.8078,-20.6125,40.8028,0.0000,0.8221,2.22
1obx,47.1754,-3.0196,-7.4141,33.7144,0.0000,11.2516,5.72
1o3k,25.8055,-19.5169,-3.2880,34.1986,0.0000,1.5873,6.77
2bsu,113.2731,-29.6955,-22.2772,96.3506,0.0000,32.7638,5.66
1agm,55.2870,-36.3233,-18.5224,56.0090,0.0000,33.1203,12
1gny,19.6376,-20.6520,-14.1495,30.5826,0.0000,12.3880,4.14
1we2,12.0607,-6.9177,-5.0351,6.8520,0.0000,14.5921,4.36
1z3t,34.2827,-10.6818,-9.1755,31.1536,0.0000,11.3036,3.94
1heg,30.4195,-29.8456,-21.9583,46.6016,0.0000,18.1463,7.74
1o2g,31.1321,-18.9248,-4.9372,36.9695,0.0000,4.1610,6.12
1m9n,100.6930,-2.8475,-4.5832,54.5537,0.0000,33.1123,6.92
1o2x,8.5528,-35.8598,-6.9612,32.5334,0.0000,6.6403,5.85
1o0o,47.8199,0.6453,-4.6241,19.9101,0.0000,24.4222,5.1
1bzh,27.6012,-35.9126,-8.3734,38.8772,0.0000,18.4311,6.77
7abp,50.2006,-5.7584,-4.7296,25.8527,0.0000,25.1412,6.46
1f2p,51.0704,-3.9661,-2.3191,22.5565,0.0000,26.3405,1.9
1gjb,5.2969,-40.4706,-5.1308,33.5097,0.0000,4.8225,6.35
1ykp,24.2025,-1.0408,-3.3422,19.1312,0.0000,2.2801,2.96
1joc,56.1814,-4.3677,-8.2236,20.8489,0.0000,40.1055,4.62
1dqx,68.4557,-1.2624,-1.9695,39.6813,0.0000,17.1258,11.05
