name,total,SMoG2016_KBP2016,SMoG2016_LJP,SMoG2016_Rotor,SMoG2016_lnMass,affinity
1o2s,-6.364,-146.352,122.157,2,5.542,5.47
1gi9,-5.535,-144.587,168.277,3,5.653,5.22
1axz,-6.029,-99.579,43.630,1,5.193,3.2
1kll,-5.780,-96.452,69.089,3,5.775,5.2
1yid,-8.349,-184.897,85.084,8,6.229,5
2adu,-7.184,-128.268,24.732,1,5.069,7.74
2dua,-3.773,-35.655,27.460,1,4.500,4.77
2fkf,-6.318,-112.878,63.427,5,5.829,2.92
1vj9,-9.922,-257.582,101.674,17,6.346,7.55
1cim,-6.640,-101.614,32.314,1,5.694,8.82
1gzc,-6.670,-122.655,64.973,4,5.835,3.49
1n1t,-6.845,-142.766,78.538,6,5.674,3.85
2ff1,-9.198,-201.188,61.838,2,5.606,8.21
1qq9,-5.028,-71.818,32.012,4,5.011,2.06
1obx,-6.927,-160.774,91.033,16,6.147,5.72
1ta2,-10.074,-253.308,107.681,9,6.207,8.52
1me8,-7.945,-162.109,58.424,5,5.781,7.19
1xbb,-9.587,-239.337,113.463,8,6.203,5.3
1qca,-10.135,-292.404,189.516,6,6.247,5.27
1rgl,-5.303,-85.576,78.598,4,5.911,4.43
2c3j,-8.382,-161.559,38.633,0,5.510,6.18
1z3v,-8.349,-189.469,91.750,4,5.835,4.11
1af6,-7.885,-176.242,90.565,5,5.835,1.82
1vja,-9.098,-224.267,91.044,14,6.170,7.7
2avv,-13.099,-371.554,142.888,14,6.421,9.26
1meu,-13.512,-370.271,127.313,10,6.339,6.1
1cil,-6.829,-107.646,29.124,3,5.784,9.43
1xzx,-10.307,-233.162,81.986,5,6.480,10.22
6tim,-5.431,-90.333,48.667,4,5.148,3.21
2hh5,-9.941,-264.499,120.777,15,6.349,7.49
1rdi,-4.468,-57.438,55.579,1,5.182,2.06
3pcb,-4.568,-96.311,111.879,1,4.927,2.4
1w8l,-5.451,-77.390,25.976,1,4.950,0.49
1qiw,-11.165,-284.556,68.428,19,6.251,7.74
1joc,-6.107,-108.668,71.425,4,5.829,4.62
1q66,-8.483,-190.572,82.328,4,5.747,5.77
1owd,-8.325,-183.968,83.222,5,5.930,8.2
2bmz,-5.858,-98.257,64.814,4,5.787,3.7
1imx,-5.716,-141.164,118.057,25,6.759,3.52
1vkj,-10.186,-246.494,92.995,6,6.057,4.85
1hqg,-4.886,-65.211,23.346,4,4.899,3
1rzx,-6.814,-191.809,123.138,30,6.574,4.1
1f9g,-5.227,-59.659,11.399,2,5.171,1.28
1hp0,-10.034,-228.710,63.708,2,5.588,6.7
2gh7,-8.241,-167.770,40.104,5,5.498,13
1x9d,-8.184,-191.574,105.196,5,5.919,3.96
1w6y,-9.091,-188.361,50.374,0,5.584,5.36
1rdn,-4.800,-67.265,56.282,3,5.399,1.84
8abp,-6.609,-128.160,63.199,1,5.193,8
1y2g,-7.929,-147.726,38.437,4,5.838,4.08
2f8i,-5.804,-89.620,56.492,2,5.727,7.26
1cin,-6.743,-105.790,32.417,2,5.740,8.73
220l,-6.004,-101.099,17.209,0,4.357,3.4
2br6,-4.669,-57.909,25.488,0,4.626,2.96
1pu8,-6.729,-119.528,39.289,0,5.088,3.1
1eix,-7.713,-181.701,114.128,4,5.829,11.06
1ent,-9.400,-263.852,128.817,23,6.502,6.96
1m9n,-6.907,-212.830,222.534,4,5.908,6.92
1pbk,-9.876,-250.897,150.513,6,6.817,9.05
1c4v,-10.311,-292.333,169.545,9,6.275,10.8
5tln,-5.777,-157.248,154.308,11,5.778,6.37
2bsu,-11.028,-466.652,378.357,37,6.889,5.66
1z3t,-8.488,-185.983,77.129,4,5.835,3.94
1o0o,-5.404,-76.857,55.298,6,6.057,5.1
9abp,-6.505,-125.702,64.635,1,5.193,8
1gah,-11.551,-322.036,160.697,9,6.471,12
1o2x,-6.637,-149.721,121.384,6,6.105,5.85
2adm,-8.735,-188.277,62.693,7,5.992,5.7
1lf9,-11.599,-316.292,147.140,9,6.471,12
1rgk,-5.485,-91.149,75.897,4,5.850,4.31
1b6m,-12.143,-333.885,134.317,12,6.393,8.4
