name,Gold.ASP.Fitness,Gold.ASP.ASP,Gold.ASP.Map,Gold.ASP.DEClash,Gold.ASP.DEInternal,affinity
2qmj,50.0310,54.5600,-272.8000,0.9788,3.5502,4.21
2jdy,27.4708,30.3040,-151.5200,2.6080,0.2252,4.37
1n2v,29.3353,31.8100,-159.0500,2.0792,0.3956,4.08
1qi0,33.0622,34.3180,-171.5900,0.3906,0.8652,2.35
1lor,43.3510,46.4100,-232.0500,0.7293,2.3297,11.06
3e93,43.1696,47.4680,-237.3400,0.6644,3.6340,8.85
2qbp,36.6199,43.5640,-217.8200,2.8887,4.0554,8.4
3fcq,12.4532,23.6380,-118.1900,6.9424,4.2424,2.77
2xbv,57.2866,65.0360,-325.1800,0.4120,7.3374,8.43
2x00,52.8825,53.4220,-267.1100,0.4936,0.0459,11.33
3mss,21.3529,22.2420,-111.2100,0.0000,0.8891,4.66
1o3f,38.8694,44.7780,-223.8900,2.0585,3.8501,7.96
3kgp,12.5607,13.6100,-68.0500,0.7197,0.3296,2.57
2yki,61.6702,67.5220,-337.6100,3.2900,2.5619,9.46
2xdl,18.9549,21.0860,-105.4300,0.0354,2.0957,3.1
2weg,26.0140,30.1280,-150.6400,1.0761,3.0379,6.5
2cet,55.6580,59.5220,-297.6100,2.1306,1.7334,8.02
3f3e,20.6668,22.4420,-112.2100,1.7434,0.0318,7.7
3dd0,28.9299,31.6680,-158.3400,1.3031,1.4351,9
3pww,54.2622,60.4620,-302.3100,0.5539,5.6459,7.32
2iwx,23.5498,23.8240,-119.1200,0.2742,0.0000,6.68
3g2n,30.1253,31.0400,-155.2000,-0.0000,0.9147,4.09
1sqa,46.3623,48.7480,-243.7400,0.9288,1.4570,9.21
3g2z,13.3284,14.7420,-73.7100,0.0060,1.4076,2.36
1q8u,24.8176,28.9860,-144.9300,0.6425,3.5259,5.96
3myg,29.3599,36.9060,-184.5300,3.0739,4.4722,10.7
3nw9,64.7043,69.3460,-346.7300,1.9491,2.6926,9
1oyt,54.7402,56.9420,-284.7100,0.9381,1.2637,7.24
3ejr,47.7126,53.2460,-266.2300,4.8228,0.7106,8.57
1uto,9.8040,11.3300,-56.6500,1.5084,0.0177,2.27
3jvs,30.0229,37.6520,-188.2600,2.6872,4.9419,6.54
1r5y,37.1254,39.6240,-198.1200,2.4986,0.0000,6.46
2j78,34.9300,43.4740,-217.3700,8.5334,0.0106,6.42
3zsx,25.1898,33.8980,-169.4900,0.6373,8.0709,3.28
2v7a,31.4783,36.4980,-182.4900,1.3704,3.6493,8.3
3cyx,51.8949,57.8340,-289.1700,1.7728,4.1662,8
2ymd,33.5063,33.7840,-168.9200,0.2676,0.0101,3.16
3fv1,45.3292,49.0980,-245.4900,0.6771,3.0917,9.3
3zso,31.6847,40.5860,-202.9300,0.1015,8.7999,5.12
3ebp,44.1391,46.8060,-234.0300,0.0050,2.6619,5.91
1bcu,20.1625,20.2140,-101.0700,0.0515,0.0000,3.28
3g0w,36.5118,39.0420,-195.2100,1.0202,1.5100,9.52
3kwa,4.6371,15.1240,-75.6200,3.9639,6.5231,4.08
2hb1,20.9644,27.5460,-137.7300,4.8534,1.7283,3.8
3ivg,33.1713,40.2020,-201.0100,4.0598,2.9709,4.3
2xys,46.0184,46.2000,-231.0000,0.1816,0.0000,7.42
2wtv,38.9024,43.4840,-217.4200,1.6225,2.9591,8.74
2zcq,32.3942,38.8920,-194.4600,3.2088,3.2891,8.82
1w4o,30.5054,33.5160,-167.5800,1.2980,1.7126,5.22
1gpk,32.0553,33.6600,-168.3000,1.6047,0.0000,5.37
3pxf,17.3239,22.7800,-113.9000,0.0029,5.4532,4.43
1p1q,12.4892,30.1140,-150.5700,17.1354,0.4894,4.89
4djv,34.4051,36.1560,-180.7800,0.0747,1.6762,6.72
3gnw,40.4930,43.7640,-218.8200,0.3891,2.8820,9.1
3ozt,54.7736,61.5980,-307.9900,4.1630,2.6614,4.13
3lka,19.8390,22.8020,-114.0100,1.8064,1.1567,2.82
1nvq,40.5938,42.0940,-210.4700,0.8294,0.6708,8.25
3d4z,44.4350,48.6500,-243.2500,3.2069,1.0081,4.89
2wbg,58.3789,61.0900,-305.4500,2.5481,0.1630,4.45
3acw,34.1613,34.4480,-172.2400,0.0021,0.2846,4.76
3gy4,34.5594,34.8060,-174.0300,0.1103,0.1364,5.1
3ao4,20.2505,24.7940,-123.9700,4.3696,0.1738,2.07
3ueu,17.8214,19.5140,-97.5700,0.0073,1.6853,5.24
2fvd,35.2684,39.2340,-196.1700,1.2342,2.7314,8.52
3l7b,29.0930,29.7700,-148.8500,0.0048,0.6722,2.4
2wca,36.4501,38.6640,-193.3200,0.5808,1.6332,5.6
1h23,64.5382,66.6460,-333.2300,0.4866,1.6213,8.35
3ag9,44.7369,55.6400,-278.2000,2.8791,8.0240,8.05
3coy,47.4700,51.1860,-255.9300,1.4044,2.3116,6.02
1q8t,19.1463,24.0020,-120.0100,2.5424,2.3132,4.76
3n7a,13.3805,27.9400,-139.7000,13.6237,0.9357,3.7
2yge,26.7965,33.3340,-166.6700,2.1474,4.3901,5.06
1z95,40.8884,47.7760,-238.8800,0.1491,6.7385,7.12
3utu,64.5104,71.0440,-355.2200,1.5740,4.9596,10.92
4de1,29.8242,31.7500,-158.7500,0.0223,1.9034,5.96
3ehy,25.8903,31.7980,-158.9900,3.4361,2.4716,5.85
2xnb,34.2580,37.7020,-188.5100,0.7062,2.7378,6.83
3f3c,26.8530,29.7280,-148.6400,2.5024,0.3726,6.02
3uo4,32.3237,39.7900,-198.9500,3.3257,4.1406,6.52
2zcr,39.0008,43.1100,-215.5500,1.6267,2.4825,6.87
3uex,24.9382,27.5780,-137.8900,0.7837,1.8561,6.92
3n86,48.6944,50.9600,-254.8000,0.2184,2.0472,5.64
3udh,25.0600,25.1420,-125.7100,0.0820,0.0000,2.85
3dxg,21.7854,22.8680,-114.3400,0.0811,1.0016,2.4
2qbr,33.5542,38.3580,-191.7900,2.0243,2.7795,6.33
3ge7,52.7817,56.2320,-281.1600,3.0231,0.4272,8.7
2p4y,46.1534,50.9820,-254.9100,2.1209,2.7077,9
1ps3,46.0687,48.8520,-244.2600,2.7672,0.0161,2.28
1a30,15.8215,27.8620,-139.3100,8.6303,3.4102,4.3
1e66,53.9901,54.1180,-270.5900,0.1214,0.0064,9.89
1vso,35.8938,36.4460,-182.2300,0.2807,0.2715,4.72
3uri,58.3753,67.8460,-339.2300,2.0741,7.3966,9
4de2,26.8535,28.8340,-144.1700,0.0060,1.9745,4.12
1o5b,31.4227,31.5220,-157.6100,0.0893,0.0100,5.77
3gbb,37.6235,41.0020,-205.0100,1.4489,1.9296,6.9
3f3a,26.5172,29.6420,-148.2100,2.4949,0.6299,4.19
1mq6,49.8373,58.5780,-292.8900,3.6556,5.0851,11.15
4tmn,49.1692,62.9860,-314.9300,7.4598,6.3570,10.17
2vvn,40.1516,43.1680,-215.8400,2.9065,0.1098,7.3
3u9q,23.6693,24.8440,-124.2200,0.0234,1.1512,4.38
2y5h,35.3360,38.0600,-190.3000,1.1758,1.5483,5.79
4gid,64.9429,78.6920,-393.4600,6.9064,6.8427,10.77
3k5v,29.8594,34.1700,-170.8500,0.3350,3.9757,6.3
1u1b,43.9027,53.9600,-269.8000,4.2149,5.8424,7.8
2yfe,21.8204,27.9260,-139.6300,0.7051,5.4005,6.63
3oe5,53.4699,60.0840,-300.4200,4.2922,2.3219,6.88
2w66,35.9233,37.0220,-185.1100,0.3656,0.7332,4.05
2xb8,42.6889,46.9800,-234.9000,2.8537,1.4374,7.59
1yc1,29.3633,31.8540,-159.2700,0.0202,2.4704,6.17
2brb,25.3722,28.7740,-143.8700,1.5068,1.8950,4.86
3b68,45.6471,58.7180,-293.5900,3.0056,10.0653,8.4
2vw5,31.5544,34.7340,-173.6700,2.6411,0.5385,8.52
2v00,28.4794,29.9600,-149.8000,1.3699,0.1107,3.66
3fk1,23.0272,28.8940,-144.4700,5.3384,0.5284,2.62
2x8z,33.0368,36.4820,-182.4100,0.8709,2.5743,7.96
3pe2,40.0365,40.3300,-201.6500,0.0544,0.2391,9.76
3l3n,50.1154,63.9820,-319.9100,6.7609,7.1057,8.18
2pcp,34.9496,40.1680,-200.8400,3.9511,1.2673,8.7
2qft,27.1466,31.7960,-158.9800,4.0865,0.5629,5.26
2d1o,45.9359,54.1800,-270.9000,4.8116,3.4325,7.7
3su3,39.2381,46.7540,-233.7700,0.1414,7.3745,9.13
3b3w,13.4132,24.3780,-121.8900,9.6389,1.3258,4.19
2g70,35.7878,36.7740,-183.8700,0.8749,0.1112,7.77
3bpc,26.6650,31.3880,-156.9400,0.6205,4.1025,4.8
4gqq,16.0035,16.3100,-81.5500,0.2358,0.0707,2.89
