name,Gold.Chemscore.Fitness,Gold.Chemscore.DG,Gold.Chemscore.ZeroCoef,Gold.Chemscore.Hbond,Gold.Chemscore.Metal,Gold.Chemscore.Lipo,Gold.Chemscore.Internal_Hbond,Gold.Chemscore.DEClash,Gold.Chemscore.DEInternal,Gold.Chemscore.Rot,affinity
2qmj,2.6550,-7.1840,-5.4800,4.8185,0.0000,178.5303,0.0000,0.9788,3.5502,13.7804,4.21
2jdy,22.3352,-25.1684,-5.4800,0.9451,3.8645,29.2334,0.0000,2.6080,0.2252,3.9811,4.37
1n2v,13.6399,-16.1147,-5.4800,2.2297,0.0000,64.5324,0.0000,2.0792,0.3956,1.7042,4.08
1qi0,-4.2856,3.0298,-5.4800,0.9893,0.0000,79.3616,0.0000,0.3906,0.8652,8.2419,2.35
1lor,32.9817,-36.0407,-5.4800,10.9125,0.0000,54.9613,0.0000,0.7293,2.3297,4.8115,11.06
2qbp,25.6841,-32.6282,-5.48,2.1035,0,226.6537,0,2.8887,4.0554,2.4984,8.4
3fcq,15.997,-27.1818,-5.48,1.9015,1.7716,68.2561,0,6.9424,4.2424,1.2962,2.77
2xbv,26.607,-37.2235,-5.48,1,0,278.2939,0,3.2791,7.3374,1.6238,8.43
2x00,46.8397,-47.3792,-5.48,0.7325,0,366.5063,0,0.4936,0.0459,1.3392,11.33
3mss,21.4676,-22.3567,-5.48,0,0,191.1014,0,0,0.8891,2.1415,4.66
1o3f,20.2545,-26.1631,-5.48,1.8138,0,146.88,0,2.0585,3.8501,1,7.96
3kgp,11.5752,-12.6245,-5.48,0.3678,0,72.4441,0,0.7197,0.3296,1,2.57
2yki,44.3095,-50.1613,-5.48,0.8563,0,379.3279,0,3.29,2.5619,1,9.46
2xdl,13.2742,-15.4053,-5.48,0,0,122.8693,0,0.0354,2.0957,1.7384,3.1
2weg,16.7345,-21.9244,-5.48,0.8856,1.0307,62.1513,0,2.152,3.0379,0,6.5
2cet,30.0659,-33.9299,-5.48,4.5645,0,200.6845,0,2.1306,1.7334,4.014,8.02
3f3e,21.0815,-22.8566,-5.48,3.191,0,98.0617,0,1.7434,0.0318,1.8572,7.7
3dd0,17.3743,-20.1124,-5.48,0.6398,1.0307,80.9289,0,1.3031,1.4351,1.2453,9
3pww,43.7558,-49.9556,-5.48,6.081,0,301.0092,0,0.5539,5.6459,4.3176,7.32
2iwx,22.8412,-23.1154,-5.48,0.9127,0,146.556,0,0.2742,0,1,6.68
3g2n,23.0341,-23.9487,-5.48,4.4908,0,115.8863,0,0,0.9147,3.9411,4.09
1sqa,24.856,-27.2417,-5.48,2.3668,0,140.3127,0,0.9288,1.457,1,9.21
3g2z,8.3812,-9.7948,-5.48,0.6943,0,38.9375,0,0.006,1.4076,1,2.36
1q8u,26.0887,-30.2571,-5.48,0.6489,0,193.246,0,0.6425,3.5259,0,5.96
3myg,15.9192,-23.4653,-5.48,1.2084,0,174.2684,0,3.0739,4.4722,2.5157,10.7
3nw9,29.0777,-33.7194,-5.48,2.855,0,266.9401,0,1.9491,2.6926,4.8939,9
