name,Gold.Chemscore.Fitness,Gold.Chemscore.DG,Gold.Chemscore.ZeroCoef,Gold.Chemscore.Hbond,Gold.Chemscore.Metal,Gold.Chemscore.Lipo,Gold.Chemscore.Internal_Hbond,Gold.Chemscore.DEClash,Gold.Chemscore.DEInternal,Gold.Chemscore.Rot,affinity
1g3b,25.2938,-31.1138,-5.4800,1.7476,3.0000,76.6790,0.0000,2.9988,2.8212,2.8378,5.74
1byk,12.4337,-16.3245,-5.4800,6.8238,0.0000,100.6086,0.0000,2.1305,1.7603,9.2649,5
1oko,17.3249,-17.4202,-5.4800,1.6568,1.9972,51.0039,0.0000,0.0280,0.0673,4.5329,4.54
3lk1,9.1843,-10.4836,-5.4800,0.0000,0.0000,64.6460,0.0000,0.0000,1.2992,1.0000,4.26
2v83,1.9159,-17.3694,-5.4800,8.0446,0.0000,293.9284,0.0000,2.3600,13.0935,19.2848,4.47
223l,20.2345,-20.2345,-5.4800,0.0000,0.0000,126.1070,0.0000,0.0000,0.0000,0.0000,3.4
1n7m,19.9162,-24.0781,-5.4800,0.2335,0.0000,271.4205,0.0000,0.6190,3.5430,5.4445,5.71
2e7l,29.0288,-59.3137,-5.4800,6.0297,0.0000,544.0997,0.0000,9.1486,21.1363,11.7051,7.54
2er9,12.9553,-26.4003,-5.4800,3.1886,0.0000,279.7578,0.0000,2.7815,10.6636,8.7740,7.4
3kyg,1.6880,-3.4823,-5.4800,2.9561,0.0000,8.4549,0.0000,1.1046,0.6897,5.0235,7.46
2ieo,18.4190,-29.1359,-5.4800,1.3878,0.0000,237.7202,0.0000,6.4054,4.3116,3.4346,8.49
4ea1,21.1870,-25.9804,-5.4800,0.1116,0.0000,205.4300,0.0000,3.1295,1.6639,1.5264,6.44
3ds9,11.8980,-31.0776,-5.4800,3.5999,2.0000,289.8487,0.0000,4.1093,15.0702,12.6557,7.39
3bze,23.4218,-36.9431,-5.4800,3.5450,0.0000,396.5715,0.0000,5.4127,8.1086,10.4594,6
4as6,14.1514,-14.7443,-5.4800,0.9827,0.0000,82.2706,0.0000,0.0170,0.5758,1.4233,6.4
1icj,-2.3010,-8.1370,-5.4800,0.9918,0.0000,147.7309,0.0000,2.0054,8.4327,7.0078,2.22
1obx,9.8570,-15.4314,-5.4800,3.8641,0.0000,119.8367,0.0000,0.1461,5.4283,6.6311,5.72
2yim,10.6888,-21.0091,-5.4800,7.0709,0.0000,192.9226,0.0000,3.6499,6.6704,11.9764,3.92
3ifo,5.3382,-14.8140,-5.4800,7.0460,0.0000,198.3626,0.0000,2.3987,7.0771,14.6125,7.26
2o1c,1.8420,-3.9240,-5.4800,3.3665,0.0000,0.0000,0.0000,0.0918,1.9903,5.0000,4.72
1z3t,2.0828,-3.1181,-5.4800,2.7458,0.0000,81.7639,0.0000,0.0000,1.0354,8.2419,3.94
2wcg,17.2628,-18.8881,-5.4800,3.8008,0.0000,79.7325,0.0000,1.6253,0.0000,3.3654,6.38
2itk,3.9026,-10.9555,-5.4800,2.9363,0.0000,167.5409,0.0000,0.1171,6.9359,9.3493,7.69
4e0w,21.1456,-22.9680,-5.4800,4.7413,0.0000,96.4940,0.0000,0.9242,0.8982,3.7647,7.48
1slg,-12.1603,-0.2670,-5.4800,0.9476,0.0000,205.3473,0.0000,0.0149,12.4125,12.6577,3.9
3bzi,-1.4746,-11.6116,-5.4800,5.7079,0.0000,163.7347,0.0000,0.1419,12.9443,12.5350,5.74
3iqi,-5.0700,-5.0019,-5.4800,3.3021,0.0000,97.1019,0.0000,0.2626,9.8092,8.9329,4.41
2wk2,18.4563,-24.3591,-5.4800,2.1598,0.0000,287.4868,0.0000,3.9412,1.9616,8.5822,6.82
4b9w,17.3419,-23.0174,-5.4800,4.2959,0.0000,201.2246,0.0000,0.4631,5.2125,7.9509,4.17
3m6p,32.5570,-44.5498,-5.4800,5.3611,2.0000,165.6027,0.0000,10.2471,1.7457,4.0124,8.35
1dqx,8.8047,-15.8731,-5.4800,4.8129,0.0000,56.7135,0.0000,6.6201,0.4483,4.8115,11.05
4f9v,21.7514,-25.6838,-5.4800,0.4438,1.0000,162.0653,0.0000,2.8796,1.0528,2.4493,6.03
2hs2,23.1018,-31.1770,-5.4800,1.9613,0.0000,238.7936,0.0000,4.6864,3.3888,3.4346,8.31
3tg5,7.7929,-24.7599,-5.4800,10.2956,0.0000,233.6498,0.0000,1.9512,15.0158,16.5799,4.7
2f5t,23.1017,-24.7464,-5.4800,7.9287,0.0000,118.6644,0.0000,0.0247,1.6199,8.2419,5.17
1ofz,19.7576,-19.7581,-5.4800,4.3457,0.0000,66.7444,0.0000,0.0004,0.0000,3.1429,4.62
3tei,-8.5814,-4.7753,-5.4800,3.5215,0.0000,44.3766,0.0000,7.2906,6.0661,6.8979,6.3
2qoa,16.1583,-19.9762,-5.4800,0.9861,0.1607,87.4637,0.0000,2.7214,1.0965,0.0000,7.28
2er6,11.6988,-25.9119,-5.4800,6.2218,0.0000,296.1896,0.0000,4.4769,9.7361,13.6731,7.22
1q95,33.7020,-36.8028,-5.4800,11.5950,0.0000,35.2832,0.0000,1.1343,1.9665,4.5049,7.57
3dcs,11.6208,-14.9833,-5.4800,0.5507,1.0307,34.2645,0.0000,2.2618,1.1006,1.0000,7.94
4auy,26.7206,-28.5854,-5.4800,6.5165,0.0000,115.9277,0.0000,0.8657,0.9992,4.7747,7.74
3dnj,20.0224,-28.3946,-5.4800,4.5519,0.0000,158.4295,0.0000,3.4275,4.9447,4.2285,6.82
1g3c,21.2290,-29.6811,-5.4800,1.0069,3.0000,85.5788,0.0000,5.3375,3.1146,2.8378,5.8
1axz,9.9974,-10.1861,-5.4800,2.5804,0.0000,65.7424,0.0000,0.1695,0.0192,4.5329,3.2
3f9y,19.2823,-26.2359,-5.4800,7.7646,0.0000,285.8855,0.0000,0.8374,6.1162,15.0885,4.49
3dcw,16.8670,-19.8672,-5.4800,0.5363,1.0135,82.6725,0.0000,1.5547,1.4455,1.2453,9
2qt5,20.0924,-22.5316,-5.4800,6.8624,0.0000,99.1504,0.0000,0.3991,2.0400,6.8240,5.03
2dua,20.4789,-24.8393,-5.4800,2.1854,2.0000,0.0000,0.0000,4.2689,0.0915,0.0000,4.77
2j9n,21.5346,-21.9405,-5.4800,2.5541,0.0000,67.7772,0.0000,0.2319,0.1740,0.0000,4.7
1urg,10.2227,-11.9673,-5.4800,3.0465,0.0000,148.8134,0.0000,0.2587,1.4859,8.2419,5.82
3d20,26.3364,-33.6240,-5.4800,2.1112,0.0000,255.4274,0.0000,4.0356,3.2521,3.4346,8.3
3lqj,-0.7325,-14.6993,-5.4800,4.6505,0.0000,225.1207,0.0000,3.7018,11.7300,12.7548,5.37
1utc,21.2030,-33.9519,-5.4800,5.7991,0.0000,259.3218,0.0000,0.6825,12.0664,8.2959,4.55
220l,21.8805,-21.9706,-5.4800,0.0000,0.0000,140.9453,0.0000,0.0901,0.0000,0.0000,3.4
3lzv,25.8291,-32.8603,-5.4800,2.4242,0.0000,246.2086,0.0000,1.9912,5.0399,3.7200,10.59
3pb3,13.7954,-15.5818,-5.4800,4.8257,0.0000,85.9471,0.0000,0.5117,1.2748,6.2781,6.22
1sts,-17.7527,3.9563,-5.4800,0.8856,0.0000,154.6228,0.0000,0.0000,13.7964,11.9082,5
2qo8,15.0696,-20.9940,-5.4800,1.0285,0.4600,117.5833,0.0000,3.1515,2.7729,1.7392,8.47
1bcj,6.9444,-10.1609,-5.4800,0.2473,1.4586,50.5543,0.0000,1.7163,1.5002,4.2405,3.7
1ze8,20.0160,-25.0645,-5.4800,1.3595,0.2284,146.6386,0.0000,3.3600,1.6885,1.3633,7.68
3uvx,1.0859,-8.0214,-5.4800,3.4541,0.0000,171.0830,0.0000,0.3685,6.5670,11.3329,4.34
1c2t,19.6093,-29.5325,-5.4800,4.6153,0.0000,184.1979,0.0000,6.2190,3.7043,5.0444,6.59
2rfy,-8.9655,4.6057,-5.4800,0.0737,0.0000,92.0298,0.0000,1.0614,3.2984,8.2419,5.22
4fbe,19.7498,-24.2181,-5.4800,0.0000,1.0000,162.2080,0.0000,2.4438,2.0245,2.4493,6.99
4afh,47.7193,-52.0553,-5.4800,1.7719,0.0000,389.1813,0.0000,0.9989,3.3370,1.9051,9.54
4fbx,14.3846,-19.9858,-5.4800,0.0000,0.0000,157.6006,0.0000,5.1521,0.4491,1.5365,7.66
1ws5,13.0836,-14.8754,-5.4800,3.0253,0.0000,81.0459,0.0000,1.7640,0.0278,3.9811,3.03
3lik,31.8908,-41.2559,-5.4800,4.1908,0.0000,311.4861,0.0000,3.3678,5.9973,5.7286,8.72
1xr8,4.4104,-29.3140,-5.4800,7.0841,0.0000,371.2653,0.0000,9.7357,15.1679,16.9004,6.7
1b6m,42.4681,-49.8277,-5.4800,5.8521,0.0000,281.5608,0.0000,1.8419,5.5178,3.1800,8.4
1gz9,3.2504,-4.4135,-5.4800,3.6266,0.0000,116.2161,0.0000,0.0383,1.1249,10.4596,3.51
3lil,28.8847,-34.9510,-5.4800,4.2111,0.0000,260.1605,0.0000,1.7317,4.3346,5.8722,8.08
2rk7,19.3202,-20.7715,-5.4800,1.7340,2.0000,0.0000,0.0000,1.3937,0.0576,1.0000,4.05
3lqi,-19.5916,-1.0266,-5.4800,5.3023,0.0000,243.1346,0.0000,2.2612,18.3569,19.7694,5.16
3iqj,-4.2234,-4.4497,-5.4800,9.4667,0.0000,114.7934,0.0000,0.6039,8.0692,17.9999,4.93
2nnp,31.9332,-36.0942,-5.4800,2.2021,0.0000,293.2654,0.0000,1.7626,2.3984,4.3176,8.37
1gzc,1.7440,-2.8391,-5.4800,2.7175,0.0000,80.1866,0.0000,0.3145,0.7806,8.2419,3.49
3omc,-15.9323,6.1153,-5.4800,1.4768,0.0000,152.0781,0.0000,2.4149,7.4022,13.4066,5
1i8i,-9.1756,-11.4622,-5.4800,6.6874,0.0000,216.1010,0.0000,4.3016,16.3363,16.2646,7.66
1gz3,-7.0740,3.5656,-5.4800,2.5188,0.0000,39.3409,0.0000,0.1819,3.3265,8.6178,3.7
3eks,38.8545,-41.5558,-5.4800,2.7941,0.0000,285.1134,0.0000,1.7696,0.9317,2.5840,5.7
3ebb,-0.1451,-5.3786,-5.4800,0.8027,0.0000,124.5197,0.0000,0.6479,4.8758,6.7778,5.3
1z3v,-2.3899,1.4153,-5.4800,1.2541,0.0000,85.5999,0.0000,0.0310,0.9436,8.2419,4.11
2z8e,4.6929,-5.0030,-5.4800,1.0911,0.0000,57.5592,0.0000,0.0174,0.2927,4.2405,8
3q5u,-8.8757,-2.6022,-5.4800,6.5036,0.0000,115.7066,0.0000,0.1694,11.3085,14.8974,4.31
1db1,48.1840,-49.4324,-5.4800,2.0286,0.0000,379.2977,0.0000,0.0516,1.1968,2.8128,9.26
2nn8,7.3274,-8.0371,-5.4800,5.1315,0.0000,55.7026,0.0000,0.0021,0.7075,8.2419,3.59
3d1e,12.1214,-21.8909,-5.4800,3.8855,0.0000,199.8157,0.0000,1.8789,7.8907,7.7911,5.77
2y7k,20.9515,-21.3366,-5.4800,0.9825,0.0000,129.3584,0.0000,0.3773,0.0077,1.0000,4.93
2jdn,30.5655,-31.9513,-5.4800,2.8002,3.9753,28.5370,0.0000,1.3244,0.0614,3.9811,5.56
1jmi,9.4976,-11.2018,-5.4800,3.1442,0.0000,40.0464,0.0000,0.0275,1.6768,3.6973,6.06
4f20,-17.0830,-2.5596,-5.4800,10.0922,0.0000,159.9763,0.0000,11.5268,8.1158,21.6194,3.29
4aa1,25.1347,-36.3801,-5.4800,4.7287,1.0000,199.5487,0.0000,3.8185,7.4270,5.5745,4.12
3iqg,7.0497,-14.9537,-5.4800,3.5590,0.0000,139.8812,0.0000,1.1496,6.7544,7.3358,4.6
1ebg,16.0986,-28.3157,-5.4800,4.9144,1.9998,9.9158,0.0000,11.4219,0.7952,2.6551,10.82
3dvp,-1.3626,-16.0582,-5.4800,7.9898,0.0000,183.4529,0.0000,3.5687,13.8522,14.6765,5
1z1r,33.5969,-39.8526,-5.4800,4.6057,0.0000,237.9597,0.0000,1.2668,4.9889,3.4577,9.22
3o6m,11.4791,-24.1618,-5.4800,4.7538,0.0000,284.4376,0.0000,0.9485,11.7341,11.9043,7.48
3iqh,9.7735,-12.8782,-5.4800,2.0681,0.0000,123.0606,0.0000,0.0533,3.0514,5.4325,4.59
3nkx,-16.1275,-3.5086,-5.4800,9.3910,0.0000,126.5929,0.0000,6.8911,12.7450,18.8081,5.12
4e49,13.0485,-13.0485,-5.4800,0.0007,0.0000,99.3111,0.0000,0.0000,0.0000,1.5833,5.11
3n0h,23.8633,-26.3132,-5.4800,2.3787,0.0000,161.7333,0.0000,1.7251,0.7248,2.3572,6.21
1udt,28.7161,-33.9627,-5.4800,1.4705,0.0000,236.5004,0.0000,1.3059,3.9407,1.6013,9.3
4aph,14.2819,-31.9953,-5.4800,5.0635,1.0000,262.3149,0.0000,8.9203,8.7930,10.5928,5.4
4e3h,12.4583,-12.4732,-5.4800,0.0565,0.0000,92.8012,0.0000,0.0149,0.0000,1.5833,7.05
3oys,22.7124,-26.0350,-5.4800,1.1551,1.0049,117.9107,0.0000,0.5871,2.7354,1.2337,8.05
1h1p,18.1650,-18.9179,-5.4800,2.8827,0.0000,74.0416,0.0000,0.0015,0.7514,1.8958,4.92
3d3x,15.3200,-23.5202,-5.4800,1.7490,1.0000,131.3816,0.0000,3.6447,4.5555,3.5950,4.16
2xxw,13.2552,-14.5536,-5.4800,4.7666,0.0000,42.7492,0.0000,0.0073,1.2911,4.6283,6.41
1apw,23.2053,-30.4222,-5.4800,4.8871,0.0000,174.1071,0.0000,2.2548,4.9621,4.5904,8
2h6q,-4.7207,-1.8159,-5.4800,3.3561,0.0000,189.0055,0.0000,0.0515,6.4851,14.4482,5.11
3eys,3.7558,-16.1138,-5.4800,4.4115,0.0000,184.3208,0.0000,5.4553,6.9028,10.0258,5.52
1wei,4.0063,-6.7240,-5.4800,0.0223,0.0000,9.9948,0.0000,2.7177,0.0000,0.0000,9
4e81,-9.9710,-5.6659,-5.4800,2.1870,0.0000,187.9969,0.0000,0.8700,14.7669,11.3728,5.24
2v86,0.1826,-7.9470,-5.4800,4.1003,0.0000,255.2368,0.0000,0.1551,7.6093,16.0511,4.46
2wp1,-11.3969,1.5243,-5.4800,1.9067,0.0000,142.7344,0.0000,0.0580,9.8146,11.7471,3.6
1eix,21.5677,-25.0682,-5.4800,7.5959,0.0000,55.8597,0.0000,1.9471,1.5534,4.8115,11.06
1ugw,13.1878,-14.8436,-5.4800,3.6137,0.0000,76.0508,0.0000,1.5434,0.1125,4.5329,3.09
2v7d,-26.8528,7.6309,-5.4800,3.5645,0.0000,80.2377,0.0000,4.0031,15.2188,13.4392,6.59
2yiv,14.2749,-14.4667,-5.4800,0.0000,0.0000,104.7569,0.0000,0.0202,0.1716,1.2773,2.78
1o2s,14.6176,-16.8062,-5.4800,1.5719,0.0000,88.2866,0.0000,0.3563,1.8323,1.6616,5.47
4av0,30.1283,-32.2463,-5.4800,6.1282,0.0000,146.9838,0.0000,1.6802,0.4378,4.2574,6.98
2avv,31.2396,-37.4106,-5.4800,0.3497,0.0000,344.8377,0.0000,2.5143,3.6567,3.7435,9.26
2cia,-0.3654,-10.2876,-5.4800,7.8774,0.0000,159.7363,0.0000,1.6080,9.0449,15.7000,6.43
1owh,22.4668,-24.8202,-5.48,2.5332,0,114.8669,0,0.0111,2.3423,1,7.4
3rr4,36.6331,-36.9323,-5.48,5.5827,0,109.4528,0,0.2987,0.0004,0,4.55
3gv9,17.945,-22.7751,-5.48,3.2895,0,53.916,0,2.0623,2.7678,0,2.12
2wnc,31.9721,-32.8991,-5.48,0.9121,0,234.1112,0,0.5844,0.3425,1.1791,6.32
2xii,22.9124,-26.4477,-5.48,2.9952,0,159.2413,0,2.8899,0.6454,2.9951,7.2
3gc5,39.2096,-40.9457,-5.48,7.4554,0,123.6487,0,1.3204,0.4157,1.5243,7.26
3pyy,26.9987,-29.8981,-5.48,1,0,202.0349,0,1.4477,1.4517,1,6.86
3prs,34.885,-43.3072,-5.48,3.4819,0,315.6899,0,4.5324,3.8898,4.1946,7.82
3nx7,20.4716,-29.7347,-5.48,2.3828,2,106.7794,0,6.1985,3.0645,3.2254,8.1
3dx1,21.0548,-24.9303,-5.48,1.5213,2,72.7107,0,3.8755,0,2.4211,3.58
3f3d,18.9177,-21.3583,-5.48,3.0293,0,96.2485,0,1.8278,0.6128,2.1487,7.16
2j7h,22.9939,-23.1292,-5.48,4.2733,0,92.344,0,0.1219,0.0134,2.9015,7.19
3ui7,26.5126,-28.622,-5.48,0.2965,0,218.6911,0,1.741,0.3684,1.3419,9
2zda,39.1316,-43.1439,-5.48,5.5058,0,217.1099,0,1.3217,2.6905,2.3934,8.4
1ydt,25.7087,-32.612,-5.48,0.793,0,250.2178,0,1.7317,5.1715,1.8719,7.32
3uuo,27.277,-29.0308,-5.48,1.237,0,187.8568,0,0,1.7538,1,7.96
1syi,31.4017,-35.3778,-5.48,6.6615,0,112.7102,0,3.5872,0.3889,2.1636,5.44
3fv2,30.3596,-34.6306,-5.48,7.7792,0,118.9816,0,1.7356,2.5354,4.2004,8.11
3p5o,24.7779,-27.4551,-5.48,0.2882,0,215.1077,0,0.0811,2.5962,1.6231,7.3
2wer,24.1029,-25.41,-5.48,1.2976,0,155.1791,0,1.307,0,1,7.05
1bzc,12.1011,-22.2726,-5.48,3.4259,0,173.1515,0,7.6385,2.533,5.8237,4.92
1eby,38.5445,-43.2745,-5.48,2.6031,0,364.0923,0,1.7598,2.9702,5.2729,9.7
1p1n,16.5481,-18.5191,-5.48,3.4175,0,96.2587,0,0.974,0.9969,3.7647,6.8
4ea2,22.9882,-33.1772,-5.48,0.11,0,269.0185,0,0,10.1891,1.6192,6.44
3d6q,1.1798,-3.1772,-5.48,0.4487,0,32.2327,0,0.0004,1.997,2.9581,3.76
5tmn,23.4839,-29.3147,-5.48,3.9495,1.0601,154.9905,0,2.7341,3.0967,5.4229,8.04
3gr2,9.3045,-11.186,-5.48,1.5431,0,37.5719,0,0.027,1.8545,1.5015,2.52
2vkm,43.9395,-56.2235,-5.48,4.3459,0,390.496,0,7.6168,4.6672,3.6953,8.74
1z9g,3.1773,-11.5381,-5.48,0,0,110.8905,0,6.9306,1.4303,2.7016,5.64
3dx2,25.367,-28.8254,-5.48,2.3759,2,92.2225,0,3.0156,0.4429,2.9062,6.82
3n76,41.7415,-42.8446,-5.48,6.7179,0,206.2729,0,0.4488,0.6543,3.5965,6.85
3kr8,36.8246,-37.6979,-5.48,1.9783,0,218.8927,0,0.5499,0.3235,0,8.1
4eo8,29.23,-33.5496,-5.48,1.5628,0,219.5471,0,0.0015,4.318,1.1083,8.15
2zy1,27.5828,-29.9972,-5.48,2.9638,0,221.9209,0,0.1334,2.281,4.4323,7.4
3bgz,36.9698,-38.2598,-5.48,1.1744,0,246.643,0,0.0021,1.2878,0,6.26
1ydr,22.2188,-27.4092,-5.48,0.8546,0,184.9143,0,1.911,3.2794,1,5.52
2pog,35.1127,-36.0961,-5.48,0.9691,0,273.6863,0,0.8674,0.116,1.8133,9.54
3e5a,31.2676,-35.0042,-5.48,2.7488,0,205.9518,0,0.0482,3.6884,1.466,8.23
3cj4,25.6688,-28.8114,-5.48,2.1523,0,176.9717,0,0.0512,3.0914,1.7825,6.51
3rsx,26.5798,-28.4286,-5.48,1.322,0,158.4029,0,1.2305,0.6183,0,4.41
2qbq,29.033,-33.5766,-5.48,3.1351,0,194.8555,0,1.8919,2.6517,2.0206,7.44
3qgy,31.0613,-35.7853,-5.48,1.5682,0,214.2532,0,1.6038,3.1202,0,7.8
2cbv,25.0601,-27.5904,-5.48,5.8094,0,91.5132,0,2.5303,0,3.125,5.48
2p15,50.079,-52.3451,-5.48,1.619,0,393.9365,0,0.6459,1.6202,1.8097,10.3
1z6e,22.2335,-34.1474,-5.48,0.9226,0,246.8781,0,3.5078,8.4061,1.2887,9.72
1k1i,21.9821,-27.3625,-5.48,4.3585,0,121.7959,0,0.4568,4.9236,2.7051,6.58
2w4x,11.1442,-14.6185,-5.48,3.4669,0,75.5234,0,1.4082,2.0661,4.4051,4.85
3uev,22.5479,-24.2555,-5.48,0,0,213.4756,0,0.1373,1.5704,2.4223,5.89
1s38,30.6089,-32.8461,-5.48,4.6773,0,100.3751,0,2.2372,0,0,5.15
3ryj,18.844,-21.6061,-5.48,0.9047,1.0601,79.2488,0,1.4655,1.2966,1,7.8
4agq,24.5658,-27.5285,-5.48,0,0,231.5695,0,0.9594,2.0032,1.9708,5.01
3nq9,9.6441,-10.9852,-5.48,0,0,91.2693,0,0.0727,1.2683,2.0208,4.03
3u5j,28.5645,-29.9207,-5.48,0.727,0,188.1409,0,0.0077,1.3485,0,5.61
3up2,29.4975,-34.3074,-5.48,3.3703,0,172.0571,0,1.0463,3.7636,1,7.4
3syr,25.7537,-26.3157,-5.48,6.9032,0,79.733,0,0.0444,0.5176,4.5117,5.1
1nc1,4.1905,-16.7276,-5.48,0,0,162.1055,0,11.5202,1.0168,3.0152,6.12
1pxn,31.1633,-32.882,-5.48,2.1755,0,193.9819,0,0.3326,1.3861,1,7.15
3zt2,27.7866,-31.7316,-5.48,1.9483,0,168.7554,0,0.2265,3.7185,0,2.84
1nc3,-5.432,-11.2597,-5.48,0,0,130.507,0,16.4522,0.2395,3.7069,5
3rlr,25.3762,-27.2472,-5.48,1.1633,0,174.7174,0,0.6674,1.2037,1,7.52
4de3,18.9754,-21.063,-5.48,1.4096,0,92.9469,0,0.2514,1.8362,0,5.52
3b65,33.7118,-36.6549,-5.48,1.192,0,284.1439,0,0.7436,2.1995,2.3638,9.27
4hge,24.5515,-27.4763,-5.48,0.8385,0,164.0652,0,0.0524,2.8724,0,7.92
3uew,22.56,-25.4162,-5.48,0.0815,0,222.9793,0,1.3473,1.5088,2.5097,6.31
4agp,24.9813,-27.5942,-5.48,0,0,231.8233,0,0.9846,1.6282,1.9567,4.69
1h22,38.9207,-41.2073,-5.48,1.0308,0,347.7263,0,0.4352,1.8514,3.2811,9.1
3bv9,21.3151,-28.3465,-5.48,2.6494,0,220.0071,0,0,7.0313,4.5794,5.36
2wn9,29.1054,-33.4536,-5.48,2.112,0,208.5639,0,1.7023,2.6458,1.3604,8.52
2qnq,26.69,-40.9847,-5.48,1.3382,0,299.5531,0,7.3324,6.9623,1.5674,6.11
1qkt,27.2709,-30.4021,-5.48,0,0,246.3506,0,3.1311,0,1.5238,9.04
1lpg,36.8427,-42.3812,-5.48,2.7208,0,283.949,0,1.4615,4.0771,2.1126,7.09
1gpn,27.9306,-30.4683,-5.48,0,0,213.5756,0,2.5378,0,0,6.48
4eky,23.9053,-30.2295,-5.48,5.7428,0,141.1062,0,6.0628,0.2615,4.2737,3.52
1qf1,41.1442,-47.3329,-5.48,5.6105,2,166.478,0,3.3923,2.7964,3.2907,7.32
3b27,17.7676,-19.111,-5.48,0.9915,0,110.0809,0,0,1.3433,1,5.16
3coz,22.4412,-26.0812,-5.48,6.5857,0,102.5132,0,0.8287,2.8113,5.2301,5.57
3b1m,32.9955,-39.1168,-5.48,0,0,330.9755,0,0.8186,5.3028,1.9872,8.48
2wvt,11.231,-15.3534,-5.48,3.1395,0,98.732,0,4.1062,0.0162,4.7516,6.12
3b5r,31.6221,-40.5437,-5.48,1.9004,0,298.2212,0,2.0027,6.9189,2.4123,8.77
2br1,11.6033,-19.8525,-5.48,0.387,0,162.7229,0,1.9753,6.2739,2.3275,5.14
2xj7,30.4498,-31.5359,-5.48,5.4432,0,127.8023,0,0.9907,0.0954,2.7645,6.66
