name,Gold.PLP.Fitness,Gold.PLP.PLP,Gold.PLP.part.hbond,Gold.PLP.part.metal,Gold.PLP.part.buried,Gold.PLP.part.nonpolar,Gold.PLP.part.repulsive,Gold.PLP.ligand.clash,Gold.PLP.ligand.torsion,Gold.PLP.Chemscore.Hbond,Gold.PLP.Chemscore.CHOScore,Gold.PLP.Chemscore.Metal,affinity
1g3b,65.7809,-37.8276,-6.8956,-2.6025,-1.1390,-28.7602,0.1374,0.0000,1.4261,2.2685,0.0000,4.0000,5.74
1byk,67.3920,-44.6073,-17.1615,0.0000,-5.6588,-27.0649,0.1644,0.0000,1.7603,8.7684,0.0000,0.0000,5
1oko,51.7620,-31.7772,-5.2748,-2.0000,-3.9031,-22.9621,0.0686,0.0000,0.0673,2.7120,0.0000,1.9972,4.54
3lk1,11.5717,-14.1702,0.0000,0.0000,-1.0989,-13.3545,0.0336,0.0000,1.2992,0.0000,0.0000,0.0000,4.26
2v83,117.6285,-114.9181,-13.2467,0.0000,-10.5200,-95.1830,1.1235,11.6948,8.0437,10.1642,0.0000,0.0000,4.47
223l,33.8908,-33.8908,0.0000,0.0000,-1.6845,-33.0868,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3.4
1n7m,87.7988,-93.4246,-1.5428,0.0000,-11.1910,-85.6228,1.1665,0.0000,3.5430,0.4867,0.0000,0.0000,5.71
2e7l,151.5112,-162.6472,-15.5757,0.0000,-8.6212,-160.1147,2.1332,14.3477,8.3009,6.6045,0.0000,0.0000,7.54
2er9,81.6985,-86.9334,-9.1340,0.0000,-4.6990,-81.8234,1.0586,6.5964,5.1557,3.7525,0.1384,0.0000,7.4
3kyg,27.8149,-17.1944,-3.9664,0.0000,-0.2206,-11.3591,0.4207,0.0000,0.6897,4.0000,0.0000,0.0000,7.46
2ieo,67.4276,-65.3224,-7.2715,0.0000,5.3465,-68.1790,1.0739,0.0000,3.6061,3.1058,0.0000,0.0000,8.49
4ea1,40.2175,-44.9854,-2.5339,0.0000,2.1957,-48.4925,0.0043,3.5809,1.6639,0.7136,0.0000,0.0000,6.44
3ds9,122.1610,-104.9431,-8.7453,-2.0000,-3.9259,-98.0082,0.3629,1.4931,6.1704,6.3506,0.0000,2.0000,7.39
3bze,115.4496,-111.7700,-9.2384,0.0000,-6.2507,-112.4477,0.5660,0.0000,5.8992,5.1593,0.0000,0.0000,6
4as6,40.9010,-39.0527,-1.3703,0.0000,-6.0181,-34.0204,0.4216,0.0000,0.5758,1.0000,0.0000,0.0000,6.4
1icj,43.6344,-51.3718,-2.0000,0.0000,-4.7863,-47.4262,0.4698,0.0000,5.3687,1.0000,0.0000,0.0000,2.22
1obx,49.8036,-45.0067,-4.1802,0.0000,-6.0490,-37.6790,0.2457,0.0000,3.6016,4.0000,0.0000,0.0000,5.72
2yim,123.7966,-96.3756,-11.0374,0.0000,-15.9608,-79.5331,5.0775,2.9041,3.7239,12.5909,0.0000,0.0000,3.92
3ifo,103.9198,-80.8736,-13.6793,0.0000,-7.7007,-69.5258,0.7578,4.4454,5.0680,12.5425,0.0000,0.0000,7.26
2o1c,24.8689,-7.6575,-6.1584,0.0000,0.0284,-6.0979,0.2575,0.0000,0.5593,6.1100,0.0000,0.0000,4.72
