name,TOTAL_SCORE,SCORE_RB_PEN,SCORE_NORM_HEVATOMS,SCORE_NORM_CRT_HEVATOMS,SCORE_NORM_WEIGHT,SCORE_NORM_CRT_WEIGHT,SCORE_RB_PEN_NORM_CRT_HEVATOMS,SCORE_NORM_CONTACT,PLPtotal,PLPparthbond,PLPpartsteric,PLPpartmetal,PLPpartrepulsive,PLPpartburpolar,LIG_NUM_CLASH,LIG_NUM_CONTACT,LIG_NUM_NO_CONTACT,CHEMpartmetal,CHEMparthbond,CHEMparthbondCHO,DON,ACC,UNUSED_DON,UNUSED_ACC,CHEMPLP_CLASH2,TRIPOS_TORS,affinity
1h23,-115.60700000000001,-85.6069,-3.2113,-35.0119,-0.23273899999999997,-14.5975,-25.9263,-3.2113,-111.096,-3.47252,-99.9395,0,0.28420300000000004,0.0,2,34,0,0.0,-6.19071,0.0,6,2,6,0,0.034843,9.63808,8.35
3b1m,-93.5246,-79.5246,-2.46117,-27.8183,-0.182481,-11.6866,-23.6541,-2.46117,-90.0589,0.0,-88.0498,0,0.16714600000000002,0.0,4,34,0,0.0,0.0,0.0,2,7,2,7,0.0,7.68447,8.48
4jxs,-72.4972,-60.4972,-3.2953300000000003,-25.873,-0.21364699999999998,-10.3939,-21.5904,-3.15205,-47.8309,-8.4461,-37.0003,0,2.1131599999999997,-0.1,3,19,0,0.0,-19.2988,0.0,1,6,0,3,0.0,6.74883,4.74
2pog,-85.9304,-79.9304,-4.09192,-31.1463,-0.30436799999999997,-13.0988,-28.9716,-3.7361,-60.8218,-3.17025,-57.9398,0,0.0,0.0,3,18,0,0.0,-6.23946,0.0,2,3,0,2,0.0,0.36089299999999996,9.54
1bcu,-68.4284,-68.4284,-4.2767800000000005,-27.1558,-0.325453,-11.5077,-27.1558,-3.8015800000000004,-45.515,-1.6869299999999998,-35.2831,0,0.23858400000000002,0.0,0,16,0,0.0,-3.7744699999999995,0.0,5,0,3,0,0.0,0.0,3.28
3d6q,-45.9014,-35.9014,-2.08643,-16.3814,-0.146957,-6.76519,-12.8126,-2.70008,-25.3512,-3.0100599999999997,-17.5114,0,0.39151199999999997,0.0,1,15,6,0.0,-5.63342,-3.0,4,5,3,3,0.0,3.80436,3.76
3twp,-51.0909,-47.0909,-5.10909,-23.7143,-0.372627,-9.90802,-21.8576,-5.10909,-34.1743,-1.7400400000000003,-27.5755,0,0.07882080000000001,0.0,0,10,0,0.0,-5.11609,0.0,1,3,1,1,7.46886,0.0130732,3.92
3myg,-75.0145,-57.0145,-2.50048,-24.1419,-0.17545,-9.95744,-18.349,-2.3442,-60.2764,-2.25429,-56.2199,0,3.17674,-0.089371,3,27,0,0.0,-4.99595,-3.0,6,5,4,4,0.0,5.56447,10.7
3coy,-115.41,-93.4103,-3.7229099999999997,-36.7387,-0.251171,-14.9561,-29.7354,-3.29744,-81.5454,-9.31465,-57.9913,0,1.83467,-0.054925699999999994,2,29,0,0.0,-20.8263,0.0,9,10,5,7,0.0,2.2347,6.02
4qac,-113.61399999999999,-107.61399999999999,-4.73391,-39.3877,-0.337773,-16.3366,-37.3076,-4.369759999999999,-99.6087,-1.88946,-97.7128,0,3.39279,0.0,7,17,0,0.0,-6.0,0.0,2,2,0,2,0.0,4.888780000000001,9.4
4crc,-96.5101,-78.5101,-2.4746200000000003,-28.4589,-0.178732,-11.8518,-23.1511,-2.41275,-91.5548,-4.46054,-76.7768,0,0.515378,0.0,4,35,0,0.0,-8.751,-3.0,3,9,2,7,0.0,12.1809,8.72
3u8k,-76.0934,-70.0934,-4.75584,-30.1977,-0.342285,-12.5611,-27.8166,-4.22741,-60.3819,-2.0,-54.1888,0,0.149214,0.0,0,16,0,0.0,-6.0,0.0,4,2,2,2,0.0,3.90509,8.66
4k18,-88.8917,-78.8917,-3.06523,-28.9331,-0.22947399999999998,-12.1942,-25.6782,-3.1747,-68.7415,-1.13056,-69.5311,0,0.306651,-0.1,2,26,0,0.0,-3.0,0.0,3,3,3,2,0.0,0.905285,8.96
3g2z,-39.2964,-33.2964,-3.0228,-16.7124,-0.220538,-6.983339999999999,-14.1606,-3.0228,-17.2167,-3.25373,-11.4165,0,0.33331900000000003,0.0,0,13,0,0.0,-9.0,0.0,2,5,2,2,0.0,2.96627,2.36
2yge,-33.6573,-21.6573,-0.841433,-9.841460000000001,-0.060034800000000006,-4.08182,-6.3326400000000005,-0.82091,-52.4228,-2.98842,-45.8041,0,2.16053,-0.06516799999999999,2,38,0,0.0,-6.0,0.0,4,8,3,7,14.1662,14.6712,5.06
4w9l,-109.084,-87.084,-2.66059,-31.6349,-0.186228,-13.0374,-25.2548,-2.47918,-90.554,-4.8053300000000005,-84.0198,0,0.30334,-0.06607310000000001,3,38,0,0.0,-13.8603,-3.0,5,6,2,2,0.487023,7.43715,5.02
2cet,-95.743,-79.743,-4.35195,-34.169000000000004,-0.313554,-14.2181,-28.4589,-3.54604,-65.1453,-12.5289,-50.1942,0,0.020064099999999998,0.0,4,18,0,0.0,-20.6613,0.0,5,4,0,1,4.02124,1.04959,8.02
2ymd,-91.9421,-83.9421,-7.07247,-39.1021,-0.518791,-16.3684,-35.6998,-5.40836,-60.6691,-5.0,-48.6907,0,0.0659289,-0.014164700000000002,1,12,0,0.0,-14.1532,0.0,5,1,1,0,0.0,0.389937,3.16
3f3a,-71.7123,-63.7123,-4.780819999999999,-29.0779,-0.351142,-12.1775,-25.8341,-3.98401,-45.9299,-6.18781,-45.4383,0,0.687062,0.0,2,13,0,0.0,-11.5089,0.0,4,2,1,1,0.0,1.46665,4.19
4lzs,-61.0336,-55.0336,-4.0689,-24.7479,-0.293067,-10.2968,-22.315,-3.8146,-42.1854,-2.21565,-34.919000000000004,0,0.11471600000000001,0.0,0,15,0,0.0,-6.0,0.0,2,2,1,1,0.0,3.42686,4.8
3ozs,-119.49700000000001,-97.4974,-3.6211300000000004,-37.2552,-0.251915,-15.3223,-30.3964,-3.3193699999999997,-98.0991,-7.99868,-88.6484,-2,0.25145500000000004,-0.1,7,26,0,-6.0,-6.38999,0.0,6,9,2,9,0.0,4.20721,5.33
2xys,-94.5727,-92.5727,-3.7829099999999998,-32.3434,-0.28027399999999997,-13.5843,-31.6594,-3.63741,-73.9523,-1.0,-68.7824,0,0.005848699999999999,-0.028972300000000003,1,24,0,0.0,-2.55856,0.0,2,2,1,2,0.0,0.0,7.42
1c5z,-73.5037,-71.5037,-8.16708,-35.3369,-0.6066560000000001,-14.8544,-34.3754,-5.65413,-37.6898,-4.72896,-27.0304,0,0.239979,0.0,1,8,0,0.0,-16.3007,0.0,4,0,0,0,0.0,0.153751,4.01
