name,Orientation_Score,Affinity_Score(Heavy_Ligand_Atoms),Affinity_Score,Buried_Protein_Hydrophobic_Term,Hydrophobic_Complementarity_Term,Polar_Component_Term,Number_of_Protein-Ligand_Hydrophobic_Contacts,Number_of_Protein-Ligand_H-bonds,Number_of_Protein-Ligand_Salt-bridges,Number_of_Metal-Ligand_Bonds,Number_of_Interfacial_Unsatisfied_Polar_Atoms,Number_of_Interfacial_Unsatisfied_Charged_Atoms,Buried_Carbons,affinity
2b1v,-6.606,-0.170,-8.446,-3.413,-0.083,0.268,52,1,0,0,2,0,0.938,5.74
1xgj,-7.162,-0.121,-7.878,-2.966,-0.498,0.804,42,6,0,0,3,3,1.000,6
1e5a,-5.067,-0.145,-6.671,-1.287,-0.166,0.000,19,0,2,0,0,0,1.000,7.64
1ha2,-7.411,-0.147,-8.598,-3.801,-0.249,0.670,70,0,3,0,3,2,1.000,5.54
2er9,-10.850,-0.101,-11.751,-7.949,-0.996,2.412,100,12,0,0,13,5,0.911,7.4
2c02,-7.383,-0.029,-6.014,-1.625,-0.913,1.742,20,3,8,0,6,7,0.800,4.04
1slg,-8.629,-0.070,-9.365,-5.659,-0.498,2.010,73,6,0,0,13,2,0.750,3.9
2aov,-6.723,-0.083,-6.631,-2.587,-0.166,1.340,46,2,0,0,8,2,1.000,7.04
1b39,-10.106,-0.062,-7.135,-1.814,-1.577,1.474,30,9,10,0,9,2,1.000,6.92
1bra,-6.733,-0.148,-6.548,-1.585,-0.415,0.670,40,4,1,0,5,0,1.000,1.82
3pch,-6.289,-0.171,-6.931,-1.598,-0.249,0.134,42,3,0,0,0,1,1.000,5.4
1a1b,-8.957,-0.085,-8.518,-3.376,-0.996,1.072,48,6,6,0,5,3,0.692,6.4
1utp,-6.033,-0.166,-7.044,-2.030,-0.332,0.536,27,2,2,0,4,0,1.000,1.44
2flb,-8.043,-0.085,-7.257,-3.602,-0.581,2.144,63,3,4,0,15,1,1.000,5.74
7cpa,-11.265,-0.145,-11.159,-5.238,-1.909,1.206,59,6,17,0,7,2,0.933,13.96
2hdq,-6.693,-0.203,-6.839,-1.391,-0.498,0.268,43,0,6,0,2,0,1.000,1.4
1a08,-9.189,-0.085,-8.695,-3.604,-1.079,1.206,49,5,8,0,7,2,0.667,5.62
