name,Orientation_Score,Affinity_Score(Heavy_Ligand_Atoms),Affinity_Score,Buried_Protein_Hydrophobic_Term,Hydrophobic_Complementarity_Term,Polar_Component_Term,Number_of_Protein-Ligand_Hydrophobic_Contacts,Number_of_Protein-Ligand_H-bonds,Number_of_Protein-Ligand_Salt-bridges,Number_of_Metal-Ligand_Bonds,Number_of_Interfacial_Unsatisfied_Polar_Atoms,Number_of_Interfacial_Unsatisfied_Charged_Atoms,Buried_Carbons,affinity
2br6,-5.711,-0.118,-6.041,-0.676,-0.415,0.268,9,3,2,0,1,1,1.000,2.96
2adu,-6.594,-0.103,-6.458,-2.063,-0.249,1.072,45,3,0,0,2,6,1.000,7.74
1g3b,-8.118,-0.118,-7.219,-1.592,-1.079,0.670,34,12,1,0,5,0,1.000,5.74
1vyq,-7.450,-0.130,-9.785,-5.256,-0.249,0.938,72,3,0,0,7,0,0.821,5.3
1wkm,-8.285,-0.232,-7.303,-1.408,-1.079,0.402,35,1,12,0,1,2,1.000,0.82
1w6y,-6.102,-0.156,-8.347,-3.850,-0.083,0.804,48,1,0,0,3,3,0.944,5.36
1byk,-10.186,-0.085,-7.524,-2.171,-1.743,1.608,29,13,8,0,9,3,1.000,5
1oko,-7.199,-0.148,-6.992,-1.397,-0.913,0.536,16,11,0,0,4,0,1.000,4.54
2hdr,-5.503,-0.156,-6.933,-1.600,-0.249,0.134,18,1,2,0,1,0,1.000,1.72
1f2o,-7.347,-0.208,-7.087,-1.358,-0.913,0.402,20,3,8,0,3,0,1.000,1.91
1gi8,-7.196,-0.104,-7.185,-2.943,-0.498,1.474,46,4,2,0,10,1,0.929,5.05
2fwp,-8.185,-0.128,-6.880,-1.119,-1.079,0.536,18,10,3,0,3,1,1.000,2.92
1ulg,-6.493,-0.056,-6.670,-1.139,-0.581,0.268,23,7,0,0,2,0,0.571,4.21
1w8l,-5.699,-0.103,-6.251,-1.620,-0.083,0.670,34,1,0,0,3,2,1.000,0.49
1v2q,-7.263,-0.060,-7.016,-2.959,-0.581,1.742,42,3,4,0,12,1,0.650,4.13
1rle,-9.067,-0.038,-6.429,-1.625,-1.328,1.742,32,6,10,0,7,6,0.800,5.8
1tnl,-6.500,-0.124,-6.462,-2.067,-0.249,1.072,46,1,2,0,8,0,1.000,1.88
1w1d,-9.076,-0.070,-7.187,-0.947,-1.826,0.804,5,1,21,0,2,4,0.833,6.52
1vwl,-7.133,-0.046,-8.237,-4.378,-0.249,1.608,52,3,0,0,12,0,0.524,5.63
1yid,-9.458,-0.054,-6.907,-2.071,-1.494,1.876,31,7,11,0,13,1,1.000,5
1tnj,-6.472,-0.137,-6.452,-1.840,-0.332,0.938,37,2,2,0,7,0,1.000,1.96
1fj4,-7.474,-0.112,-6.785,-2.741,-0.166,1.340,78,0,2,0,9,1,1.000,4.59
6tim,-7.254,-0.091,-6.126,-0.697,-0.747,0.536,17,8,1,0,3,1,1.000,3.21
2fzz,-9.999,-0.093,-9.225,-5.953,-0.332,2.278,135,4,0,0,16,1,0.968,10.52
1jn2,-5.083,-0.036,-6.403,-1.823,-0.166,0.804,12,1,1,0,3,3,0.455,4.09
1fdq,-7.666,-0.162,-9.117,-4.371,-0.332,0.804,71,0,4,0,6,0,1.000,7.27
1fwv,-6.610,-0.011,-5.677,-1.384,-0.415,1.340,22,5,0,0,9,1,0.300,3.72
1n1t,-8.072,-0.132,-7.865,-2.021,-1.162,0.536,26,5,9,0,4,0,1.000,3.85
2i0g,-7.385,-0.193,-9.278,-4.028,-0.166,0.134,68,2,0,0,1,0,1.000,9.72
1rgk,-7.657,-0.084,-7.153,-2.279,-0.996,1.340,23,3,9,0,9,1,1.000,4.31
1d5r,-7.643,-0.123,-6.448,-0.936,-0.830,0.536,19,6,4,0,4,0,1.000,1.82
9abp,-7.519,-0.153,-7.055,-1.409,-0.830,0.402,28,8,2,0,2,1,1.000,8
1oai,-7.770,-0.052,-8.654,-4.795,-0.249,1.608,78,3,0,0,11,1,0.659,5
1fwu,-6.849,-0.038,-6.726,-2.082,-0.498,1.072,29,6,0,0,7,1,0.400,3.7
1hqg,-6.091,-0.134,-6.423,-0.892,-0.581,0.268,12,2,5,0,2,0,1.000,3
8abp,-7.664,-0.158,-7.117,-1.388,-0.913,0.402,28,9,2,0,3,0,1.000,8
1mmp,-8.766,-0.123,-9.147,-4.490,-0.913,1.474,58,5,6,0,10,1,0.880,6.07
2ivu,-7.836,-0.103,-8.294,-4.333,-0.083,1.340,86,1,0,0,9,1,0.909,6.43
1jt1,-5.762,-0.100,-6.613,-2.250,-0.083,0.938,40,0,1,0,5,2,1.000,3.4
1vja,-9.574,-0.110,-8.851,-4.111,-0.996,1.474,72,8,4,0,10,1,1.000,7.7
2f8i,-5.672,-0.140,-8.008,-3.160,-0.166,0.536,30,0,2,0,4,0,1.000,7.26
830c,-8.343,-0.110,-8.307,-4.065,-0.498,1.474,66,6,0,0,11,0,1.000,9.28
1af6,-9.017,-0.137,-8.379,-2.503,-1.328,0.670,39,14,2,0,3,2,0.917,1.82
1q63,-7.286,-0.126,-7.737,-3.010,-0.581,1.072,44,7,0,0,6,2,1.000,5.85
1w7x,-10.338,-0.130,-10.418,-6.112,-0.830,1.742,113,9,1,0,13,0,0.968,8.4
1mhw,-8.736,-0.084,-9.652,-6.029,-0.415,2.010,93,5,0,0,11,4,0.750,7.35
1jd5,-9.586,-0.069,-9.696,-4.988,-0.830,1.340,78,7,3,0,8,2,0.733,6.62
1uxb,-6.159,-0.033,-6.269,-1.791,-0.332,1.072,28,2,2,0,6,2,0.529,2.15
1icj,-7.139,-0.037,-6.249,-3.679,-0.166,2.814,53,2,0,0,18,3,0.944,2.22
1obx,-7.131,-0.103,-8.615,-3.652,-0.415,0.670,47,4,1,0,4,1,0.762,5.72
