name,average_score,HPSCORE,HMSCORE,HSSCORE,xscore_VDW,xscore_HB,xscore_HP,score_HM,xscore_HS,xscore_RT,affinity
1h23,7.78,8.00,8.13,7.22,878.5,2.0,205.6,5.94,394.6,15.0,8.35
3b1m,7.90,7.93,8.40,7.37,776.5,0.0,180.7,5.47,325.2,4.0,8.48
4jxs,5.94,5.75,6.31,5.75,446.5,6.1,41.7,1.66,116.7,3.0,4.74
2pog,7.19,7.23,7.57,6.77,555.3,2.7,164.4,4.15,277.4,1.0,9.54
1bcu,5.37,5.31,5.22,5.58,385.1,1.1,30.3,0.00,157.2,0.0,3.28
3d6q,4.88,4.72,5.23,4.68,322.5,2.4,5.0,1.07,37.9,3.0,3.76
3twp,4.80,4.73,4.98,4.70,228.9,1.2,33.7,0.97,91.2,0.0,3.92
3myg,6.36,6.04,6.77,6.28,610.7,1.6,34.5,2.54,186.6,4.0,10.7
3coy,7.19,7.01,7.53,7.05,803.1,7.1,37.4,1.58,132.5,6.0,6.02
4qac,7.56,7.64,7.93,7.11,697.9,1.6,146.6,3.65,219.5,0.0,9.4
4crc,7.76,7.45,7.98,7.86,845.6,2.9,72.4,2.64,302.1,3.0,8.72
3u8k,5.66,5.56,5.91,5.50,467.5,2.0,29.8,1.22,85.9,2.0,8.66
4k18,6.98,6.87,7.57,6.51,643.1,1.1,103.0,3.92,178.1,2.0,8.96
3g2z,4.76,4.63,4.96,4.68,214.7,3.0,18.5,0.60,68.3,0.0,2.36
2yge,6.39,6.25,6.73,6.19,617.5,1.8,60.9,2.58,177.2,5.0,5.06
4w9l,7.63,7.23,8.66,7.01,732.3,4.1,117.9,6.25,269.8,7.0,5.02
2cet,6.62,6.42,7.04,6.40,590.9,7.3,51.8,1.98,135.7,4.0,8.02
2ymd,5.98,6.02,6.25,5.68,437.8,5.0,75.2,1.60,104.8,2.0,3.16
3f3a,5.91,5.90,6.19,5.65,450.1,3.6,71.4,1.94,131.5,3.0,4.19
4lzs,5.51,5.43,5.65,5.45,331.4,2.1,68.0,1.65,182.1,1.0,4.8
3ozs,7.22,7.27,7.34,7.04,846.6,6.4,37.3,0.34,54.5,4.0,5.33
2xys,6.84,6.95,7.15,6.41,571.0,0.0,135.8,3.36,199.0,0.0,7.42
1c5z,5.08,4.99,5.04,5.21,296.5,2.9,23.2,0.00,121.0,0.0,4.01
3nw9,8.25,8.16,8.63,7.95,957.2,5.5,93.3,2.74,188.2,4.0,9
1z9g,5.43,5.42,5.56,5.32,393.2,2.6,63.2,1.64,169.2,5.0,5.64
5c1w,5.49,5.33,5.64,5.50,289.9,0.0,87.7,2.61,274.5,1.0,5.06
2iwx,6.22,6.02,6.46,6.17,476.3,1.4,66.9,2.19,209.8,0.0,6.68
1vso,5.63,5.45,5.92,5.52,390.0,7.5,45.9,1.58,155.4,6.0,4.72
4de2,5.92,5.88,5.82,6.06,507.1,4.2,33.8,0.00,144.5,2.0,4.12
3oe4,7.31,7.33,7.49,7.12,843.6,7.9,36.9,0.34,50.4,4.0,7.47
4llx,4.90,4.76,4.96,4.99,218.3,1.8,39.1,0.87,164.8,0.0,2.89
4pcs,5.77,5.46,6.34,5.50,365.8,4.3,43.0,2.51,121.4,1.0,7.85
4tmn,5.77,5.46,6.34,5.50,365.8,4.3,43.0,2.51,121.4,1.0,10.17
5a7b,6.24,5.96,7.08,5.70,597.0,0.0,61.6,4.66,152.3,7.0,3.57
2vkm,8.91,9.11,8.84,8.77,1159.5,3.7,159.9,3.18,358.3,10.0,8.74
4kzu,7.00,6.97,7.14,6.90,583.2,1.6,122.9,2.78,281.2,0.0,6.5
4f3c,6.82,7.02,6.93,6.52,729.4,4.9,91.7,1.63,137.9,7.0,11.82
1owh,5.98,5.89,5.85,6.20,500.7,3.7,34.0,0.00,171.3,1.0,7.4
4f9w,7.23,7.14,7.97,6.57,581.4,2.0,140.1,4.85,192.9,0.0,6.94
1qkt,7.07,7.11,7.43,6.67,522.7,1.5,166.4,4.18,284.1,0.0,9.04
1mq6,7.35,7.16,7.48,7.41,814.1,0.7,66.9,2.26,261.2,3.0,11.15
4owm,4.72,4.73,4.72,4.70,253.8,0.3,29.2,0.30,83.4,0.0,2.96
1o0h,5.34,5.30,5.57,5.17,447.0,6.9,0.0,0.00,0.0,5.0,5.92
3dx2,5.26,5.15,5.51,5.11,362.5,5.8,0.0,0.00,0.0,1.0,6.82
4m0z,7.36,7.34,7.78,6.95,688.1,5.4,101.1,2.61,139.6,1.0,5.19
3gy4,5.21,5.11,5.26,5.27,322.5,4.0,17.9,0.00,89.5,0.0,5.1
4cra,7.46,7.14,7.97,7.27,783.8,3.5,75.3,3.62,250.3,5.0,7.22
3n76,7.06,7.14,7.10,6.94,686.3,6.7,92.7,1.28,184.8,4.0,6.85
4j21,7.19,7.10,7.60,6.86,578.7,2.5,134.0,3.80,260.0,0.0,7.41
2zb1,7.72,7.59,8.06,7.50,683.2,1.2,163.1,4.73,382.5,2.0,6.32
3b68,8.06,8.08,8.31,7.79,872.6,3.0,136.5,3.45,279.3,4.0,8.4
4bkt,5.27,5.23,5.40,5.18,382.2,3.0,31.2,0.76,93.2,3.0,3.62
3b27,5.65,5.47,6.01,5.48,367.5,0.8,63.7,2.56,178.7,1.0,5.16
4mme,6.90,6.66,7.53,6.52,565.0,1.6,104.5,4.25,226.1,1.0,6.5
3arp,7.14,7.05,7.76,6.62,652.4,0.0,171.7,6.35,372.9,9.0,7.15
4e5w,6.82,6.59,7.11,6.77,708.9,2.0,43.2,2.05,181.6,3.0,7.66
3fcq,5.26,5.10,5.20,5.48,337.1,2.6,32.5,0.56,198.8,2.0,2.77
3b5r,7.50,7.49,7.87,7.14,764.5,1.6,127.6,3.80,248.1,4.0,8.77
