name,Gold.Goldscore.Fitness,Gold.Goldscore.Internal.Vdw,Gold.Goldscore.Internal.Torsion,Gold.Goldscore.External.Vdw,Gold.Goldscore.Internal.HBond,Gold.Goldscore.External.HBond,affinity
2qmj,42.5008,-27.3032,-19.4703,40.3655,0.0000,33.7718,4.21
2jdy,54.2295,-2.8239,-0.6762,17.0268,0.0000,34.3176,4.37
1n2v,40.5910,0.2429,-0.3924,27.5431,0.0000,2.8687,4.08
1qi0,34.8057,-7.5319,-4.1195,23.7193,0.0000,13.8430,2.35
1lor,103.6238,-2.5800,-3.2825,40.4238,0.0000,53.9037,11.06
3e93,86.9759,-4.8224,-6.6945,67.0067,0.0000,6.3585,8.85
2qbp,75.4190,0.7301,-22.0394,54.9392,0.0000,21.1870,8.4
3fcq,48.8317,1.7192,-7.8221,24.1119,0.0000,21.7808,2.77
2xbv,83.5334,-0.8467,-11.3425,68.4443,0.0000,1.6116,8.43
2x00,65.6420,-7.2666,-3.3245,55.1361,0.0000,0.4210,11.33
3mss,37.8458,-2.2883,-1.9541,30.6096,0.0000,0.0000,4.66
1o3f,46.3627,-7.1708,-5.8634,35.4383,0.0000,10.6693,7.96
3kgp,25.9556,-3.5098,-0.7403,21.4610,0.0000,0.6968,2.57
2yki,89.3581,0.0206,-4.3768,66.2718,0.0000,2.5906,9.46
2xdl,31.6631,-3.3602,-9.9885,32.1489,0.0000,0.8071,3.1
2weg,35.9604,0.7052,-3.0110,21.7972,0.0000,8.2951,6.5
2cet,75.1031,-2.7347,-3.3241,39.1526,0.0000,27.3271,8.02
3f3e,58.3116,-2.8482,-1.2749,29.1690,0.0000,22.3274,7.7
3dd0,46.0469,1.0978,-4.5600,28.7356,0.0000,9.9976,9
3pww,93.9713,-7.0088,-10.3071,65.8995,0.0000,20.6753,7.32
2iwx,51.9009,-1.5113,-0.0070,33.6058,0.0000,7.2111,6.68
3g2n,48.8943,-5.4630,-4.5182,36.5617,0.0000,8.6032,4.09
1sqa,52.5277,-2.7325,-12.9314,44.6509,0.0000,6.7966,9.21
3g2z,10.1623,-6.2872,-5.3777,14.4198,0.0000,2.0000,2.36
1q8u,51.0681,-0.2835,-3.9264,37.8485,0.0000,3.2363,5.96
3myg,56.9391,-10.2882,-5.5532,51.5851,0.0000,1.8509,10.7
3nw9,100.1091,-9.5776,-8.0083,71.9791,0.0000,18.7238,9
1oyt,75.9162,-2.6851,-2.7699,48.2081,0.0000,15.0850,7.24
3ejr,78.4535,-12.1453,-6.5968,44.7288,0.0000,35.6933,8.57
1uto,27.4053,-2.2237,-0.5017,20.8425,0.0000,1.4723,2.27
3jvs,37.2015,1.6218,-22.3971,41.0679,0.0000,1.5084,6.54
1r5y,59.9564,-0.0000,-0.0000,30.5893,0.0000,17.8961,6.46
2j78,47.4671,-4.6806,-3.9717,27.0547,0.0000,18.9192,6.42
3zsx,57.1227,-5.6920,-6.1996,43.2977,0.0000,9.4799,3.28
2v7a,65.5097,-0.8155,-7.4006,48.5417,0.0000,6.9810,8.3
3cyx,105.1036,-5.4878,-8.8853,78.4584,0.0000,11.5964,8
2ymd,61.8374,-3.1419,-1.0443,37.2196,0.0000,14.8466,3.16
3fv1,80.9797,-14.0988,-6.7950,46.0900,0.0000,38.4998,9.3
3zso,60.2192,-0.4457,-14.7220,50.0648,0.0000,6.5479,5.12
3ebp,44.5296,-3.3945,-5.9165,39.1568,0.0000,0.0000,5.91
1bcu,39.8313,-0.0000,-0.0000,26.4816,0.0000,3.4191,3.28
3g0w,67.7695,-0.1584,-1.3357,49.1170,0.0000,1.7276,9.52
2hb1,47.9307,-2.3315,-12.7875,29.5510,0.0000,22.4172,3.8
3ivg,65.7641,-7.5907,-8.3854,51.9925,0.0000,10.2505,4.3
2xys,61.4253,0.2678,-1.0494,43.6581,0.0000,2.1769,7.42
2wtv,65.9999,1.3967,-4.9073,49.0215,0.0000,2.1060,8.74
2zcq,92.5899,-0.2291,-4.7754,42.7533,0.0000,38.8086,8.82
1w4o,36.2113,-3.2651,-2.0648,26.2225,0.0000,5.4853,5.22
1gpk,47.3120,-6.8429,-1.3212,37.7587,0.0000,3.5580,5.37
3pxf,23.9528,-5.7737,-7.8945,27.2656,0.0000,0.1307,4.43
1p1q,79.9131,-0.2836,-2.1057,30.4728,0.0000,40.4024,4.89
4djv,78.2486,-0.0571,-2.9612,41.9114,0.0000,23.6387,6.72
3gnw,73.9133,-1.4825,-8.4835,58.2817,0.0000,3.7420,9.1
3ozt,90.1700,-11.9951,-8.5083,55.6932,0.0000,34.0952,4.13
3lka,29.8301,-0.5659,-3.2480,21.5006,0.0000,4.0807,2.82
1nvq,74.4239,-4.3265,-3.9964,54.0211,0.0000,8.4677,8.25
3d4z,58.9682,-5.0453,-1.9156,28.5106,0.0000,26.7270,4.89
2wbg,70.6948,-6.9016,-2.9223,43.6461,0.0000,20.5054,4.45
3acw,52.3798,-6.8540,-1.2112,41.4252,0.0000,3.4852,4.76
3gy4,40.6105,-2.4910,-1.3715,24.5487,0.0000,10.7185,5.1
3ao4,50.1336,-0.1939,-1.4456,35.8045,0.0000,2.5419,2.07
3ueu,33.6811,-5.1103,-2.6211,30.1182,0.0000,0.0000,5.24
2fvd,59.2422,-3.6062,-9.6612,50.0132,0.0000,3.7413,8.52
3l7b,42.3908,-4.0689,-0.9085,33.5926,0.0000,1.1784,2.4
2wca,46.1516,-10.5862,-9.7460,36.8999,0.0000,15.7464,5.6
1h23,62.5211,-24.6635,-9.6450,69.3736,0.0000,1.4409,8.35
3ag9,58.9439,-25.5622,-29.5565,62.6977,0.0000,27.8533,8.05
3coy,82.5949,-6.6640,-6.9639,57.5596,0.0000,17.0783,6.02
1q8t,35.3456,-5.2665,-2.9501,30.4198,0.0000,1.7351,4.76
3n7a,43.3286,-4.8281,-1.6786,26.1162,0.0000,13.9257,3.7
2yge,18.8826,-19.9737,-19.4752,41.2809,0.0000,1.5704,5.06
1z95,60.9080,-7.3329,-8.1620,54.0287,0.0000,2.1134,7.12
3utu,93.1097,-9.6342,-13.3309,74.9461,0.0000,13.0239,10.92
4de1,44.4192,-3.7945,-3.1801,34.7453,0.0000,3.6189,5.96
3ehy,42.0199,3.1532,-5.9435,29.7363,0.0000,3.9228,5.85
2xnb,64.3422,-1.6040,-6.7867,46.5666,0.0000,8.7039,6.83
3f3c,58.5771,-4.2537,-1.5296,31.1002,0.0000,21.5977,6.02
3uo4,63.3675,1.7983,-7.9783,47.6140,0.0000,4.0783,6.52
2zcr,85.4893,-0.4874,-4.8421,49.6688,0.0000,22.5242,6.87
3uex,45.0187,-16.4230,-7.8569,43.1262,0.0000,10.0000,6.92
3n86,52.8905,-27.9695,-4.6401,53.6257,0.0000,11.7647,5.64
3udh,57.6337,-0.0000,-0.0000,26.3232,0.0000,21.4393,2.85
3dxg,19.7897,-0.4456,-1.3234,14.2786,0.0000,1.9256,2.4
2qbr,66.4750,1.0917,-17.4411,44.8869,0.0000,21.1049,6.33
3ge7,105.4543,-4.6935,-2.6969,57.9326,0.0000,33.1873,8.7
2p4y,82.1938,6.6944,-13.6395,61.4925,0.0000,4.5867,9
1ps3,45.6194,-7.2012,-1.7246,28.3499,0.0000,15.5642,2.28
1a30,48.3541,-4.2422,-9.7158,35.6607,0.0000,13.2787,4.3
1e66,77.4151,-0.6117,-0.0425,53.5232,0.0000,4.4750,9.89
1vso,86.9603,2.0257,-2.2558,31.2515,0.0000,44.2196,4.72
3uri,84.1083,-11.9809,-20.6609,69.8604,0.0000,20.6920,9
4de2,42.6355,-7.5370,-3.6187,37.4131,0.0000,2.3481,4.12
1o5b,48.7810,-5.8002,-0.0019,33.0767,0.0000,9.1027,5.77
3gbb,78.6047,-8.6523,-3.6341,38.2035,0.0000,38.3613,6.9
3f3a,62.2420,0.1588,-1.5619,35.1545,0.0000,15.3077,4.19
1mq6,85.2763,0.3817,-10.6578,67.6307,0.0000,2.5603,11.15
4tmn,87.4719,-6.7794,-5.7165,60.3461,0.0000,16.9919,10.17
2vvn,54.5517,-5.1052,-4.0984,41.9743,0.0000,6.0407,7.3
3u9q,36.5500,-5.6820,-5.8236,32.7971,0.0000,2.9596,4.38
2y5h,80.9701,-2.6353,-1.0151,52.2909,0.0000,12.7206,5.79
4gid,110.0409,-20.8963,-14.8996,97.8983,0.0000,11.2266,10.77
3k5v,43.3745,-3.3837,-4.7920,37.4911,0.0000,0.0000,6.3
1u1b,73.1841,6.4682,-11.1142,50.6887,0.0000,8.1331,7.8
2yfe,49.9824,-5.6583,-7.0782,44.1370,0.0000,2.0306,6.63
3oe5,97.7689,-13.5460,-7.6528,61.0752,0.0000,34.9893,6.88
2w66,54.3341,-10.4030,-7.3778,37.2014,0.0000,20.9630,4.05
2xb8,72.0779,-8.4486,-4.7229,45.1776,0.0000,23.1301,7.59
1yc1,62.9619,2.6692,-4.8773,41.6951,0.0000,7.8392,6.17
2brb,42.7219,-1.7019,-7.3771,37.2797,0.0000,0.5415,4.86
3b68,65.3665,-11.4593,-8.3120,60.3952,0.0000,2.0944,8.4
2vw5,57.1151,-5.6393,-4.6120,45.6829,0.0000,4.5523,8.52
2v00,44.6314,-1.2728,-1.1012,26.6546,0.0000,10.3552,3.66
3fk1,75.9547,-6.7465,-3.0379,19.3254,0.0000,59.1666,2.62
2x8z,59.6779,1.8827,-3.1705,28.2286,0.0000,22.1513,7.96
3pe2,72.2826,-1.9906,-1.3517,47.4792,0.0000,10.3410,9.76
3l3n,97.1993,-13.2015,-10.4111,50.7179,0.0000,51.0748,8.18
2pcp,54.1768,-8.1340,-1.6633,42.8877,0.0000,5.0035,8.7
2qft,82.9265,-4.6853,-3.3326,22.4989,0.0000,60.0085,5.26
2d1o,63.7344,-16.5689,-13.6814,57.4648,0.0000,14.9706,7.7
3su3,103.1646,1.0185,-5.8802,70.9837,0.0000,10.4238,9.13
3b3w,49.2698,-4.2351,-3.0974,21.1921,0.0000,27.4632,4.19
2g70,57.5560,-1.9508,-1.9526,35.4522,0.0000,12.7127,7.77
3bpc,55.1545,-5.4413,-5.1534,23.0377,0.0000,34.0725,4.8
4gqq,25.4429,-5.9566,-2.8855,20.2616,0.0000,6.4253,2.89
3i3b,40.2988,-6.0561,-3.3481,24.8834,0.0000,15.4884,2.23
2d3u,47.9636,1.1032,-13.2620,42.5205,0.0000,1.6567,6.92
1hnn,56.1036,-0.5915,-3.0290,32.9351,0.0000,14.4383,6.24
2jdm,53.1713,-3.4919,-2.5517,15.2968,0.0000,38.1817,5.4
4des,36.3855,-1.3041,-4.8490,30.9372,0.0000,0.0000,5.85
1lbk,62.1981,-2.0685,-4.8108,30.9512,0.0000,26.5195,3.18
2jdu,56.0001,-3.0805,-0.6055,17.1230,0.0000,36.1420,6.72
1lol,59.2613,-0.4118,-5.5475,30.2352,0.0000,23.6473,6.39
2vo5,47.4381,-16.6810,-6.4973,35.9231,0.0000,21.2222,4.89
1os0,84.1136,-6.4654,-6.5845,55.8546,0.0000,20.3634,6.03
3l4w,45.3939,-12.5177,-5.8550,29.3240,0.0000,23.4462,6
3b3s,23.1299,-8.5548,-3.7161,17.2817,0.0000,11.6384,2.55
3f17,54.8720,1.6584,-5.4464,40.4811,0.0000,2.9985,8.63
1w3l,60.8614,-12.1439,-8.6550,44.3135,0.0000,20.7292,6.28
3muz,40.1125,-5.6314,-3.3808,26.3887,0.0000,12.8403,3.46
3ov1,78.0511,4.0148,-7.0951,42.7269,0.0000,22.3820,5.2
3vh9,42.2002,0.0677,-1.8593,21.9231,0.0000,13.8476,6.24
1u33,54.5644,-15.8347,-17.4597,48.7632,0.0000,20.8095,4.6
3su5,99.1172,1.4760,-6.0144,67.8708,0.0000,10.3333,5.58
3nox,63.8273,1.5686,-13.2996,42.3267,0.0000,17.3591,8.66
1n1m,36.3684,-2.1518,-10.8299,27.3009,0.0000,11.8114,5.7
2obf,80.4417,0.2676,-4.7691,56.8803,0.0000,6.7329,8.85
1w3k,48.8123,-7.4876,-4.8412,31.5295,0.0000,17.7881,4.3
2vot,68.5832,-5.6927,-9.4141,42.0061,0.0000,25.9317,7.14
2zwz,60.6915,-5.9660,-2.5026,30.4359,0.0000,27.3108,7.79
2vl4,51.5632,-6.0590,-4.1587,29.1457,0.0000,21.7056,6.01
2zx6,81.2926,-5.5389,-5.3830,49.7529,0.0000,23.8043,10.6
1kel,57.1562,-5.9491,-4.0132,40.7277,0.0000,11.1180,7.28
3su2,102.3054,2.4547,-4.4964,68.2246,0.0000,10.5383,7.35
2xy9,83.3776,-23.4579,-15.1057,77.3294,0.0000,15.6132,9.19
3l4u,54.1150,-9.5815,-7.0060,33.4567,0.0000,24.6995,7.52
2cbj,58.3160,-3.9534,-6.8178,39.0420,0.0000,15.4044,8.27
3bfu,72.4988,-1.7764,-2.4326,32.1896,0.0000,32.4471,6.27
3mfv,35.6959,-5.1060,-3.9249,21.6263,0.0000,14.9906,2.52
3nq3,33.0476,-4.4478,-2.0488,28.7595,0.0000,0.0000,3.78
2zjw,29.5184,-4.7414,-2.3912,26.4277,0.0000,0.3129,7.7
2ole,26.7906,-16.5945,-22.9795,33.5856,0.0000,20.1844,7.25
3gcs,76.6777,-2.5115,-6.4097,54.4490,0.0000,10.7315,7.25
3kv2,53.3523,-5.7798,-2.6524,22.3045,0.0000,31.1159,7.32
2gss,26.5331,-0.8943,-6.6148,22.4444,0.0000,3.1811,4.94
1jyq,135.2154,-0.5780,-16.4854,69.7426,0.0000,56.3827,8.7
1igj,39.0398,-9.3039,-5.3630,39.0594,0.0000,0.0000,10
3owj,33.8616,-11.4783,-1.0415,32.7966,0.0000,1.2861,6.07
3s8o,79.8981,2.1876,-7.1992,45.7455,0.0000,22.0097,6.85
1zea,54.2481,-15.2932,-18.3823,54.7999,0.0000,12.5737,5.22
2r23,55.0790,-3.2649,-8.1199,26.6455,0.0000,29.8263,3.72
1f8c,79.1469,-4.0480,-6.0376,28.3789,0.0000,50.2116,7.4
2zxd,45.9299,-8.0090,-3.3585,28.9009,0.0000,17.5586,5.22
4g8m,40.7275,-25.9936,-7.9385,27.3378,0.0000,37.0702,7.89
