name,Gold.Goldscore.Fitness,Gold.Goldscore.Internal.Vdw,Gold.Goldscore.Internal.Torsion,Gold.Goldscore.External.Vdw,Gold.Goldscore.Internal.HBond,Gold.Goldscore.External.HBond,affinity
1g3b,9.7236,-28.1937,-5.9507,24.8986,0.0000,9.6325,5.74
1byk,56.3582,-23.3894,-10.1645,41.3166,0.0000,33.1018,5
1oko,31.2961,-7.0849,-1.2988,15.9684,0.0000,17.7233,4.54
3lk1,8.1592,-0.6773,-1.1576,7.2684,0.0000,0.0000,4.26
223l,24.0879,-0.0000,-0.0000,17.5185,0.0000,0.0000,3.4
1n7m,61.4755,-3.0213,-19.3955,59.4453,0.0000,2.1551,5.71
2e7l,143.2087,-17.6947,-19.6128,122.7682,0.0000,11.7099,7.54
2er9,98.6043,-9.0267,-17.1799,76.9121,0.0000,19.0567,7.4
3kyg,48.0286,-3.0782,-1.7928,23.1978,0.0000,21.0026,7.46
2ieo,85.3548,5.6381,-8.3675,57.7329,0.0000,8.7015,8.49
4ea1,-6.3256,-42.5244,-8.4439,32.1702,0.0000,0.4087,6.44
3ds9,54.8201,-40.9912,-23.4667,65.2982,0.0000,29.4929,7.39
3bze,116.9782,-17.3180,-18.7469,103.1097,0.0000,11.2672,6
4as6,37.9096,-2.7086,-1.3756,26.1774,0.0000,6.0000,6.4
1icj,19.5056,-16.8078,-20.6125,40.8028,0.0000,0.8221,2.22
1obx,47.1754,-3.0196,-7.4141,33.7144,0.0000,11.2516,5.72
2yim,123.6534,-17.2256,-15.3243,90.1218,0.0000,32.2858,3.92
3ifo,119.0708,-4.9359,-18.2888,68.5758,0.0000,48.0038,7.26
2o1c,49.4828,1.0351,-3.0965,17.7213,0.0000,27.1774,4.72
1z3t,34.2827,-10.6818,-9.1755,31.1536,0.0000,11.3036,3.94
2wcg,39.3963,-7.0016,-2.6796,23.8124,0.0000,16.3355,6.38
2itk,73.8131,2.5495,-12.5980,50.2605,0.0000,14.7534,7.69
4e0w,67.7931,-3.3091,-5.6309,32.9949,0.0000,31.3652,7.48
1slg,-0.6876,-57.3019,-14.9579,49.4311,0.0000,3.6044,3.9
3bzi,78.8111,-9.0011,-12.4118,62.2103,0.0000,14.6848,5.74
3iqi,59.0314,-3.2971,-11.8346,39.8987,0.0000,19.3023,4.41
2wk2,74.3527,-13.9442,-15.2324,62.1837,0.0000,18.0268,6.82
4b9w,67.7267,-5.2632,-11.9517,55.8824,0.0000,8.1033,4.17
3m6p,62.0741,-8.4316,-5.8216,47.6189,0.0000,10.8513,8.35
1dqx,68.4557,-1.2624,-1.9695,39.6813,0.0000,17.1258,11.05
4f9v,55.5658,-1.9530,-7.4809,39.5425,0.0000,10.6288,6.03
2hs2,85.1316,3.1284,-9.6106,58.5095,0.0000,11.1633,8.31
3tg5,0.8075,-111.6255,-22.0084,80.1656,0.0000,24.2137,4.7
2f5t,70.7430,-12.1313,-7.5586,45.3654,0.0000,28.0554,5.17
1ofz,38.4924,-4.1840,-0.3726,19.0236,0.0000,16.8916,4.62
3tei,76.5706,0.2494,-6.3283,43.4748,0.0000,22.8717,6.3
2qoa,35.8234,0.8236,-3.3836,24.5064,0.0000,4.6872,7.28
2er6,60.3141,-31.8098,-19.4244,74.9579,0.0000,8.4811,7.22
1q95,115.4485,2.4903,-4.8273,37.2319,0.0000,66.5917,7.57
3dcs,47.9680,-0.0884,-5.5315,25.3079,0.0000,18.7895,7.94
4auy,50.8980,-7.8182,-8.4278,31.0640,0.0000,24.4310,7.74
3dnj,57.6112,-8.3398,-5.7565,42.0704,0.0000,13.8606,6.82
1g3c,22.6676,-17.2320,-5.0883,30.3803,0.0000,3.2151,5.8
1axz,30.3405,-6.4836,-2.0240,19.4001,0.0000,12.1728,3.2
3f9y,109.8321,-22.1486,-16.8688,89.0234,0.0000,26.4423,4.49
3dcw,55.6831,1.2857,-4.8226,29.4469,0.0000,18.7304,9
2qt5,75.6615,-3.0086,-8.1240,38.3180,0.0000,34.1069,5.03
2dua,32.9706,0.0757,-0.0853,8.5449,0.0000,21.2310,4.77
2j9n,39.3772,-2.4897,-1.9718,26.3446,0.0000,7.6149,4.7
1urg,32.8681,-13.9697,-9.8265,35.0610,0.0000,8.4554,5.82
3d20,92.9759,4.2950,-8.4078,64.3102,0.0000,8.6621,8.3
3lqj,66.0464,-24.3127,-13.3008,61.6278,0.0000,18.9217,5.37
1utc,86.2543,3.6787,-13.7571,61.6811,0.0000,11.5211,4.55
220l,23.9169,-0.0000,-0.0000,17.3941,0.0000,0.0000,3.4
3lzv,90.6716,1.3270,-8.7696,64.1520,0.0000,9.9051,10.59
3pb3,87.0153,-4.2669,-3.3970,46.5239,0.0000,30.7088,6.22
1sts,28.5318,-25.7251,-12.8013,47.3150,0.0000,2.0000,5
2qo8,39.3615,1.3773,-4.7491,29.0638,0.0000,2.7705,8.47
1bcj,18.1330,-4.9617,-3.3883,16.2765,0.0000,4.1029,3.7
1ze8,41.4509,-2.2551,-7.0561,33.7393,0.0000,4.3705,7.68
3uvx,64.3795,-9.3089,-12.0292,52.1617,0.0000,13.9953,4.34
1c2t,75.3918,-1.3123,-9.8096,46.2814,0.0000,22.8767,6.59
2rfy,36.0988,-10.6915,-4.5144,30.6795,0.0000,9.1205,5.22
4fbe,49.4922,-1.2504,-10.4890,37.1304,0.0000,10.1772,6.99
4afh,78.9061,-9.0348,-3.1128,63.9349,0.0000,3.1433,9.54
4fbx,44.8690,1.4153,-1.9128,32.9938,0.0000,0.0000,7.66
1ws5,34.3007,-4.7112,-1.4580,22.3040,0.0000,9.8019,3.03
3lik,89.6402,-5.3927,-9.6768,67.2540,0.0000,12.2355,8.72
1xr8,19.4148,-102.4981,-25.6123,88.7762,0.0000,25.4579,6.7
1b6m,96.3335,-12.7346,-7.3080,67.2396,0.0000,23.9216,8.4
1gz9,39.6172,-9.9290,-7.8541,31.2416,0.0000,14.4431,3.51
3lil,83.2494,-1.2129,-10.1703,59.8651,0.0000,12.3181,8.08
2rk7,51.3748,-1.7092,-0.5175,8.6185,0.0000,41.7510,4.05
3lqi,68.1950,-25.1740,-21.3071,70.1073,0.0000,18.2785,5.16
3iqj,72.3742,-15.2791,-15.7878,47.6829,0.0000,37.8771,4.93
2nnp,92.2642,-11.3226,-7.7090,72.9427,0.0000,10.9995,8.37
1gzc,30.4667,-7.1234,-5.2533,23.1051,0.0000,11.0738,3.49
3omc,44.5738,-18.2664,-16.2526,55.6117,0.0000,2.6268,5
1i8i,27.8727,-47.8286,-22.4471,58.8334,0.0000,17.2526,7.66
1gz3,88.2670,0.6221,-2.9761,45.7808,0.0000,27.6724,3.7
3eks,58.7891,-8.2172,-2.5277,48.8423,0.0000,2.3759,5.7
3ebb,29.4336,-5.4470,-8.0009,25.8898,0.0000,7.2830,5.3
1z3v,4.2343,-36.8678,-9.9708,30.9343,0.0000,8.5382,4.11
2z8e,24.7714,-5.6706,-3.1121,20.0481,0.0000,5.9878,8
3q5u,10.7692,-78.1292,-19.9484,58.8712,0.0000,27.8989,4.31
1db1,78.9364,-6.0062,-4.6019,58.2027,0.0000,9.5158,9.26
2nn8,36.1333,-8.6968,-4.3461,21.3049,0.0000,19.8821,3.59
3d1e,27.9726,-15.3371,-15.0606,35.3330,0.0000,9.7874,5.77
2y7k,31.4337,-0.7259,-2.8846,24.0957,0.0000,1.9127,4.93
2jdn,55.8131,-3.7948,-3.8573,16.5316,0.0000,40.7343,5.56
1jmi,69.0320,0.8100,-3.7826,32.6747,0.0000,27.0768,6.06
4f20,80.4217,-35.4317,-17.9025,84.5515,0.0000,17.4976,3.29
4aa1,81.4736,-6.7876,-10.6762,60.9710,0.0000,15.1022,4.12
3iqg,51.7343,-7.9523,-9.0076,40.5778,0.0000,12.8997,4.6
1ebg,89.6633,0.6995,-1.3207,19.0762,0.0000,64.0547,10.82
1z1r,84.8850,-5.9663,-8.0545,62.1208,0.0000,13.4897,9.22
3o6m,90.9967,-13.4093,-20.4633,63.1414,0.0000,38.0498,7.48
3iqh,50.4828,1.4458,-6.1746,33.8953,0.0000,8.6056,4.59
3nkx,80.9794,-29.6275,-21.2352,59.4543,0.0000,50.0924,5.12
4e49,23.9414,-0.8587,-1.9977,18.0615,0.0000,1.9634,5.11
3n0h,70.6782,-4.6316,-3.4177,42.3812,0.0000,20.4532,6.21
1udt,69.4114,2.5315,-7.7817,52.2530,0.0000,2.8137,9.3
4aph,45.7378,-46.1349,-17.1141,60.3196,0.0000,26.0475,5.4
4e3h,22.5743,-1.0187,-1.4355,16.8241,0.0000,1.8954,7.05
3oys,44.6462,-3.5092,-5.2727,29.9709,0.0000,12.2181,8.05
1h1p,50.4280,-0.5306,-1.7489,32.1966,0.0000,8.4372,4.92
3d3x,51.6860,-4.0441,-6.0467,34.0304,0.0000,14.9849,4.16
2xxw,58.5046,-6.8519,-5.8295,26.7600,0.0000,34.3910,6.41
1apw,75.9975,-2.9816,-9.4644,53.2384,0.0000,15.2407,8
2h6q,17.0720,-55.4659,-15.5487,56.4131,0.0000,10.5186,5.11
3eys,92.1617,-6.5621,-10.5966,62.6976,0.0000,23.1111,5.52
1wei,13.8644,-0.0000,-0.0000,9.6092,0.0000,0.6518,9
4e81,-15.0513,-60.8448,-23.1041,47.0077,0.0000,4.2620,5.24
2v86,32.9146,-46.2908,-20.4514,66.8036,0.0000,7.8018,4.46
2wp1,33.1543,-13.0498,-15.3056,43.6216,0.0000,1.5300,3.6
1eix,88.5937,-2.5180,-2.7291,36.4354,0.0000,43.7421,11.06
1ugw,34.4398,-7.8385,-4.5505,23.3001,0.0000,14.7910,3.09
3omg,37.4128,-11.6887,-15.0735,45.8778,0.0000,1.0930,4.72
2v7d,67.3199,-10.5496,-12.9901,40.7876,0.0000,34.7766,6.59
2yiv,24.7653,-2.2266,-1.7965,20.9370,0.0000,0.0000,2.78
1o2s,23.3284,-25.8412,-3.2527,28.9054,0.0000,12.6774,5.47
4av0,49.4998,-8.3755,-11.8337,36.1904,0.0000,19.9472,6.98
2avv,81.9680,-15.4281,-7.7965,72.8800,0.0000,4.9825,9.26
2cia,45.5750,-24.3047,-20.3823,46.1874,0.0000,26.7543,6.43
1owh,50.9543,-5.7573,-5.8237,37.3503,0.0000,11.1787,7.4
3rr4,74.1801,-1.7128,-2.2463,41.0833,0.0000,21.6496,4.55
3gv9,27.5914,1.1242,-1.4596,17.9438,0.0000,3.2541,2.12
2wnc,60.8034,-2.0601,-2.0021,43.2473,0.0000,5.4006,6.32
2xii,77.3094,-5.8058,-5.8260,46.7140,0.0000,24.7094,7.2
3gc5,97.5656,-1.6117,-1.6204,47.3027,0.0000,35.7566,7.26
3pyy,57.5039,2.5518,-3.6272,41.1486,0.0000,2.0000,6.86
3prs,93.4321,-2.0020,-10.2766,70.2019,0.0000,9.1831,7.82
3nx7,41.2447,1.2831,-7.3550,31.8587,0.0000,3.5109,8.1
3dx1,47.4832,-6.9796,-3.0580,21.4596,0.0000,28.0139,3.58
3f3d,63.6407,-0.8432,-2.7246,30.9182,0.0000,24.6960,7.16
2j7h,41.1707,-4.4827,-3.8428,24.2813,0.0000,16.1094,7.19
3ui7,51.4909,0.5646,-3.3978,38.5030,0.0000,1.3824,9
2zda,86.8846,-1.1613,-5.9083,53.6723,0.0000,20.1548,8.4
1ydt,57.4783,-12.2099,-7.3021,53.9488,0.0000,2.8106,7.32
3uuo,43.3094,3.3734,-9.1079,32.2312,0.0000,4.7260,7.96
1syi,97.0572,-0.6362,-1.8770,40.2420,0.0000,44.2377,5.44
3fv2,84.8576,-11.8748,-4.6390,39.7295,0.0000,46.7433,8.11
3p5o,57.0000,-0.0846,-3.5096,43.2366,0.0000,1.1438,7.3
2wer,56.5700,-0.5793,-0.0873,36.5174,0.0000,7.0252,7.05
1bzc,80.1873,-0.4208,-5.7027,49.3207,0.0000,18.4947,4.92
1eby,97.9993,2.2099,-11.1392,71.9394,0.0000,8.0120,9.7
1p1n,35.8323,-28.4954,-5.6069,31.4736,0.0000,26.6583,6.8
3d6q,15.5291,-6.4175,-2.7433,16.6050,0.0000,1.8580,3.76
5tmn,72.0390,-6.1852,-6.8758,49.0816,0.0000,17.6128,8.04
3gr2,24.6329,1.3699,-2.8081,16.8480,0.0000,2.9050,2.52
3e92,82.8967,2.0932,-5.5181,57.9419,0.0000,6.6515,8
2vkm,116.2526,-8.4410,-16.9327,95.0823,0.0000,10.8882,8.74
1z9g,58.6673,-3.2087,-3.2370,32.3329,0.0000,20.6552,5.64
3dx2,61.0347,-5.0883,-2.3957,28.6045,0.0000,29.1876,6.82
3n76,65.6465,-14.6701,-8.4190,51.6060,0.0000,17.7775,6.85
3kr8,64.6672,-0.3781,-0.9367,45.7427,0.0000,3.0859,8.1
4eo8,62.7972,4.5928,-2.7487,40.4884,0.0000,5.2816,8.15
2zy1,66.6422,-0.4896,-4.2016,42.7133,0.0000,12.6026,7.4
3bgz,58.3285,1.0748,-2.2418,38.5594,0.0000,6.4764,6.26
1ydr,44.9132,-3.6901,-3.5670,36.5869,0.0000,1.8633,5.52
2pog,60.1035,-1.1271,-1.1264,37.0353,0.0000,11.4335,9.54
3e5a,71.8917,-10.2563,-4.0233,56.0767,0.0000,9.0659,8.23
3cj4,50.5065,-0.0460,-11.0564,39.1741,0.0000,7.7445,6.51
3rsx,43.9946,-0.3735,-2.5413,29.6322,0.0000,6.1651,4.41
2qbq,65.2227,-5.1392,-20.3562,49.2546,0.0000,22.9929,7.44
3qgy,62.7378,1.4700,-3.5463,45.0431,0.0000,2.8798,7.8
2cbv,46.8970,-3.7129,-0.7769,22.2322,0.0000,20.8175,5.48
2p15,81.0555,-8.0587,-2.6895,58.7246,0.0000,11.0575,10.3
1z6e,67.8727,-0.9278,-17.8016,61.1638,0.0000,2.5018,9.72
1k1i,61.7625,-6.1059,-9.6793,45.1579,0.0000,15.4557,6.58
2w4x,32.4359,-11.1307,-7.5331,26.9627,0.0000,14.0259,4.85
3uev,34.4910,-8.5666,-3.2197,33.6563,0.0000,0.0000,5.89
1s38,64.1809,0.2784,-0.3596,32.4782,0.0000,19.6045,5.15
3ryj,32.7133,-1.3331,-6.3872,20.5732,0.0000,12.1455,7.8
4agq,56.0798,-6.6523,-5.5453,49.6563,0.0000,0.0000,5.01
3nq9,13.9203,-4.1179,-2.6281,15.0301,0.0000,0.0000,4.03
3u5j,48.6534,-0.1120,-1.3468,35.7597,0.0000,0.9426,5.61
3up2,63.3212,2.2198,-9.0418,46.1676,0.0000,6.6627,7.4
3syr,50.4677,-5.3360,-1.6479,33.4937,0.0000,11.3978,5.1
1nc1,73.0818,0.5861,-2.0547,45.7860,0.0000,11.5946,6.12
1pxn,58.2308,-1.7330,-4.3369,45.0504,0.0000,2.3563,7.15
3zt2,50.9404,0.9967,-6.2071,35.0443,0.0000,7.9648,2.84
1nc3,74.9371,-2.7310,-2.6116,41.5997,0.0000,23.0801,5
3rlr,65.6105,4.0262,-5.0823,43.2490,0.0000,7.1993,7.52
4de3,39.6018,-5.0908,-3.2459,33.3092,0.0000,2.1383,5.52
3b65,74.7038,-4.5993,-5.7896,60.4708,0.0000,1.9453,9.27
4hge,52.7289,1.5599,-7.7014,41.6563,0.0000,1.5930,7.92
3uew,37.1781,-11.5642,-7.2572,34.0390,0.0000,9.1959,6.31
4agp,56.6078,-5.7906,-3.3427,47.6752,0.0000,0.1877,4.69
1h22,64.1689,-15.0510,-11.1445,64.2436,0.0000,2.0294,9.1
3bv9,39.9342,-14.2659,-19.7360,53.4428,0.0000,0.4522,5.36
2wn9,50.7160,-0.2400,-8.1730,34.2756,0.0000,12.0000,8.52
2qnq,95.8144,11.6452,-12.2281,63.4332,0.0000,9.1767,6.11
1qkt,59.3361,-3.9171,-0.4666,37.6409,0.0000,11.9636,9.04
1lpg,97.8470,-14.8519,-7.8667,71.2238,0.0000,22.6328,7.09
1gpn,55.9176,-0.1155,-0.0055,40.7553,0.0000,0.0000,6.48
4eky,56.0090,-13.0265,-2.2465,44.4232,0.0000,10.2002,3.52
1qf1,77.5834,-2.4289,-6.9099,51.3935,0.0000,16.2561,7.32
3b27,43.5839,1.7389,-2.5297,30.3798,0.0000,2.6024,5.16
3coz,91.5525,-2.0111,-7.9921,53.3659,0.0000,28.1776,5.57
3b1m,66.8474,-4.6568,-7.7517,57.6407,0.0000,0.0000,8.48
2wvt,38.4000,-15.8674,-7.2355,27.9304,0.0000,23.0985,6.12
3b5r,70.4256,-1.3182,-4.6958,54.0022,0.0000,2.1867,8.77
2br1,39.2243,-3.7219,-11.8907,39.2450,0.0000,0.8750,5.14
2xj7,47.6518,-10.1300,-6.7785,38.2078,0.0000,12.0245,6.66
3jvr,53.4536,-0.8472,-1.1375,40.1845,0.0000,0.1845,5.72
3r88,28.6309,-5.5216,-6.0402,26.3994,0.0000,3.8935,4.82
2qe4,60.7779,-1.9016,-1.9902,40.7279,0.0000,8.6687,7.96
3oe4,101.3993,-9.3695,-7.7478,59.8867,0.0000,36.1724,7.47
2fxs,40.6387,-6.4128,-11.5487,33.6467,0.0000,12.3361,6.06
1y6r,92.3166,-1.2759,-1.3501,53.1646,0.0000,21.8413,10.11
3twp,26.7637,-1.2708,-2.7964,17.5577,0.0000,6.6891,3.92
2zb1,63.8709,-1.5479,-6.5590,51.9617,0.0000,0.5305,6.32
3g31,17.2562,1.3820,-1.8427,12.8330,0.0000,0.0716,2.89
1c5z,34.5696,-3.3231,-1.5062,23.8904,0.0000,6.5497,4.01
3fur,85.1923,3.2205,-5.7908,63.5600,0.0000,0.3676,8
3ozs,90.2301,-12.4997,-8.7424,55.7010,0.0000,34.8834,5.33
3qqs,39.1672,-11.8136,-6.6379,33.5696,0.0000,11.4605,5.82
4e6q,66.6581,-1.5474,-1.6438,45.7245,0.0000,6.9780,8.36
1o0h,77.8726,1.7086,-3.4974,35.8098,0.0000,30.4229,5.92
4agn,44.6107,-9.4679,-4.3238,41.3826,0.0000,1.5013,3.97
4e5w,78.3169,-3.4907,-1.7093,53.6870,0.0000,9.6972,7.66
2r9w,42.6886,-2.7737,-7.3103,31.3971,0.0000,9.6017,5.1
4f09,48.3129,-5.0583,-1.5620,35.2534,0.0000,6.4598,6.7
4a7i,82.3912,-4.7759,-4.0902,57.2364,0.0000,12.5573,8.7
3p3r,28.9990,-3.1863,-9.9650,30.6547,0.0000,0.0000,7.25
3f8c,65.4376,-12.9102,-2.7902,59.0094,0.0000,0.0000,7.68
1uv6,19.8660,-9.6559,-8.5372,27.6793,0.0000,0.0000,5.12
1yvm,30.7448,0.6723,-0.2802,22.0747,0.0000,0.0000,6.4
2yay,165.4746,3.4998,-2.7353,56.3178,0.0000,87.2732,6.1
3gcu,85.6137,-1.9666,-14.7163,69.8783,0.0000,6.2140,6.78
4b6s,61.5480,-3.1044,-3.1519,38.0304,0.0000,15.5125,6.01
1fzm,141.6650,-6.7869,-14.9264,92.4081,0.0000,36.3172,7.7
2p3i,41.2630,-4.1003,-3.7236,21.5005,0.0000,19.5236,3.48
3ibn,46.0685,-8.5886,-1.9889,28.4630,0.0000,17.5093,7.61
1tni,31.2913,-15.6170,-6.0100,27.6173,0.0000,14.9445,4
2wos,44.3107,-1.5678,-5.5950,36.6488,0.0000,1.0814,3.9
3s72,43.6492,0.5124,-3.1550,25.4299,0.0000,11.3257,6.4
3mzc,41.9406,-3.6423,-4.1732,28.7800,0.0000,10.1836,6.65
3e85,20.5529,-4.5694,-2.1516,19.8356,0.0000,0.0000,5.38
1hvl,102.5707,-10.9890,-11.3413,82.5156,0.0000,11.4421,9.95
3eb1,24.6488,-7.7819,-6.8586,24.2105,0.0000,6.0000,4.79
2vo4,22.7864,-1.0240,-0.4510,17.6446,0.0000,0.0000,4.94
3mxe,79.6297,2.2093,-15.1372,63.9593,0.0000,4.6135,10.01
2x2r,58.4700,-16.9491,-6.7996,46.5651,0.0000,18.1917,7.12
1jev,135.3188,-12.9033,-9.1042,75.8963,0.0000,52.9689,6.89
3fas,70.5824,-4.5233,-5.1568,28.5334,0.0000,41.0291,6.77
