name,London_dG,hbond,hbondA,metal,metal_r,ionP,ionN,aroalk,repulse,flex,p,l,affinity
1n2v,-10.0789,0.776205,0,0,0,0,0,0.165232,0,0.7834,-2.3072,-3.05964,4.08
2qmj,-19.9938,2.77013,0.693147,0,0,1.25431,-5.0309,0.0821685,0.000735254,1.7982,-4.42602,-4.65064,4.21
1qi0,-16.4262,3.68743,2.48491,0,0,0,0,0.341196,0,0.6456,-2.83495,-2.85162,2.35
1lor,-24.7169,5.96014,2.77259,0,0,0.475124,-2.10752,0,1.81164e-005,0.35659,-3.76196,-4.89625,11.06
2jdy,-19.1811,5.90601,1.79176,1.47,0.920441,0,0,0,0,0.3228,-1.39268,-2.43113,4.37
1h23,-15.2756,0.526933,0,0,0,0,-0.18144,0.555895,0.000814931,2.1194,-5.41702,-5.44677,8.35
1bcu,-8.76771,0.129933,0,0,0,0,-1.03019,0.185389,0,-0.232967,-2.05042,-2.54771,3.28
3myg,-12.8533,0.516267,0,0,0,1.69288,0,0.463769,0.0216252,2.56323,-3.63212,-5.12816,10.7
3coy,-23.3363,4.46568,2.07944,0,0,1.46888,0,0.324095,0,1.57122,-5.29986,-5.95296,6.02
3g2z,-9.25337,1.2769,0,0,0,0,-0.596641,0.118934,0,0.781033,-1.42992,-1.85743,2.36
2yge,-12.0608,0.434879,0,0,0,0,0,0,0,1.2904,-4.01947,-4.28419,5.06
2cet,-20.0157,3.40824,2.48491,0,0,0,-3.69039,0.287626,0.00499246,1.08063,-3.82724,-4.31253,8.02
2ymd,-13.6518,1.97889,0.693147,0,0,0,0,0.344541,0,0.6452,-2.96781,-3.35801,3.16
3f3a,-10.986,0.734187,0.693147,0,0,0.268949,-0.00841528,0.14016,0,0.896033,-2.69794,-3.7047,4.19
2xys,-10.9569,0.235935,0,0,0,0,0,0.547793,0,0,-2.96205,-3.81518,7.42
3nw9,-21.3404,2.77104,1.38629,0,0,0,0,0.458382,0.0183666,2.74743,-5.25683,-7.522,9
2iwx,-11.0936,0.827089,0,0,0,0.397091,0,0.0651511,0,0,-2.70957,-3.50472,6.68
1vso,-17.5498,2.76601,0.693147,0,0,1.82705,-4.95122,0.0839896,0.000334936,1.32241,-3.2963,-3.28168,4.72
4de2,-15.5226,2.18879,0,0,0,0,-2.10452,0.170908,0,1.77027,-3.01844,-4.11747,4.12
