name,covalent-B0,covalent-B1,covalent-B2,covalent-B3,covalent-B4,covalent-B5,vdw_clash-B0,vdw_clash-B1,vdw_clash-B2,vdw_clash-B3,vdw_clash-B4,vdw_clash-B5,vdw-B0,vdw-B1,vdw-B2,vdw-B3,vdw-B4,vdw-B5,proximal-B0,proximal-B1,proximal-B2,proximal-B3,proximal-B4,proximal-B5,hbond-B0,hbond-B1,hbond-B2,hbond-B3,hbond-B4,hbond-B5,weak_hbond-B0,weak_hbond-B1,weak_hbond-B2,weak_hbond-B3,weak_hbond-B4,weak_hbond-B5,xbond-B0,xbond-B1,xbond-B2,xbond-B3,xbond-B4,xbond-B5,ionic-B0,ionic-B1,ionic-B2,ionic-B3,ionic-B4,ionic-B5,metal_complex-B0,metal_complex-B1,metal_complex-B2,metal_complex-B3,metal_complex-B4,metal_complex-B5,aromatic-B0,aromatic-B1,aromatic-B2,aromatic-B3,aromatic-B4,aromatic-B5,hydrophobic-B0,hydrophobic-B1,hydrophobic-B2,hydrophobic-B3,hydrophobic-B4,hydrophobic-B5,carbonyl-B0,carbonyl-B1,carbonyl-B2,carbonyl-B3,carbonyl-B4,carbonyl-B5,affinity
1h23,0,0,0,0,0,0,5,0,0,2,3,0,53,0,0,0,53,0,341,0,0,0,34,307,3,0,0,2,1,0,5,0,0,0,5,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,73,0,0,0,25,48,1,0,0,0,1,0,8.35
3b1m,0,0,0,0,0,0,5,0,0,0,5,0,34,0,0,0,34,0,282,0,0,0,22,260,0,0,0,0,0,0,8,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,0,0,0,19,40,0,0,0,0,0,0,8.48
4jxs,0,0,0,0,0,0,12,0,0,8,4,0,30,0,0,0,30,0,200,0,0,0,29,171,7,0,0,6,1,0,3,0,0,0,3,0,0,0,0,0,0,0,8,0,0,3,5,0,0,0,0,0,0,0,3,0,0,0,3,0,19,0,0,0,7,12,0,0,0,0,0,0,4.74
2pog,0,0,0,0,0,0,5,0,0,3,2,0,21,0,0,0,21,0,175,0,0,0,10,165,2,0,0,2,0,0,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,6,0,44,0,0,0,14,30,0,0,0,0,0,0,9.54
1bcu,0,0,0,0,0,0,1,0,0,1,0,0,16,0,0,0,16,0,175,0,0,0,25,150,1,0,0,1,0,0,2,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,4,5,0,0,0,0,0,0,3.28
3d6q,0,0,0,0,0,0,3,0,0,3,0,0,18,0,0,0,18,0,128,0,0,0,20,108,3,0,0,2,1,0,5,0,0,0,5,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,3.76
3twp,0,0,0,0,0,0,2,0,0,1,1,0,13,0,0,0,13,0,114,0,0,0,9,105,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,4,12,0,0,0,0,0,0,3.92
3myg,0,0,0,0,0,0,6,0,0,3,3,0,43,0,0,0,43,0,252,0,0,0,27,225,3,0,0,1,2,0,8,0,0,1,7,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,3,0,8,0,0,0,3,5,0,0,0,0,0,0,10.7
3coy,0,0,0,0,0,0,8,0,0,6,2,0,53,0,0,0,53,0,338,0,0,0,52,286,9,0,0,5,4,0,11,0,0,0,11,0,0,0,0,0,0,0,5,0,0,0,5,0,0,0,0,0,0,0,2,0,0,0,2,0,13,0,0,0,3,10,0,0,0,0,0,0,6.02
4qac,0,0,0,0,0,0,11,0,0,3,8,0,45,0,0,0,45,0,314,0,0,0,33,281,1,0,0,1,0,0,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,32,0,43,0,0,0,16,27,0,0,0,0,0,0,9.4
