name,covalent-B0,covalent-B1,covalent-B2,covalent-B3,covalent-B4,covalent-B5,vdw_clash-B0,vdw_clash-B1,vdw_clash-B2,vdw_clash-B3,vdw_clash-B4,vdw_clash-B5,vdw-B0,vdw-B1,vdw-B2,vdw-B3,vdw-B4,vdw-B5,proximal-B0,proximal-B1,proximal-B2,proximal-B3,proximal-B4,proximal-B5,hbond-B0,hbond-B1,hbond-B2,hbond-B3,hbond-B4,hbond-B5,weak_hbond-B0,weak_hbond-B1,weak_hbond-B2,weak_hbond-B3,weak_hbond-B4,weak_hbond-B5,xbond-B0,xbond-B1,xbond-B2,xbond-B3,xbond-B4,xbond-B5,ionic-B0,ionic-B1,ionic-B2,ionic-B3,ionic-B4,ionic-B5,metal_complex-B0,metal_complex-B1,metal_complex-B2,metal_complex-B3,metal_complex-B4,metal_complex-B5,aromatic-B0,aromatic-B1,aromatic-B2,aromatic-B3,aromatic-B4,aromatic-B5,hydrophobic-B0,hydrophobic-B1,hydrophobic-B2,hydrophobic-B3,hydrophobic-B4,hydrophobic-B5,carbonyl-B0,carbonyl-B1,carbonyl-B2,carbonyl-B3,carbonyl-B4,carbonyl-B5,affinity
2z1w,0,0,0,0,0,0,7,0,0,4,3,0,28,0,0,0,28,0,157,0,0,0,15,142,2,0,0,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,3,9,1,0,0,0,1,0,4.08
1xh5,0,0,0,0,0,0,16,0,0,7,9,0,67,0,0,0,67,0,377,0,0,0,45,332,7,0,0,4,3,0,12,0,0,1,11,0,0,0,0,0,0,0,4,0,0,2,2,0,0,0,0,0,0,0,9,0,0,0,9,0,43,0,0,0,17,26,2,0,0,1,1,0,5.47
3s6t,0,0,0,0,0,0,6,0,0,6,0,0,50,0,0,0,50,0,229,0,0,0,37,192,5,0,0,4,1,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,16,0,0,0,7,9,0,0,0,0,0,0,7.35
3b67,0,0,0,0,0,0,9,0,0,3,6,0,72,0,0,0,72,0,346,0,0,0,39,307,2,0,0,1,1,0,13,0,0,1,12,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,22,0,0,0,22,0,14,0,0,0,4,10,0,0,0,0,0,0,8.85
3fas,0,0,0,0,0,0,9,0,0,8,1,0,45,0,0,0,45,0,149,0,0,0,17,132,10,0,0,6,4,0,4,0,0,0,4,0,0,0,0,0,0,0,17,0,0,6,11,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,6,5,1,0,0,0,1,0,6.77
3m3z,0,0,0,0,0,0,8,0,0,4,4,0,45,0,0,0,45,0,269,0,0,0,39,230,5,0,0,3,2,0,9,0,0,1,8,0,0,0,0,0,0,0,8,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.73
2uyq,0,0,0,0,0,0,6,0,0,4,2,0,19,0,0,0,19,0,160,0,0,0,19,141,3,0,0,3,0,0,3,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.68
1xd0,0,0,0,0,0,0,24,0,0,14,10,0,62,0,0,0,62,0,424,0,0,0,46,378,11,0,0,8,3,0,19,0,0,1,18,0,0,0,0,0,0,0,4,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,7.12
3djo,0,0,0,0,0,0,7,0,0,5,2,0,25,0,0,0,25,0,153,0,0,0,18,135,7,0,0,4,3,0,4,0,0,0,4,0,0,0,0,0,0,0,7,0,0,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,4.39
1b05,0,0,0,0,0,0,17,0,0,9,8,0,52,0,0,0,52,0,301,0,0,0,44,257,13,0,0,8,5,0,8,0,0,0,8,0,0,0,0,0,0,0,19,0,0,3,16,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,8,11,2,0,0,0,2,0,7.12
4lps,0,0,0,0,0,0,15,0,0,10,5,0,58,0,0,0,58,0,249,0,0,0,38,211,8,0,0,7,1,0,7,0,0,0,7,0,0,0,0,0,0,0,15,0,0,3,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,5.74
3iph,0,0,0,0,0,0,4,0,0,4,0,0,41,0,0,0,41,0,262,0,0,0,31,231,2,0,0,2,0,0,8,0,0,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0,0,0,16,33,1,0,0,0,1,0,7.6
4mjp,0,0,0,0,0,0,5,0,0,3,2,0,19,0,0,0,19,0,152,0,0,0,18,134,1,0,0,1,0,0,2,0,0,0,2,0,0,0,0,0,0,0,10,0,0,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,10,12,0,0,0,0,0,0,3.88
4jfk,0,0,0,0,0,0,12,0,0,4,8,0,72,0,0,0,72,0,311,0,0,0,24,287,4,0,0,2,2,0,17,0,0,2,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,5,0,55,0,0,0,26,29,2,0,0,0,2,0,6.44
3wz7,0,0,0,0,0,0,8,0,0,4,4,0,45,0,0,0,45,0,265,0,0,0,29,236,3,0,0,2,1,0,6,0,0,0,6,0,0,0,0,0,0,0,4,0,0,1,3,0,0,0,0,0,0,0,9,0,0,0,9,0,53,0,0,0,22,31,2,0,0,0,2,0,5.74
2iuz,0,0,0,0,0,0,12,0,0,1,11,0,83,0,0,0,83,0,304,0,0,0,49,255,2,0,0,1,1,0,5,0,0,0,5,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.55
