name,Gold.Chemscore.Fitness,Gold.Chemscore.DG,Gold.Chemscore.ZeroCoef,Gold.Chemscore.Hbond,Gold.Chemscore.Metal,Gold.Chemscore.Lipo,Gold.Chemscore.Internal_Hbond,Gold.Chemscore.DEClash,Gold.Chemscore.DEInternal,Gold.Chemscore.Rot,affinity
3fk1,4.2317,-10.0985,-5.48,5.1257,0,9.313,0,5.3384,0.5284,5.309,2.62
4a7i,26.8658,-32.335,-5.48,1.7696,0,225.2318,0,3.6178,1.8514,2.1123,8.7
2x8z,19.4285,-22.8738,-5.48,1.8756,1,81.0027,0,0.8709,2.5743,1.7102,7.96
5bwc,24.502,-28.606,-5.48,0,0,274.6318,0,1.1678,2.9363,3.5179,7.21
4ymq,23.0476,-36.3879,-5.48,0.6918,0,347.7237,0,0.3156,13.0248,4.7212,5.8
4qy3,18.4052,-18.7635,-5.48,1.3077,0,98.0843,0,0.2047,0.1535,1,6.82
3p3r,16.7951,-20.1771,-5.48,0.0559,0,160.2084,0,1.1104,2.2716,1.6538,7.25
3f8c,38.4253,-39.1627,-5.48,0,0,316.3431,0,0.5145,0.2228,1.3006,7.68
1uv6,10.6573,-13.3609,-5.48,0,0,117.6175,0,2.228,0.4755,2.297,5.12
1yvm,30.8707,-33.7882,-5.48,0.0214,2,138.2632,0,2.8521,0.0655,0,6.4
2yay,43.8819,-52.8685,-5.48,7.4658,3.9951,102.7866,0,3.2997,5.6869,5.3374,6.1
4ual,21.7931,-26.9268,-5.48,0,0,205.1863,0,2.1364,2.9973,1,8.4
3gcu,46.7178,-50.7242,-5.48,3.3889,0,311.8395,0,0.3574,3.649,1,6.78
4b6s,25.4413,-30.4966,-5.48,5.4393,0,148.5495,0,3.2498,1.8055,4.1137,6.01
1fzm,29.8459,-38.6746,-5.48,9.283,0,320.5027,0,1.5933,7.2353,13.7927,7.7
2p3i,9.1881,-11.2861,-5.48,3.5583,0,79.5368,0,0,2.0981,6.0095,3.48
3ibn,7.3037,-9.6632,-5.48,1.0035,1.0307,88.1615,0,1.6723,0.6872,6.1321,7.61
1tni,14.6118,-19.0125,-5.48,1.9891,0,93.3071,0,3.491,0.9098,1.5734,4
4hym,22.1072,-27.4826,-5.48,1.9739,0,168.4798,0,3.5015,1.8739,1.6806,8.22
2wos,19.7693,-22.782,-5.48,0,0,169.7607,0,0.7927,2.22,1,3.9
3s72,18.9725,-21.5791,-5.48,0.9554,1.0307,57.2071,0,1.5135,1.0931,0,6.4
3mzc,10.6839,-17.5378,-5.48,0.9047,0.0049,98.8589,0,4.4167,2.4371,1,6.65
4c1u,17.2824,-19.4271,-5.48,5.2903,0,159.5238,0,1.1005,1.0442,8.7448,7.09
3e85,17.884,-26.4653,-5.48,0,0,179.3613,0,8.4621,0.1192,0,5.38
4few,21.9497,-23.8494,-5.48,1.9017,0,124.5955,0,0.4435,1.4561,1,5.21
4bb9,7.373,-9.156,-5.48,4.786,0,47.882,0,1.581,0.202,6.9966,6
4mr3,20.4351,-21.8758,-5.48,0.346,0,167.3553,0,1.0534,0.3873,1.6955,5.94
3pe2,37.049,-37.3425,-5.48,1.9766,0,215.9032,0,0.0544,0.2391,0,9.76
1hvl,35.1932,-41.499,-5.48,3.6614,0,317.3444,0,3.0207,3.2851,5.2107,9.95
3eb1,6.2418,-12.1261,-5.48,0.9993,0,91.5481,0,2.1252,3.759,2.8917,4.79
4o61,-1.8365,-4.3324,-5.48,2.0958,0,29.6977,0,3.9047,2.2641,4.5399,4.3
4qnb,37.095,-41.9164,-5.48,2.919,0,264.4703,0,1.5054,3.316,1.6625,6.59
2vo4,10.1929,-11.8939,-5.48,0,0,78.9878,0,1.5958,0.1052,1.1046,4.94
3l3n,25.2417,-39.1083,-5.48,2.4351,2,228.7692,0,6.7609,7.1057,5.2074,8.18
3mxe,22.1082,-34.9458,-5.48,2.3605,0,256.7615,0,2.2717,10.5658,3.3045,10.01
2x2r,26.8171,-30.1436,-5.48,1.9898,0,239.8613,0,0.3559,2.9705,3.9243,7.12
1jev,40.0903,-46.9833,-5.48,7.7712,0,269.1478,0,3.6979,3.1951,6.2277,6.89
3fas,16.2694,-17.5742,-5.48,5.4561,0,48.8833,0,0.682,0.6228,4.6283,6.77
4zzz,23.7393,-25.3539,-5.48,1.9534,0,150.9013,0,0,1.6147,1.682,7.06
4k3n,25.5036,-31.9368,-5.48,1.4783,2.9986,94.7626,0,5.5262,0.907,2.9881,7.96
4zwx,-2.6946,-2.8275,-5.48,0.9702,1.0307,74.0994,0,2.3124,3.2096,8.1161,8.7
4z2b,37.975,-40.8783,-5.48,0.2594,0.8023,290.4912,0,0.6139,2.2894,1.6771,7.76
1bcd,16.2202,-16.7198,-5.48,0.9016,1,18.7902,0,0.4266,0.073,0,8.7
2baj,35.1966,-43.0067,-5.48,2.452,0,272.6238,0,2.7638,5.0463,1,8.4
2pcp,31.5317,-36.7501,-5.48,0.4666,0,276.8002,0,3.9511,1.2673,1.0446,8.7
1iy7,27.082,-30.2451,-5.48,4.7121,1,93.0062,0,1.0819,2.0812,3.0801,6.19
1l83,20.2499,-20.2499,-5.48,0,0,126.2384,0,0,0,0,3.4
4jyc,13.1322,-15.314,-5.48,7.3014,0,25.278,0,0.0391,2.1427,6.8399,6.7
4na9,36.8262,-41.9272,-5.48,4.8579,0,199.0378,0,0.5608,4.5403,1.1975,7.39
4zj6,25.848,-30.9129,-5.48,3.3473,0,222.411,0,2.4283,2.6366,4.5973,8.52
3h8b,26.9359,-36.7186,-5.48,2.9403,0,300.2342,0,2.9732,6.8094,5.3552,6.29
3mxd,23.9746,-32.464,-5.48,2.3602,0,257.1532,0,3.2681,5.2213,4.2914,8.83
2sim,15.8025,-19.5087,-5.48,5.9444,0,60.2766,0,1.7339,1.9723,5.0304,3.42
2qft,6.6001,-11.2495,-5.48,5.4567,0,9.7023,0,4.0865,0.5629,5.309,5.26
4nze,8.6575,-20.306,-5.48,0.7631,0,232.7756,0,1.4421,10.2064,5.8428,6.8
4z84,25.4396,-31.7044,-5.48,2.0963,0,192.3511,0,5.4715,0.7933,1.2821,5.82
4non,13.7362,-16.1329,-5.48,7.6753,0,21.6047,0,0.9734,1.4233,6.8399,5.24
1n51,25.6691,-38.6709,-5.48,2.5233,2,195.6449,0,7.163,5.8388,3.9795,4.85
3gx0,-0.7506,-7.2882,-5.48,6.6413,0,101.3403,0,0.5547,7.4842,12.59,3.48
2j95,22.2533,-27.5256,-5.48,0,0,225.0083,0,2.1358,3.1366,1.672,8.4
3ujd,12.0538,-13.7804,-5.48,2.1517,0,86.3789,0,0.4413,1.2854,3.5127,4.69
2am4,25.0927,-30.7023,-5.48,7.7552,2,96.2363,0,1.5327,4.0769,9.3749,3.72
2xpc,19.0493,-25.1215,-5.48,3.323,0,141.9211,0,2.4371,3.6351,3.1493,3.9
2pou,26.4725,-29.8528,-5.48,1.9762,1.0601,97.2658,0,1.1365,2.2438,0,7.42
