name,Gold.Chemscore.Fitness,Gold.Chemscore.DG,Gold.Chemscore.ZeroCoef,Gold.Chemscore.Hbond,Gold.Chemscore.Metal,Gold.Chemscore.Lipo,Gold.Chemscore.Internal_Hbond,Gold.Chemscore.DEClash,Gold.Chemscore.DEInternal,Gold.Chemscore.Rot,affinity
4u4s,14.4974,-15.3561,-5.48,0.962,0,78.829,0,0.6406,0.218,1,2.92
3e93,49.554,-53.8524,-5.48,1.9986,0,378.2653,0,0.6644,3.634,1,8.85
1owh,22.4668,-24.8202,-5.48,2.5332,0,114.8669,0,0.0111,2.3423,1,7.4
3rr4,36.6331,-36.9323,-5.48,5.5827,0,109.4528,0,0.2987,0.0004,0,4.55
3jya,24.5539,-24.635,-5.48,0,0,163.7179,0,0.0811,0,0,6.89
4k18,21.5596,-28.5453,-5.48,0.88,0,199.9999,0,3.9881,2.9976,1.2789,8.96
2qbp,25.6841,-32.6282,-5.48,2.1035,0,226.6537,0,2.8887,4.0554,2.4984,8.4
4gfm,24.0489,-26.7519,-5.48,1.9893,0,125.0236,0,0.0785,2.6245,0,7.22
4owm,13.4715,-15.0384,-5.48,0,0,81.6959,0,1.419,0.1479,0,2.96
3gv9,17.945,-22.7751,-5.48,3.2895,0,53.916,0,2.0623,2.7678,0,2.12
2wnc,31.9721,-32.8991,-5.48,0.9121,0,234.1112,0,0.5844,0.3425,1.1791,6.32
2xii,22.9124,-26.4477,-5.48,2.9952,0,159.2413,0,2.8899,0.6454,2.9951,7.2
3gc5,39.2096,-40.9457,-5.48,7.4554,0,123.6487,0,1.3204,0.4157,1.5243,7.26
3fcq,15.997,-27.1818,-5.48,1.9015,1.7716,68.2561,0,6.9424,4.2424,1.2962,2.77
3pyy,26.9987,-29.8981,-5.48,1,0,202.0349,0,1.4477,1.4517,1,6.86
3prs,34.885,-43.3072,-5.48,3.4819,0,315.6899,0,4.5324,3.8898,4.1946,7.82
2xbv,26.607,-37.2235,-5.48,1,0,278.2939,0,3.2791,7.3374,1.6238,8.43
3nx7,20.4716,-29.7347,-5.48,2.3828,2,106.7794,0,6.1985,3.0645,3.2254,8.1
4j28,26.0173,-26.9341,-5.48,3.6207,0,125.4815,0,0.8987,0.0181,2.0783,5.7
2x00,46.8397,-47.3792,-5.48,0.7325,0,366.5063,0,0.4936,0.0459,1.3392,11.33
3dx1,21.0548,-24.9303,-5.48,1.5213,2,72.7107,0,3.8755,0,2.4211,3.58
4ivd,24.2036,-26.1081,-5.48,1.9292,0,171.2381,0,1.0801,0.8244,2.2853,9.52
3mss,21.4676,-22.3567,-5.48,0,0,191.1014,0,0,0.8891,2.1415,4.66
4abg,19.7576,-20.6466,-5.48,1.996,0,100.3729,0,0.16,0.7289,1.267,3.57
3f3d,18.9177,-21.3583,-5.48,3.0293,0,96.2485,0,1.8278,0.6128,2.1487,7.16
2j7h,22.9939,-23.1292,-5.48,4.2733,0,92.344,0,0.1219,0.0134,2.9015,7.19
1o3f,20.2545,-26.1631,-5.48,1.8138,0,146.88,0,2.0585,3.8501,1,7.96
3kgp,11.5752,-12.6245,-5.48,0.3678,0,72.4441,0,0.7197,0.3296,1,2.57
2yki,44.3095,-50.1613,-5.48,0.8563,0,379.3279,0,3.29,2.5619,1,9.46
3ui7,26.5126,-28.622,-5.48,0.2965,0,218.6911,0,1.741,0.3684,1.3419,9
