name,TOTAL_SCORE,SCORE_RB_PEN,SCORE_NORM_HEVATOMS,SCORE_NORM_CRT_HEVATOMS,SCORE_NORM_WEIGHT,SCORE_NORM_CRT_WEIGHT,SCORE_RB_PEN_NORM_CRT_HEVATOMS,SCORE_NORM_CONTACT,PLPtotal,PLPparthbond,PLPpartsteric,PLPpartmetal,PLPpartrepulsive,PLPpartburpolar,LIG_NUM_CLASH,LIG_NUM_CONTACT,LIG_NUM_NO_CONTACT,CHEMpartmetal,CHEMparthbond,CHEMparthbondCHO,DON,ACC,UNUSED_DON,UNUSED_ACC,CHEMPLP_CLASH2,TRIPOS_TORS,affinity
3q5u,-20.4723,49.5277,-0.2967,-4.9913300000000005,-0.020993500000000002,-2.06446,12.0753,-0.305556,-69.372,-10.2454,-45.9979,0.0,1.21908,0.0,0,60,9,0.0,-28.6412,0.0,22,11,15,9,51.0372,22.0449,4.31
1o2s,-79.32600000000001,-69.32600000000001,-4.17505,-29.7279,-0.310717,-12.5045,-25.9803,-3.30525,-49.2646,-5.98166,-34.7811,0.0,0.196479,0.0,2,17,0,0.0,-11.9239,0.0,7,3,1,3,0.0,0.503328,5.47
3bze,-132.50799999999998,-66.5083,-1.81518,-31.7056,-0.126399,-13.044,-15.9136,-1.7208900000000003,-127.37100000000001,-9.23842,-112.448,0.0,0.56604,0.0,5,68,0,0.0,-24.2747,0.0,16,11,12,6,0.0,17.2627,6
1axz,-59.7683,-47.7683,-4.98069,-26.1062,-0.331759,-10.5825,-20.8647,-4.26916,-29.8762,-6.0,-20.8928,0.0,0.0,0.0,0,12,0,0.0,-10.9744,0.0,5,6,3,4,0.0,0.07784719999999999,3.2
2dua,-64.2517,-62.2517,-10.7086,-35.3591,-0.729967,-14.4441,-34.2584,-10.7086,-8.33884,-6.08804,-6.39964,-2.0,2.65047,0.0,3,3,0,-24.0,-13.9137,0.0,0,4,0,1,0.0,0.347562,4.77
1gzc,-58.9207,-34.9207,-2.56177,-20.7185,-0.17213399999999998,-8.423010000000001,-12.2793,-2.80575,-36.5225,-6.10731,-24.6182,0.0,0.00838947,0.0,1,18,4,0.0,-11.1655,0.0,8,11,6,9,0.0,3.66086,3.49
1obx,-62.4375,-32.4375,-1.8920400000000002,-19.4659,-0.134135,-8.056460000000001,-10.1129,-2.15302,-45.7517,-4.18023,-35.427,0.0,0.318943,0.0,0,29,4,0.0,-12.0,0.0,7,8,6,6,0.0,7.1186,5.72
1z3v,-67.656,-43.656000000000006,-2.94156,-23.7901,-0.197653,-9.67176,-15.3509,-2.819,-49.7266,-8.11753,-30.8792,0.0,0.225487,0.0,0,23,0,0.0,-7.89245,0.0,8,11,7,8,0.0,4.69418,4.11
2avv,-111.272,-83.272,-2.4727099999999997,-31.2835,-0.180991,-13.0861,-23.4114,-2.36749,-102.42299999999999,-3.7494699999999996,-95.7513,0.0,0.24440900000000002,0.0,6,39,0,0.0,-6.66621,0.0,7,5,4,3,0.0,7.318739999999999,9.26
4e81,-44.1096,9.890419999999999,-0.621262,-10.6524,-0.0441422,-4.41205,2.38852,-0.787671,-66.2031,-2.0,-57.5933,0.0,0.314456,-0.095933,3,53,15,0.0,-6.31585,0.0,20,9,19,7,4.75419,21.3717,5.24
3lqj,-79.7061,-23.7061,-1.53281,-21.3545,-0.106572,-8.78096,-6.35123,-1.62665,-76.1415,-5.68051,-69.89399999999999,0.0,1.6626400000000001,-0.0115736,5,40,7,0.0,-14.7642,0.0,17,10,13,9,0.472371,14.2332,5.37
2rfy,-36.248000000000005,-12.248,-1.5759999999999998,-12.745999999999999,-0.105897,-5.18184,-4.306830000000001,-1.5759999999999998,-41.3981,-1.61385,-32.01,0.0,0.233606,0.0,3,20,0,0.0,-0.6017819999999999,0.0,8,11,8,10,16.0745,4.48308,5.22
2wk2,-93.6011,-57.6011,-2.2286,-26.9276,-0.142302,-10.7628,-16.570999999999998,-2.1273,-89.77,-6.067740000000001,-75.0228,0.0,0.183926,-0.0202083,4,38,0,0.0,-9.13294,0.0,9,13,7,10,0.0,11.6338,6.82
