name,TOTAL_SCORE,SCORE_RB_PEN,SCORE_NORM_HEVATOMS,SCORE_NORM_CRT_HEVATOMS,SCORE_NORM_WEIGHT,SCORE_NORM_CRT_WEIGHT,SCORE_RB_PEN_NORM_CRT_HEVATOMS,SCORE_NORM_CONTACT,PLPparthbond,PLPpartSteric,PLPpartmetal,LIG_NUM_CLASH,LIG_NUM_CONTACT,LIG_NUM_NO_CONTACT,CHEMPLP_CLASH2,TRIPOS_TORS,affinity
2z1w,-71.5939,-65.5939,-4.772930000000001,-29.0299,-0.34889499999999996,-12.1381,-26.596999999999998,-4.772930000000001,-4.0,-49.2668,0.0,4,11,0,0.0,0.409288,4.08
1xh5,-173.857,-159.857,-4.04318,-49.6252,-0.295327,-20.7441,-45.6291,-4.04318,-12.919,-151.92600000000002,0.0,9,34,0,0.0,8.358310000000001,5.47
3s6t,-119.94,-109.94,-4.7975900000000005,-41.0188,-0.339453,-16.9656,-37.5989,-4.7975900000000005,-15.1565,-95.95700000000001,0.0,1,24,0,0.0,8.09277,7.35
3b67,-140.709,-126.709,-4.3971599999999995,-44.3206,-0.296686,-18.0432,-39.9109,-4.3971599999999995,-10.4715,-128.94799999999998,0.0,9,23,0,5.48387,7.89928,8.85
3fas,-95.6331,-87.6331,-9.563310000000001,-44.388999999999996,-0.641196,-18.033,-40.6757,-9.563310000000001,-21.8508,-59.3667,0.0,1,9,0,0.0,2.93858,6.77
3m3z,-112.00299999999999,-100.00299999999999,-4.480119999999999,-38.3045,-0.316973,-15.8426,-34.2006,-4.480119999999999,-5.332999999999999,-91.6516,0.0,5,20,0,0.0,3.80519,5.73
2uyq,-85.4704,-83.4704,-5.02767,-33.2404,-0.360288,-13.8068,-32.4626,-5.02767,-8.0,-60.412,0.0,2,15,0,0.0,1.2110299999999998,5.68
1xd0,-188.128,-164.128,-3.42052,-49.468999999999994,-0.232037,-20.1754,-43.1581,-3.42052,-40.1664,-152.80100000000002,0.0,8,47,0,0.0,19.3873,7.12
3djo,-79.7486,-71.7486,-3.79755,-28.9057,-0.245998,-11.6089,-26.006,-3.79755,-9.65737,-54.1648,0.0,3,18,0,0.0,3.4720800000000005,4.39
1b05,-148.747,-120.74700000000001,-5.94989,-50.8708,-0.391931,-20.5448,-41.2949,-5.94989,-24.5071,-113.149,0.0,4,21,0,0.0,5.65375,7.12
4lps,-136.68200000000002,-124.682,-4.88151,-45.0118,-0.31051,-17.968,-41.06,-5.06231,-30.9361,-87.1415,-5.0,2,25,1,0.0,3.3025300000000004,5.74
3iph,-132.161,-120.161,-5.083130000000001,-44.6115,-0.380421,-18.8,-40.5608,-5.083130000000001,-6.0,-113.14,0.0,3,23,0,0.0,4.61879,7.6
4mjp,-88.5674,-82.5674,-4.21749,-32.1021,-0.314786,-13.5162,-29.9274,-4.21749,-8.0,-63.8352,0.0,1,20,0,0.0,1.8158299999999998,3.88
4jfk,-126.927,-110.927,-3.4304699999999997,-38.0909,-0.231775,-15.5141,-33.2893,-3.4304699999999997,-4.9458,-113.92200000000001,0.0,8,29,0,4.1912199999999995,4.74704,6.44
3wz7,-132.964,-116.964,-3.7989699999999997,-40.6485,-0.272675,-16.8929,-35.7571,-3.7989699999999997,-11.2727,-110.514,0.0,4,31,0,0.190874,6.58397,5.74
2iuz,-141.93200000000002,-135.93200000000002,-5.06901,-46.7407,-0.36733499999999997,-19.4868,-44.7648,-5.06901,-3.6706,-125.39200000000001,0.0,6,22,0,0.0,1.99656,5.55
4g0q,-89.1916,-81.1916,-4.2472199999999996,-32.3284,-0.27769499999999997,-13.0238,-29.4287,-4.2472199999999996,-14.591,-61.0384,0.0,0,21,0,0.0,2.5956,2.52
3p9m,-215.797,-153.797,-3.3718199999999996,-53.9492,-0.238163,-22.3009,-38.4492,-3.3718199999999996,-30.4213,-187.493,0.0,2,62,0,0.0,14.5219,5
