name,TOTAL_SCORE,SCORE_RB_PEN,SCORE_NORM_HEVATOMS,SCORE_NORM_CRT_HEVATOMS,SCORE_NORM_WEIGHT,SCORE_NORM_CRT_WEIGHT,SCORE_RB_PEN_NORM_CRT_HEVATOMS,SCORE_NORM_CONTACT,PLPparthbond,PLPpartSteric,PLPpartmetal,LIG_NUM_CLASH,LIG_NUM_CONTACT,LIG_NUM_NO_CONTACT,CHEMPLP_CLASH2,TRIPOS_TORS,affinity
1n2v,-85.3545,-79.3545,-5.6903,-34.6095,-0.41190699999999997,-14.4239,-32.1767,-5.6903,-5.51585,-62.5905,0.0,2,13,0,0.0,2.0193,4.08
2qmj,-113.478,-95.4781,-2.57905,-32.1436,-0.175496,-13.1229,-27.0449,-3.33759,-21.353,-85.2651,0.0,4,33,7,0.0,10.7589,4.21
1qi0,-82.8671,-74.8671,-3.6029199999999997,-29.1389,-0.242092,-11.8463,-26.3258,-3.94605,-22.1474,-48.1001,0.0,1,22,0,0.0,3.91024,2.35
1lor,-121.16,-113.16,-5.50726,-43.2398,-0.359354,-17.4079,-40.3848,-5.50726,-26.121,-79.3201,0.0,2,20,0,0.0,1.30765,11.06
2jdy,-92.823,-88.823,-7.14023,-39.4767,-0.47802100000000003,-16.0295,-37.7755,-7.14023,-22.9027,-36.1674,-18.2309,4,9,0,0.0,1.0329700000000002,4.37
1h23,-163.42600000000002,-133.42600000000002,-4.539630000000001,-49.4943,-0.329009,-20.6356,-40.4087,-4.539630000000001,-6.94503,-149.255,0.0,2,34,0,0.034843,9.63808,8.35
1bcu,-96.2003,-96.2003,-6.012519999999999,-38.1771,-0.45753900000000003,-16.1781,-38.1771,-6.012519999999999,-3.3738699999999997,-73.8498,0.0,0,16,0,0.0,0.0,3.28
3myg,-112.465,-96.465,-3.7488300000000003,-36.1946,-0.26304099999999997,-14.9286,-31.0453,-3.7488300000000003,-4.50858,-96.0427,0.0,3,27,0,0.0,5.56447,10.7
3coy,-169.05599999999998,-153.056,-5.4534199999999995,-53.8158,-0.367921,-21.9081,-48.7225,-5.4534199999999995,-18.6293,-135.937,0.0,2,29,0,0.0,2.2347,6.02
3g2z,-53.29600000000001,-49.29600000000001,-4.0997,-22.6663,-0.299107,-9.471210000000001,-20.9651,-4.0997,-6.50747,-30.2187,0.0,0,13,0,0.0,2.96627,2.36
2yge,-85.3012,-75.3012,-2.13253,-24.9422,-0.152152,-10.345,-22.0182,-2.13253,-5.97684,-89.7634,0.0,2,38,0,14.1662,14.6712,5.06
2cet,-122.639,-114.639,-5.57449,-43.7677,-0.401636,-18.2122,-40.9126,-5.57449,-25.0577,-86.9881,0.0,4,18,0,4.02124,1.04959,8.02
2ymd,-108.21,-104.21,-8.32386,-46.0207,-0.610584,-19.2646,-44.3196,-8.32386,-10.0,-81.0421,0.0,1,12,0,0.0,0.389937,3.16
3f3a,-96.3806,-90.3806,-6.4253800000000005,-39.0804,-0.47193100000000004,-16.3664,-36.6476,-6.4253800000000005,-12.3756,-68.48100000000001,0.0,2,13,0,0.0,1.46665,4.19
2xys,-109.854,-109.854,-4.39416,-37.5696,-0.325561,-15.7793,-37.5696,-4.39416,-2.0,-89.934,0.0,1,24,0,0.0,0.0,7.42
3nw9,-184.43200000000002,-172.43200000000002,-4.85347,-54.8582,-0.353655,-22.9131,-51.2889,-4.85347,-21.1265,-152.93200000000002,0.0,7,31,0,0.0,4.3034300000000005,9
2iwx,-95.823,-95.823,-3.9926199999999996,-33.22,-0.272387,-13.574000000000002,-33.22,-3.9926199999999996,-3.67248,-73.1879,0.0,2,22,0,0.0,0.0,6.68
1vso,-97.8004,-83.8004,-4.65716,-35.4487,-0.303491,-14.2651,-30.3743,-4.65716,-17.2941,-65.1634,0.0,1,20,0,0.0,2.3882,4.72
4de2,-115.00399999999999,-105.00399999999999,-4.79185,-39.8698,-0.356742,-16.7724,-36.403,-4.79185,-12.2605,-87.2832,0.0,0,24,0,0.0,2.14737,4.12
